statement_id	record_unit_id	visible_owner	source_instruction_chain_de	generated_candidate_sequence	actual_master_sequence	actual_visible_sequence	apprentice_route	semantic_roundtrip	master_card_roundtrip	complete_local_translation_de
H4-S002	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Sollmaß | überführen | Verwahrort	MC039 MC074 MC160	MC039 MC074 MC160	daiin chedy talam	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	Die Sollmenge überführen und am Verwahrort ablegen.
H4-S003	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Sollportion | Auszug aus der Quelle | länger bearbeiten | fertig	MC170 MC085 MC032 MC019	MC170 MC085 MC032 MC019	ykaiin cheoar cheeky oldy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Eine Sollportion aus dem Quellauszug nehmen, länger bearbeiten und fertigstellen.
H4-S004	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Sollmaß | dorthin einsetzen | die laufende Bereitung fortsetzen | Ansatz | dies | Bereitungsanteil	MC039 MC040 MC021 MC080 MC123 MC072	MC039 MC040 MC021 MC080 MC123 MC072	aiin okal oltchy or y orain	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Das Sollmaß am Ziel einsetzen und aus diesem Ansatz mit dem Bereitungsanteil die Folgezubereitung bilden.
H5-S001	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Zugabeansatz | EINGABE_ODER_BEDINGUNG | Zugabe am aktuellen Ziel | Sollmaß | EINGABE_ODER_BEDINGUNG | weiter bearbeiten | Folgeansatz | einsetzen | dorthin	MC125 MC034 MC010 MC039 MC034 MC090 MC013 MC026 MC154	MC125 MC034 MC010 MC039 MC034 MC090 MC013 MC026 MC154	chochor cho chodaly daiin sho kchol otchor choky dal	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz weiter bearbeiten, einsetzen und dorthin führen.
H5-S002	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	vom vorigen Arbeitsgang nehmen | aktuelle Zutat | einsetzen | auftragen; Schluss	MC142 MC131 MC026 MC099	MC142 MC131 MC026 MC099	schol choy choky cheeckhody	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und an der Zielstelle auftragen; Schluss.
H5-S003	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Stängel | EINGABE_ODER_BEDINGUNG | den laufenden Posten kurz bearbeiten | denselben Posten erneut einsetzen	MC114 MC034 MC122 MC015	MC114 MC034 MC122 MC015	sh cho kchey qokokchy	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	Den Stängel und eine weitere Zutat kurz bearbeiten und erneut einsetzen.
H5-S004	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	den laufenden Posten einsetzen und weiterbearbeiten | Auszug einsetzen | an der Zielstelle bearbeiten	MC103 MC006 MC077	MC103 MC006 MC077	okchy chokcheo kchal	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Weiterbearbeiten, den Auszug einsetzen und an der Zielstelle verteilen.
H5-S005	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	EINGABE_ODER_BEDINGUNG | den laufenden Posten einsetzen und weiterbearbeiten | bearbeiteter Quellauszug | zur Folgeanwendung weiterführen	MC034 MC103 MC136 MC068	MC034 MC103 MC136 MC068	sho chokchy kchoar sotodan	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	Eine weitere Zutat mit dem bearbeiteten Quellauszug weiterbearbeiten und zur Folgeanwendung weiterführen.
H5-S006	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	das nächste | kurz weiterbearbeiten | Sollmaß	MC171 MC104 MC039	MC171 MC104 MC039	otchey keol daiin	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Zum nächsten Posten wechseln, kurz weiterbearbeiten und auf Sollmaß bringen.
B1-S001	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	MC083	MC083	qokedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Kurz einwirken lassen; Schluss.
B1-S002	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Portion | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz | derselbe Ansatz | weiter | Kurze Zielpassage | Sollmaß | Langer Zieleinsatz | Sollmaß | durchleiten | überführen; Schluss	MC120 MC023 MC040 MC055 MC153 MC105 MC097 MC154 MC153 MC016 MC012 MC157 MC153 MC058 MC039 MC096 MC039 MC035 MC025	MC120 MC023 MC040 MC055 MC153 MC105 MC097 MC154 MC153 MC016 MC012 MC157 MC153 MC058 MC039 MC096 MC039 MC035 MC025	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	Eine Portion ansetzen, den Posten lang einwirken lassen und über den Fortsetzungsweg weitergeben.
B1-S003	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	weiter | übertragen; Schluss	MC153 MC061	MC153 MC061	qol sshkchdy	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	Weiterführen und übertragen; Schluss.
B1-S004	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	überführen | weiter | kurz absetzen; Schluss	MC074 MC153 MC128	MC074 MC153 MC128	chedy ol shedy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Überführen, weiterführen und kurz absetzen lassen; Schluss.
B1-S005	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	weiterführen; Schluss	MC028	MC028	qolchedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Weiterführen; Schluss.
B1-S006	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Anteil zugeben | durchleiten | Zusatz | Zielmarke	MC017 MC035 MC012 MC056	MC017 MC035 MC012 MC056	qokain shckhy dl ral	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	Einen Anteil zugeben, durchleiten und den Zusatz an der Zielmarke halten.
B1-S007	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	einführen; Schluss	{MC005|MC088}	MC088	qokchdy	FULLY_PRODUCTIVE	PASS	WORKING_EQUIVALENCE_SET	In die offene Zielstelle einführen; Schluss.
B1-S008	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	MC123 MC153 MC147 MC153 MC128	MC123 MC153 MC147 MC153 MC128	chey ol cheky ol shedy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss.
B1-S009	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	MC083	MC083	qokedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Kurz einwirken lassen; Schluss.
B1-S010	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	MC083	MC083	qokedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Kurz einwirken lassen; Schluss.
B1-S011	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	durchleiten | einsetzen	MC035 MC026	MC035 MC026	chckhy qoky	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Durch den verbundenen Gang leiten und einsetzen.
B1-S012	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Waschgang | KURZ_SETZEN | Waschgang; Schluss	MC130 MC007 MC038	MC130 MC007 MC038	lsho qokey lshedy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Waschen, kurz einwirken lassen und nochmals waschen; Schluss.
B1-S013	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Waschgang; Schluss	MC038	MC038	lshedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Einen Waschgang ausführen; Schluss.
B1-S014	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	überführen | Weiterweg | Zielabführung | weiter | Folgequelle	MC074 MC134 MC051 MC153 MC121	MC074 MC134 MC051 MC153 MC121	chedy qolky lchedal qol otar	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Überführen, über den Weiterweg an der Zielstelle abführen und zur Folgequelle weitergehen.
B1-S015	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Kurzteil | einführen; Schluss	MC109 {MC005|MC088}	MC109 MC005	ytey okchedy	REQUIRES_WHOLE_SIGN	PASS	WORKING_EQUIVALENCE_SET	Den kurzen Teil aus der eben gesetzten Quelle einführen; Schluss.
B1-S016	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	dorthin einsetzen | LAENGER_SETZEN_ODER_HALTEN | weiter | kurz absetzen; Schluss	MC040 MC002 MC153 MC128	MC040 MC002 MC153 MC128	qokal okeey qol cheedy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss.
B1-S017	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	dorthin | kurz weiterführen | Transfer; Schluss	MC154 MC106 MC139	MC154 MC106 MC139	sal teol dchdy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Dorthin bringen, kurz weiterführen und übertragen; Schluss.
B1-S018	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Auffanggefäß | Kurzhalt | Arbeitsstufe | lange sammeln; Schluss	MC118 MC076 MC033 MC045	MC118 MC076 MC033 MC045	ly dsheol oiiin olkeedy	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	Im Auffanggefäß kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss.
B1-S019	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz absetzen; Schluss	MC128	MC128	tedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Kurz absetzen lassen; Schluss.
B1-S020	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz wärmen | durchlassen; Schluss	MC147 MC143	MC147 MC143	cheky shckhedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Kurz wärmen und durchlassen; Schluss.
B1-S021	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	dorthin	MC154	MC154	chal	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Dorthin bringen.
B2-S001	B2	obere Paarbecken-/Zylinderstation	überführen; Schluss	MC025	MC025	dchedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	In die obere Paarbeckenstation überführen; Schluss.
B2-S002	B2	obere Paarbecken-/Zylinderstation	weiterführen; Schluss	MC028	MC028	qolchedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Durch die obere Station weiterführen; Schluss.
B2-S003	B2	obere Paarbecken-/Zylinderstation	Anteil zugeben | dies | lange einwirken; Schluss	MC017 MC123 MC082	MC017 MC123 MC082	qokain dy qokeedy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Einen Anteil zugeben, diesen Posten länger einwirken lassen; Schluss.
B2-S004	B2	obere Paarbecken-/Zylinderstation	dorthin einsetzen | Abführpassage | Abführung | LAENGER_SETZEN_ODER_HALTEN | Trennabzug; Schluss	MC040 MC168 MC127 MC002 MC133	MC040 MC168 MC127 MC002 MC133	qokal lcheckhy lched qokeey lcheckhedy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Am Ziel einsetzen, durch die Abführpassage führen, abführen, länger einwirken lassen und getrennt abziehen; Schluss.
B2-S005	B2	obere Paarbecken-/Zylinderstation	Zieleinsatz | Sollsammlung | durchleiten | bemessen | bemessen | Fortsetzung vorbereiten | Langwärmen | abziehen; Schluss	MC054 MC036 MC035 MC120 MC120 MC112 MC166 MC004	MC054 MC036 MC035 MC120 MC120 MC112 MC166 MC004	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, am Zeilenübergang einmal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.
B2-S006	B2	obere Paarbecken-/Zylinderstation	Langfolge | dorthin einsetzen | Kurzpassage | einsetzen	MC063 MC040 MC132 MC026	MC063 MC040 MC132 MC026	oteey qokal sheckhy qoky	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Die lange Folge ausführen, dorthin einsetzen, durch die kurze Passage führen und einsetzen.
B2-S007	B2	mittlere linke Geräte-/Inline-Knotenstation	Frischwasser zugeben; Schluss	MC138	MC138	dshedy	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	An der mittleren linken Knotenstation Frischwasser zugeben; Schluss.
B2-S008	B2	mittlere linke Geräte-/Inline-Knotenstation	Folgemaß | Quelleinsatz | kurz absetzen; Schluss	MC060 MC044 MC128	MC060 MC044 MC128	sotaiin qokar shedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Das Folgemaß aus der Quelle einsetzen und kurz absetzen lassen; Schluss.
B2-S009	B2	mittlere linke Geräte-/Inline-Knotenstation	Folgeabsetzen; Schluss	MC149	MC149	solshedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Den Folgeposten absetzen lassen; Schluss.
B2-S010	B2	mittlere linke Geräte-/Inline-Knotenstation	LAENGER_SETZEN_ODER_HALTEN | einsetzen | Auslass | Klarlauf	MC002 MC026 MC065 MC119	MC002 MC026 MC065 MC119	qokeey qoky ls cheey	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen.
B2-S011	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	MC017 MC055 MC017 MC082	MC017 MC055 MC017 MC082	okain char okain qokeedy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	An der mittleren rechten Station einen Anteil zugeben, davon einen weiteren Anteil nehmen und länger einwirken lassen; Schluss.
B2-S012	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	Abführgut | Klarlauf | kurz vorbereiten | LAENGER_SETZEN_ODER_HALTEN | Klarabzug | Sollmaß | dies | Volleinsatz; Schluss	MC008 MC119 MC073 MC002 MC066 MC039 MC123 MC140	MC008 MC119 MC073 MC002 MC066 MC039 MC123 MC140	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	Das Abführgut als klaren Auszug kurz vorbereiten, länger einwirken lassen, klar abziehen, auf Sollmaß bringen und den aktuellen Posten vollständig einsetzen; Schluss.
B2-S013	B2	unteres grünes Mehrfigurenfeld	abführen; Schluss	MC155	MC155	lchedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	In das untere grüne Mehrfigurenfeld abführen; Schluss.
B2-S014	B2	unteres grünes Mehrfigurenfeld	Quellabzug	MC029	MC029	lar	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Aus der Quelle abziehen.
B2-S015	B2	lokale Randstationen des unteren Feldes	Folgeklarlauf | lange einwirken; Schluss	MC141 MC082	MC141 MC082	tshey qokeedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	An der lokalen Randstation den Folgeklarlauf länger einwirken lassen; Schluss.
B2-S016	B2	lokale Randstationen des unteren Feldes	dorthin | Quellabführung | teilen | Sollmaß | Langfolge | bemessen | KURZ_SETZEN | Zuführung; Schluss	MC154 MC011 MC152 MC039 MC063 MC120 MC007 MC070	MC154 MC011 MC152 MC039 MC063 MC120 MC007 MC070	cheal lchedar ches aiin oteey qokaiin okey pchedy	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	Dorthin führen, aus der Quelle abführen, teilen, auf Sollmaß bringen, die lange Folge bemessen, kurz einwirken lassen und zuführen; Schluss.
B2-S017	B2	lokale Randstationen des unteren Feldes	Kurzhalt am Ziel | Zielschluss	MC102 MC079	MC102 MC079	rsheal daldy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Am Ziel kurz halten und den Zielschritt schließen.
B2-S018	B2	lokale Randstationen des unteren Feldes	lange einwirken; Schluss	MC082	MC082	qokeedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Länger einwirken lassen; Schluss.
B2-S019	B2	lokale Randstationen des unteren Feldes	Vollwaschung; Schluss	MC084	MC084	rshedy	REQUIRES_WHOLE_SIGN	PASS	EXACT_UNIQUE	Eine Vollwaschung ausführen; Schluss.
B2-S020	B2	lokale Randstationen des unteren Feldes	lange Folgestufe; Schluss	MC173	MC173	qoteedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Die folgende Stufe länger halten; Schluss.
B2-S021	B2	lokale Randstationen des unteren Feldes	lange einwirken; Schluss	MC082	MC082	qokeedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Länger einwirken lassen; Schluss.
B2-S022	B2	lokale Randstationen des unteren Feldes	Abführung; Schluss	MC167	MC167	lochedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Abführen; Schluss.
B3-S001	B3	obere offene Fächer-Randstation	lange sammeln; Schluss	MC045	MC045	olkeedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	An der oberen offenen Randstation länger auffangen; Schluss.
B3-S002	B3	obere offene Fächer-Randstation	danach dorthin | Langwärmen; Schluss	MC093 MC110	MC093 MC110	qotal chkeedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Danach zur nächsten Stelle führen und dort länger erwärmen; Schluss.
B3-S003	B3	obere offene Fächer-Randstation	dies | Sollmaß | dies | abführen; Schluss	MC123 MC039 MC123 MC155	MC123 MC039 MC123 MC155	chey daiin chey lchedy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Diesen Posten auf Sollmaß bringen und abführen; Schluss.
B3-S004	B3	obere offene Fächer-Randstation	bemessen | danach dorthin | davon	MC120 MC093 MC055	MC120 MC093 MC055	qokaiin qotal dar	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Davon eine Menge abmessen und zur folgenden Stelle bringen.
B3-S005	B3	mittlere runde Gefäß-Randstation	überführen; Schluss	MC025	MC025	schedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	In die mittlere runde Randstation überführen; Schluss.
B3-S006	B3	mittlere runde Gefäß-Randstation	Postentransfer | dorthin einsetzen | weiterführen; Schluss	MC064 MC040 MC028	MC064 MC040 MC028	chedchy qokal olchedy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Den Posten übertragen, am Ziel einsetzen und weiterführen; Schluss.
B3-S007	B3	mittlere runde Gefäß-Randstation	bemessen | überführen | lange einwirken; Schluss	MC120 MC074 MC082	MC120 MC074 MC082	qokaiin chedy qokeedy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Bemessen, überführen und länger einwirken lassen; Schluss.
B3-S008	B3	mittlere runde Gefäß-Randstation	abführen; Schluss	MC155	MC155	lchedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Aus der Station abführen; Schluss.
B3-S009	B3	mittlere runde Gefäß-Randstation	einsetzen	MC026	MC026	qoky	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Den Posten einsetzen.
B3-S010	B3	untere korbartige Gefäß-Randstation	Zielzuführung | Kurzfolge; Schluss	MC126 MC135	MC126 MC135	pchedal otedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Der unteren korbartigen Randstation zuführen und kurz weiterführen; Schluss.
B3-S011	B3	untere korbartige Gefäß-Randstation	Vorbereitungstransfer | einsetzen | überführen | Quellposten	MC043 MC026 MC074 MC009	MC043 MC026 MC074 MC009	shecthedchy qoky chedy chary	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Die Vorbereitung übertragen, einsetzen, weiterführen und beim Quellposten belassen.
B3-S012	B3	untere korbartige Gefäß-Randstation	Ansatz | kurz absetzen; Schluss	MC080 MC128	MC080 MC128	sor shedy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Den Ansatz kurz absetzen lassen; Schluss.
B3-S013	B3	untere korbartige Gefäß-Randstation	bemessen | Portion | kurz vorbereiten | kurz einwirken; Schluss	MC120 MC105 MC073 MC083	MC120 MC105 MC073 MC083	qokaiin chkain shcthey qokedy	REQUIRES_LOCAL_CORE	PASS	EXACT_UNIQUE	Eine Portion bemessen, kurz vorbereiten und kurz einwirken lassen; Schluss.
B3-S014	B3	untere korbartige Gefäß-Randstation	Laufeinsatz | Langabsetzen; Schluss	MC081 MC003	MC081 MC003	okair sheedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	In den Lauf einsetzen und länger absetzen lassen; Schluss.
B3-S015	B3	untere korbartige Gefäß-Randstation	abführen; Schluss	MC155	MC155	lchedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Aus der Station abführen; Schluss.
B3-S016	B3	untere korbartige Gefäß-Randstation	Abzug | einführen; Schluss	MC030 {MC005|MC088}	MC030 MC005	lo qokchedy	FULLY_PRODUCTIVE	PASS	WORKING_EQUIVALENCE_SET	Abziehen und in die nächste Station einführen; Schluss.
B3-S017	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	lange einwirken; Schluss	MC082	MC082	qokeedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Länger einwirken lassen; Schluss.
B3-S018	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	kurz absetzen; Schluss	MC128	MC128	shedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Kurz absetzen lassen; Schluss.
B3-S019	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	Einsatzabsetzen; Schluss	MC151	MC151	qokshedy	FULLY_PRODUCTIVE	PASS	EXACT_UNIQUE	Nach dem Einsatz absetzen lassen; Schluss.
