mixed_id	page	locus	head	values	value_span	series_surfaces_in_order	series_token_count	all_series_tokens_triple_stable	section	surface_line
G626-L0038	f113v	f113v.30	a	III|IV	1	aiiin|aiin	2	1	S	ysheey qoeey or aiiin okeeo l otain ar ol okaiiin aiin shody otcham
G626-L0039	f113v	f113v.34	qoka	II|III	1	qokain|qokaiin	2	1	S	daiin cheaiin okchey cheky qokain otecheedy qokaiin chckhey chearam
G626-L0040	f113v	f113v.44	ota	II|III	1	otain|otaiin	2	1	S	daiin cheal otain okar otaiin oloiin
G626-L0041	f114r	f114r.30	a	II|III	1	aiin|ain	2	1	S	y chedar okeedy lkeedy aiin oeedaiin qoaiin ykedy okair olkeedy qoain ain okeey ram
G626-L0042	f114r	f114r.30	qoa	II|III	1	qoaiin|qoain	2	1	S	y chedar okeedy lkeedy aiin oeedaiin qoaiin ykedy okair olkeedy qoain ain okeey ram
G626-L0043	f114r	f114r.38	a	II|III	1	ain|aiin	2	0	S	qoeedy qokchedy cheey raiin ar ain aiin al chol
G626-L0044	f114v	f114v.10	cheda	II|III	1	chedaiin|chedain	2	1	S	olkees chedaiin qotaiin olchedaiin chedain dain chcthdy
G626-L0045	f114v	f114v.12	da	II|III	1	daiin|dain	2	1	S	ochedy choaiin ch chedal daiin ytar otchedy qotaiin dain dar yog
G626-L0046	f115v	f115v.25	a	II|III	1	aiin|ain	2	1	S	ykees aiin olkeeody qos ain cheodain chcthy tchedy qokeedy lkeedas
G626-L0047	f115v	f115v.39	lka	II|III	1	lkaiin|lkain	2	1	S	dairal chain ykeedy qokedy qokain lkaiin lkchey lkain lror
G626-L0048	f116r	f116r.2	a	II|IV	2	ain|aiiin	2	1	S	shain cheor ain okeey okeey shy lar ar aiiin oky char ar okain ykanam
G626-L0049	f116r	f116r.34	oka	II|III	1	okain|okaiin	2	0	S	qokain ar raiin shek okain y r shey qolchey okaiin shckhy qokam
G626-L0050	f116r	f116r.42	qoka	I|II	1	qokain|qokain|qokan	3	1	S	qo qokain sheckhy qokain shekain shkain shedy shey qokan cham
G626-L0051	f116r	f116r.48	ota	I|II	1	otan|otain	2	1	S	sykar ain olkeey dainchey qokar chey dain y otan otain oly
G626-L0052	f11r	f11r.3	da	II|III	1	dain|daiin	2	1	H	qoty chol cthy dor ykychy choty dain chaiin daiin dod
G626-L0053	f11v	f11v.2	da	II|III	1	daiin|dain	2	1	H	shol dy chckhy shcthy daiin dam ykchy dain dchy
G626-L0054	f13v	f13v.8	da	II|III	1	daiin|dain	2	0	H	otchy daiin y dain ykol okchy o kald d y taiin
G626-L0055	f14r	f14r.1	da	II|III	1	daiin|daiin|dain	3	0	H	pcho daiin chopol shoiin daiin dain
G626-L0056	f15v	f15v.2	a	II|III	1	aiin|ain	2	0	H	chor or oro r aiin cthy ain dar
G626-L0057	f18r	f18r.2	da	II|III	1	daiin|dain	2	0	H	otshol qokchol chykchy okchal daiin dy chol dain
G626-L0058	f19v	f19v.3	da	III|IV	1	daiin|daiiin	2	0	H	otchy chol daiin qotol ytol daiiin
G626-L0059	f22r	f22r.2	da	II|III	1	daiin|dain	2	1	H	ol oiin shol o kor qokchol daiin okaiin cthor dain ckhy dom
G626-L0060	f23r	f23r.2	da	II|III	1	daiin|dain|daiin|dain	4	0	H	to ar chor daiin chk dain otchy lolchor daiin dam okchol dain g
G626-L0061	f25r	f25r.3	da	I|III	2	daiin|dan	2	0	H	qotchy qotshy cheesees sheear s chain daiin chain dan
G626-L0062	f25r	f25r.4	cha	I|III	2	chan|chaiin	2	1	H	dchckhy shocthy ytchey cthor s chan chaiin qotchain
G626-L0063	f27r	f27r.11	da	I|IV	3	daiiin|dan	2	1	H	chol daiiin chees chos ey dan
G626-L0064	f28v	f28v.5	da	III|IV	1	daiin|daiiin	2	1	H	otol chol daiin chkaiin shoiin qotchey qotshey daiiin
G626-L0065	f28v	f28v.8	cha	I|II	1	chan|chain	2	1	H	okain chan chain cthor dain yk chy daiin cthol
G626-L0066	f28v	f28v.8	da	II|III	1	dain|daiin	2	1	H	okain chan chain cthor dain yk chy daiin cthol
G626-L0067	f2v	f2v.5	da	III|IV	1	daiiin|daiin	2	1	H	kchor shy daiiin chm s shey dor chol daiin
G626-L0068	f30r	f30r.4	cha	I|III	2	chan|chaiin	2	0	H	qokechy qoko qop char soin chan qot chaiin
G626-L0069	f32r	f32r.4	da	II|III	1	dain|daiin	2	1	H	schor dshor ytsho dain daiin choddal
G626-L0070	f32r	f32r.13	da	II|III	1	dain|daiin	2	1	H	otcho rol dain daiin cthy
G626-L0071	f32v	f32v.2	da	II|III	1	daiin|daiin|dain	3	1	H	daiin odar chy daiin chey tchy l dy dain teor
G626-L0072	f32v	f32v.3	da	II|III	1	daiin|dain|daiin	3	1	H	shor daiin chckhy dsho dain daiin s shokey ka
G626-L0073	f32v	f32v.5	da	II|III	1	daiin|dain	2	1	H	chokchy daiin shy chor qo kaiin dain dchol dosg
G626-L0074	f33r	f33r.4	a	III|IV	1	aiiin|aiin	2	0	H	taiin chekey or al aiiin saiin okaiin dar cheedy chkeey far aiin s
G626-L0075	f35r	f35r.5	da	II|III	1	daiin|dain	2	0	H	otchor sho tcheey scheey daiin dain or
G626-L0076	f35v	f35v.17	da	II|III	1	daiin|dain	2	1	H	daiin dain chkaly choly
G626-L0077	f36r	f36r.6	da	I|II	1	dain|dan	2	1	H	okaiin cthor y kaiiin s dain an dan
G626-L0078	f37r	f37r.11	da	II|III	1	daiin|dain|daiin	3	0	H	okchor daiin ckhy dain daiin
G626-L0079	f37v	f37v.9	da	III|IV	1	daiiin|daiin	2	1	H	dor chor sho daiiin daiin
G626-L0080	f37v	f37v.15	da	II|III	1	daiin|dain	2	0	H	soiiin cheoky daiin dain
G626-L0081	f38v	f38v.4	a	III|IV	1	aiin|aiiin	2	0	H	okeey d aiin qokeey chotey tody oky aiiin d
G626-L0082	f38v	f38v.6	da	II|III|IV	2	daiin|daiiin|dain|dain	4	1	H	sho keeey key tey daiin daiiin dain dain
G626-L0083	f38v	f38v.7	da	II|III	1	daiin|dain|daiin|dain	4	0	H	daiin qol chy dain or daiin dain daldy
G626-L0084	f39v	f39v.8	a	II|III	1	aiin|ain	2	1	H	oar aiin olkaiin olky dar ald shek chek qokchy dar ain
G626-L0085	f39v	f39v.9	a	II|III	1	aiin|ain	2	1	H	tar aiin dal ar ain cheor ydam shody okal shd y kshy or
G626-L0086	f39v	f39v.13	da	II|IV	2	dain|daiiin	2	0	H	dain ockhedy otedy okedy lchdy okaiin daiiin y
G626-L0087	f42r	f42r.13	da	II|III	1	daiin|dain	2	0	H	qopor shol shot shol shol daiin dain s cheam
G626-L0088	f42v	f42v.2	da	I|II|III	2	dan|dain|daiin	3	1	H	dshey tchey y kchey chtchy y dan dain otol daiin
G626-L0089	f42v	f42v.5	cheta	I|III	2	chetan|chetaiin	2	1	H	chokeeo r chey chetan s ary okol chetaiin
G626-L0090	f45r	f45r.8	da	II|III	1	dain|daiin	2	0	H	tchol cthy qodaiin cthy dain ey otydal daiin g
G626-L0091	f49v	f49v.24	da	II|III	1	daiin|dain	2	1	H	ochokeey ckhey daiin dain chokag
G626-L0092	f50v	f50v.2	oka	II|III	1	okaiin|okain	2	1	H	tchodain oeeey okaiin shedy qokaly chdy oky keody cheey okain
G626-L0093	f53v	f53v.4	da	II|IV	2	daiiin|dain	2	0	H	qokol daiiin qockhor okchor daiio dain d
G626-L0094	f55r	f55r.12	oka	II|III	1	okaiin|okain	2	1	H	oain ckhy dl oiiin daiin okaiin chelal qokaiin okain r
G626-L0095	f55v	f55v.3	a	II|III	1	ain|aiin	2	0	H	qokeeey os ain qool al chedy sar aiin ol kar am
G626-L0096	f55v	f55v.5	yka	I|II	1	ykain|ykan	2	1	H	qokaiin chaiin ykain ykan ody daiin chedy talam
G626-L0097	f56v	f56v.4	da	II|III	1	daiin|dain	2	1	H	schy t chey daiin d eey tad dain
G626-L0098	f75r	f75r.15	sa	II|III	1	sain|saiin	2	1	B	sain qokain qolkeeoly saiin chedy sol or shedy okchdy qoky
G626-L0099	f75v	f75v.65	da	II|III	1	dain|dain|daiin	3	1	B	qokal dain dain o qoky daiin
G626-L0100	f76r	f76r.15	a	II|III	1	aiin|ain	2	1	T	chorshedy qoked okees al ar aiin ar ain chckheed lchedy shedy qolair chedy
G626-L0101	f76r	f76r.42	da	II|III	1	dain|daiin	2	1	T	dain chey lsh daiin chey lchedy qolain qotal shedy dy shecthy otalam
G626-L0102	f76r	f76r.49	sa	II|III	1	saiin|sain	2	0	T	saiin olaiin oky shol sain oky l kar chedy lkar al loral
G626-L0103	f76v	f76v.32	ta	II|III	1	tain|taiin	2	1	B	tain sheey qotain chedy qokaiin chedy taiin chckhedy otol oty
G626-L0104	f76v	f76v.38	sa	III|IV	1	saiin|saiiin	2	0	B	saiin chedy shedy qokeedy lol saiiin qokain chey r al r aiin dl
G626-L0105	f77r	f77r.35	qoka	II|III	1	qokain|qokaiin	2	0	B	solkeey okaiin chedy qokain sheedy qokaiin chedaiin chealy
G626-L0106	f78v	f78v.31	ota	II|III	1	otaiin|otain	2	1	B	sor ar or dchor otaiin otain ytedy olshdy sholkal
G626-L0107	f79r	f79r.18	qoka	II|III	1	qokaiin|qokain	2	1	B	solor olshey qokaiin chey qokain otain otain otal ol dam
G626-L0108	f80r	f80r.13	qoka	II|III	1	qokaiin|qokain	2	0	B	tchedy qotair cheol qokal qokal cheety qokaiin qokar qokain chedy qokam
G626-L0109	f80r	f80r.27	olka	II|III	1	olkaiin|olkain	2	1	B	lol shar otaiin olkaiin ol olkain oraiin olor checthy olor
G626-L0110	f80r	f80r.47	oka	II|III	1	okain|okaiin	2	1	B	polchy efaloir okain okaiin cheey kaiin ylor olkeey qokal
G626-L0111	f80v	f80v.8	qoka	II|III	1	qokaiin|qokain	2	1	B	olteedy qokaiin shedy qokain sheol qokchdy qokchdy qoty dy
G626-L0112	f80v	f80v.18	oka	II|III	1	okaiin|okain	2	1	B	ychedy qol okaiin olkedy or okain
G626-L0113	f81v	f81v.4	da	II|III	1	dain|daiin	2	1	B	qokaiin okain cheeky dy ol kaiin dain dy daiin chcthy
G626-L0114	f81v	f81v.6	oka	II|III	1	okaiin|okain	2	1	B	qokain okaiin ol chedy cheol lky l s aiin okain daldy
G626-L0115	f82r	f82r.14	qoka	II|III	1	qokain|qokaiin	2	1	B	r olchy qokal chey qokain deeedy qokeey qokaiin olchedy
G626-L0116	f82v	f82v.21	oka	II|III	1	okaiin|okain	2	1	B	dain chey qokeeey qoky okaiin okain olkain otain okar aly
G626-L0117	f82v	f82v.30	qoka	II|III	1	qokain|qokaiin	2	0	B	pol olor chey qokain shedy qokaiin olchesy ol r aindar
G626-L0118	f83r	f83r.54	da	II|III	1	daiin|dain	2	1	B	daiin ol dain chey ldalor
G626-L0119	f83v	f83v.17	qoka	II|III	1	qokain|qokaiin	2	0	B	qokain cheeal qokaiin sheol qokear cheedy olcheey qokal qokay
G626-L0120	f85r2	f85r2.20	a	II|III	1	aiin|ain	2	1	C	or aiin ckheda or ain olchey qokal shedy
G626-L0121	f86v5	f86v5.3	ota	II|III	1	otaiin|otain	2	1	T	shedy chdy qokar okeeey sheokaiin cheoky oteeodail otaiin otain
G626-L0122	f86v5	f86v5.9	yka	II|III	1	ykain|ykaiin	2	1	T	lkaiiin otain r al ykain chaiin y tal ykaiin otal ar alkam
G626-L0123	f86v5	f86v5.13	a	III|IV	1	aiin|aiiin	2	1	T	daiin shar otam ytaiin otal teody cthy or aiin otar aiiin
G626-L0124	f86v5	f86v5.14	a	III|IV	1	aiiin|aiin	2	1	T	qoar aiiin al ody ar aiin qokeeey cheey qotaiin ykar acthy
G626-L0125	f86v5	f86v5.33	ka	II|III	1	kaiin|kain	2	0	T	qokeey ol kaiin ol kain olkeedy qopcheey oty daiin otam
G626-L0126	f86v6	f86v6.9	a	III|IV	1	aiiin|aiin	2	1	T	dshor ykaiin dar sheey qokol cheol otar ar aiiin qoteeos aiin
G626-L0127	f86v6	f86v6.16	qoka	II|III	1	qokaiin|qokain	2	1	T	taiin okaiin qokaiin ykeey otain chey okam qokar qokain okaiin
G626-L0128	f86v6	f86v6.17	a	III|IV	1	aiin|aiiin	2	1	T	par or aiin dar aiiin qckhear shoy qotedy opchdy olain ar alkar am
G626-L0129	f86v6	f86v6.43	oka	I|III	2	okaiin|okan	2	1	T	qokaiin choty ytaiin chokain chocthy chy taiin okaiin okan
G626-L0130	f89r1	f89r1.23	da	II|III	1	dain|daiin	2	1	P	dain oteos cheody cheodain daiin chodaiin
G626-L0131	f8v	f8v.6	da	II|III	1	daiin|dain	2	1	H	daiin cthan ytchy chey kaiin dain ar
G626-L0132	f8v	f8v.17	da	II|III	1	dain|daiin	2	1	H	dain chear daiin
G626-L0133	f95r1	f95r1.4	ka	II|III	1	kain|kaiin	2	1	H	ycheey ky olkain chey kain cholky chedy qokaiin chy kaiin ly
G626-L0134	f95r1	f95r1.7	chda	II|III	1	chdain|chdaiin	2	0	H	ykchedy sheky chekar chdain chdaiin okar chetchdy chdy chkam
G626-L0135	f95v1	f95v1.10	cheda	II|III	1	chedain|chedaiin	2	0	H	sain sheyk chody k chedain chedaiin otain daiin
G626-L0136	f95v2	f95v2.4	da	II|III	1	daiin|dain	2	1	H	daiin olkain qokan shar shekydy dain alkain okalaiin s
