head	surface_I	surface_II	surface_III	surface_IV	count_I	count_II	count_III	count_IV	stable_I	stable_II	stable_III	stable_IV	distinct_values	present_values	complete_I_II_III	complete_I_II_III_IV	occurrences	pages	herbal_occurrences
lchda	lchdan	lchdain	lchdaiin	lchdaiiin	0	1	2	0	0	1	0	0	2	II|III	0	0	3	3	0
lta	ltan	ltain	ltaiin	ltaiiin	0	2	1	0	0	2	1	0	2	II|III	0	0	3	3	0
okeeda	okeedan	okeedain	okeedaiin	okeedaiiin	0	2	1	0	0	2	1	0	2	II|III	0	0	3	3	0
olsa	olsan	olsain	olsaiin	olsaiiin	0	1	2	0	0	1	2	0	2	II|III	0	0	3	3	2
olta	oltan	oltain	oltaiin	oltaiiin	0	2	1	0	0	2	1	0	2	II|III	0	0	3	2	0
oqoka	oqokan	oqokain	oqokaiin	oqokaiiin	0	2	1	0	0	1	0	0	2	II|III	0	0	3	3	0
otala	otalan	otalain	otalaiin	otalaiiin	0	1	2	0	0	1	1	0	2	II|III	0	0	3	3	2
otara	otaran	otarain	otaraiin	otaraiiin	0	2	1	0	0	0	0	0	2	II|III	0	0	3	2	0
oteda	otedan	otedain	otedaiin	otedaiiin	0	2	1	0	0	0	1	0	2	II|III	0	0	3	3	0
pora	poran	porain	poraiin	poraiiin	0	1	2	0	0	0	2	0	2	II|III	0	0	3	2	0
qka	qkan	qkain	qkaiin	qkaiiin	0	2	1	0	0	2	0	0	2	II|III	0	0	3	3	1
qokcha	qokchan	qokchain	qokchaiin	qokchaiiin	0	1	2	0	0	1	1	0	2	II|III	0	0	3	3	3
qokea	qokean	qokeain	qokeaiin	qokeaiiin	0	2	1	0	0	2	1	0	2	II|III	0	0	3	3	1
qosa	qosan	qosain	qosaiin	qosaiiin	0	1	2	0	0	1	2	0	2	II|III	0	0	3	3	1
qotoda	qotodan	qotodain	qotodaiin	qotodaiiin	0	1	2	0	0	1	1	0	2	II|III	0	0	3	3	2
sheoka	sheokan	sheokain	sheokaiin	sheokaiiin	0	1	2	0	0	1	2	0	2	II|III	0	0	3	3	0
shoa	shoan	shoain	shoaiin	shoaiiin	0	1	2	0	0	0	2	0	2	II|III	0	0	3	2	1
tda	tdan	tdain	tdaiin	tdaiiin	0	2	1	0	0	0	1	0	2	II|III	0	0	3	3	1
ycheda	ychedan	ychedain	ychedaiin	ychedaiiin	0	1	2	0	0	1	1	0	2	II|III	0	0	3	2	0
chctha	chcthan	chcthain	chcthaiin	chcthaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	1
chefa	chefan	chefain	chefaiin	chefaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	1	2
cheolka	cheolkan	cheolkain	cheolkaiin	cheolkaiiin	0	1	1	0	0	1	0	0	2	II|III	0	0	2	2	0
cheota	cheotan	cheotain	cheotaiin	cheotaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	0
cheyka	cheykan	cheykain	cheykaiin	cheykaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	0
chokora	chokoran	chokorain	chokoraiin	chokoraiiin	1	0	1	0	0	0	0	0	2	I|III	0	0	2	2	2
dara	daran	darain	daraiin	daraiiin	0	0	1	1	0	0	0	1	2	III|IV	0	0	2	2	1
dcheda	dchedan	dchedain	dchedaiin	dchedaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	1	0
dcheoda	dcheodan	dcheodain	dcheodaiin	dcheodaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	2
dka	dkan	dkain	dkaiin	dkaiiin	0	1	1	0	0	1	0	0	2	II|III	0	0	2	2	0
dora	doran	dorain	doraiin	doraiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	1
keora	keoran	keorain	keoraiin	keoraiiin	0	1	0	1	0	0	0	0	2	II|IV	0	0	2	2	0
kora	koran	korain	koraiin	koraiiin	0	1	1	0	0	0	1	0	2	II|III	0	0	2	2	1
lkeoda	lkeodan	lkeodain	lkeodaiin	lkeodaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	0
loka	lokan	lokain	lokaiin	lokaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	1
lora	loran	lorain	loraiin	loraiiin	0	1	1	0	0	0	0	0	2	II|III	0	0	2	2	0
okala	okalan	okalain	okalaiin	okalaiiin	0	1	1	0	0	1	0	0	2	II|III	0	0	2	2	1
opcha	opchan	opchain	opchaiin	opchaiiin	0	1	1	0	0	0	1	0	2	II|III	0	0	2	2	1
opcheka	opchekan	opchekain	opchekaiin	opchekaiiin	1	0	1	0	1	0	0	0	2	I|III	0	0	2	2	1
oqota	oqotan	oqotain	oqotaiin	oqotaiiin	0	0	1	1	0	0	1	0	2	III|IV	0	0	2	2	0
otora	otoran	otorain	otoraiin	otoraiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	0
pcheoda	pcheodan	pcheodain	pcheodaiin	pcheodaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	0
qofa	qofan	qofain	qofaiin	qofaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	2
qooda	qoodan	qoodain	qoodaiin	qoodaiiin	0	1	1	0	0	1	0	0	2	II|III	0	0	2	2	0
qopda	qopdan	qopdain	qopdaiin	qopdaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	0
qotcha	qotchan	qotchain	qotchaiin	qotchaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	2
sheeoda	sheeodan	sheeodain	sheeodaiin	sheeodaiiin	0	1	1	0	0	0	1	0	2	II|III	0	0	2	2	0
sheyka	sheykan	sheykain	sheykaiin	sheykaiiin	0	1	0	1	0	0	0	1	2	II|IV	0	0	2	2	1
sola	solan	solain	solaiin	solaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	1
tcha	tchan	tchain	tchaiin	tchaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	2
ycheeoda	ycheeodan	ycheeodain	ycheeodaiin	ycheeodaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	0
ykeoda	ykeodan	ykeodain	ykeodaiin	ykeodaiiin	0	1	1	0	0	1	1	0	2	II|III	0	0	2	2	0
pola	polan	polain	polaiin	polaiiin	0	0	8	0	0	0	8	0	1	III	0	0	8	5	0
choa	choan	choain	choaiin	choaiiin	0	0	7	0	0	0	6	0	1	III	0	0	7	7	2
pa	pan	pain	paiin	paiiin	0	0	7	0	0	0	6	0	1	III	0	0	7	7	3
qopa	qopan	qopain	qopaiin	qopaiiin	0	0	7	0	0	0	6	0	1	III	0	0	7	7	0
opcheda	opchedan	opchedain	opchedaiin	opchedaiiin	0	0	4	0	0	0	4	0	1	III	0	0	4	3	0
otoda	otodan	otodain	otodaiin	otodaiiin	0	0	4	0	0	0	4	0	1	III	0	0	4	4	0
poda	podan	podain	podaiin	podaiiin	0	0	4	0	0	0	4	0	1	III	0	0	4	4	2
shda	shdan	shdain	shdaiin	shdaiiin	0	0	4	0	0	0	2	0	1	III	0	0	4	4	2
sheoda	sheodan	sheodain	sheodaiin	sheodaiiin	0	0	4	0	0	0	4	0	1	III	0	0	4	4	2
shosa	shosan	shosain	shosaiin	shosaiiin	0	0	4	0	0	0	4	0	1	III	0	0	4	4	3
ya	yan	yain	yaiin	yaiiin	0	0	4	0	0	0	3	0	1	III	0	0	4	4	1
ysa	ysan	ysain	ysaiin	ysaiiin	0	0	4	0	0	0	4	0	1	III	0	0	4	4	3
cheora	cheoran	cheorain	cheoraiin	cheoraiiin	0	0	3	0	0	0	0	0	1	III	0	0	3	3	2
chola	cholan	cholain	cholaiin	cholaiiin	0	0	3	0	0	0	2	0	1	III	0	0	3	3	2
cholda	choldan	choldain	choldaiin	choldaiiin	0	0	3	0	0	0	1	0	1	III	0	0	3	3	2
keoda	keodan	keodain	keodaiin	keodaiiin	0	0	3	0	0	0	2	0	1	III	0	0	3	3	3
loda	lodan	lodain	lodaiin	lodaiiin	0	0	3	0	0	0	2	0	1	III	0	0	3	3	2
opda	opdan	opdain	opdaiin	opdaiiin	0	0	3	0	0	0	3	0	1	III	0	0	3	2	0
opyda	opydan	opydain	opydaiin	opydaiiin	0	0	3	0	0	0	2	0	1	III	0	0	3	3	2
pchda	pchdan	pchdain	pchdaiin	pchdaiiin	0	0	3	0	0	0	2	0	1	III	0	0	3	3	1
pda	pdan	pdain	pdaiin	pdaiiin	0	0	3	0	0	0	2	0	1	III	0	0	3	3	0
qoeda	qoedan	qoedain	qoedaiin	qoedaiiin	0	0	3	0	0	0	2	0	1	III	0	0	3	2	0
qokeeoda	qokeeodan	qokeeodain	qokeeodaiin	qokeeodaiiin	0	0	3	0	0	0	1	0	1	III	0	0	3	3	0
qoteda	qotedan	qotedain	qotedaiin	qotedaiiin	0	0	3	0	0	0	2	0	1	III	0	0	3	3	1
toa	toan	toain	toaiin	toaiiin	0	0	3	0	0	0	2	0	1	III	0	0	3	3	2
ycha	ychan	ychain	ychaiin	ychaiiin	0	3	0	0	0	3	0	0	1	II	0	0	3	3	2
cheea	cheean	cheeain	cheeaiin	cheeaiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	2	0
cheoa	cheoan	cheoain	cheoaiin	cheoaiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	2	0
chokcha	chokchan	chokchain	chokchaiin	chokchaiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	2	1
dalda	daldan	daldain	daldaiin	daldaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	1
dchoda	dchodan	dchodain	dchodaiin	dchodaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	2
eta	etan	etain	etaiin	etaiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	2	2
fchoda	fchodan	fchodain	fchodaiin	fchodaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	2
kalda	kaldan	kaldain	kaldaiin	kaldaiiin	0	0	2	0	0	0	0	0	1	III	0	0	2	2	2
kcheoda	kcheodan	kcheodain	kcheodaiin	kcheodaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	1
keeoda	keeodan	keeodain	keeodaiin	keeodaiiin	0	0	2	0	0	0	0	0	1	III	0	0	2	2	0
koda	kodan	kodain	kodaiin	kodaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	1
lkeda	lkedan	lkedain	lkedaiin	lkedaiiin	0	2	0	0	0	0	0	0	1	II	0	0	2	2	0
oeeda	oeedan	oeedain	oeedaiin	oeedaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	0
ofa	ofan	ofain	ofaiin	ofaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	2
okara	okaran	okarain	okaraiin	okaraiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	2	1
okea	okean	okeain	okeaiin	okeaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	1
okoda	okodan	okodain	okodaiin	okodaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	1
okola	okolan	okolain	okolaiin	okolaiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	1	0
olchda	olchdan	olchdain	olchdaiin	olchdaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	1	2
olkeda	olkedan	olkedain	olkedaiin	olkedaiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	2	1
opalda	opaldan	opaldain	opaldaiin	opaldaiiin	0	0	2	0	0	0	0	0	1	III	0	0	2	2	0
otcha	otchan	otchain	otchaiin	otchaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	2
pshoda	pshodan	pshodain	pshodaiin	pshodaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	0
pyda	pydan	pydain	pydaiin	pydaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	2
qa	qan	qain	qaiin	qaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	0
qeka	qekan	qekain	qekaiin	qekaiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	2	1
qokeea	qokeean	qokeeain	qokeeaiin	qokeeaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	1
qotara	qotaran	qotarain	qotaraiin	qotaraiiin	0	2	0	0	0	0	0	0	1	II	0	0	2	2	1
qotchea	qotchean	qotcheain	qotcheaiin	qotcheaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	2
roda	rodan	rodain	rodaiin	rodaiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	2	0
schea	schean	scheain	scheaiin	scheaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	2
sholda	sholdan	sholdain	sholdaiin	sholdaiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	2	1
shota	shotan	shotain	shotaiin	shotaiiin	0	0	2	0	0	0	2	0	1	III	0	0	2	2	1
tara	taran	tarain	taraiin	taraiiin	0	0	2	0	0	0	0	0	1	III	0	0	2	2	1
tchda	tchdan	tchdain	tchdaiin	tchdaiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	2	2
toka	tokan	tokain	tokaiin	tokaiiin	0	2	0	0	0	2	0	0	1	II	0	0	2	2	0
tolka	tolkan	tolkain	tolkaiin	tolkaiiin	0	2	0	0	0	2	0	0	1	II	0	0	2	2	1
ychea	ychean	ycheain	ycheaiin	ycheaiiin	0	2	0	0	0	2	0	0	1	II	0	0	2	2	0
yoda	yodan	yodain	yodaiin	yodaiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	2	2
yteoda	yteodan	yteodain	yteodaiin	yteodaiiin	0	0	2	0	0	0	1	0	1	III	0	0	2	2	1
alda	aldan	aldain	aldaiin	aldaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
alkea	alkean	alkeain	alkeaiin	alkeaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
ama	aman	amain	amaiin	amaiiin	1	0	0	0	1	0	0	0	1	I	0	0	1	1	0
ararchoda	ararchodan	ararchodain	ararchodaiin	ararchodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
archyta	archytan	archytain	archytaiin	archytaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
cfha	cfhan	cfhain	cfhaiin	cfhaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
chalka	chalkan	chalkain	chalkaiin	chalkaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
chalsa	chalsan	chalsain	chalsaiin	chalsaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
chchota	chchotan	chchotain	chchotaiin	chchotaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
chcthyda	chcthydan	chcthydain	chcthydaiin	chcthydaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
chdoda	chdodan	chdodain	chdodaiin	chdodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
chdola	chdolan	chdolain	chdolaiin	chdolaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
chdyka	chdykan	chdykain	chdykaiin	chdykaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	1
cheara	chearan	chearain	chearaiin	chearaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
chechda	chechdan	chechdain	chechdaiin	chechdaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
chedka	chedkan	chedkain	chedkaiin	chedkaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
chedyteeda	chedyteedan	chedyteedain	chedyteedaiin	chedyteedaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
chedyteoka	chedyteokan	chedyteokain	chedyteokaiin	chedyteokaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
cheedala	cheedalan	cheedalain	cheedalaiin	cheedalaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
cheeega	cheeegan	cheeegain	cheeegaiin	cheeegaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
cheeeka	cheeekan	cheeekain	cheeekaiin	cheeekaiiin	1	0	0	0	0	0	0	0	1	I	0	0	1	1	0
cheepa	cheepan	cheepain	cheepaiin	cheepaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
cheita	cheitan	cheitain	cheitaiin	cheitaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
cheodada	cheodadan	cheodadain	cheodadaiin	cheodadaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
cheokea	cheokean	cheokeain	cheokeaiin	cheokeaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
cheolda	cheoldan	cheoldain	cheoldaiin	cheoldaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
cheolta	cheoltan	cheoltain	cheoltaiin	cheoltaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
cheoltcheda	cheoltchedan	cheoltchedain	cheoltchedaiin	cheoltchedaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
cheopa	cheopan	cheopain	cheopaiin	cheopaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
cheosa	cheosan	cheosain	cheosaiin	cheosaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
chepa	chepan	chepain	chepaiin	chepaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
chetcha	chetchan	chetchain	chetchaiin	chetchaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
