group_serial	page	locus	opaque_local_id	local_namespace	condition_shelf	condition_family_de	copied_local_label	orientation_status	crosspage_key	word_translation
11	f67r2	f67r2.4	A1:G011	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 02/02 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R04: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
12	f67r2	f67r2.5	A1:G012	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 01/02 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R05: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
13	f67r2	f67r2.5	A1:G013	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 02/02 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R05: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
14	f67r2	f67r2.6	A1:G014	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Vollständiges lokales Etikett: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R06: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
15	f67r2	f67r2.7	A1:G015	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 01/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R07: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
16	f67r2	f67r2.7	A1:G016	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 02/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R07: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
17	f67r2	f67r2.7	A1:G017	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 03/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R07: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
18	f67r2	f67r2.8	A1:G018	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Vollständiges lokales Etikett: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R08: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
19	f67r2	f67r2.9	A1:G019	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 01/02 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R09: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
20	f67r2	f67r2.9	A1:G020	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 02/02 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R09: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
21	f67r2	f67r2.10	A1:G021	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 01/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R10: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
22	f67r2	f67r2.10	A1:G022	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 02/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R10: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
23	f67r2	f67r2.10	A1:G023	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 03/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R10: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
24	f67r2	f67r2.11	A1:G024	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 01/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R11: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
25	f67r2	f67r2.11	A1:G025	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 02/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R11: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
26	f67r2	f67r2.11	A1:G026	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 03/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R11: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
27	f67r2	f67r2.12	A1:G027	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 01/02 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R12: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
28	f67r2	f67r2.12	A1:G028	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 02/02 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, lokaler Zeichen- oder Kalendersektor R12: Ein einzelner Himmelsabschnitt wird aus dem Werkstattexemplar kopiert und nur mit den Ringangaben dieses rechten Rades gelesen; die Sektornummer ist eine editoriale Adresse, kein festgelegter Tierkreis- oder Monatsname.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
29	f67r2	f67r2.13	A1:G029	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 01/04 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, Ringband R01: Örtliche Rubrik für die Zeichen-, Kalender- oder Sektorordnung dieses Rades; sie erläutert ausschließlich den eigenen Ring und stellt keine Verbindung zum linken Rad her.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
30	f67r2	f67r2.13	A1:G030	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 02/04 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, Ringband R01: Örtliche Rubrik für die Zeichen-, Kalender- oder Sektorordnung dieses Rades; sie erläutert ausschließlich den eigenen Ring und stellt keine Verbindung zum linken Rad her.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
31	f67r2	f67r2.13	A1:G031	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 03/04 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, Ringband R01: Örtliche Rubrik für die Zeichen-, Kalender- oder Sektorordnung dieses Rades; sie erläutert ausschließlich den eigenen Ring und stellt keine Verbindung zum linken Rad her.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
32	f67r2	f67r2.13	A1:G032	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 04/04 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, Ringband R01: Örtliche Rubrik für die Zeichen-, Kalender- oder Sektorordnung dieses Rades; sie erläutert ausschließlich den eigenen Ring und stellt keine Verbindung zum linken Rad her.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
33	f67r2	f67r2.14	A1:G033	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 01/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, Ringband R02: Örtliche Rubrik für die Zeichen-, Kalender- oder Sektorordnung dieses Rades; sie erläutert ausschließlich den eigenen Ring und stellt keine Verbindung zum linken Rad her.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
34	f67r2	f67r2.14	A1:G034	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 02/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, Ringband R02: Örtliche Rubrik für die Zeichen-, Kalender- oder Sektorordnung dieses Rades; sie erläutert ausschließlich den eigenen Ring und stellt keine Verbindung zum linken Rad her.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
35	f67r2	f67r2.14	A1:G035	A1_RIGHT_WHEEL_ONLY	C1	Kalender-, Sektor- oder Phasenbedingung	Kopiersegment 03/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Rechtes f67r2-Rad, Ringband R02: Örtliche Rubrik für die Zeichen-, Kalender- oder Sektorordnung dieses Rades; sie erläutert ausschließlich den eigenen Ring und stellt keine Verbindung zum linken Rad her.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
36	f67r2	f67r2.15	A1:G036	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Vollständiges lokales Etikett: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L15: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
37	f67r2	f67r2.16	A1:G037	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 01/04 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L16: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
38	f67r2	f67r2.16	A1:G038	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 02/04 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L16: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
39	f67r2	f67r2.16	A1:G039	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 03/04 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L16: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
40	f67r2	f67r2.16	A1:G040	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 04/04 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L16: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
41	f67r2	f67r2.17	A1:G041	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 01/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L17: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
42	f67r2	f67r2.17	A1:G042	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 02/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L17: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
43	f67r2	f67r2.17	A1:G043	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 03/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L17: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
44	f67r2	f67r2.18	A1:G044	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 01/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L18: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
45	f67r2	f67r2.18	A1:G045	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 02/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L18: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
46	f67r2	f67r2.18	A1:G046	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 03/03 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L18: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
47	f67r2	f67r2.19	A1:G047	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 01/04 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L19: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
48	f67r2	f67r2.19	A1:G048	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 02/04 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L19: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
49	f67r2	f67r2.19	A1:G049	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 03/04 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L19: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
50	f67r2	f67r2.19	A1:G050	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 04/04 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L19: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
51	f67r2	f67r2.20	A1:G051	A1_LEFT_WHEEL_ONLY	C2	Stern-, Strahlen- oder Aspektbedingung	Kopiersegment 01/02 derselben lokalen Etikette; Einzelwortwert unbekannt. Vollständige Etikette: Linkes f67r2-Rad, lokales Radial- oder Ringfeld L20: Ein Stern-, Strahlen- oder Aspektvermerk wird an dieser Stelle aus dem Exemplar kopiert und nur im linken Rad nachgeschlagen; genauer Himmelsname und Gebrauchswert bleiben unbekannt.	NONE	NONE	NONE__LOCAL_LABEL_ONLY
