plan_id	idea_id	title	priority	work_packages	guide_anchor	proposal
P11	IDEA000154	Prädikate über ihre Mitspieler rekonstruieren	ALTERNATIVE	HERB4,BATH3	docs/TRANSLATION_PROGRAMS_30.md#p11	research_registry/proposals/translation_programs_20260912/P11.json
P12	IDEA000155	Ausgelassene Subjekte als begrenztes Gedächtnis lesen	ALTERNATIVE	BATH3,HERB4	docs/TRANSLATION_PROGRAMS_30.md#p12	research_registry/proposals/translation_programs_20260912/P12.json
P13	IDEA000156	Begrenzte Fachmehrdeutigkeit statt eines Worts für alles	ALTERNATIVE	HERB4,BATH3,LABEL4	docs/TRANSLATION_PROGRAMS_30.md#p13	research_registry/proposals/translation_programs_20260912/P13.json
P14	IDEA000157	Mengen und Grade durch ihre Dimensionen gemeinsam erschließen	ALTERNATIVE	HERB4	docs/TRANSLATION_PROGRAMS_30.md#p14	research_registry/proposals/translation_programs_20260912/P14.json
P15	IDEA000158	Verlaufsform, Ergebnisform und wiederholte Handlung unterscheiden	ALTERNATIVE	BATH3	docs/TRANSLATION_PROGRAMS_30.md#p15	research_registry/proposals/translation_programs_20260912/P15.json
P16	IDEA000159	Bedingung, Ausnahme und Verneinung als verschachtelte Aussagen	ALTERNATIVE	HERB4,BATH3	docs/TRANSLATION_PROGRAMS_30.md#p16	research_registry/proposals/translation_programs_20260912/P16.json
P17	IDEA000160	Thema und Kommentar statt linearer Wort-für-Wort-Sätze	ALTERNATIVE	HERB4,BATH3,LABEL4	docs/TRANSLATION_PROGRAMS_30.md#p17	research_registry/proposals/translation_programs_20260912/P17.json
P18	IDEA000161	Satzgrenzen aus Bedeutung und Schrift gemeinsam entwickeln	ALTERNATIVE	HERB4,BATH3	docs/TRANSLATION_PROGRAMS_30.md#p18	research_registry/proposals/translation_programs_20260912/P18.json
P19	IDEA000162	Schreiberkonvention und Inhalt gleichzeitig auseinanderhalten	ALTERNATIVE	HERB4,BATH3,LABEL4	docs/TRANSLATION_PROGRAMS_30.md#p19	research_registry/proposals/translation_programs_20260912/P19.json
P20	IDEA000163	Fachwörter als Ganzzeichen, Grammatik als lautnahe Schrift	ALTERNATIVE	HERB4,BATH3	docs/TRANSLATION_PROGRAMS_30.md#p20	research_registry/proposals/translation_programs_20260912/P20.json
P21	IDEA000164	Wortfamilien als Flexionsparadigmen ganzer Aussagen	ALTERNATIVE	HERB4,BATH3,MORPH	docs/TRANSLATION_PROGRAMS_30.md#p21	research_registry/proposals/translation_programs_20260912/P21.json
P22	IDEA000165	Geschriebene Gruppen als Silbenpakete einer flektierenden Sprache	ALTERNATIVE	HERB4	docs/TRANSLATION_PROGRAMS_30.md#p22	research_registry/proposals/translation_programs_20260912/P22.json
P23	IDEA000166	Kontextabhängige Kürzung innerhalb eines erklärten Kapitels	ALTERNATIVE	BATH3,LABEL4	docs/TRANSLATION_PROGRAMS_30.md#p23	research_registry/proposals/translation_programs_20260912/P23.json
P24	IDEA000167	Formhüllen als Referenzstatus: eingeführt, wiederaufgenommen, ausgewählt	ALTERNATIVE	HERB4,BATH3,MORPH	docs/TRANSLATION_PROGRAMS_30.md#p24	research_registry/proposals/translation_programs_20260912/P24.json
P25	IDEA000168	Begriffserklärungen aus Gattung und Unterscheidungsmerkmal lesen	ALTERNATIVE	HERB4,LABEL4	docs/TRANSLATION_PROGRAMS_30.md#p25	research_registry/proposals/translation_programs_20260912/P25.json
P26	IDEA000169	Wiederkehrende Verfahren als Aufruf mit Parametern	ALTERNATIVE	BATH3,HERB4	docs/TRANSLATION_PROGRAMS_30.md#p26	research_registry/proposals/translation_programs_20260912/P26.json
P27	IDEA000170	Teile, Stoffe und daraus gewonnene Produkte in einer gemeinsamen Begriffswelt	ALTERNATIVE	HERB4,BATH3,LABEL4	docs/TRANSLATION_PROGRAMS_30.md#p27	research_registry/proposals/translation_programs_20260912/P27.json
P28	IDEA000171	Lokale Namen mit Bereich und qualifiziertem Verweis	REVIEW_PRIORITY	BATH3,LABEL4	docs/TRANSLATION_PROGRAMS_30.md#p28	research_registry/proposals/translation_programs_20260912/P28.json
P29	IDEA000172	Eine überarbeitete Fachquelle über ihre Aussagefolge rekonstruieren	ALTERNATIVE	HERB4,SOURCE_OLD	docs/TRANSLATION_PROGRAMS_30.md#p29	research_registry/proposals/translation_programs_20260912/P29.json
P30	IDEA000173	Der Text beschreibt Abweichungen von einem gemeinsamen Bildschema	REVIEW_PRIORITY	BATH3	docs/TRANSLATION_PROGRAMS_30.md#p30	research_registry/proposals/translation_programs_20260912/P30.json
