statement_id	record_unit_id	page	event_count	state_marker_count	state_sequence	value_sequence
B1-S006	B1	f81v	4	1	M1_RAW_PART	Zusatz
B1-S007	B1	f81v	1	0	NONE	NONE
B1-S008	B1	f81v	5	0	NONE	NONE
B1-S009	B1	f81v	1	0	NONE	NONE
B1-S010	B1	f81v	1	0	NONE	NONE
B1-S011	B1	f81v	2	0	NONE	NONE
B1-S012	B1	f81v	3	0	NONE	NONE
B1-S013	B1	f81v	1	0	NONE	NONE
B1-S014	B1	f81v	5	0	NONE	NONE
B1-S015	B1	f81v	2	0	NONE	NONE
B1-S016	B1	f81v	4	0	NONE	NONE
B1-S017	B1	f81v	3	0	NONE	NONE
B1-S018	B1	f81v	4	1	M4_MEASURED_PORTION	Arbeitsstufe
B1-S019	B1	f81v	1	0	NONE	NONE
B1-S020	B1	f81v	2	0	NONE	NONE
B1-S021	B1	f81v	1	0	NONE	NONE
B2-S001	B2	f82r	1	0	NONE	NONE
B2-S002	B2	f82r	1	0	NONE	NONE
B2-S003	B2	f82r	3	0	NONE	NONE
B2-S004	B2	f82r	5	0	NONE	NONE
B2-S005	B2	f82r	8	0	NONE	NONE
B2-S006	B2	f82r	4	0	NONE	NONE
B2-S007	B2	f82r	1	0	NONE	NONE
B2-S008	B2	f82r	3	1	M4_MEASURED_PORTION	Folgemaß
B2-S009	B2	f82r	1	0	NONE	NONE
B2-S010	B2	f82r	4	1	M3_CLEAR_EXTRACT	Klarauszug
B2-S011	B2	f82r	4	0	NONE	NONE
B2-S012	B2	f82r	8	4	M3_CLEAR_EXTRACT → M3_CLEAR_EXTRACT → M4_MEASURED_PORTION → M5_APPLICATION_ITEM	Klarauszug → Klarabzug → Sollmaß → Volleinsatz
B2-S013	B2	f82r	1	0	NONE	NONE
B2-S014	B2	f82r	1	0	NONE	NONE
B2-S015	B2	f82r	2	1	M3_CLEAR_EXTRACT	Folgeklarlauf
B2-S016	B2	f82r	8	1	M4_MEASURED_PORTION	Sollmaß
B2-S017	B2	f82r	2	0	NONE	NONE
B2-S018	B2	f82r	1	0	NONE	NONE
B2-S019	B2	f82r	1	0	NONE	NONE
B2-S020	B2	f82r	1	0	NONE	NONE
B2-S021	B2	f82r	1	0	NONE	NONE
B2-S022	B2	f82r	1	0	NONE	NONE
B3-S001	B3	f83r	1	0	NONE	NONE
B3-S002	B3	f83r	2	0	NONE	NONE
B3-S003	B3	f83r	4	1	M4_MEASURED_PORTION	Sollmaß
B3-S004	B3	f83r	3	0	NONE	NONE
B3-S005	B3	f83r	1	0	NONE	NONE
B3-S006	B3	f83r	3	0	NONE	NONE
B3-S007	B3	f83r	3	0	NONE	NONE
B3-S008	B3	f83r	1	0	NONE	NONE
B3-S009	B3	f83r	1	0	NONE	NONE
B3-S010	B3	f83r	2	0	NONE	NONE
B3-S011	B3	f83r	4	0	NONE	NONE
B3-S012	B3	f83r	2	1	M2_PREPARATION	Ansatz
B3-S013	B3	f83r	4	1	M4_MEASURED_PORTION	Portion
B3-S014	B3	f83r	2	0	NONE	NONE
B3-S015	B3	f83r	1	0	NONE	NONE
B3-S016	B3	f83r	2	0	NONE	NONE
B3-S017	B3	f83r	1	0	NONE	NONE
B3-S018	B3	f83r	1	0	NONE	NONE
B3-S019	B3	f83r	1	0	NONE	NONE
B3-S020	B3	f83r	2	0	NONE	NONE
B3-S021	B3	f83r	11	1	M4_MEASURED_PORTION	Sollmaß
B3-S022	B3	f83r	1	0	NONE	NONE
B3-S023	B3	f83r	1	0	NONE	NONE
B3-S024	B3	f83r	1	0	NONE	NONE
B3-S025	B3	f83r	1	0	NONE	NONE
B3-S026	B3	f83r	7	0	NONE	NONE
B3-S027	B3	f83r	1	0	NONE	NONE
B3-S028	B3	f83r	2	0	NONE	NONE
B3-S029	B3	f83r	3	0	NONE	NONE
B3-S030	B3	f83r	4	1	M4_MEASURED_PORTION	Sollmaß
B3-S031	B3	f83r	1	0	NONE	NONE
B3-S032	B3	f83r	5	2	M4_MEASURED_PORTION → M4_MEASURED_PORTION	Kurzsoll → Folgemaß
B3-S033	B3	f83r	1	0	NONE	NONE
B3-S034	B3	f83r	6	2	M4_MEASURED_PORTION → M4_MEASURED_PORTION	Arbeitsstufe → Folgemaß
B4-S001	B4	f83r	1	0	NONE	NONE
B4-S002	B4	f83r	3	0	NONE	NONE
B4-S003	B4	f83r	7	0	NONE	NONE
B4-S004	B4	f83r	1	0	NONE	NONE
B4-S005	B4	f83r	3	0	NONE	NONE
B4-S006	B4	f83r	1	0	NONE	NONE
B4-S007	B4	f83r	1	0	NONE	NONE
B4-S008	B4	f83r	4	1	M4_MEASURED_PORTION	Sollmaß
B4-S009	B4	f83r	1	0	NONE	NONE
B4-S010	B4	f83r	1	0	NONE	NONE
B4-S011	B4	f83r	7	1	M4_MEASURED_PORTION	Sollmaß
B4-S012	B4	f83r	1	0	NONE	NONE
B4-S013	B4	f83r	2	0	NONE	NONE
B4-S014	B4	f83r	4	1	M2_PREPARATION	Ansatz
B4-S015	B4	f83r	6	2	M3_CLEAR_EXTRACT → M4_MEASURED_PORTION	Klarauszug → Portion
B4-S016	B4	f83r	4	2	M4_MEASURED_PORTION → M3_CLEAR_EXTRACT	Folgeportion → Quellausguss
B5-S001	B5	f83r	1	0	NONE	NONE
B5-S002	B5	f83r	1	0	NONE	NONE
B5-S003	B5	f83r	9	2	M4_MEASURED_PORTION → M4_MEASURED_PORTION	Sollmaß → Endstufe
B6-S001	B6	f83r	9	3	M5_APPLICATION_ITEM → M4_MEASURED_PORTION → M5_APPLICATION_ITEM	Endposten → Sollmaß → Endziel
