page	locus	record	event_count	core_event_count	visible_sequence	core_interlinear	complete_effective_literal
f81v	f81v.24	1	10	2	ytey okchedy qokal okeey qol cheedy sal teol dchdy ly	qol=mit der vorigen Zubereitung weiter | sal=an die bezeichnete Zielstelle führen	then fill the vessel / let it cool; close the rubric / mix the two portions together / temper the working liquid and keep it lukewarm / mit der vorigen Zubereitung weiter / let it stand until ready; end this instruction / an die bezeichnete Zielstelle führen / the first opening / strain it clear; close the rubric / then fill the vessel
f81v	f81v.27	1	7	1	dsheol oiiin olkeedy tedy cheky shckhedy chal	chal=an die bezeichnete Zielstelle führen	apply at the marked place / until clear / let the liquid settle; end this instruction / let it stand until ready; end this instruction / over a gentle heat / strain it once through cloth; end this instruction / an die bezeichnete Zielstelle führen
f82r	f82r.2	1	8	1	dchedy qolchedy qokain dy qokeedy qokal lcheckhy lched	dy=diese aktive Portion	wash the used vessel or channel through once; end this instruction / set the mixed liquid aside in a covered receiving vessel; end this instruction / add one measured portion to the vessel / diese aktive Portion / bathe or immerse in the tempered warm liquid; end this instruction / mix the two portions together / the second opening / and proceed to the next basin
f82r	f82r.4	1	8	1	qokaiin octheol chkeey ldy oteey qokal sheckhy qoky	qoky=die aktive Portion verwenden	begin the next measured entry / under the same setting / the broad vessel / draw it off; close the rubric / the prepared oil / mix the two portions together / over the local place / die aktive Portion verwenden
f82r	f82r.7	1	9	2	dshedy sotaiin qokar shedy solshedy qokeey qoky ls cheey	qoky=die aktive Portion verwenden | cheey=bis die Flüssigkeit klar abläuft	add clean water; close the rubric / for the same interval as before / over the local place / let it stand until ready; end this instruction / keep it warm; close the rubric / temper the working liquid and keep it lukewarm / die aktive Portion verwenden / the first opening / bis die Flüssigkeit klar abläuft
f82r	f82r.19	1	5	1	okain char okain qokeedy lchy	char=daraus, aus demselben Ansatz	add one measured portion to the vessel / daraus, aus demselben Ansatz / add one measured portion to the vessel / bathe or immerse in the tempered warm liquid; end this instruction / draw off the clear liquid
f82r	f82r.23	1	9	3	cheey qcthey qokeey lcheey daiin chey qokeeedy lchedy lar	cheey=bis die Flüssigkeit klar abläuft | daiin=ein vorgeschriebenes Maß | chey=diese aktive Portion	bis die Flüssigkeit klar abläuft / under the same setting / temper the working liquid and keep it lukewarm / the immersed part / ein vorgeschriebenes Maß / diese aktive Portion / immerse fully; close the rubric / let the spent liquid drain into the lower receiving vessel; end this instruction / close the lower outlet
f82r	f82r.26	1	9	2	tshey qokeedy cheal lchedar ches aiin oteey qokaiin okey	cheal=an die bezeichnete Zielstelle führen | aiin=ein vorgeschriebenes Maß	begin the rinsing / bathe or immerse in the tempered warm liquid; end this instruction / an die bezeichnete Zielstelle führen / cool water / in equal portions / ein vorgeschriebenes Maß / the prepared oil / begin the next measured entry / warm water
f83r	f83r.3	1	10	4	olkeedy qotal chkeedy chey daiin chey lchedy qokaiin qotal dar	chey=diese aktive Portion | daiin=ein vorgeschriebenes Maß | chey=diese aktive Portion | dar=daraus, aus demselben Ansatz	let the liquid settle; end this instruction / toward the lower outlet / immerse fully; close the rubric / diese aktive Portion / ein vorgeschriebenes Maß / diese aktive Portion / let the spent liquid drain into the lower receiving vessel; end this instruction / begin the next measured entry / toward the lower outlet / daraus, aus demselben Ansatz
f83r	f83r.6	1	9	1	schedy chedchy qokal olchedy qokaiin chedy qokeedy lchedy qoky	qoky=die aktive Portion verwenden	wash the used vessel or channel through once; end this instruction / pour in the warmed water / mix the two portions together / set the mixed liquid aside in a covered receiving vessel; end this instruction / begin the next measured entry / stir until evenly mixed / bathe or immerse in the tempered warm liquid; end this instruction / let the spent liquid drain into the lower receiving vessel; end this instruction / die aktive Portion verwenden
f83r	f83r.8	1	6	1	pchedal otedy shecthedchy qoky chedy chary	qoky=die aktive Portion verwenden	then fill the vessel / steep until clear; close the rubric / apply at the marked place / die aktive Portion verwenden / stir until evenly mixed / and let it cool
f83r	f83r.11	1	10	1	sor shedy qokaiin chkain shcthey qokedy okair sheedy lchedy lo	sor=die bereitete Arbeitsflüssigkeit	die bereitete Arbeitsflüssigkeit / let it stand until ready; end this instruction / begin the next measured entry / one measured portion / under the same setting / rinse the indicated place once; end this instruction / next open the upper channel / wash once; close the rubric / let the spent liquid drain into the lower receiving vessel; end this instruction / close the lower outlet
f83r	f83r.14	1	10	4	qokchedy qokeedy shedy qokshedy dal lchedy qokaiin shcthy dal sy	dal=an die bezeichnete Zielstelle führen | shcthy=sobald die Zubereitung gebrauchsfertig ist | dal=an die bezeichnete Zielstelle führen | sy=diese aktive Portion	let it cool; close the rubric / bathe or immerse in the tempered warm liquid; end this instruction / let it stand until ready; end this instruction / boil gently; close the rubric / an die bezeichnete Zielstelle führen / let the spent liquid drain into the lower receiving vessel; end this instruction / begin the next measured entry / sobald die Zubereitung gebrauchsfertig ist / an die bezeichnete Zielstelle führen / diese aktive Portion
f83r	f83r.15	1	9	4	saiin shedal shecthy chey tal shcthy dalchdy qotchedy lchedy	saiin=ein vorgeschriebenes Maß | chey=diese aktive Portion | tal=an die bezeichnete Zielstelle führen | shcthy=sobald die Zubereitung gebrauchsfertig ist	ein vorgeschriebenes Maß / for one interval / warm water / diese aktive Portion / an die bezeichnete Zielstelle führen / sobald die Zubereitung gebrauchsfertig ist / retain the residue; close the rubric / mix in equal shares; close the rubric / let the spent liquid drain into the lower receiving vessel; end this instruction
f83r	f83r.16	1	8	1	tchedy qokchdy cheedar chldaiin chedy qokain checthy chealror	checthy=sobald die Zubereitung gebrauchsfertig ist	wash the used vessel or channel through once; end this instruction / heat it once; end this instruction / place the person at the basin / after settling / stir until evenly mixed / add one measured portion to the vessel / sobald die Zubereitung gebrauchsfertig ist / until the flow clears
f83r	f83r.20	1	9	3	solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin	sol=mit der vorigen Zubereitung weiter | qoky=die aktive Portion verwenden | saiin=ein vorgeschriebenes Maß	let the liquid settle; end this instruction / bind upon the place; close the rubric / temper the working liquid and keep it lukewarm / rinse the indicated place once; end this instruction / mit der vorigen Zubereitung weiter / after the first rinse / rinse the indicated place once; end this instruction / die aktive Portion verwenden / ein vorgeschriebenes Maß
f83r	f83r.24	1	6	2	soiiin checthy chety otaiin olsaly shedy	checthy=sobald die Zubereitung gebrauchsfertig ist | chety=gleichmäßig bearbeiten	until clear / sobald die Zubereitung gebrauchsfertig ist / gleichmäßig bearbeiten / for the same interval as before / the lower basin / let it stand until ready; end this instruction
f83r	f83r.26	2	6	3	otchey qokeey qoky tol shedy qokylddy	otchey=nimm den bezeichneten Anteil | qoky=die aktive Portion verwenden | tol=mit der vorigen Zubereitung weiter	nimm den bezeichneten Anteil / temper the working liquid and keep it lukewarm / die aktive Portion verwenden / mit der vorigen Zubereitung weiter / let it stand until ready; end this instruction / bind upon the place; close the rubric
f83r	f83r.28	2	6	1	saiin cheeky sheey qokedy shedy oldy	saiin=ein vorgeschriebenes Maß	ein vorgeschriebenes Maß / while still warm / the first opening / rinse the indicated place once; end this instruction / let it stand until ready; end this instruction / boil gently; close the rubric
f83r	f83r.35	2	5	1	saiin cheky okeeol okain chdy	saiin=ein vorgeschriebenes Maß	ein vorgeschriebenes Maß / over a gentle heat / the broad vessel / add one measured portion to the vessel / stir until evenly mixed
f83r	f83r.37	2	5	1	sol lkedy lchedy qokol shedy	sol=mit der vorigen Zubereitung weiter	mit der vorigen Zubereitung weiter / wash twice; close the rubric / let the spent liquid drain into the lower receiving vessel; end this instruction / let the mixture enter / let it stand until ready; end this instruction
f83r	f83r.38	2	4	2	or chey qockhey dairydy	or=die bereitete Arbeitsflüssigkeit | chey=diese aktive Portion	die bereitete Arbeitsflüssigkeit / diese aktive Portion / over the local place / use immediately; close the rubric
f83r	f83r.39	2	4	1	qokain shey kain chckhal	shey=bis die Flüssigkeit klar abläuft	add one measured portion to the vessel / bis die Flüssigkeit klar abläuft / one measured portion / for the stated duration
f83r	f83r.41	2	4	1	solkey lchedy qolkain dal	dal=an die bezeichnete Zielstelle führen	next open the upper channel / let the spent liquid drain into the lower receiving vessel; end this instruction / the lower basin / an die bezeichnete Zielstelle führen
f83r	f83r.48	3	5	3	dal cheol lol chdal aiin	dal=an die bezeichnete Zielstelle führen | cheol=mit der vorigen Zubereitung weiter | aiin=ein vorgeschriebenes Maß	an die bezeichnete Zielstelle führen / mit der vorigen Zubereitung weiter / until warm / with the foregoing mixture / ein vorgeschriebenes Maß
f83r	f83r.49	3	3	1	sol daiiin chedy	sol=mit der vorigen Zubereitung weiter	mit der vorigen Zubereitung weiter / the second opening / stir until evenly mixed
f83r	f83r.52	4	4	1	solkeey qekey raly ol	ol=mit der vorigen Zubereitung weiter	place the person at the basin / without boiling / the first opening / mit der vorigen Zubereitung weiter
f83r	f83r.54	4	5	3	daiin ol dain chey ldalor	daiin=ein vorgeschriebenes Maß | ol=mit der vorigen Zubereitung weiter | chey=diese aktive Portion	ein vorgeschriebenes Maß / mit der vorigen Zubereitung weiter / through a cloth / diese aktive Portion / at the indicated place
