statement_id	page	record	owner_object_class	portable_objects	modifier_channels	owner_specialized_reading_de	object_inventory_complete
B2-S007	f82r	B2	HAND_DEVICE_LIQUID	WORKING_LIQUID	GRADE	Lass die Arbeitsflüssigkeit im Handgerät ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: ruhen lassen.	YES
B2-S008	f82r	B2	HAND_DEVICE_LIQUID	MEASURED_PORTION|WORKING_LIQUID	MEASURE|SETTLE|SOURCE	Beschicke mit eine abgemessene Portion der Arbeitsflüssigkeit, lass den Inhalt absetzen und schließe den Schritt. Vollfolge: aus der bezeichneten Quelle beschicken → absetzen lassen.	YES
B2-S009	f82r	B2	HAND_DEVICE_LIQUID	WORKING_LIQUID	GRADE	Lass die Arbeitsflüssigkeit im Handgerät ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: ruhen lassen.	YES
B2-S010	f82r	B2	HAND_DEVICE_LIQUID	WORKING_LIQUID	GRADE	Bei dem mittleren Handgerät: wirken lassen; dann die Arbeitsflüssigkeit im Handgerät einsetzen; dann stehen lassen. Angaben: weiter.	YES
B2-S011	f82r	B2	UNCLEAR_WORK_PORTION	MEASURED_PORTION|TARGETED_TRANSFER_PORTION	GRADE|PORTION|SOURCE	Fülle eine abgemessene Arbeitsportion ein, lass sie einwirken und schließe den Schritt. Vollfolge: eine abgemessene Arbeitsportion einfüllen → eine abgemessene Arbeitsportion einfüllen → einwirken lassen.	YES
B2-S012	f82r	B2	UNCLEAR_WORK_PORTION	MEASURED_PORTION|TARGETED_TRANSFER_PORTION	GRADE|MEASURE|READY	Bei der mittleren rechten Station: führen + abnehmen; dann stehen lassen; dann wirken lassen; dann führen; dann vollständig beschicken und abschließen. Angaben: bereit · kurz · dieser Posten | vorgeschriebenes Maß | dieser Posten.	YES
B2-S013	f82r	B2	BASIN_LIQUID	WORKING_LIQUID	NONE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen.	YES
B2-S014	f82r	B2	BASIN_LIQUID	WORKING_LIQUID	SOURCE	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station. Vollfolge: ableiten.	YES
B2-S015	f82r	B2	TECHNICAL_STATION_LIQUID	WORKING_LIQUID	GRADE	Lass die Flüssigkeit dieser Station einwirken oder stehen; schließe danach den Schritt. Vollfolge: stehen lassen → einwirken lassen.	YES
B2-S016	f82r	B2	TECHNICAL_STATION_LIQUID	MEASURED_PORTION|WORKING_LIQUID	GRADE|MEASURE|SOURCE|TARGET	Bei den kleinen Randstationen: ableiten + umfüllen; dann abnehmen + abteilen; dann bis zum Sollmaß beschicken; dann wirken lassen; dann einfüllen + überführen. Angaben: bezeichnete Stelle | vorgeschriebenes Maß | danach · länger · dieser Posten.	YES
B2-S017	f82r	B2	TECHNICAL_STATION_LIQUID	WORKING_LIQUID	GRADE|TARGET	Temperiere die Flüssigkeit dieser Station, lass ruhen oder absetzen und schließe den Schritt. Vollfolge: abkühlen lassen + ruhen lassen.	YES
B2-S018	f82r	B2	TECHNICAL_STATION_LIQUID	WORKING_LIQUID	GRADE	Lass die Flüssigkeit dieser Station einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
B2-S019	f82r	B2	TECHNICAL_STATION_LIQUID	WORKING_LIQUID	SETTLE	Temperiere die Flüssigkeit dieser Station, lass ruhen oder absetzen und schließe den Schritt. Vollfolge: auskühlen lassen + absetzen lassen.	YES
B2-S020	f82r	B2	TECHNICAL_STATION_LIQUID	WORKING_LIQUID	GRADE	Schließe den laufenden Arbeitsschritt für die Flüssigkeit dieser Station. Vollfolge: NO_EXPLICIT_ACTION_CARD.	YES
B2-S021	f82r	B2	TECHNICAL_STATION_LIQUID	WORKING_LIQUID	GRADE	Lass die Flüssigkeit dieser Station einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
B2-S022	f82r	B2	TECHNICAL_STATION_LIQUID	WORKING_LIQUID	NONE	Führe die Flüssigkeit dieser Station zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen.	YES
B3-S001	f83r	B3	TECHNICAL_STATION_LIQUID	WORKING_LIQUID	GRADE	Bei der oberen Fächerstation: auffangen und stehen lassen.	YES
B3-S002	f83r	B3	TECHNICAL_STATION_LIQUID	WORKING_LIQUID	GRADE|HEAT|TARGET	Bei der oberen Fächerstation: anwärmen. Angaben: danach · bezeichnete Stelle.	YES
B3-S003	f83r	B3	TECHNICAL_STATION_LIQUID	MEASURED_PORTION|WORKING_LIQUID	MEASURE	Bei der oberen Fächerstation: abführen + abmessen und umsetzen. Angaben: dieser Posten | vorgeschriebenes Maß | dieser Posten.	YES
B3-S004	f83r	B3	TECHNICAL_STATION_LIQUID	MEASURED_PORTION|WORKING_LIQUID	MEASURE|SOURCE|TARGET	Fülle eine abgemessene Portion der Stationsflüssigkeit ein. Vollfolge: bis zum Sollmaß beschicken.	YES
B3-S005	f83r	B3	VESSEL_PREPARATION	WORKING_LIQUID	NONE	Führe den Ansatz im Gefäß zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: umfüllen.	YES
B3-S006	f83r	B3	VESSEL_PREPARATION	WORKING_LIQUID	TARGET	Bei dem runden Gefäß: umschöpfen; dann anlegen; dann in die nächste Station weitergeben.	YES
B3-S007	f83r	B3	VESSEL_PREPARATION	MEASURED_PORTION|WORKING_LIQUID	GRADE|MEASURE	Bei dem runden Gefäß: bis zum Sollmaß beschicken; dann umschöpfen; dann einwirken lassen.	YES
B3-S008	f83r	B3	VESSEL_PREPARATION	WORKING_LIQUID	NONE	Führe den Ansatz im Gefäß zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen.	YES
B3-S009	f83r	B3	VESSEL_PREPARATION	WORKING_LIQUID	NONE	Fülle eine abgemessene Portion des Ansatzes ein. Vollfolge: den Ansatz im Gefäß einsetzen.	YES
B3-S010	f83r	B3	VESSEL_PREPARATION	WORKING_LIQUID	GRADE|TARGET	Fülle eine abgemessene Portion des Ansatzes ein, führe sie weiter und schließe den Schritt. Vollfolge: einfüllen + umfüllen.	YES
B3-S011	f83r	B3	VESSEL_PREPARATION	WORKING_LIQUID	GRADE|READY|SOURCE	Bei dem korbartigen Gefäß: halten + umsetzen; dann den Ansatz im Gefäß einsetzen; dann umschöpfen. Angaben: von dort · dieser Posten.	YES
B3-S012	f83r	B3	VESSEL_PREPARATION	PREPARATION_BATCH|WORKING_LIQUID	PREPARATION|SETTLE	Lass den Ansatz im Gefäß ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: absetzen lassen.	YES
B3-S013	f83r	B3	VESSEL_PREPARATION	MEASURED_PORTION|WORKING_LIQUID	GRADE|MEASURE|PORTION|READY	Fülle eine abgemessene Portion des Ansatzes ein, lass sie einwirken und schließe den Schritt. Vollfolge: bis zum Sollmaß beschicken → dosiert zugeben → einwirken lassen.	YES
B3-S014	f83r	B3	VESSEL_PREPARATION	WORKING_LIQUID	FLOW_LIQUID|GRADE	Führe den Ansatz im Gefäß weiter, fange sie oder ihn auf, lass absetzen und schließe den Schritt. Vollfolge: einleiten → ruhen lassen.	YES
B3-S015	f83r	B3	VESSEL_PREPARATION	WORKING_LIQUID	NONE	Führe den Ansatz im Gefäß zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen.	YES
B3-S016	f83r	B3	VESSEL_PREPARATION	WORKING_LIQUID	NONE	Übernimm den Ansatz im Gefäß, gib eine abgemessene Portion des Ansatzes zu, führe weiter und schließe den Schritt. Vollfolge: führen → einsetzen + überführen.	YES
B3-S017	f83r	B3	SEPARATE_PORTION	TARGETED_TRANSFER_PORTION	GRADE	Lass die getrennt geführte Portion einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
B3-S018	f83r	B3	SEPARATE_PORTION	TARGETED_TRANSFER_PORTION	SETTLE	Lass die getrennt geführte Portion ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: absetzen lassen.	YES
B3-S019	f83r	B3	SEPARATE_PORTION	TARGETED_TRANSFER_PORTION	GRADE	Lass die getrennt geführte Portion einwirken, dann absetzen, und schließe den Schritt. Vollfolge: einwirken lassen + ruhen lassen.	YES
B3-S020	f83r	B3	SEPARATE_PORTION	TARGETED_TRANSFER_PORTION	TARGET	Führe die getrennt geführte Portion zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: hinleiten + umfüllen.	YES
B3-S021	f83r	B3	SEPARATE_PORTION	MEASURED_PORTION|TARGETED_TRANSFER_PORTION	GRADE|MEASURE|READY|SETTLE|TARGET	Bei dem getrennten Zwischenbereich: bis zum Sollmaß beschicken; dann ablagern; dann stehen lassen; dann umfüllen. Angaben: bereit · dieser Posten | bezeichnete Stelle | dieser Posten | vorgeschriebenes Maß | dieser Posten | bezeichnete Stelle | bereit · dieser Posten.	YES
B3-S022	f83r	B3	SEPARATE_PORTION	TARGETED_TRANSFER_PORTION	NONE	Führe die getrennt geführte Portion zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben.	YES
B3-S023	f83r	B3	SEPARATE_PORTION	TARGETED_TRANSFER_PORTION	NONE	Führe die getrennt geführte Portion zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen.	YES
B3-S024	f83r	B3	SEPARATE_PORTION	TARGETED_TRANSFER_PORTION	NONE	Führe die getrennt geführte Portion zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben.	YES
B3-S025	f83r	B3	SEPARATE_PORTION	TARGETED_TRANSFER_PORTION	NONE	Fülle eine weitere abgemessene Portion ein, führe sie weiter und schließe den Schritt. Vollfolge: einsetzen + überführen.	YES
B3-S026	f83r	B3	SEPARATE_PORTION	MEASURED_PORTION|PREPARATION_BATCH|TARGETED_TRANSFER_PORTION	GRADE|MEASURE|PORTION|PREPARATION|READY|SOURCE|TARGET	Bei dem getrennten Zwischenbereich: ableiten; dann umschöpfen; dann eine weitere abgemessene Portion einfüllen; dann abkühlen lassen; dann auffangen und stehen lassen. Angaben: länger · von dort | bereit · dieser Posten.	YES
B3-S027	f83r	B3	FIGURE_APPLICATION	APPLICATION_CHARGE	GRADE	Schließe den laufenden Arbeitsschritt für die Anwendung am Figurenpaar. Vollfolge: NO_EXPLICIT_ACTION_CARD.	YES
B3-S028	f83r	B3	FIGURE_APPLICATION	APPLICATION_CHARGE	GRADE	Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: wirken lassen → einwirken lassen.	YES
B3-S029	f83r	B3	FIGURE_APPLICATION	APPLICATION_CHARGE	GRADE	Fülle eine abgemessene Portion für die Anwendung ein, lass sie einwirken und schließe den Schritt. Vollfolge: eintragen → einwirken lassen.	YES
B3-S030	f83r	B3	FIGURE_APPLICATION	APPLICATION_CHARGE|MEASURED_PORTION	FLOW_LIQUID|MEASURE	Fülle eine abgemessene Portion für die Anwendung ein, führe sie weiter und schließe den Schritt. Vollfolge: die Anwendung am Figurenpaar einsetzen → durchleiten → in die nächste Station weitergeben.	YES
B3-S031	f83r	B3	FIGURE_APPLICATION	APPLICATION_CHARGE	GRADE	Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
B3-S032	f83r	B3	FIGURE_APPLICATION	APPLICATION_CHARGE|MEASURED_PORTION	GRADE|MEASURE|PORTION	Beschicke bis zum Sollmaß mit eine abgemessene Portion für die Anwendung und schließe den Schritt. Vollfolge: abmessen und umsetzen → abmessen und umsetzen.	YES
B3-S033	f83r	B3	FIGURE_APPLICATION	APPLICATION_CHARGE	NONE	Führe die Anwendung am Figurenpaar zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen.	YES
B3-S034	f83r	B3	FIGURE_APPLICATION	APPLICATION_CHARGE|MEASURED_PORTION	MEASURE|READY|SETTLE|STAGE|TARGET	Beschicke mit eine abgemessene Portion für die Anwendung, lass den Inhalt absetzen und schließe den Schritt. Vollfolge: eintragen → ablagern.	YES
B4-S001	f83r	B4	FIGURE_APPLICATION	APPLICATION_CHARGE	GRADE	Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.	YES
B4-S002	f83r	B4	FIGURE_APPLICATION	APPLICATION_CHARGE	GRADE	Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: wirken lassen → einwirken lassen.	YES
B4-S003	f83r	B4	FIGURE_APPLICATION	APPLICATION_CHARGE	GRADE|SETTLE|TARGET	Bei dem Figurenpaar in B4: umschöpfen; dann anlegen; dann die Anwendung am Figurenpaar einsetzen; dann absetzen lassen. Angaben: danach · bezeichnete Stelle | danach · dieser Posten | fortsetzen.	YES
B4-S004	f83r	B4	FIGURE_APPLICATION	APPLICATION_CHARGE	NONE	Bei dem Figurenpaar in B4: einsetzen + festbinden.	YES
B4-S005	f83r	B4	FIGURE_APPLICATION	APPLICATION_CHARGE|MEASURED_PORTION	GRADE|PORTION	Fülle eine abgemessene Portion für die Anwendung ein, lass sie einwirken und schließe den Schritt. Vollfolge: abmessen und umsetzen → einwirken lassen.	YES
B4-S006	f83r	B4	FIGURE_APPLICATION	APPLICATION_CHARGE	GRADE|PASSAGE	Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: zurückhalten.	YES
B4-S007	f83r	B4	FIGURE_APPLICATION	APPLICATION_CHARGE	GRADE|PASSAGE	Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: zurückhalten.	YES
B4-S008	f83r	B4	FIGURE_APPLICATION	APPLICATION_CHARGE|MEASURED_PORTION	GRADE|HEAT|MEASURE	Lass die Anwendung am Figurenpaar einwirken oder stehen; schließe danach den Schritt. Vollfolge: warm halten → einwirken lassen → einwirken lassen.	YES
B4-S009	f83r	B4	FIGURE_APPLICATION	APPLICATION_CHARGE	SETTLE	Lass die Anwendung am Figurenpaar ruhen und sich absetzen; schließe danach den Schritt. Vollfolge: absetzen lassen.	YES
B4-S010	f83r	B4	FIGURE_APPLICATION	APPLICATION_CHARGE	NONE	Schließe den laufenden Arbeitsschritt für die Anwendung am Figurenpaar. Vollfolge: NO_EXPLICIT_ACTION_CARD.	YES
B4-S011	f83r	B4	TECHNICAL_STATION_LIQUID	MEASURED_PORTION|WORKING_LIQUID	GRADE|HEAT|MEASURE|PORTION	Bei der linken Hauptstation: warm halten; dann wirken lassen; dann eine abgemessene Portion der Stationsflüssigkeit einfüllen; dann umschöpfen; dann abführen + zugeben. Angaben: vorgeschriebenes Maß | fortsetzen.	YES
B4-S012	f83r	B4	TECHNICAL_STATION_LIQUID	WORKING_LIQUID	NONE	Führe die Flüssigkeit dieser Station zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: abführen + überführen.	YES
B4-S013	f83r	B4	TECHNICAL_STATION_LIQUID	WORKING_LIQUID	SETTLE	Beschicke mit eine abgemessene Portion der Stationsflüssigkeit, lass den Inhalt absetzen und schließe den Schritt. Vollfolge: weiter beschicken → absetzen lassen.	YES
B4-S014	f83r	B4	TECHNICAL_STATION_LIQUID	PREPARATION_BATCH|WORKING_LIQUID	FLOW_LIQUID|GRADE|PASSAGE|PREPARATION	Schließe den laufenden Arbeitsschritt für die Flüssigkeit dieser Station. Vollfolge: NO_EXPLICIT_ACTION_CARD.	YES
B4-S015	f83r	B4	TECHNICAL_STATION_LIQUID	MEASURED_PORTION|WORKING_LIQUID	GRADE|PASSAGE|PORTION|TARGET	Bei der linken Hauptstation: eine abgemessene Portion der Stationsflüssigkeit einfüllen; dann stehen lassen; dann dosiert zugeben; dann ablaufen lassen; dann auffangen; dann abführen + überführen.	YES
B4-S016	f83r	B4	TECHNICAL_STATION_LIQUID	MEASURED_PORTION|WORKING_LIQUID	PORTION|SETTLE|SOURCE|TARGET	Bei der rechten S-Station: dosiert zugeben; dann zuführen; dann absetzen lassen. Angaben: bezeichnete Stelle.	YES
