card_no	component_parse	spoken_value_de	registered_surfaces	events	default_surface	default_events	global_default_events	automatic_context_events	formula_cadence_events	record_melody_events	exception_rule_ids	apprentice_instruction_de	free_choice
PROC042	CHD+Y	umsetzen · dieser Posten	chdy|chedy	11	chedy	10	10	0	0	1	RM08:3	normalerweise chedy; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC048	OK+AL	ansetzen · bezeichnete Stelle	okal|qokal	6	qokal	4	4	0	1	1	FC04|RM03:2	normalerweise qokal; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC052	HO	Gabe	cho|sho	4	cho	2	4	0	0	0	NONE	normalerweise cho; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC055	AL	bezeichnete Stelle	al|chal|cheal|dal|sal|tal	10	dal	5	5	0	5	0	FC04|FC05|FC06|FC07|FC10	normalerweise dal; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC069	K+AIN	zuführen · Portion	chkain|kain	3	kain	2	2	0	1	0	FC08	normalerweise kain; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC070	OL+K+AIN	fortsetzen · zuführen · Portion	olkain|qolkain	2	olkain	1	1	0	0	1	RM08:4	normalerweise olkain; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC075	CKH+Y	Durchlass · dieser Posten	chckhy|shckhy	4	chckhy	3	3	0	0	1	RM05:2	normalerweise chckhy; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC076	CHD+DY	umsetzen · Schluss	dchedy|schedy|tchedy	4	schedy	2	2	0	0	2	RM06:1|RM07:2	normalerweise schedy; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC078	SHED+DY	absetzen · Schluss	cheedy|shedy|tedy	12	shedy	10	10	0	2	0	FC05|FC06	normalerweise shedy; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	olchedy|qolchedy	3	qolchedy	2	2	0	0	1	RM07:1	normalerweise qolchedy; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC080	OK+AIN	ansetzen · Portion	okain|qokain	7	qokain	4	4	2	0	1	RM06:3|WR01	normalerweise qokain; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC085	OK+E+Y	ansetzen · kurz · dieser Posten	okey|qokey	2	okey	1	1	0	0	1	RM05:3	normalerweise okey; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC091	OK+CHD+DY	ansetzen · umsetzen · Schluss	okchedy|qokchedy	2	okchedy	1	1	0	1	0	FC09	normalerweise okchedy; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC092	OK+EE+Y	ansetzen · länger · dieser Posten	okeey|qokeey	7	qokeey	6	6	0	1	0	FC05	normalerweise qokeey; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC097	O+IIN	Arbeitsgang · Sollstufe	oiiin|soiiin	2	oiiin	1	1	0	1	0	FC11	normalerweise oiiin; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC098	SOLK+EE+DY	auffangen · länger · Schluss	olkeedy|solkeedy	3	olkeedy	2	2	0	0	1	RM07:3	normalerweise olkeedy; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC112	OT+AIIN	danach · vorgeschriebenes Maß	otaiin|sotaiin	3	otaiin	2	2	0	0	1	RM06:2	normalerweise otaiin; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC117	CTH+E+Y	bereit · kurz · dieser Posten	qcthey|shcthey	2	qcthey	1	1	0	1	0	FC08	normalerweise qcthey; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC131	OT+AL	danach · bezeichnete Stelle	otal|qotal	3	qotal	2	2	0	0	1	RM08:1	normalerweise qotal; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
PROC145	OT+CHD+DY	danach · umsetzen · Schluss	otchedy|qotchedy	2	otchedy	1	1	0	1	0	FC10	normalerweise otchedy; nur bei den genannten Kontext-, Kadenz- oder Recordmelodieregeln eine andere registrierte Form schreiben	NO
