stop_rule_id	factor_family	blocked_rule	minimal_probe_recipe	candidate_stop_row_count	candidate_example_recipes	present_in_269_candidate_queue	reader_decision	meaning_change_allowed	automatic_repair
G442-F27	ADJACENT_ACTION_PAIR	PAIR:R>OK	R+OK	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F28	ADJACENT_ACTION_PAIR	PAIR:R>P	R+P	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F29	ADJACENT_ACTION_PAIR	PAIR:R>R	R+R	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F30	ADJACENT_ACTION_PAIR	PAIR:R>S	R+S	3	R+S+E+S|R+S+E+Y|R+S+S	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F31	ADJACENT_ACTION_PAIR	PAIR:S>CHD	S+CHD	5	S+CHD+E+CH+K+Y|S+CHD+E+DY|S+CHD+E+OL|S+CHD+E+Y|S+CHD+O+L+SH+E+CH+T+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F32	ADJACENT_ACTION_PAIR	PAIR:S>P	S+P	34	CH+E+O+S+P+Y|CH+E+S+P+E+DY|CH+L+S+P+SH+EE+Y|CH+S+P+E+DY|CH+S+P+E+Y|CH+S+P+Y|L+CH+S+P+E+DY|L+S+P+CHD+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F33	ADJACENT_ACTION_PAIR	PAIR:S>R	S+R	2	OT+S+R|S+R	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F34	ADJACENT_ACTION_PAIR	PAIR:S>S	S+S	12	CH+S+S|D_ADDR+OL+S+S+Y+CH+K+E+OL|D_ADDR+S+S+E+D_ADDR|L+S+S|R+S+S|S+S|S+S+DY|S+S+E+O+R	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F35	ADJACENT_ACTION_PAIR	PAIR:S>T	S+T	61	CARRIER_Q+O+S+T+E+Y|CARRIER_Q+O+S+T+OL+Y|CH+O+S+T+AR|CH+O+S+T+E+Y|CH+O+S+T+EEE+Y|CH+O+S+T+Y|CH+S+T|CH+S+T+D_ADDR+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F36	ADJACENT_ACTION_PAIR	PAIR:SH>CHD	SH+CHD	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F37	ADJACENT_ACTION_PAIR	PAIR:SH>P	SH+P	8	SH+P|SH+P+AIIN|SH+P+AIN|SH+P+AL|SH+P+CH+EE+Y|SH+P+CH+Y|SH+P+CHD+DY|SH+P+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F38	ADJACENT_ACTION_PAIR	PAIR:SH>R	SH+R	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F39	ADJACENT_ACTION_PAIR	PAIR:SH>S	SH+S	10	L+SH+S+T+Y|OK+SH+S+DY|R+O+SH+S+K+Y|S+A_ADDR+L+SH+S+T+D_ADDR+Y|SH+S+K+E+DY|SH+S+K+E+Y|SH+S+K+Y|SH+S+T+AIIN	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F40	ADJACENT_ACTION_PAIR	PAIR:SH>SH	SH+SH	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F41	ADJACENT_ACTION_PAIR	PAIR:T>K	T+K	2	T+K+Y|Y+T+K+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F42	ADJACENT_ACTION_PAIR	PAIR:T>P	T+P	2	T+P+Y|Y+T+P+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F43	ADJACENT_ACTION_PAIR	PAIR:T>S	T+S	13	A_ADDR+T+S+OR|CARRIER_Q+E+T+S+Y|CH+E+T+S+Y|CH+T+S+OR|OT+Y+T+S+OL|T+S+AR|T+S+E+O+L|T+S+E+Y	YES	STOP_UNLICENSED_PAIR	NO	NONE
G442-F44	ADJACENT_ACTION_PAIR	PAIR:T>T	T+T	0	NONE	NO	STOP_UNLICENSED_PAIR	NO	NONE
G442-F45	FOCUS_HEAD_EDGE	FOCUS:CHD<-EEE	CHD+EEE	0	NONE	NO	STOP_UNLICENSED_FOCUS_EDGE	NO	NONE
G442-F46	FOCUS_HEAD_EDGE	FOCUS:R<-EEE	R+EEE	0	NONE	NO	STOP_UNLICENSED_FOCUS_EDGE	NO	NONE
G442-F47	CLOSE_CONTEXT	CLOSE:NO_ACTIVE_ACTION	DY	52	AIIN+DY|AIIN+DY+D_LABEL|AIIN+O+DY|AIN+DY|AIN+DY+D_LABEL|AIN+O+DY|AIR+AIIN+DY|AIR+AIN+DY	YES	STOP_ACTIVE_HEAD_REQUIRED	NO	NONE
