passage_patch_id	span_id	target_occurrence_id	page	physical_folio	locus	ol_ordinal	right_ordinal	right_surface	right_token_id	selected_whole_default_de	written_line_eva	inherited_gdt780_patch_de	gdt781_practical_patch_de	working_field_list_de	working_field_list_source_values_de	working_field_list_status	patch_legend	default_is_translation	confirmed_plaintext	component_export_credit
G781-P011	G781-S011	G769-T0184	f34r	f34	f34r.5	4	5	okes	f34r.5@5	Heißansatz	qoteedy shedy shedy ol okes ar ykeed l chedy otey okaiin	qoteedy shedy shedy ol okes ar ykeed l chedy otey okaiin	qoteedy shedy shedy ⟦Heißansatz⟧ ar ykeed l chedy otey okaiin	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P012	G781-S012	G769-T0246	f66r	f66	f66r.69	4	5	kcheeky	f66r.69@5	heiß und trocken, Endstufe	tosheo qokaldy oky ol kcheeky qoky dary okees oly	tosheo qokaldy oky ol kcheeky qoky dary okees oly	tosheo qokaldy oky ⟦heiß und trocken, Endstufe⟧ qoky dary okees oly	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P013	G781-S013	G769-T0287	f76r	f76	f76r.53	4	5	chedor	f76r.53@5	trockene Stoffportion	saiin qol shedy ol chedor chal shed qoteedy dshdy okal chedyl	saiin qol shedy ol chedor chal shed qoteedy dshdy okal chedyl	saiin qol shedy ⟦trockene Stoffportion⟧ chal shed qoteedy dshdy okal chedyl	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P014	G781-S014	G769-T0292	f77r	f77	f77r.32	4	5	chealor	f77r.32@5	trockener Arzneistoff	qor ain cheol ol chealor cheey qeteiiin dary	qor ain cheol ol chealor cheey qeteiiin dary	qor ain cheol ⟦trockener Arzneistoff⟧ cheey qeteiiin dary	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P015	G781-S015	G769-T0325	f78v	f78	f78v.20	8	9	okalor	f78v.20@9	erhitzter Arzneiansatz	qofcheol opchedy qokain op chedy lchey cphar ol okalor	qofcheol opchedy qokain op chedy lchey cphar ol okalor	qofcheol opchedy qokain op chedy lchey cphar ⟦erhitzter Arzneiansatz⟧	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P016	G781-S016	G769-T0409	f81r	f81	f81r.6	2	3	eses	f81r.6@3	Zubereitung	sar ol eses oteey shor qokeey ol	sar ol eses oteey shor qokeey ol	sar ⟦Zubereitung⟧ oteey shor qokeey ol	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P017	G781-S017	G769-T0425	f81v	f81	f81v.7	2	3	sheckhal	f81v.7@3	feuchte Arzneimischung	olor ol sheckhal daiin qokeedal daiin chckhy schedy qol	olor ol sheckhal daiin qokeedal daiin chckhy schedy qol	olor ⟦feuchte Arzneimischung⟧ daiin qokeedal daiin chckhy schedy qol	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P018	G781-S018	G769-T0450	f85r1	f85	f85r1.11	2	3	shdair	f85r1.11@3	Arzneistoff	pdar ol shdair qopcheedy dal chdal chor shefshoro raiin dolor aiin opakam	pdar ol shdair qopcheedy dal chdal chor shefshoro raiin dolor aiin opakam	pdar ⟦Arzneistoff⟧ qopcheedy dal chdal chor shefshoro raiin dolor aiin opakam	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P019	G781-S019	G769-T0462	f85r2	f85	f85r2.23	4	5	sheoly	f85r2.23@5	Feuchtzustand	ol lcheol chol ol sheoly	⟦Binnenfeld: Trockenmaterial⟧ chol ol sheoly	⟦Binnenfeld: Trockenmaterial⟧ chol ⟦Feuchtzustand⟧	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P020	G781-S020	G769-T0466	f86v5	f86	f86v5.15	11	12	chsky	f86v5.15@12	heiß und trocken	ykar ar alody or eees aiin okar qokaiin ykar ar ol chsky	ykar ar alody or eees aiin okar qokaiin ykar ar ol chsky	ykar ar alody or eees aiin okar qokaiin ykar ar ⟦heiß und trocken⟧	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P021	G781-S021	G769-T0488	f88r	f88	f88r.22	5	6	chorcholsal	f88r.22@6	getrocknete Stoffzubereitung	ychey okaiin chol cheor ol chorcholsal	ychey okaiin chol cheor ol chorcholsal	ychey okaiin chol cheor ⟦getrocknete Stoffzubereitung⟧	Trocknung bis zur Mittelstufe, dann Abschluss | Heißansatz, Grad III | trocken | trockener Teil | getrocknete Stoffzubereitung	ychey=trockne hiervon bis zur Mittelstufe und schließe ab || okaiin=heißer Ansatz, Grad III || chol=trocken || cheor=trockener Teil || chorcholsal=getrocknete Stoffzubereitung	WORKING_DISPLAY_NOT_PLAINTEXT	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P022	G781-S022	G769-T0492	f89v1	f89	f89v1.9	7	8	cheokchey	f89v1.9@8	Trockenzubereitung, Mittelstufe	too cthor okol chekaiin os aiin ol cheokchey qokoiiin du	too cthor okol chekaiin os aiin ol cheokchey qokoiiin du	too cthor okol chekaiin os aiin ⟦Trockenzubereitung, Mittelstufe⟧ qokoiiin du	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G781-P023	G781-S023	G769-T0497	f90r1	f90	f90r1.5	5	6	okachey	f90r1.5@6	erhitzte Trockenzubereitung	ytor ckhy lpychol sho ol okachey r sheom kchol dchy dasady	ytor ckhy lpychol sho ol okachey r sheom kchol dchy dasady	ytor ckhy lpychol sho ⟦erhitzte Trockenzubereitung⟧ r sheom kchol dchy dasady	NA	NA	NA	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
