cohort_id	parent_intake_id	target_occurrence_id	page	physical_folio	locus	section	language	hand	ol_ordinal	right_ordinal	right_surface	right_reader_exact	parent_gdt780_selected	frozen_whole_23_member	selection_rule	selection_uses_occurrence_id	selection_uses_page_or_locus	selection_uses_analogy_or_meaning	selection_uses_frequency	selection_uses_substring	default_is_translation	confirmed_lexeme	component_export_credit
G781-I011	G780-I011	G769-T0184	f34r	f34	f34r.5	H	B	2	4	5	okes	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I012	G780-I013	G769-T0246	f66r	f66	f66r.69	T	B	5	4	5	kcheeky	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I013	G780-I014	G769-T0287	f76r	f76	f76r.53	T	B	2	4	5	chedor	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I014	G780-I015	G769-T0292	f77r	f77	f77r.32	B	B	2	4	5	chealor	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I015	G780-I016	G769-T0325	f78v	f78	f78v.20	B	B	2	8	9	okalor	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I016	G780-I017	G769-T0409	f81r	f81	f81r.6	B	B	2	2	3	eses	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I017	G780-I018	G769-T0425	f81v	f81	f81v.7	B	B	2	2	3	sheckhal	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I018	G780-I019	G769-T0450	f85r1	f85	f85r1.11	T	B	2	2	3	shdair	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I019	G780-I020	G769-T0462	f85r2	f85	f85r2.23	C	B	2	4	5	sheoly	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I020	G780-I021	G769-T0466	f86v5	f86	f86v5.15	T	B	2	11	12	chsky	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I021	G780-I023	G769-T0488	f88r	f88	f88r.22	P	A	1	5	6	chorcholsal	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I022	G780-I024	G769-T0492	f89v1	f89	f89v1.9	P	A	1	7	8	cheokchey	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
G781-I023	G780-I025	G769-T0497	f90r1	f90	f90r1.5	H	A	1	5	6	okachey	1	0	1	GDT780_RENDERER_CONTEXTUAL_0_AND_RIGHT_READER_EXACT_1_AND_COMPLETE_RIGHT_SURFACE_IN_FROZEN_WHOLE_23_SPECS	0	0	0	0	0	0	0	0
