page	locus	token_ordinal	surface	rule_id	composition	visible_tail	whole_extension	v64_gloss_de	v65_gloss_de	product_rival_de	basis
f114r	f114r.26	5	okar	F006	O_PREP+K_HOT+AR_FRACTION_I		NONE	erster heißer Drogenauszug	Fraktion I des heißen Ansatzes	heißer Drogenauszug I	Heißqualifikator verändert die Temperatur, nicht den Fraktionskopf.
f75r	f75r.3	8	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f80r	f80r.17	9	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f80v	f80v.27	3	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f80v	f80v.35	3	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f83v	f83v.12	8	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f85r2	f85r2.5	2	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v3	f86v3.13	5	qodaiin	C001	LOCAL_RIGHT_HEAD_CARRY		NONE	drei Portionen des ersten heißen Drogenauszugs	drei Portionen der folgenden Fraktion	drei Portionen des ersten heißen Drogenauszugs	GDT686 bindet die Menge rechts an olkar; der Mehrtokenspan trägt den vollständigen Holzkopf.
f86v3	f86v3.13	6	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v5	f86v5.24	1	oar	F003	O_PREP+AR_FRACTION_I		NONE	erster Drogenauszug	Fraktion I des Ansatzes	Drogenauszug I	O-Rahmen plus Fraktion I; Auszug bleibt Rivale ohne Abziehmerkmal.
f86v5	f86v5.24	8	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v5	f86v5.4	10	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v6	f86v6.25	3	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v6	f86v6.25	4	qodar	F015	QO_FRAME+D_MEASURE+AR_FRACTION_I		NONE	die erste Ansatzfraktion abmessen	Fraktion I abmessen	erste Ansatz- oder Auszugsfraktion abmessen	QO trägt hier den bereits gebundenen Aktionsordinal, aber keinen freien Ansatzwert.
f86v6	f86v6.31	4	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v6	f86v6.31	6	okar	F006	O_PREP+K_HOT+AR_FRACTION_I		NONE	erster heißer Drogenauszug	Fraktion I des heißen Ansatzes	heißer Drogenauszug I	Heißqualifikator verändert die Temperatur, nicht den Fraktionskopf.
f86v6	f86v6.4	12	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v6	f86v6.5	4	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v6	f86v6.5	5	daiin	C002	LOCAL_LEFT_HEAD_CARRY		NONE	drei Portionen des ersten heißen Drogenauszugs	drei Portionen davon	drei Portionen des ersten heißen Drogenauszugs	GDT686 bindet die Menge links an olkar; der Mehrtokenspan erhält Holz ohne den Kopf zu wiederholen.
f95v1	f95v1.7	4	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I		NONE	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f95v1	f95v1.7	7	otar	F007	O_PREP+T_COLD+AR_FRACTION_I		NONE	erster Kaltauszug der Droge	Fraktion I des kalten Ansatzes	kalter Drogenauszug I	Kaltqualifikator verändert die Temperatur, nicht den Fraktionskopf.
f95v1	f95v1.7	11	otardy	F010	O_PREP+T_COLD+AR_FRACTION_I	dy	EXACT_OTARDY_FINISHED_RESULT_TAIL	fertige erste kalte Ansatzfraktion	fertige Fraktion I des kalten Ansatzes	fertiger kalter Drogenauszug I	Fertig ist ein exact-whole Resultatschwanz und kein exportierter freier DY-Wert.
