page	locus	token_ordinal	surface	rule_id	composition	family	visible_tail	whole_extension	action_licensed	v64_gloss_de	v65_gloss_de	changed	product_rival_de	basis
f83v	f83v.12	8	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f85r2	f85r2.5	2	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v3	f86v3.13	6	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v5	f86v5.2	3	qokar	F013	QO_FRAME+K_HOT+AR_FRACTION_I	QO_TEMPERATURE_R_LADDER		NONE	0	heiße Drogenfraktion I	heiße Drogenfraktion I	0	heißer Drogenauszug I	Nominale QO-Schwester; kein zusätzliches Verb und kein Ansatzimport.
f86v5	f86v5.2	5	qokar	F013	QO_FRAME+K_HOT+AR_FRACTION_I	QO_TEMPERATURE_R_LADDER		NONE	0	heiße Drogenfraktion I	heiße Drogenfraktion I	0	heißer Drogenauszug I	Nominale QO-Schwester; kein zusätzliches Verb und kein Ansatzimport.
f86v5	f86v5.24	1	oar	F003	O_PREP+AR_FRACTION_I	O_PREP_R_LADDER		NONE	0	erster Drogenauszug	Fraktion I des Ansatzes	1	Drogenauszug I	O-Rahmen plus Fraktion I; Auszug bleibt Rivale ohne Abziehmerkmal.
f86v5	f86v5.24	8	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v5	f86v5.4	10	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v6	f86v6.25	2	qokar	F013	QO_FRAME+K_HOT+AR_FRACTION_I	QO_TEMPERATURE_R_LADDER		NONE	0	heiße Drogenfraktion I	heiße Drogenfraktion I	0	heißer Drogenauszug I	Nominale QO-Schwester; kein zusätzliches Verb und kein Ansatzimport.
f86v6	f86v6.25	3	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v6	f86v6.25	4	qodar	F015	QO_FRAME+D_MEASURE+AR_FRACTION_I	QO_ACTION_R_LADDER		NONE	1	die erste Ansatzfraktion abmessen	Fraktion I abmessen	1	erste Ansatz- oder Auszugsfraktion abmessen	QO trägt hier den bereits gebundenen Aktionsordinal, aber keinen freien Ansatzwert.
f86v6	f86v6.31	4	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v6	f86v6.31	6	okar	F006	O_PREP+K_HOT+AR_FRACTION_I	O_PREP_TEMPERATURE_R_LADDER		NONE	0	erster heißer Drogenauszug	Fraktion I des heißen Ansatzes	1	heißer Drogenauszug I	Heißqualifikator verändert die Temperatur, nicht den Fraktionskopf.
f86v6	f86v6.4	12	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v6	f86v6.5	4	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f86v6	f86v6.5	9	qokar	F013	QO_FRAME+K_HOT+AR_FRACTION_I	QO_TEMPERATURE_R_LADDER		NONE	0	heiße Drogenfraktion I	heiße Drogenfraktion I	0	heißer Drogenauszug I	Nominale QO-Schwester; kein zusätzliches Verb und kein Ansatzimport.
f86v6	f86v6.5	12	qotar	F014	QO_FRAME+T_COLD+AR_FRACTION_I	QO_TEMPERATURE_R_LADDER		NONE	0	kalte Drogenfraktion I	kalte Drogenfraktion I	0	kalter Drogenauszug I	Nominale QO-Schwester; kein zusätzliches Verb und kein Ansatzimport.
f95v1	f95v1.7	3	qokar	F013	QO_FRAME+K_HOT+AR_FRACTION_I	QO_TEMPERATURE_R_LADDER		NONE	0	heiße Drogenfraktion I	heiße Drogenfraktion I	0	heißer Drogenauszug I	Nominale QO-Schwester; kein zusätzliches Verb und kein Ansatzimport.
f95v1	f95v1.7	4	olkar	F011	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	O_PREP_MATERIAL_R_LADDER		NONE	0	erster heißer Holzauszug	Fraktion I des heißen Holzansatzes	1	heißer Holzauszug I	Materialkopf Holz plus Hitze plus Fraktion I; Genitiv erhält die Klammerung.
f95v1	f95v1.7	7	otar	F007	O_PREP+T_COLD+AR_FRACTION_I	O_PREP_TEMPERATURE_R_LADDER		NONE	0	erster Kaltauszug der Droge	Fraktion I des kalten Ansatzes	1	kalter Drogenauszug I	Kaltqualifikator verändert die Temperatur, nicht den Fraktionskopf.
f95v1	f95v1.7	11	otardy	F010	O_PREP+T_COLD+AR_FRACTION_I	O_PREP_DERIVED_FRACTION	dy	EXACT_OTARDY_FINISHED_RESULT_TAIL	0	fertige erste kalte Ansatzfraktion	fertige Fraktion I des kalten Ansatzes	1	fertiger kalter Drogenauszug I	Fertig ist ein exact-whole Resultatschwanz und kein exportierter freier DY-Wert.
