occurrence_ordinal	surface	event_id	statement_id	card_ordinal_in_statement	physical_page	register	final_recipe	explicit_action_roots	incoming_action_root	incoming_action_source_event_id	incoming_action_distance_cards	explicit_argument_roots	incoming_argument_root	incoming_argument_source_event_id	incoming_argument_distance_cards	known_occurrence_requirement	known_clause_needs_active_action	known_clause_needs_active_argument	future_action_contract	future_argument_contract	resolved_action_root	resolved_argument_root	neutral_surface_phrase_de	known_contextual_clause_de	exact_recipe_roundtrip	guard
11	cthom	G515-E0042	G515-S004	7	f4r	HERBAL	CH+T+O+M_LOCAL	CH|T	NONE	NONE	NONE	NONE	AIIN	G515-E0041	1	REQUIRES_ACTIVE_ARGUMENT	NO	YES	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	T	AIIN	Nehmen und einstellen; zur Ausführung; hier.	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein; zur Ausführung; an der bezeichneten Stelle.	CH+T+O+M_LOCAL	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
12	cpholdy	G515-E0047	G515-S004	12	f4r	HERBAL	CH+P+OL+DY	CH|P	NONE	NONE	NONE	NONE	Y	G515-E0046	1	REQUIRES_ACTIVE_ARGUMENT	NO	YES	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	P	Y	Nehmen und einsetzen; fortsetzen; abschließen.	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; führe fort; schließe den Schritt.	CH+P+OL+DY	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
13	ckhochy	G515-E0049	G515-S005	2	f4r	HERBAL	CH+K+O+CH+Y	CH|K|CH	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	CH	Y	Den Posten nehmen, geben und erneut nehmen; zur Ausführung.	Nimm den Pflanzenposten, gib den Pflanzenposten zu und nimm den Pflanzenposten; zur Ausführung.	CH+K+O+CH+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
14	shyshol	G515-E0055	G515-S005	8	f4r	HERBAL	SH+Y+SH+OL	SH|SH	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	SH	Y	Den Posten zweimal halten; fortsetzen.	Halte den Pflanzenposten und halte den Pflanzenposten; führe fort.	SH+Y+SH+OL	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
15	cphaiin	G515-E0056	G515-S005	9	f4r	HERBAL	CH+P+AIIN	CH|P	NONE	NONE	NONE	AIIN	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	P	AIIN	Den Wert nehmen und einsetzen.	Nimm den Arbeitswert und setze den Arbeitswert ein.	CH+P+AIIN	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
16	qotchoiin	G515-E0057	G515-S005	10	f4r	HERBAL	OT+CH+O+IIN	CH	NONE	NONE	NONE	NONE	AIIN	G515-E0056	1	REQUIRES_ACTIVE_ARGUMENT	NO	YES	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	CH	AIIN	Danach; nehmen; zur Ausführung; auf der bezeichneten Stufe.	Danach: nimm den Arbeitswert [wie zuvor]; zur Ausführung und auf der bezeichneten Stufe.	OT+CH+O+IIN	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
17	faiis	G515-E0065	G515-S006	1	f20v	HERBAL	LOCAL_CHAR_F+IIN+S	S	NONE	NONE	NONE	NONE	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	S	NONE	Hier; auf der bezeichneten Stufe; wählen.	Wähle; auf der bezeichneten Stufe; an der bezeichneten Stelle.	LOCAL_CHAR_F+IIN+S	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
18	okoy	G515-E0067	G515-S006	3	f20v	HERBAL	OK+O+Y	OK	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	OK	Y	Den Posten setzen; zur Ausführung.	Setze den Pflanzenposten im Arbeitsgang an; zur Ausführung.	OK+O+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
19	pofochey	G515-E0069	G515-S006	5	f20v	HERBAL	P+O+LOCAL_CHAR_F+O+CH+E+Y	P|CH	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	CH	Y	Den Posten einsetzen und nehmen; zur Ausführung; hier; erneut zur Ausführung; auf Grad I.	Setze den Pflanzenposten ein und nimm den Pflanzenposten; zur Ausführung [außen], zur Ausführung [innen] und auf Grad I; an der bezeichneten Stelle.	P+O+LOCAL_CHAR_F+O+CH+E+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
20	ykoiin	G515-E0076	G515-S007	3	f20v	HERBAL	Y+K+O+IIN	K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	K	Y	Den Posten geben; zur Ausführung; auf der bezeichneten Stufe.	Gib den Pflanzenposten zu; zur Ausführung und auf der bezeichneten Stufe.	Y+K+O+IIN	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
21	choiin	G515-E0079	G515-S007	6	f20v	HERBAL	CH+O+IIN	CH	NONE	NONE	NONE	NONE	Y	G515-E0076	3	REQUIRES_ACTIVE_ARGUMENT	NO	YES	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	CH	Y	Nehmen; zur Ausführung; auf der bezeichneten Stufe.	Nimm den Pflanzenposten [wie zuvor]; zur Ausführung und auf der bezeichneten Stufe.	CH+O+IIN	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
22	tolshy	G515-E0092	G515-S007	19	f20v	HERBAL	T+OL+SH+Y	T|SH	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	SH	Y	Den Posten einstellen und halten; fortsetzen.	Stelle den Pflanzenposten ein und halte den Pflanzenposten; führe fort.	T+OL+SH+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
23	folchol	G515-E0100	G515-S008	2	f20v	HERBAL	LOCAL_CHAR_F+OL+OL	NONE	SH	G515-E0099	1	NONE	NONE	NONE	NONE	REQUIRES_ACTIVE_ACTION	YES	NO	USE_SAME_STATEMENT_ACTIVE_ACTION__ELSE_RENDER_NONVERBAL_FRAGMENT	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	SH	NONE	Hier; zweimal fortsetzen.	Im laufenden Satz halte; an der bezeichneten Stelle; führe 2-mal fort.	LOCAL_CHAR_F+OL+OL	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
24	fshodchy	G515-E0104	G515-S008	6	f20v	HERBAL	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	SH|CH	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	CH	Y	Hier; den Posten halten und nehmen; zur Ausführung; hier.	Halte den Pflanzenposten und nimm den Pflanzenposten; zur Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
25	doiiin	G515-E0108	G515-S008	10	f20v	HERBAL	D_ADDR+O+IIN	NONE	P	G515-E0106	2	NONE	Y	G515-E0107	1	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	YES	YES	USE_SAME_STATEMENT_ACTIVE_ACTION__ELSE_RENDER_NONVERBAL_FRAGMENT	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	P	Y	Hier; zur Ausführung; auf der bezeichneten Stufe.	Im laufenden Satz setze den Pflanzenposten [wie zuvor] ein; zur Ausführung und auf der bezeichneten Stufe; an der bezeichneten Stelle.	D_ADDR+O+IIN	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
26	sheoy	G515-E0120	G515-S008	22	f20v	HERBAL	SH+E+O+Y	SH	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	SH	Y	Den Posten halten; auf Grad I; zur Ausführung.	Halte den Pflanzenposten; auf Grad I und zur Ausführung.	SH+E+O+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
27	soaiin	G515-E0123	G515-S008	25	f20v	HERBAL	S+O+AIIN	S	NONE	NONE	NONE	AIIN	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	S	AIIN	Den Wert wählen; zur Ausführung.	Wähle den Arbeitswert; zur Ausführung.	S+O+AIIN	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
28	shain	G515-E0124	G515-S008	26	f20v	HERBAL	SH+AIN	SH	NONE	NONE	NONE	AIN	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	SH	AIN	Den Anteil halten.	Halte den Materialanteil.	SH+AIN	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
29	choraly	G515-E0125	G515-S008	27	f20v	HERBAL	CH+OR+AL+Y	CH	NONE	NONE	NONE	OR|Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	CH	Y	Die Einheit und den Posten nehmen; am Zielort.	Nimm die Arbeitseinheit und den Pflanzenposten; zur Zielstelle.	CH+OR+AL+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
30	keody	G515-E0133	G515-S008	35	f20v	HERBAL	K+E+O+D_ADDR+Y	K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	K	Y	Den Posten geben; auf Grad I; zur Ausführung; hier.	Gib den Pflanzenposten zu; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	K+E+O+D_ADDR+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
31	shd	G515-E0137	G515-S008	39	f20v	HERBAL	SH+D_ADDR	SH	NONE	NONE	NONE	NONE	Y	G515-E0135	2	REQUIRES_ACTIVE_ARGUMENT	NO	YES	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	SH	Y	Halten; hier.	Halte den Pflanzenposten [wie zuvor]; an der bezeichneten Stelle.	SH+D_ADDR	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
32	chory	G515-E0150	G515-S008	52	f20v	HERBAL	CH+OR+Y	CH	NONE	NONE	NONE	OR|Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	CH	Y	Die Einheit und den Posten nehmen.	Nimm die Arbeitseinheit und den Pflanzenposten.	CH+OR+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
33	keedey	G515-E0151	G515-S009	1	f31r	HERBAL	K+EE+D_ADDR+E+Y	K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	K	Y	Den Posten geben; auf Grad II; hier; auf Grad I.	Gib den Pflanzenposten zu; auf Grad II und auf Grad I; an der bezeichneten Stelle.	K+EE+D_ADDR+E+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
34	shee	G515-E0153	G515-S009	3	f31r	HERBAL	SH+EE	SH	NONE	NONE	NONE	NONE	Y	G515-E0152	1	REQUIRES_ACTIVE_ARGUMENT	NO	YES	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	SH	Y	Halten; auf Grad II.	Halte den Pflanzenposten [wie zuvor]; auf Grad II.	SH+EE	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
35	qokee	G515-E0156	G515-S009	6	f31r	HERBAL	OK+EE	OK	NONE	NONE	NONE	NONE	AIIN	G515-E0155	1	REQUIRES_ACTIVE_ARGUMENT	NO	YES	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	OK	AIIN	Setzen; auf Grad II.	Setze den Arbeitswert [wie zuvor] im Arbeitsgang an; auf Grad II.	OK+EE	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
36	chepakeo	G515-E0157	G515-S009	7	f31r	HERBAL	CH+E+P+A_ADDR+K+E+O	CH|P|K	NONE	NONE	NONE	NONE	AIIN	G515-E0155	2	REQUIRES_ACTIVE_ARGUMENT	NO	YES	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	K	AIIN	Nehmen, einsetzen und geben; auf Grad I; hier; erneut auf Grad I; zur Ausführung.	Nimm den Arbeitswert [wie zuvor], setze den Arbeitswert [wie zuvor] ein und gib den Arbeitswert [wie zuvor] zu; auf Grad I [außen], auf Grad I [innen] und zur Ausführung; an der bezeichneten Stelle.	CH+E+P+A_ADDR+K+E+O	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
37	dcheey	G515-E0158	G515-S009	8	f31r	HERBAL	D_ADDR+CH+EE+Y	CH	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	CH	Y	Hier; den Posten nehmen; auf Grad II.	Nimm den Pflanzenposten; auf Grad II; an der bezeichneten Stelle.	D_ADDR+CH+EE+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
38	qokees	G515-E0161	G515-S010	1	f31r	HERBAL	OK+EE+S	OK|S	NONE	NONE	NONE	NONE	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	S	NONE	Setzen und wählen; auf Grad II.	Setze im Arbeitsgang an und wähle; auf Grad II.	OK+EE+S	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
39	shekeey	G515-E0164	G515-S010	4	f31r	HERBAL	SH+E+K+EE+Y	SH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	NO	NO	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	K	Y	Den Posten halten und geben; auf Grad I; auf Grad II.	Halte den Pflanzenposten und gib den Pflanzenposten zu; auf Grad I und auf Grad II.	SH+E+K+EE+Y	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
40	qef	G515-E0165	G515-S010	5	f31r	HERBAL	E+LOCAL_CHAR_F	NONE	K	G515-E0164	1	NONE	Y	G515-E0164	1	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	YES	YES	USE_SAME_STATEMENT_ACTIVE_ACTION__ELSE_RENDER_NONVERBAL_FRAGMENT	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	K	Y	Auf Grad I; hier.	Im laufenden Satz gib den Pflanzenposten [wie zuvor] zu; auf Grad I; an der bezeichneten Stelle.	E+LOCAL_CHAR_F	KNOWN_OCCURRENCE_REQUIREMENT__FUTURE_CONTEXT_RULE_IS_WORKING_DEFAULT
