surface_ordinal	surface	final_recipe	event_count	physical_pages	event_ids	observed_requirement_modes	observed_mode_count	self_contained_occurrence_count	active_action_occurrence_count	active_argument_occurrence_count	both_active_occurrence_count	surface_evidence_class	visible_action_roots	visible_argument_roots	observed_incoming_action_roots	observed_incoming_argument_roots	max_action_source_distance_cards	max_argument_source_distance_cards	future_action_contract	future_argument_contract	minimum_future_state_for_verbal_clause	new_page_intake_de	neutral_surface_phrase_de	known_contextual_readings_de	guard
11	chedaiir	CHD+IIN+R	1	f66r	G515-E0392	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	CHD|R	NONE	NONE	Y	NONE	1	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Bearbeiten und markieren; auf der bezeichneten Stufe.	Bearbeite den laufenden Eintrag [wie zuvor] und kennzeichne den laufenden Eintrag [wie zuvor]; auf der bezeichneten Stufe.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
12	cheeo	CH+EE+O	1	f66r	G515-E0322	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	CH	NONE	NONE	Y	NONE	2	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen; auf Grad II; zur Ausführung.	Entnimm den laufenden Eintrag [wie zuvor]; auf Grad II und zur Ausführung.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
13	chefchy	CH+E+LOCAL_CHAR_F+CH+Y	1	f66r	G515-E0304	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH|CH	Y	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Den Posten zweimal nehmen; auf Grad I; hier.	Entnimm den laufenden Eintrag und entnimm den laufenden Eintrag; auf Grad I; an der bezeichneten Stelle.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
14	chekchy	CH+K+Y	1	f66r	G515-E0426	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH|K	Y	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Den Posten nehmen und geben.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
15	chekeey	CH+K+EE+Y	1	f66r	G515-E0325	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH|K	Y	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Den Posten nehmen und geben; auf Grad II.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; auf Grad II.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
16	chekeody	CH+K+E+O+DY	1	f66r	G515-E0350	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	CH|K	NONE	NONE	Y	NONE	1	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen und geben; auf Grad I; zur Ausführung; abschließen.	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I und zur Ausführung; schließe den Schritt.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
17	cheod	CH+E+O+D_ADDR	1	f31r	G515-E0207	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH	NONE	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen; auf Grad I; zur Ausführung; hier.	Nimm; auf Grad I und zur Ausführung; an der bezeichneten Stelle.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
18	chepakeo	CH+E+P+A_ADDR+K+E+O	1	f31r	G515-E0157	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	CH|P|K	NONE	NONE	AIIN	NONE	2	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen, einsetzen und geben; auf Grad I; hier; erneut auf Grad I; zur Ausführung.	Nimm den Arbeitswert [wie zuvor], setze den Arbeitswert [wie zuvor] ein und gib den Arbeitswert [wie zuvor] zu; auf Grad I [außen], auf Grad I [innen] und zur Ausführung; an der bezeichneten Stelle.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
19	chepos	CH+E+P+O+S	1	f31r	G515-E0191	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH|P|S	NONE	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen, einsetzen und wählen; auf Grad I; zur Ausführung.	Nimm, setze ein und wähle; auf Grad I und zur Ausführung.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
20	cheta	CH+E+T+A_ADDR	1	f66r	G515-E0380	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH|T	NONE	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen und einstellen; auf Grad I; hier.	Entnimm und lege fest; auf Grad I; an der bezeichneten Stelle.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
21	choekeey	CH+O+E+K+EE+Y	1	f66r	G515-E0348	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH|K	Y	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Den Posten nehmen und geben; zur Ausführung; auf Grad I; auf Grad II.	Entnimm den laufenden Eintrag und ordne den laufenden Eintrag zu; zur Ausführung, auf Grad I und auf Grad II.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
22	choiin	CH+O+IIN	1	f20v	G515-E0079	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	CH	NONE	NONE	Y	NONE	3	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen; zur Ausführung; auf der bezeichneten Stufe.	Nimm den Pflanzenposten [wie zuvor]; zur Ausführung und auf der bezeichneten Stufe.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
23	cholpchd	OL+P+CHD	1	f66r	G515-E0307	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	P|CHD	NONE	NONE	Y	NONE	1	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Fortsetzen; einsetzen und bearbeiten.	Setze den laufenden Eintrag [wie zuvor] ein und bearbeite den laufenden Eintrag [wie zuvor]; führe fort.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
24	choraiin	CH+OR+AIIN	1	f4r	G515-E0017	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH	OR|AIIN	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Die Einheit und den Wert nehmen.	Nimm die Arbeitseinheit und den Arbeitswert.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
25	choraly	CH+OR+AL+Y	1	f20v	G515-E0125	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH	OR|Y	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Die Einheit und den Posten nehmen; am Zielort.	Nimm die Arbeitseinheit und den Pflanzenposten; zur Zielstelle.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
26	chory	CH+OR+Y	1	f20v	G515-E0150	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH	OR|Y	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Die Einheit und den Posten nehmen.	Nimm die Arbeitseinheit und den Pflanzenposten.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
27	chpady	CH+P+A_ADDR+DY	1	f4r	G515-E0002	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	CH|P	NONE	NONE	Y	NONE	1	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen und einsetzen; hier; abschließen.	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; an der bezeichneten Stelle; schließe den Schritt.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
28	chxar	CH+LOCAL_X+AR	1	f66r	G515-E0438	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	CH	NONE	NONE	Y	NONE	1	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen; mit lokalem X-Zeichen-/Namenskern; vom Ausgang.	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; mit dem lokalen X-Zeichen-/Namenskern.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
29	ckhochy	CH+K+O+CH+Y	1	f4r	G515-E0049	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH|K|CH	Y	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Den Posten nehmen, geben und erneut nehmen; zur Ausführung.	Nimm den Pflanzenposten, gib den Pflanzenposten zu und nimm den Pflanzenposten; zur Ausführung.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
30	cphaiin	CH+P+AIIN	1	f4r	G515-E0056	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH|P	AIIN	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Den Wert nehmen und einsetzen.	Nimm den Arbeitswert und setze den Arbeitswert ein.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
31	cpholdy	CH+P+OL+DY	1	f4r	G515-E0047	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	CH|P	NONE	NONE	Y	NONE	1	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen und einsetzen; fortsetzen; abschließen.	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; führe fort; schließe den Schritt.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
32	cthdy	CH+T+D_ADDR+Y	1	f66r	G515-E0320	SELF_CONTAINED	1	1	0	0	0	SINGLETON_ONE_OBSERVED_MODE	CH|T	Y	NONE	NONE	NONE	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Sichtbare Handlung und sichtbares Argument lesen.	Den Posten nehmen und einstellen; hier.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; an der bezeichneten Stelle.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
33	cthom	CH+T+O+M_LOCAL	1	f4r	G515-E0042	REQUIRES_ACTIVE_ARGUMENT	1	0	0	1	0	SINGLETON_ONE_OBSERVED_MODE	CH|T	NONE	NONE	AIIN	NONE	1	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Sichtbare Handlung lesen; laufendes Satzargument übernehmen, falls eines vorhanden ist, sonst objektlos lesen.	Nehmen und einstellen; zur Ausführung; hier.	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein; zur Ausführung; an der bezeichneten Stelle.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
34	da	DA	1	f31r	G515-E0174	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	1	0	0	0	1	SINGLETON_ONE_OBSERVED_MODE	NONE	NONE	S	AIIN	2	1	USE_SAME_STATEMENT_ACTIVE_ACTION__ELSE_RENDER_NONVERBAL_FRAGMENT	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	ACTIVE_ACTION	Laufende Satzhandlung einsetzen und ein laufendes Satzargument übernehmen, falls eines vorhanden ist; ohne Handlung nur als Fragment.	Auf der zweiten Stufe.	Im laufenden Satz wähle den Arbeitswert [wie zuvor]; auf der zweiten Stufe.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
35	dairal	D_ADDR+AIR+AL	1	f66r	G515-E0469	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	1	0	0	0	1	SINGLETON_ONE_OBSERVED_MODE	NONE	NONE	CH	Y	3	1	USE_SAME_STATEMENT_ACTIVE_ACTION__ELSE_RENDER_NONVERBAL_FRAGMENT	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	ACTIVE_ACTION	Laufende Satzhandlung einsetzen und ein laufendes Satzargument übernehmen, falls eines vorhanden ist; ohne Handlung nur als Fragment.	Hier; entlang der Bahn; am Zielort.	Im laufenden Satz entnimm den laufenden Eintrag [wie zuvor]; entlang der Lesebahn und zur Zielspalte; an der bezeichneten Stelle.	SURFACE_CONTRACT_IS_PREDICTIVE_DEFAULT__OBSERVED_MODES_ARE_NOT_UNIVERSAL
