clause_id	physical_page	register	start_event	end_event	events	instructions	crosses_physical_line	end_reason	phase_run_sequence	phase_runs	verb_counts	source_quantity_inventory	target_path_inventory	grade_inventory	natural_process_summary_de
P915-C014	f55v	HERBAL	P912-E0320	P912-E0334	15	6	YES	PAGE_END_OPEN	PREPAREx1>EXECUTEx1>CONDITIONx1>PREPAREx1>SELECTx1>CONTEXTx1	6	OK:1;T:1;CHK:1;K:1;CH:1;S:1	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß;Portion	Ziel- oder Anschlussstelle;weiterer Lauf	kurz;länger	Beim gezeigten Pflanzenmaterial stehen 6 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× einstellen, 1× behandeln, 1× zugeben, 1× entnehmen, 1× auswählen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß, Portion. Der Gang führt über Ziel- oder Anschlussstelle, weiterer Lauf. Die notierten Wirkstufen sind kurz, länger. Der Arbeitsgang bleibt für die folgende Klausel oder Seite offen.
P915-C015	f56r	HERBAL	P912-E0335	P912-E0340	6	4	NO	LICENSED_DY_CLOSE	EXECUTEx1>SELECTx3	2	CH:3;S:2;O:1	NONE	Ziel- oder Anschlussstelle	kurz	Beim gezeigten Pflanzenmaterial stehen 4 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× entnehmen, 2× auswählen, 1× ausführen. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
P915-C016	f56r	HERBAL	P912-E0341	P912-E0385	45	28	YES	LICENSED_DY_CLOSE	SELECTx2>PREPAREx2>SELECTx2>CONDITIONx1>PREPAREx5>SELECTx2>PREPAREx1>CONDITIONx1>PREPAREx1>TRANSFERx1>SELECTx1>PREPAREx1>SELECTx1>PREPAREx1>CONDITIONx1>PREPAREx1>SELECTx1>PREPAREx2>SELECTx1	19	CH:14;OK:10;K:6;O:4;SH:2;CPH:1;S:1;CHK:1;CHD:1	Entnahmestelle oder bezeichnetes Teil;Ansatz;Sollmaß	Ziel- oder Anschlussstelle;Durchlass	kurz;länger	Beim gezeigten Pflanzenmaterial stehen 28 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 14× entnehmen, 10× ansetzen, 6× zugeben, 4× ausführen, 2× halten, 1× umleiten. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Sollmaß. Der Gang führt über Ziel- oder Anschlussstelle, Durchlass. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
P915-C017	f56r	HERBAL	P912-E0386	P912-E0439	54	40	YES	PAGE_END_OPEN	EXECUTEx1>PREPAREx1>CONDITIONx1>SELECTx1>EXECUTEx2>SELECTx2>PREPAREx1>EXECUTEx1>CONDITIONx1>PREPAREx2>CONDITIONx1>SELECTx1>PREPAREx1>CONDITIONx1>PREPAREx5>SELECTx2>EXECUTEx2>CONDITIONx1>SELECTx1>CONDITIONx2>PREPAREx3>SELECTx1>CONDITIONx1>PREPAREx2>SELECTx1>PREPAREx1>CONTEXTx1	27	CH:17;OK:11;K:7;O:7;T:6;S:4;SH:3;CTH:3;R:2	Entnahmestelle oder bezeichnetes Teil;Ansatz;Auszug;Sollmaß	Ziel- oder Anschlussstelle	kurz;länger	Beim gezeigten Pflanzenmaterial stehen 40 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 17× entnehmen, 11× ansetzen, 7× zugeben, 7× ausführen, 6× einstellen, 4× auswählen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Auszug, Sollmaß. Der Gang führt über Ziel- oder Anschlussstelle. Die notierten Wirkstufen sind kurz, länger. Der Arbeitsgang bleibt für die folgende Klausel oder Seite offen.
P915-C018	f75r	BIOLOGICAL	P912-E0440	P912-E0446	7	6	NO	LICENSED_DY_CLOSE	PREPAREx4>TRANSFERx1>CONDITIONx1	3	K:3;CHD:2;OK:2;SHED:1	Entnahmestelle oder bezeichnetes Teil	NONE	länger	An der gezeigten Bad- oder Arbeitsstation stehen 6 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× zugeben, 2× umsetzen, 2× ansetzen, 1× absetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
P915-C019	f75r	BIOLOGICAL	P912-E0447	P912-E0451	5	3	NO	LICENSED_DY_CLOSE	CONDITIONx1>SELECTx1>CONTEXTx1	3	SH:2;S:1	Portion	weiterer Lauf	kurz	An der gezeigten Bad- oder Arbeitsstation stehen 3 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× halten, 1× auswählen. Als Einsatzgrößen erscheinen Portion. Der Gang führt über weiterer Lauf. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
P915-C020	f75r	BIOLOGICAL	P912-E0452	P912-E0453	2	2	NO	LICENSED_DY_CLOSE	TRANSFERx1>CONDITIONx1	2	CHD:1;K:1;CHK:1	Entnahmestelle oder bezeichnetes Teil	NONE	länger	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× umsetzen, 1× zugeben, 1× behandeln. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
P915-C021	f75r	BIOLOGICAL	P912-E0454	P912-E0473	20	15	YES	LICENSED_DY_CLOSE	CONDITIONx1>PREPAREx1>SELECTx1>PREPAREx1>CONDITIONx1>EXECUTEx1>TRANSFERx1>PREPAREx2>CONDITIONx1>PREPAREx1>CONDITIONx1>PREPAREx1>CONDITIONx1>PREPAREx1	14	K:5;SH:4;OK:3;R:1;CH:1;T:1;SOLK:1;O:1	Entnahmestelle oder bezeichnetes Teil;Ansatz;Portion	Ziel- oder Anschlussstelle;weiterer Lauf;Durchlass	kurz;länger	An der gezeigten Bad- oder Arbeitsstation stehen 15 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 5× zugeben, 4× halten, 3× ansetzen, 1× kennzeichnen, 1× entnehmen, 1× einstellen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Portion. Der Gang führt über Ziel- oder Anschlussstelle, weiterer Lauf, Durchlass. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
P915-C022	f75r	BIOLOGICAL	P912-E0474	P912-E0481	8	4	NO	LICENSED_DY_CLOSE	CONDITIONx1>PREPAREx1>CONDITIONx2	3	SH:2;K:1;R:1	Entnahmestelle oder bezeichnetes Teil;Portion	Durchlass	kurz;länger	An der gezeigten Bad- oder Arbeitsstation stehen 4 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× halten, 1× zugeben, 1× kennzeichnen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Portion. Der Gang führt über Durchlass. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
P915-C023	f75r	BIOLOGICAL	P912-E0482	P912-E0490	9	8	YES	LICENSED_DY_CLOSE	PREPAREx3>TRANSFERx1>PREPAREx2>SELECTx1>PREPAREx1	5	OK:5;P:1;K:1;SOLK:1;CH:1;CTH:1	Entnahmestelle oder bezeichnetes Teil;Ansatz;Portion	NONE	kurz;länger	An der gezeigten Bad- oder Arbeitsstation stehen 8 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 5× ansetzen, 1× einsetzen, 1× zugeben, 1× auffangen, 1× entnehmen, 1× bereitstellen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Portion. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
P915-C024	f75r	BIOLOGICAL	P912-E0491	P912-E0492	2	2	YES	LICENSED_DY_CLOSE	PREPAREx2	1	OK:1;P:1;CHD:1	NONE	NONE	NONE	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× einsetzen, 1× umsetzen. Danach wird der Arbeitsschritt geschlossen.
P915-C025	f75r	BIOLOGICAL	P912-E0493	P912-E0493	1	1	NO	LICENSED_DY_CLOSE	PREPAREx1	1	OK:1;SH:1	NONE	NONE	NONE	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× halten. Danach wird der Arbeitsschritt geschlossen.
P915-C026	f75r	BIOLOGICAL	P912-E0494	P912-E0503	10	7	YES	LICENSED_DY_CLOSE	EXECUTEx1>TRANSFERx1>PREPAREx1>TRANSFERx1>PREPAREx1>SELECTx1>PREPAREx1	7	OK:3;CHD:2;T:1;S:1	Entnahmestelle oder bezeichnetes Teil;Ansatz;Portion	weiterer Lauf	NONE	An der gezeigten Bad- oder Arbeitsstation stehen 7 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 3× ansetzen, 2× umsetzen, 1× einstellen, 1× auswählen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Portion. Der Gang führt über weiterer Lauf. Danach wird der Arbeitsschritt geschlossen.
P915-C027	f75r	BIOLOGICAL	P912-E0504	P912-E0507	4	3	NO	LICENSED_DY_CLOSE	CONDITIONx1>PREPAREx1>TRANSFERx1	3	SH:1;OK:1;LSH:1	Entnahmestelle oder bezeichnetes Teil;Portion	Durchlass	kurz	An der gezeigten Bad- oder Arbeitsstation stehen 3 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× halten, 1× ansetzen, 1× spülen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Portion. Der Gang führt über Durchlass. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
P915-C028	f75r	BIOLOGICAL	P912-E0508	P912-E0508	1	1	NO	LICENSED_DY_CLOSE	PREPAREx1	1	OK:1	NONE	NONE	länger	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
P915-C029	f75r	BIOLOGICAL	P912-E0509	P912-E0509	1	1	NO	LICENSED_DY_CLOSE	PREPAREx1	1	OK:1;CHD:1	NONE	NONE	NONE	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× umsetzen. Danach wird der Arbeitsschritt geschlossen.
P915-C030	f75r	BIOLOGICAL	P912-E0510	P912-E0512	3	3	NO	LICENSED_DY_CLOSE	SELECTx1>EXECUTEx1>PREPAREx1	3	CH:1;CTH:1;O:1;OK:1	NONE	weiterer Lauf	kurz	An der gezeigten Bad- oder Arbeitsstation stehen 3 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× entnehmen, 1× bereitstellen, 1× ausführen, 1× ansetzen. Der Gang führt über weiterer Lauf. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
P915-C031	f75r	BIOLOGICAL	P912-E0513	P912-E0516	4	4	NO	LICENSED_DY_CLOSE	PREPAREx1>SELECTx1>PREPAREx1>TRANSFERx1	4	OK:2;CH:1;CHD:1	Entnahmestelle oder bezeichnetes Teil	Durchlass	kurz	An der gezeigten Bad- oder Arbeitsstation stehen 4 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× ansetzen, 1× entnehmen, 1× umsetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil. Der Gang führt über Durchlass. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
P915-C032	f75r	BIOLOGICAL	P912-E0517	P912-E0526	10	6	YES	LICENSED_DY_CLOSE	SELECTx1>CONDITIONx1>TRANSFERx1>CONDITIONx1>PREPAREx1>EXECUTEx1	6	SH:2;S:1;CHD:1;OK:1;T:1	Entnahmestelle oder bezeichnetes Teil;Ansatz;Portion	Ziel- oder Anschlussstelle;Durchlass	kurz	An der gezeigten Bad- oder Arbeitsstation stehen 6 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× halten, 1× auswählen, 1× umsetzen, 1× ansetzen, 1× einstellen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz, Portion. Der Gang führt über Ziel- oder Anschlussstelle, Durchlass. Die notierten Wirkstufen sind kurz. Danach wird der Arbeitsschritt geschlossen.
P915-C033	f75r	BIOLOGICAL	P912-E0527	P912-E0527	1	1	NO	LICENSED_DY_CLOSE	TRANSFERx1	1	CHD:1	NONE	weiterer Lauf	NONE	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× umsetzen. Der Gang führt über weiterer Lauf. Danach wird der Arbeitsschritt geschlossen.
P915-C034	f75r	BIOLOGICAL	P912-E0528	P912-E0528	1	1	NO	LICENSED_DY_CLOSE	PREPAREx1	1	OK:1	NONE	NONE	länger	An der gezeigten Bad- oder Arbeitsstation stehen 1 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
P915-C035	f75r	BIOLOGICAL	P912-E0529	P912-E0531	3	2	NO	LICENSED_DY_CLOSE	PREPAREx2	1	OK:2	NONE	NONE	länger	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× ansetzen. Die notierten Wirkstufen sind länger. Danach wird der Arbeitsschritt geschlossen.
P915-C036	f75r	BIOLOGICAL	P912-E0532	P912-E0535	4	3	NO	LICENSED_DY_CLOSE	PREPAREx2>CONDITIONx1	2	OK:2;SHED:1	Entnahmestelle oder bezeichnetes Teil	Ziel- oder Anschlussstelle	NONE	An der gezeigten Bad- oder Arbeitsstation stehen 3 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 2× ansetzen, 1× absetzen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil. Der Gang führt über Ziel- oder Anschlussstelle. Danach wird der Arbeitsschritt geschlossen.
P915-C037	f75r	BIOLOGICAL	P912-E0536	P912-E0547	12	8	YES	LICENSED_DY_CLOSE	CONDITIONx1>SELECTx1>PREPAREx1>CONDITIONx5	4	SH:5;CHK:1;S:1;OK:1;R:1	Entnahmestelle oder bezeichnetes Teil;Ansatz	Ziel- oder Anschlussstelle;Durchlass	kurz;länger	An der gezeigten Bad- oder Arbeitsstation stehen 8 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 5× halten, 1× behandeln, 1× auswählen, 1× ansetzen, 1× kennzeichnen. Als Einsatzgrößen erscheinen Entnahmestelle oder bezeichnetes Teil, Ansatz. Der Gang führt über Ziel- oder Anschlussstelle, Durchlass. Die notierten Wirkstufen sind kurz, länger. Danach wird der Arbeitsschritt geschlossen.
P915-C038	f75r	BIOLOGICAL	P912-E0548	P912-E0549	2	2	YES	LICENSED_DY_CLOSE	PREPAREx2	1	OK:1;P:1;CHD:1	NONE	NONE	NONE	An der gezeigten Bad- oder Arbeitsstation stehen 2 Arbeitszüge in einer zusammenhängenden Klausel. Die wiederkehrenden Handlungen sind 1× ansetzen, 1× einsetzen, 1× umsetzen. Danach wird der Arbeitsschritt geschlossen.
