exact_tuple_id	surface_examples	events	pages	r1_selected	r2_selected	r3_selected	r4_selected	v17_selected_default	confidence	source_class	selection_rule
b5df9126607030b95175	cheey|shey	4	f11r|f82r|f83r	until the liquid runs clear	until the liquor runs clear	until the liquid runs clear	until the liquor runs clear	until the liquid runs clear	.57	CLARITY_GATE	four-perspective consensus; R4 whole-passage tie-break
28ffbc88b97772a75f1e	olchedy|qolchedy	3	f81v|f82r|f83r	keep the combined mixture together, then stop	keep the combined mixture covered	draw off the clear liquor	reserve the mixed liquor, then end the instruction	reserve the mixed liquid; end this instruction	.39	RESERVE_MIXTURE_CLOSE	four-perspective consensus; R4 whole-passage tie-break
3b70942557b3a40e8030	olkeedy|solkeedy	3	f81v|f83r	let it settle, then stop	let the liquor settle	let the liquid settle clear	let the liquor settle, then end the instruction	let the liquid settle; end this instruction	.52	SETTLE_LIQUID_CLOSE	four-perspective consensus; R4 whole-passage tie-break
54d0e228ca346110af05	otaiin|sotaiin	3	f82r|f83r	for the same interval	keep it for the stated time	for the same duration	for the same interval as before	for the same interval as before	.50	DURATION_REFERENCE	four-perspective consensus; R4 whole-passage tie-break
87411f84689b4f93a303	qokchdy	3	f81v|f83r	heat it once, then stop	warm it gently once	bring it once to the boil	heat it once, then end the instruction	heat it once; end this instruction	.49	HEAT_ONCE_CLOSE	four-perspective consensus; R4 whole-passage tie-break
90bcf0a9ec0ef56399e6	otal|qotal	3	f83r	toward the lower outlet	toward the lower outlet	toward the lower outlet	toward the lower outlet	toward the lower outlet	.57	LOWER_OUTLET_DIRECTION	four-perspective consensus; R4 whole-passage tie-break
9ad66e67803a12e745de	chokchy|okchy|qokchy	3	f10r|f56r	use the fresh preparation	use the freshly pounded preparation	use the fresh preparation	use the freshly prepared remedy	use the freshly prepared remedy	.52	FRESH_PREPARATION	four-perspective consensus; R4 whole-passage tie-break
9da1b6ac2c929daea697	chkain|kain	3	f81v|f83r	one measured portion	one measured portion	one measured charge	one measured portion	one measured portion	.54	MEASURED_PORTION	four-perspective consensus; R4 whole-passage tie-break
d68bc8de3bcee09db23c	shckhedy	3	f81v|f83r	strain it completely, then stop	strain it thoroughly through cloth	strain it through cloth	strain it once through cloth, then end the instruction	strain it once through cloth; end this instruction	.54	CLOTH_STRAIN_CLOSE	four-perspective consensus; R4 whole-passage tie-break
d904bf7b044dd3922781	cheky	3	f81v|f83r	over gentle heat	at a gentle heat	over a gentle heat	over a gentle heat	over a gentle heat	.55	GENTLE_HEAT	four-perspective consensus; R4 whole-passage tie-break
