exact_tuple_id	surface_examples	events	pages	rival_1_v16_incumbent	rival_1_score	rival_2	rival_2_score	rival_3	rival_3_score	selected_default	conditioned_second_sense	confidence	revision_status	workshop_rule
de7321bface5628e35d6	lchedy	8	f82r|f83r	leave at the ordinary base setting; close the rubric	fit=3;cross_page=4;portability=5;historical=3;repairs=2;total=13	leave it to stand, then stop	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	return it to the lower basin, then stop	fit=4;cross_page=3;portability=5;historical=5;repairs=2;total=15	leave it to stand in its place, then stop		.46	IMPROVED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
0275fbf14e07935b0a45	okeey|qokeey	7	f81v|f82r|f83r	keep gently warmed	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	mix thoroughly	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	keep the vessel in motion	fit=3;cross_page=3;portability=5;historical=4;repairs=2;total=13	keep gently warmed		.56	RETAINED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
1645e612504fcef59ced	okain|qokain	7	f81v|f82r|f83r	then put it in	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	add one measured ingredient	fit=4;cross_page=4;portability=5;historical=5;repairs=2;total=16	pour it into the vessel	fit=5;cross_page=4;portability=5;historical=5;repairs=1;total=18	put or add it into the vessel		.50	IMPROVED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
7a4bb8136330ee4e6e56	chor|or|shor|sor	7	f10r|f55v|f83r	the prepared liquid	fit=5;cross_page=4;portability=5;historical=5;repairs=1;total=18	from the foregoing material	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	the decoction	fit=4;cross_page=3;portability=4;historical=5;repairs=2;total=14	the prepared liquid	In an inherited relation: liquid from the foregoing batch.	.44	RETAINED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	f10r|f11r|f83r	when prepared and ready	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	when it has warmed	fit=3;cross_page=3;portability=4;historical=5;repairs=2;total=13	when the mixture is complete	fit=5;cross_page=4;portability=5;historical=5;repairs=1;total=18	when the preparation is ready		.52	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
308e8ea2d5d190c498e8	okal|qokal	6	f55v|f81v|f82r|f83r	combine the two portions	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	work it in warm clean water	fit=4;cross_page=3;portability=5;historical=5;repairs=2;total=15	join it to the preceding mixture	fit=5;cross_page=4;portability=5;historical=5;repairs=1;total=18	combine the two portions		.50	RETAINED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
4d4559019a961b834aa1	char|dar|sar	5	f10r|f81v|f82r|f83r	of the same	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	then continue	fit=3;cross_page=3;portability=5;historical=5;repairs=2;total=14	from the same batch	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	from the same batch		.50	IMPROVED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	f81v|f82r|f83r	finish this application; close the rubric	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	remove the person and stop	fit=3;cross_page=3;portability=5;historical=5;repairs=2;total=14	let the liquid drain and stop	fit=4;cross_page=3;portability=5;historical=5;repairs=2;total=15	finish this application, then stop		.45	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
2cc054357a929df85f64	cho|sho	4	f56r	thereafter	fit=5;cross_page=5;portability=4;historical=5;repairs=0;total=19	take the same plant part again	fit=3;cross_page=3;portability=3;historical=4;repairs=3;total=10	resume the foregoing topic	fit=4;cross_page=4;portability=4;historical=5;repairs=1;total=16	then, thereafter		.48	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
2cc8bb3c2af19607888f	chckhy|shckhy	4	f81v|f82r	through the joined channels	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	immerse it in the conduit	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	with the connected apparatus	fit=5;cross_page=4;portability=5;historical=5;repairs=1;total=18	through the connected channels		.47	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
b5df9126607030b95175	cheey|shey	4	f11r|f82r|f83r	until it becomes clear	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	until it cools	fit=3;cross_page=3;portability=5;historical=5;repairs=2;total=14	until the opening clears	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	until the liquid runs clear	In Herbal: until the expressed liquid runs clear.	.51	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
28ffbc88b97772a75f1e	olchedy|qolchedy	3	f81v|f82r|f83r	retain the combined mixture; close the rubric	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	cover the joined mixture, then stop	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	leave both portions together, then stop	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	keep the combined mixture together, then stop		.47	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
3b70942557b3a40e8030	olkeedy|solkeedy	3	f81v|f83r	let it settle; close the rubric	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	let it cool, then stop	fit=4;cross_page=3;portability=5;historical=5;repairs=2;total=15	draw off the clear part, then stop	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	let it settle, then stop		.47	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
54d0e228ca346110af05	otaiin|sotaiin	3	f82r|f83r	for the same duration	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	in the same measure	fit=4;cross_page=3;portability=5;historical=5;repairs=2;total=15	for one further interval	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	for the same interval		.46	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
87411f84689b4f93a303	qokchdy	3	f81v|f83r	heat once; close the rubric	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	stir once, then stop	fit=3;cross_page=3;portability=5;historical=5;repairs=2;total=14	warm for one interval, then stop	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	heat it once, then stop		.43	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
90bcf0a9ec0ef56399e6	otal|qotal	3	f83r	toward the lower outlet	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	at the lower vessel	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	through the next opening	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	toward the lower outlet		.43	RETAINED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
9ad66e67803a12e745de	chokchy|okchy|qokchy	3	f10r|f56r	use the fresh preparation	fit=5;cross_page=5;portability=4;historical=5;repairs=0;total=19	take the fresh plant part	fit=4;cross_page=4;portability=4;historical=5;repairs=1;total=16	apply the fresh juice	fit=4;cross_page=4;portability=4;historical=5;repairs=1;total=16	use the fresh preparation		.48	RETAINED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
9da1b6ac2c929daea697	chkain|kain	3	f81v|f83r	one measured share	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	one vesselful	fit=4;cross_page=3;portability=5;historical=5;repairs=2;total=15	the first portion	fit=4;cross_page=4;portability=5;historical=5;repairs=1;total=17	one measured portion		.46	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
d68bc8de3bcee09db23c	shckhedy	3	f81v|f83r	strain completely; close the rubric	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	rinse twice, then stop	fit=3;cross_page=3;portability=5;historical=5;repairs=2;total=14	empty both channels, then stop	fit=3;cross_page=3;portability=5;historical=5;repairs=2;total=14	strain it completely, then stop		.49	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
d904bf7b044dd3922781	cheky	3	f81v|f83r	at gentle heat	fit=5;cross_page=5;portability=5;historical=5;repairs=0;total=20	with a small portion	fit=3;cross_page=3;portability=5;historical=4;repairs=2;total=13	at the lower basin	fit=3;cross_page=3;portability=5;historical=5;repairs=2;total=14	over gentle heat		.45	RETAINED_REPHRASED	Learn the exact card as one whole brevigraph; wrappers do not alter this deck meaning.
