page	locus	surface_sequence	v17_complete_reading	recurrent_events	total_events
f83r	f83r.15	saiin shedal shecthy chey tal shcthy dalchdy qotchedy lchedy	in the stated or usual measure; for one interval; warm water; this present charge; at the indicated place; when the preparation is ready; retain the residue; close the rubric; mix in equal shares; close the rubric; let it cool to the ordinary setting	5	9
f83r	f83r.16	tchedy qokchdy cheedar chldaiin chedy qokain checthy chealror	wash it through once; bring it once to the boil; place the person at the basin; after settling; stir until evenly mixed; put the next measured charge into the vessel; when the preparation is ready; until the flow clears	5	8
f83r	f83r.20	solkeedy qoteedy qokeey qokedy sol cheeety qokedy qoky saiin	let the liquid settle clear; bind upon the place; close the rubric; add warmed water; pour or rinse it over the indicated place; with the foregoing liquid; after the first rinse; pour or rinse it over the indicated place; apply or use the prepared substance; in the stated or usual measure	7	9
f83r	f83r.22	schedair otchedy qokeedy chedain chedy qotedaiin otaiin otedy ldy	draw off the clear liquid; mix in equal shares; close the rubric; warm it to a tempered heat; begin the rinsing; stir until evenly mixed; the broad vessel; for the same duration; steep until clear; close the rubric; draw it off; close the rubric	3	9
f83r	f83r.24	soiiin checthy chety otaiin olsaly shedy	until clear; when the preparation is ready; until evenly joined; for the same duration; the lower basin; let it stand and settle	3	6
f83r	f83r.25	qokeedy qolchey qokeey qokedy chedy otal	warm it to a tempered heat; then fill the vessel; add warmed water; pour or rinse it over the indicated place; stir until evenly mixed; toward the lower outlet	5	6
f83r	f83r.26	otchey qokeey qoky tol shedy qokylddy	mark the following share; add warmed water; apply or use the prepared substance; with the foregoing liquid; let it stand and settle; bind upon the place; close the rubric	4	6
f83r	f83r.27	dain chedy qokeedy shckhedy shckhedy	through a cloth; stir until evenly mixed; warm it to a tempered heat; strain it through cloth; strain it through cloth	4	5
f83r	f83r.28	saiin cheeky sheey qokedy shedy oldy	in the stated or usual measure; while still warm; the first opening; pour or rinse it over the indicated place; let it stand and settle; boil gently; close the rubric	3	6
f83r	f83r.3	olkeedy qotal chkeedy chey daiin chey lchedy qokaiin qotal dar	let the liquid settle clear; toward the lower outlet; immerse fully; close the rubric; this present charge; in the stated or usual measure; this present charge; let it cool to the ordinary setting; take up the next measured charge; toward the lower outlet; then proceed	9	10
f83r	f83r.35	saiin cheky okeeol okain chdy	in the stated or usual measure; over a gentle heat; the broad vessel; put the next measured charge into the vessel; stir until evenly mixed	4	5
f83r	f83r.37	sol lkedy lchedy qokol shedy	with the foregoing liquid; wash twice; close the rubric; let it cool to the ordinary setting; let the mixture enter; let it stand and settle	3	5
f83r	f83r.38	or chey qockhey dairydy	the prepared liquid; this present charge; over the local place; use immediately; close the rubric	2	4
f83r	f83r.39	qokain shey kain chckhal	put the next measured charge into the vessel; until the liquid runs clear; one measured charge; for the stated duration	3	4
f83r	f83r.41	solkey lchedy qolkain dal	next open the upper channel; let it cool to the ordinary setting; the lower basin; at the indicated place	2	4
f83r	f83r.44	skar shedy	pour in the warmed water; let it stand and settle	1	2
f83r	f83r.47	otchdy qokchdy shedal	draw it off; close the rubric; bring it once to the boil; for one interval	1	3
f83r	f83r.48	dal cheol lol chdal aiin	at the indicated place; with the foregoing liquid; until warm; with the foregoing mixture; in the stated or usual measure	3	5
f83r	f83r.49	sol daiiin chedy	with the foregoing liquid; the second opening; stir until evenly mixed	2	3
f83r	f83r.52	solkeey qekey raly ol	place the person at the basin; without boiling; the first opening; with the foregoing liquid	1	4
f83r	f83r.54	daiin ol dain chey ldalor	in the stated or usual measure; with the foregoing liquid; through a cloth; this present charge; at the indicated place	3	5
f83r	f83r.6	schedy chedchy qokal olchedy qokaiin chedy qokeedy lchedy qoky	wash it through once; pour in the warmed water; combine the two portions; draw off the clear liquor; take up the next measured charge; stir until evenly mixed; warm it to a tempered heat; let it cool to the ordinary setting; apply or use the prepared substance	8	9
f83r	f83r.8	pchedal otedy shecthedchy qoky chedy chary	then fill the vessel; steep until clear; close the rubric; apply at the marked place; apply or use the prepared substance; stir until evenly mixed; and let it cool	2	6
