statement_id	page	record	clean_instruction_de	refined_cue_words	refined_component_sequence	refined_component_set	observed_component_set_after_reveal	exact_component_set	missing_components	extra_components	packed_recipe_sequence	observed_recipe_sequence_after_reveal	predicted_cards	observed_cards	card_count_delta	exact_recipe_sequence	generation_contract
H5-S006	f56r	H5	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Sollmass erreicht ist.	Danach | Posten | kurz | weiter | zugeben | Sollmass	OT+Y+E+OL+K+AIIN	AIIN+E+K+OL+OT+Y	AIIN+E+K+OL+OT+Y	YES	NONE	NONE	OT+Y | K+E+OL | AIIN	OT+Y | K+E+OL | AIIN	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S001	f81v	B1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	Kurz | ansetzen | schliessen	E+OK+DY	DY+E+OK	DY+E+OK	YES	NONE	NONE	OK+E+DY	OK+E+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S002	f81v	B1	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	Sollmass | ansetzen | Fluessigkeit | zugeben | Zielstelle | Quelle | Portion | weitere | Portion | zugeben | weiter | kuehlen | leiten | Ansatz | weiterarbeiten | kurz | Durchlass | Zielstelle | halten | Sollmass | laenger | ansetzen | Posten | Durchlass | umsetzen | schliessen	AIIN+OK+AIR+K+AL+AR+AIN+OL+AIN+K+OL+R+L+OR+OL+E+CKH+AL+SH+AIIN+EE+OK+Y+CKH+CHD+DY	AIIN+AIN+AIR+AL+AR+CHD+CKH+DY+E+EE+K+L+OK+OL+OR+R+SH+Y	AIIN+AIN+AIR+AL+AR+CHD+CKH+DY+E+EE+K+L+OK+OL+OR+R+SH+Y	YES	NONE	NONE	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | UNPACKED(CKH) | CHD+DY	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	14	19	-5	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S003	f81v	B1	Am gemeinsamen zweireihigen Becken: Weiterarbeiten; dann halten, zugeben und umsetzen; den Schritt schliessen.	Weiterarbeiten | halten | zugeben | umsetzen | schliessen	OL+SH+K+CHD+DY	CHD+DY+K+OL+SH	CHD+DY+K+OL+SH	YES	NONE	NONE	OL | SH+K+CHD+DY	OL | SH+K+CHD+DY	2	2	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S004	f81v	B1	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.	Posten | umsetzen | weiterarbeiten | absetzen | schliessen	Y+CHD+OL+SHED+DY	CHD+DY+OL+SHED+Y	CHD+DY+OL+SHED+Y	YES	NONE	NONE	CHD+Y | OL | SHED+DY	CHD+Y | OL | SHED+DY	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S005	f81v	B1	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	Weiter | umsetzen | schliessen	OL+CHD+DY	CHD+DY+OL	CHD+DY+OL	YES	NONE	NONE	OL+CHD+DY	OL+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S006	f81v	B1	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	Portion | ansetzen | Posten | Durchlass | leiten | Zielstelle | kuehlen	AIN+OK+Y+CKH+L+AL+R	AIN+AL+CKH+L+OK+R+Y	AIN+AL+CKH+L+OK+R+Y	YES	NONE	NONE	OK+AIN | L+CKH+Y | R+AL	OK+AIN | CKH+Y | L | R+AL	3	4	-1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S007	f81v	B1	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	Ansetzen | umsetzen | schliessen	OK+CHD+DY	CHD+DY+OK	CHD+DY+OK	YES	NONE	NONE	OK+CHD+DY	OK+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S008	f81v	B1	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und weiterarbeiten, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.	Posten | weiterarbeiten | kurz | erwaermen | weiterfuehren | absetzen | schliessen	Y+OL+E+CHK+OL+SHED+DY	CHK+DY+E+OL+SHED+Y	CHK+DY+E+OL+SHED+Y	YES	NONE	NONE	Y | E+OL | UNPACKED(CHK) | OL | SHED+DY	Y | OL | CHK+E+Y | OL | SHED+DY	5	5	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S009	f81v	B1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	Kurz | ansetzen | schliessen	E+OK+DY	DY+E+OK	DY+E+OK	YES	NONE	NONE	OK+E+DY	OK+E+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S010	f81v	B1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	Kurz | ansetzen | schliessen	E+OK+DY	DY+E+OK	DY+E+OK	YES	NONE	NONE	OK+E+DY	OK+E+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S011	f81v	B1	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	Posten | Durchlass | ansetzen	Y+CKH+OK	CKH+OK+Y	CKH+OK+Y	YES	NONE	NONE	CKH+Y | UNPACKED(OK)	CKH+Y | OK+Y	2	2	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S012	f81v	B1	Am gemeinsamen zweireihigen Becken: Den Arbeitsgang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.	Arbeitsgang | waschen | Posten | kurz | ansetzen | kurz | waschen | schliessen	O+LSH+Y+E+OK+E+LSH+DY	DY+E+LSH+O+OK+Y	DY+E+LSH+O+OK+Y	YES	NONE	NONE	LSH+O | OK+E+Y | LSH+E+DY	LSH+O | OK+E+Y | LSH+E+DY	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S013	f81v	B1	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.	Kurz | waschen | schliessen	E+LSH+DY	DY+E+LSH	DY+E+LSH	YES	NONE	NONE	LSH+E+DY	LSH+E+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S014	f81v	B1	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und an der Sammelstelle halten; zur Zielstelle leiten und umsetzen, dort weiterarbeiten und danach zur Quelle wechseln.	Posten | umsetzen | Sammelstelle | Zielstelle | leiten | umsetzen | weiterarbeiten | danach | Quelle	Y+CHD+SOLK+AL+L+CHD+OL+OT+AR	AL+AR+CHD+L+OL+OT+SOLK+Y	AL+AR+CHD+L+OL+OT+SOLK+Y	YES	NONE	NONE	CHD+Y | UNPACKED(SOLK) | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	5	5	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S015	f81v	B1	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten anwenden; dann ansetzen und umsetzen; den Schritt schliessen.	Kurz | Posten | anwenden | ansetzen | umsetzen | schliessen	E+Y+T+OK+CHD+DY	CHD+DY+E+OK+T+Y	CHD+DY+E+OK+T+Y	YES	NONE	NONE	E+T+Y | OK+CHD+DY	T+E+Y | OK+CHD+DY	2	2	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S016	f81v	B1	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann absetzen lassen; den Schritt schliessen.	Zielstelle | ansetzen | laenger | Posten | ansetzen | weiterarbeiten | absetzen | schliessen	AL+OK+EE+Y+OK+OL+SHED+DY	AL+DY+EE+OK+OL+SHED+Y	AL+DY+EE+OK+OL+SHED+Y	YES	NONE	NONE	OK+AL | OK+EE+Y | OL | SHED+DY	OK+AL | OK+EE+Y | OL | SHED+DY	4	4	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S017	f81v	B1	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz weiterarbeiten, umsetzen und den Schritt schliessen.	Zielstelle | kurz | weiterarbeiten | umsetzen | schliessen	AL+E+OL+CHD+DY	AL+CHD+DY+E+OL	AL+CHD+DY+E+OL	YES	NONE	NONE	AL | E+OL | CHD+DY	AL | E+OL | CHD+DY	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S018	f81v	B1	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Arbeitsstufe; dann laenger an der Sammelstelle halten; den Schritt schliessen.	Posten | leiten | kurz | weiter | halten | Arbeitsgang | Arbeitsstufe | laenger | Sammelstelle | schliessen	Y+L+E+OL+SH+O+IIN+EE+SOLK+DY	DY+E+EE+IIN+L+O+OL+SH+SOLK+Y	DY+E+EE+IIN+L+O+OL+SH+SOLK+Y	YES	NONE	NONE	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	4	4	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S019	f81v	B1	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.	Absetzen | schliessen	SHED+DY	DY+SHED	DY+SHED	YES	NONE	NONE	SHED+DY	SHED+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S020	f81v	B1	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	Kurz | Posten | erwaermen | kurz | Durchlass | halten | schliessen	E+Y+CHK+E+CKH+SH+DY	CHK+CKH+DY+E+SH+Y	CHK+CKH+DY+E+SH+Y	YES	NONE	NONE	CHK+E+Y | SH+CKH+E+DY	CHK+E+Y | SH+CKH+E+DY	2	2	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B1-S021	f81v	B1	Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.	Zielstelle	AL	AL	AL	YES	NONE	NONE	AL	AL	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S001	f82r	B2	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	Umsetzen | schliessen	CHD+DY	CHD+DY	CHD+DY	YES	NONE	NONE	CHD+DY	CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S002	f82r	B2	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	Weiter | umsetzen | schliessen	OL+CHD+DY	CHD+DY+OL	CHD+DY+OL	YES	NONE	NONE	OL+CHD+DY	OL+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S003	f82r	B2	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	Portion | ansetzen | Posten | laenger | ansetzen | schliessen	AIN+OK+Y+EE+OK+DY	AIN+DY+EE+OK+Y	AIN+DY+EE+OK+Y	YES	NONE	NONE	OK+AIN | Y | OK+EE+DY	OK+AIN | Y | OK+EE+DY	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S004	f82r	B2	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	Zielstelle | ansetzen | Posten | Durchlass | leiten | umsetzen | laenger | ansetzen | kurz | Durchlass | leiten | schliessen	AL+OK+Y+CKH+L+CHD+EE+OK+E+CKH+L+DY	AL+CHD+CKH+DY+E+EE+L+OK+Y	AL+CHD+CKH+DY+E+EE+L+OK+Y	YES	NONE	NONE	OK+AL | CKH+Y | L+CHD | UNPACKED(EE) | UNPACKED(OK) | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	6	5	1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
