statement_id	page	record	missing_components	extra_components	predicted_cards	observed_cards	card_count_delta	packed_recipe_sequence	observed_recipe_sequence_after_reveal
B2-S005	f82r	B2	NONE	NONE	8	8	0	OK+AL+Y | SOLK+AIIN | UNPACKED(CKH) | OK+AIIN | O+CTH+E+OL | UNPACKED(EE) | UNPACKED(CHK) | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY
B2-S006	f82r	B2	NONE	NONE	6	4	2	OT+EE+Y | OK+AL | UNPACKED(E) | UNPACKED(CKH) | SH | UNPACKED(OK)	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y
B2-S010	f82r	B2	NONE	NONE	3	4	-1	OK+EE+Y | OK+EE+OL | SH	OK+EE+Y | OK+Y | OL | SH+EE+Y
B2-S012	f82r	B2	NONE	NONE	10	8	2	L+CH+Y | UNPACKED(EE) | SH | UNPACKED(E) | UNPACKED(CTH) | UNPACKED(EE) | UNPACKED(OK) | UNPACKED(EE) | L+AIIN | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY
B2-S016	f82r	B2	NONE	NONE	9	8	1	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | UNPACKED(E) | UNPACKED(OK) | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY
B3-S003	f83r	B3	NONE	NONE	3	4	-1	Y | AIIN | L+CHD+DY	Y | AIIN | Y | L+CHD+DY
B3-S011	f83r	B3	NONE	NONE	4	4	0	SH+E+CTH+CHD+Y | UNPACKED(OK) | UNPACKED(CHD) | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y
B3-S021	f83r	B3	NONE	NONE	9	11	-2	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | UNPACKED(CTH) | CHD+DY	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY
B3-S026	f83r	B3	NONE	NONE	7	7	0	EE+AR | L+AIIN | CHD+Y | OK+AIN | UNPACKED(CTH) | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY
B3-S030	f83r	B3	NONE	NONE	4	4	0	Y | OK+AIIN | CHD+AIR | OT+CHD+DY	OK+Y | AIIN | CHD+AIR | OT+CHD+DY
B3-S032	f83r	B3	NONE	NONE	5	5	0	AIN | CHD+Y | OT+E+AIIN | OT+E+AIIN | UNPACKED(DY)	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY
B3-S034	f83r	B3	NONE	NONE	7	6	1	O+IIN | CTH+Y | UNPACKED(T) | OT+AIIN | AL | OL | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY
B4-S002	f83r	B4	NONE	NONE	3	3	0	Y | OK+EE+OL | OK+E+DY	OL+Y | OK+EE+Y | OK+E+DY
B4-S003	f83r	B4	NONE	NONE	6	7	-1	CHD+Y | OT+AL | OT+EE+Y | OK+OL | OK+OL | SHED+DY	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY
B4-S008	f83r	B4	NONE	NONE	4	4	0	AIIN | CHK+EE+Y | UNPACKED(EE) | OK+SH+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY
B4-S014	f83r	B4	NONE	NONE	3	4	-1	OR | O+CKH+E+Y | AIR+Y+DY	OR | Y | O+CKH+E+Y | AIR+Y+DY
B4-S015	f83r	B4	NONE	NONE	7	6	1	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | UNPACKED(E) | UNPACKED(SOLK) | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY
B4-S016	f83r	B4	NONE	NONE	4	4	0	OL+K+AIN | AL | AR | SHED+DY	OL+K+AIN | AL | K+AR | SHED+DY
B5-S003	f83r	B5	NONE	NONE	8	9	-1	SHED+AL | L+OL | OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y
B6-S001	f83r	B6	NONE	NONE	8	9	-1	SOLK+EE+Y | UNPACKED(E) | K+AL | UNPACKED(R) | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR
