family_order	family_id	visible_core_or_variants	short_value_de	family_tier	bio_card_types	bio_event_memberships	mode_charge	mode_treat	mode_settle	mode_pass_filter	mode_discharge	mode_measure	mode_local_control	dominant_mode	dominant_mode_share	operational_interpretation	teaching_rule_de
14	OR	OR	BEDINGUNGSANSATZ	CORE_PRODUCTIVE_FAMILY	3	4	3	0	0	0	0	0	1	CHARGE	0.750	MODE_PREDICTIVE_CONTENT_FAMILY	Sagt überwiegend dieselbe Betriebsart voraus und darf als Inhalts-/Operationsstamm gelehrt werden.
15	CHO_INPUT	HO|CHO_INPUT	EINGABE	CORE_PRODUCTIVE_FAMILY	0	0	0	0	0	0	0	0	0	NONE	0.000	NO_BIO_COVERAGE	Auf diesen drei Bio-Seiten nicht sichtbar; Wert bleibt aus Herbal/gesamtprosa erhalten.
16	CHEO	CHEO	AUSZUG	SPECIALIST_PRODUCTIVE_FAMILY	0	0	0	0	0	0	0	0	0	NONE	0.000	NO_BIO_COVERAGE	Auf diesen drei Bio-Seiten nicht sichtbar; Wert bleibt aus Herbal/gesamtprosa erhalten.
17	AIR	AIR	LAUF_BAHN	CORE_PRODUCTIVE_FAMILY	4	4	0	0	0	0	0	0	4	LOCAL_CONTROL	1.000	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY	Trägt Folge, Adresse, Lauf, Bereitschaft oder Sammelstelle statt einer einzigen Handlung.
18	CHED_TRANSFER	CHED|CHD	UEBERFUEHREN	CORE_PRODUCTIVE_FAMILY	21	46	31	0	0	0	12	0	3	CHARGE	0.674	DIRECTIONALLY_CONDITIONED_TRANSFER_CORE	Der Kern trägt Übergabe; L/P/AR/AL und Ganzkarte entscheiden Beschicken gegen Abführen.
19	CTH	CTH	BEREIT	CORE_PRODUCTIVE_FAMILY	5	9	1	0	0	0	0	0	8	LOCAL_CONTROL	0.889	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY	Trägt Folge, Adresse, Lauf, Bereitschaft oder Sammelstelle statt einer einzigen Handlung.
20	SHED	SHED	ABSETZEN	CORE_PRODUCTIVE_FAMILY	5	17	0	0	17	0	0	0	0	SETTLE	1.000	MODE_PREDICTIVE_CONTENT_FAMILY	Sagt überwiegend dieselbe Betriebsart voraus und darf als Inhalts-/Operationsstamm gelehrt werden.
21	CHK	CHK	ZUSTAND_JUSTIEREN	SPECIALIST_PRODUCTIVE_FAMILY	4	6	0	6	0	0	0	0	0	TREAT	1.000	MODE_PREDICTIVE_CONTENT_FAMILY	Sagt überwiegend dieselbe Betriebsart voraus und darf als Inhalts-/Operationsstamm gelehrt werden.
22	CKH	CKH	DURCHLASS	CORE_PRODUCTIVE_FAMILY	6	9	0	0	0	7	1	0	1	PASS_FILTER	0.778	MODE_PREDICTIVE_CONTENT_FAMILY	Sagt überwiegend dieselbe Betriebsart voraus und darf als Inhalts-/Operationsstamm gelehrt werden.
23	CKHE	CKHE	SEIHEN	SPECIALIST_PRODUCTIVE_FAMILY	2	4	0	0	0	3	1	0	0	PASS_FILTER	0.750	MODE_PREDICTIVE_CONTENT_FAMILY	Sagt überwiegend dieselbe Betriebsart voraus und darf als Inhalts-/Operationsstamm gelehrt werden.
24	SOLK	SOLK	SAMMELN	SPECIALIST_PRODUCTIVE_FAMILY	4	6	0	0	3	0	0	0	3	SETTLE	0.500	LOCAL_CONTROL_ADDRESS_OR_STATE_FAMILY	Trägt Folge, Adresse, Lauf, Bereitschaft oder Sammelstelle statt einer einzigen Handlung.
25	LSH	LSH	WASCHEN	SPECIALIST_PRODUCTIVE_FAMILY	2	3	0	0	0	3	0	0	0	PASS_FILTER	1.000	MODE_PREDICTIVE_CONTENT_FAMILY	Sagt überwiegend dieselbe Betriebsart voraus und darf als Inhalts-/Operationsstamm gelehrt werden.
26	TY	TY	TEIL	SPECIALIST_PRODUCTIVE_FAMILY	2	2	0	0	0	0	0	0	2	LOCAL_CONTROL	1.000	NARROW_LOW_COUNT_SPECIALIST	Operativ konkret, aber auf den Bio-Seiten nur ein- oder zweimal belegt.
27	O_WITHDRAW	O_WITHDRAW	ZURUECKNEHMEN	SPECIALIST_PRODUCTIVE_FAMILY	2	2	0	0	0	0	2	0	0	DISCHARGE	1.000	NARROW_LOW_COUNT_SPECIALIST	Operativ konkret, aber auf den Bio-Seiten nur ein- oder zweimal belegt.
28	K_BINDER	K_BINDER	ARGUMENTBINDER	CORE_PRODUCTIVE_FAMILY	1	1	0	0	0	0	0	0	1	LOCAL_CONTROL	1.000	NARROW_LOW_COUNT_SPECIALIST	Operativ konkret, aber auf den Bio-Seiten nur ein- oder zweimal belegt.
29	YTY_PART	YTY_PART	FOLGETEIL	SPECIALIST_PRODUCTIVE_FAMILY	0	0	0	0	0	0	0	0	0	NONE	0.000	NO_BIO_COVERAGE	Auf diesen drei Bio-Seiten nicht sichtbar; Wert bleibt aus Herbal/gesamtprosa erhalten.
