card_no	surfaces	component_parse	composition_status	surface_form_must_be_recognized	independent_semantic_whole_to_memorize	semantic_learning_rule	specialist_value_de	generated_or_recalled_value_de	occurrences
PROC045	cheoar	CH+E+O+AR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Arbeitsgang von dort kurz abziehen	1
PROC046	cheeky	CHK+EE+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den aktuellen Posten länger wärmen	2
PROC047	oldy	OL+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen; Schritt schließen	2
PROC048	okal|qokal	OK+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten an bezeichnete Stelle ansetzen	6
PROC049	oltchy	OL+T+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen diesen Posten eintragen	1
PROC050	orain	OR+AIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	Ansatz · Portion	1
PROC051	chochor	HO+CH+OR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Gabe und Ansatz abziehen	1
PROC052	cho|sho	HO	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	Gabe	4
PROC053	chodaly	HO+AL+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	Gabe · bezeichnete Stelle · dieser Posten	1
PROC054	kchol	K+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen den laufenden Posten zuführen	1
PROC055	al|chal|cheal|dal|sal|tal	AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	bezeichnete Stelle	10
PROC056	choy	HO+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	Gabe · dieser Posten	1
PROC057	cheeckhody	CH+EE+CKH+O+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Arbeitsgang durch Durchlass länger abziehen; Schritt schließen	1
PROC058	sh	SH	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten halten	1
PROC059	kchey	K+E+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten kurz zuführen	1
PROC060	qokokchy	OK+OK+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten ansetzen und ansetzen	1
PROC061	chokcheo	OK+CH+E+O	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Arbeitsgang kurz ansetzen und abziehen	1
PROC062	kchal	K+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten an bezeichnete Stelle zuführen	1
PROC063	kchoar	K+HO+AR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Gabe von dort zuführen	1
PROC064	sotodan	OT+O+AIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach · Arbeitsgang · Portion	1
PROC065	otchey	OT+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach · dieser Posten	2
PROC066	keol	K+E+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen den laufenden Posten kurz zuführen	1
PROC067	qokedy	OK+E+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten kurz ansetzen; Schritt schließen	8
PROC068	kair	K+AIR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten durch laufender Bestand zuführen	1
PROC069	chkain|kain	K+AIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten nach Portion zuführen	3
PROC070	olkain|qolkain	OL+K+AIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen den laufenden Posten nach Portion zuführen	2
PROC071	rol	R+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen den laufenden Posten abkühlen	1
PROC072	dl	L	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	leiten	2
PROC073	sheckhal	SH+E+CKH+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten an bezeichnete Stelle durch Durchlass kurz halten	1
PROC074	qokeedal	OK+EE+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten an bezeichnete Stelle länger ansetzen	1
PROC075	chckhy|shckhy	CKH+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	Durchlass · dieser Posten	4
PROC076	dchedy|schedy|tchedy	CHD+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	überführen und den Schritt schließen	4
PROC077	sshkchdy	SH+K+CHD+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten halten und zuführen und umsetzen; Schritt schließen	1
PROC078	cheedy|shedy|tedy	SHED+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	absetzen und den Schritt schließen	12
PROC079	olchedy|qolchedy	OL+CHD+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen den laufenden Posten umsetzen; Schritt schließen	3
PROC080	okain|qokain	OK+AIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten nach Portion ansetzen	7
PROC081	ral	R+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten an bezeichnete Stelle abkühlen	1
PROC082	qokchdy	OK+CHD+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten ansetzen und umsetzen; Schritt schließen	3
PROC083	cheky	CHK+E+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten kurz wärmen	3
PROC084	lsho	LSH+O	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Arbeitsgang waschen	1
PROC085	okey|qokey	OK+E+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten kurz ansetzen	2
PROC086	lshedy	LSH+E+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten kurz waschen; Schritt schließen	2
PROC087	qolky	SOLK+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten auffangen	1
PROC088	lchedal	L+CHD+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten an bezeichnete Stelle führen und umsetzen	1
PROC089	otar	OT+AR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach · von dort	1
PROC090	ytey	T+E+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten kurz eintragen	1
PROC091	okchedy|qokchedy	OK+CHD+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten ansetzen und umsetzen; Schritt schließen	2
PROC092	okeey|qokeey	OK+EE+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den aktuellen Posten länger in Einsatz halten	7
PROC093	teol	E+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	kurz · fortsetzen	1
PROC094	dchdy	CHD+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten umsetzen; Schritt schließen	1
PROC095	ly	L+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten führen	1
PROC096	dsheol	SH+E+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen den laufenden Posten kurz halten	1
PROC097	oiiin|soiiin	O+IIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	Arbeitsgang · Sollstufe	2
PROC098	olkeedy|solkeedy	SOLK+EE+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten länger auffangen; Schritt schließen	3
PROC099	shckhedy	SH+CKH+E+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten durch Durchlass kurz halten; Schritt schließen	3
PROC100	qokeedy	OK+EE+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten länger ansetzen; Schritt schließen	10
PROC101	lcheckhy	L+CKH+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten durch Durchlass führen	1
PROC102	lched	L+CHD	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten führen und umsetzen	1
PROC103	lcheckhedy	L+CKH+E+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten durch Durchlass kurz führen; Schritt schließen	1
PROC104	qokaly	OK+AL+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten an bezeichnete Stelle ansetzen	1
PROC105	solkaiin	SOLK+AIIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten nach vorgeschriebenes Maß auffangen	1
PROC106	octheol	O+CTH+E+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	Arbeitsgang · bereit · kurz · fortsetzen	1
PROC107	chkeey	CHK+EE+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten länger wärmen	1
PROC108	ldy	L+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten führen; Schritt schließen	2
PROC109	oteey	OT+EE+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach · länger · dieser Posten	2
PROC110	sheckhy	SH+E+CKH+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten durch Durchlass kurz halten	1
PROC111	dshedy	SH+E+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten kurz halten; Schritt schließen	1
PROC112	otaiin|sotaiin	OT+AIIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach · vorgeschriebenes Maß	3
PROC113	qokar	OK+AR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten von dort ansetzen	1
PROC114	solshedy	OL+SH+E+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen den laufenden Posten kurz halten; Schritt schließen	1
PROC115	ls	LS	LEARNED_WHOLE_CARD	YES	YES	LEARN_SPECIALIST_VALUE_OR_INNER_ATOM	weiter	weiter	1
PROC116	lchy	L+CH+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten führen und abziehen	1
PROC117	qcthey|shcthey	CTH+E+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	bereit · kurz · dieser Posten	2
PROC118	lcheey	L+EE+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten länger führen	1
PROC119	qokeeedy	OK+EEE+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten vollständig ansetzen; Schritt schließen	1
PROC120	lchedy	L+CHD+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	weiterleiten, überführen und den Schritt schließen	8
PROC121	lar	L+AR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten von dort führen	1
PROC122	tshey	SH+E+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten kurz halten	1
PROC123	lchedar	L+CHD+AR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten von dort führen und umsetzen	1
PROC124	ches	CH+E+S	PARTIAL_WITH_LEARNED_ATOM	YES	YES	LEARN_SPECIALIST_VALUE_OR_INNER_ATOM	den laufenden Posten kurz abziehen und teilen	den laufenden Posten kurz abziehen und teilen	1
PROC125	pchedy	P+CHD+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten hineingeben und umsetzen; Schritt schließen	1
PROC126	rsheal	R+SH+E+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten an bezeichnete Stelle kurz abkühlen und halten	1
PROC127	daldy	AL+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	bezeichnete Stelle; Schritt schließen	1
PROC128	rshedy	R+SHED+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten abkühlen und absetzen; Schritt schließen	1
PROC129	qoteedy	OT+EE+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach · länger; Schritt schließen	2
PROC130	lochedy	L+O+CHD+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Arbeitsgang führen und umsetzen; Schritt schließen	1
PROC131	otal|qotal	OT+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach · bezeichnete Stelle	3
PROC132	chkeedy	CHK+EE+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten länger wärmen; Schritt schließen	1
PROC133	chedchy	CHD+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten umsetzen	1
PROC134	pchedal	P+CHD+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten an bezeichnete Stelle hineingeben und umsetzen	1
PROC135	otedy	OT+E+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach · kurz; Schritt schließen	2
PROC136	shecthedchy	SH+E+CTH+CHD+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten kurz halten und umsetzen bis bereit	1
PROC137	chary	AR+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	von dort · dieser Posten	1
PROC138	okair	OK+AIR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten durch laufender Bestand ansetzen	1
PROC139	sheedy	SH+EE+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten länger halten; Schritt schließen	1
PROC140	lo	L+O	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Arbeitsgang führen	1
PROC141	qokshedy	OK+SH+E+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten kurz ansetzen und halten; Schritt schließen	1
PROC142	shedal	SHED+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten an bezeichnete Stelle absetzen	2
PROC143	shecthy	SH+E+CTH+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten kurz halten bis bereit	1
PROC144	dalchdy	AL+CHD+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten an bezeichnete Stelle umsetzen; Schritt schließen	1
PROC145	otchedy|qotchedy	OT+CHD+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach den laufenden Posten umsetzen; Schritt schließen	2
PROC146	cheedar	EE+AR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	länger · von dort	1
PROC147	chldaiin	L+AIIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten nach vorgeschriebenes Maß führen	1
PROC148	chealror	AL+R+OR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Ansatz an bezeichnete Stelle abkühlen	1
PROC149	cheeety	EEE+T+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten vollständig eintragen	1
PROC150	schedair	CHD+AIR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten durch laufender Bestand umsetzen	1
PROC151	chedain	CHD+AIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten nach Portion umsetzen	1
PROC152	qotedaiin	OT+E+AIIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach · kurz · vorgeschriebenes Maß	1
PROC153	olsaly	OL+AL+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen · bezeichnete Stelle · dieser Posten	1
PROC154	qolchey	OL+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen · dieser Posten	1
PROC155	qokylddy	OK+Y+LD+DY	PARTIAL_WITH_LEARNED_ATOM	YES	YES	LEARN_SPECIALIST_VALUE_OR_INNER_ATOM	diesen Posten ansetzen und befestigen; Schritt schließen	diesen Posten ansetzen und befestigen; Schritt schließen	1
PROC156	dain	AIN	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	Portion	2
PROC157	sheey	SH+EE+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten länger halten	1
PROC158	okeeol	OK+EE+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen den laufenden Posten länger ansetzen	1
PROC159	lkedy	L+K+E+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten kurz führen und zuführen; Schritt schließen	1
