page	locus	token_ordinal	surface	v62_source_gloss_de	v67_token_gloss_de	expected_verb_occurrences	expected_lemma_sequence	v67_observed_verb_occurrences	v67_observed_lemma_sequence	verb_multiset_exact	verb_sequence_exact	live_action_source
f23r	f23r.6	12	ldals	eine Charge Holzrohdroge I abmessen	eine Charge Holzrohstoff I abmessen	1	abmessen	1	abmessen	1	1	GDT689_V62_ACTION_ORDINAL
f24v	f24v.15	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
f26r	f26r.2	4	ykecthey	hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen	hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen	2	erhitzen|abschließen	2	erhitzen|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f26r	f26r.2	6	ytedy	hiervon bis zur Mittelstufe abkühlen und abschließen	hiervon bis zur Mittelstufe abkühlen und abschließen	2	abkühlen|abschließen	2	abkühlen|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f26r	f26r.2	8	checthedy	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	3	trocknen|trocknen|abschließen	3	trocknen|trocknen|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f27r	f27r.9	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
f30r	f30r.9	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
f30r	f30r.9	2	qochar	erste Trockenfraktion nehmen	trockenen Drogenanteil I nehmen	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f30r	f30r.9	5	chcthey	Krautdroge bis zur mittleren Stufe trocknen	Krautdroge bis zur mittleren Stufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
f30r	f30r.9	7	cheky	bis zur mittleren Trockenstufe, dann leicht erhitzen	bis zur mittleren Trockenstufe, dann leicht erhitzen	1	erhitzen	1	erhitzen	1	1	GDT689_V62_ACTION_ORDINAL
f49r	f49r.16	1	qocho	Trockenansatz nehmen	getrocknete Droge nehmen	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f49r	f49r.16	4	qotchody	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	3	abkühlen|trocknen|ansetzen	3	abkühlen|trocknen|ansetzen	1	1	GDT689_V62_ACTION_ORDINAL
f56r	f56r.6	1	ykcho	hieraus einen heiß-trockenen Ansatz bereiten	hieraus eine warme Trockenmischung bereiten	1	bereiten	1	bereiten	1	1	GDT689_V62_ACTION_ORDINAL
f75r	f75r.3	4	qey	die vorstehende Mittelstufenportion anschließend nehmen	die vorstehende Mittelstufenportion anschließend nehmen	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f75r	f75r.3	6	sheeky	vollständig einweichen, erhitzen und abschließen	vollständig einweichen, erhitzen und abschließen	3	einweichen|erhitzen|abschließen	3	einweichen|erhitzen|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f76v	f76v.10	1	cphdor	eine Portion Arzneikompositum abmessen	eine Portion Arzneikompositum abmessen	1	abmessen	1	abmessen	1	1	GDT689_V62_ACTION_ORDINAL
f76v	f76v.10	3	qopchdy	fertig getrocknetes Pulver nehmen	fertig getrocknetes Pulver nehmen	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f77r	f77r.38	3	qoeedy	nimm die Endportion hinzu	nimm die Endportion hinzu	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f77r	f77r.38	6	qol	Drogenstoff zugeben	Drogenstoff zugeben	1	zugeben	1	zugeben	1	1	GDT689_V62_ACTION_ORDINAL
f77r	f77r.38	9	qol	Drogenstoff zugeben	Drogenstoff zugeben	1	zugeben	1	zugeben	1	1	GDT689_V62_ACTION_ORDINAL
f77v	f77v.7	2	qolsheedy	vollständig eingeweichten Drogenstoff zugeben und abschließen	vollständig eingeweichten Drogenstoff zugeben und abschließen	2	zugeben|abschließen	2	zugeben|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f77v	f77v.7	3	qy	hiervon nehmen	hiervon nehmen	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f77v	f77v.7	5	ycheedy	hiervon bis zur Endstufe trocknen	hiervon bis zur Endstufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
f77v	f77v.7	11	qolky	leicht erhitzten Drogenstoff hinzugeben	leicht erhitzten Drogenstoff hinzugeben	1	hinzugeben	1	hinzugeben	1	1	GDT689_V62_ACTION_ORDINAL
f7r	f7r.2	1	dcheey	eine Dosis vollständig trocknen und abschließen	eine Dosis vollständig trocknen und abschließen	2	trocknen|abschließen	2	trocknen|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f7r	f7r.2	5	dold	Drogenstoff abmessen und abschließen	Drogenstoff abmessen und abschließen	2	abmessen|abschließen	2	abmessen|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f80r	f80r.17	3	sheky	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	3	einweichen|erhitzen|abschließen	3	einweichen|erhitzen|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f80r	f80r.17	6	sheky	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	3	einweichen|erhitzen|abschließen	3	einweichen|erhitzen|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f80r	f80r.17	7	chetain	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	2	trocknen|bringen	2	trocknen|bringen	1	1	GDT689_V62_ACTION_ORDINAL
f80r	f80r.17	11	sheky	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	3	einweichen|erhitzen|abschließen	3	einweichen|erhitzen|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f80r	f80r.17	13	da	eine Teilmenge abmessen	eine Teilmenge abmessen	1	abmessen	1	abmessen	1	1	GDT689_V62_ACTION_ORDINAL
f80v	f80v.35	5	qol	Drogenstoff zugeben	Drogenstoff zugeben	1	zugeben	1	zugeben	1	1	GDT689_V62_ACTION_ORDINAL
f80v	f80v.35	6	qol	Drogenstoff zugeben	Drogenstoff zugeben	1	zugeben	1	zugeben	1	1	GDT689_V62_ACTION_ORDINAL
f83v	f83v.12	4	lldar	erste Holzdrogenfraktion abmessen	Anteil I der Holzdroge abmessen	1	abmessen	1	abmessen	1	1	GDT689_V62_ACTION_ORDINAL
f86v3	f86v3.13	3	tcheody	abkühlen, bis zur Mittelstufe trocknen und ansetzen	abkühlen, bis zur Mittelstufe trocknen und ansetzen	3	abkühlen|trocknen|ansetzen	3	abkühlen|trocknen|ansetzen	1	1	GDT689_V62_ACTION_ORDINAL
f86v3	f86v3.13	10	qokady	einen gleichen Teil erhitzen	einen gleichen Teil erhitzen	1	erhitzen	1	erhitzen	1	1	GDT689_V62_ACTION_ORDINAL
f86v3	f86v3.18	4	qopchol	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f86v3	f86v3.19	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
f86v3	f86v3.19	3	olkechy	Holzdrogenansatz mäßig erhitzen, trocknen und abschließen	Holzansatz mäßig erhitzen, trocknen und abschließen	3	erhitzen|trocknen|abschließen	3	erhitzen|trocknen|abschließen	1	1	GDT689_V62_ACTION_ORDINAL
f86v3	f86v3.19	4	qokam	nimm ein Maß und erhitze es	nimm ein Maß und erhitze es	2	nehmen|erhitzen	2	nehmen|erhitzen	1	1	GDT689_V62_ACTION_ORDINAL
f86v5	f86v5.2	7	qopchol	nimm getrockneten Pulverstoff	nimm getrockneten Pulverstoff	1	nehmen	1	nehmen	1	1	GDT689_V62_ACTION_ORDINAL
f86v5	f86v5.2	10	ytol	kühle hiervon den Drogenstoff ab	kühle hiervon den Drogenstoff ab	1	abkühlen	1	abkühlen	1	1	GDT689_V62_ACTION_ORDINAL
f86v5	f86v5.24	3	ykain	erhitze hiervon auf Stufe II	erhitze hiervon auf Stufe II	1	erhitzen	1	erhitzen	1	1	GDT689_V62_ACTION_ORDINAL
f86v5	f86v5.4	1	ypchesy	hiervon Samenpulver bis zur Mittelstufe trocknen	hiervon Samenpulver bis zur Mittelstufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
f86v6	f86v6.25	1	yteedy	hiervon bis zur Endstufe abkühlen	hiervon bis zur Endstufe abkühlen	1	abkühlen	1	abkühlen	1	1	GDT689_V62_ACTION_ORDINAL
f86v6	f86v6.25	4	qodar	die erste Ansatzfraktion abmessen	Drogenanteil I abmessen	1	abmessen	1	abmessen	1	1	GDT689_V62_ACTION_ORDINAL
f86v6	f86v6.25	5	ykaiin	erhitze hiervon auf Stufe III	erhitze hiervon auf Stufe III	1	erhitzen	1	erhitzen	1	1	GDT689_V62_ACTION_ORDINAL
f86v6	f86v6.31	10	otytam	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	2	nehmen|kühlen	2	nehmen|kühlen	1	1	GDT689_V62_ACTION_ORDINAL
f88r	f88r.19	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
f88r	f88r.19	4	qoekol	heißen Drogenstoff der Mittelstufe zugeben	heißen Drogenstoff der Mittelstufe zugeben	1	zugeben	1	zugeben	1	1	GDT689_V62_ACTION_ORDINAL
f88r	f88r.19	5	qoekol	heißen Drogenstoff der Mittelstufe zugeben	heißen Drogenstoff der Mittelstufe zugeben	1	zugeben	1	zugeben	1	1	GDT689_V62_ACTION_ORDINAL
f88r	f88r.19	6	qockhol	Drogenstoff aus Arzneikompositum zugeben	Drogenstoff aus Arzneikompositum zugeben	1	zugeben	1	zugeben	1	1	GDT689_V62_ACTION_ORDINAL
f8r	f8r.15	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	Eine abgemessene Portion bis zur Mittelstufe trocknen	1	trocknen	1	trocknen	1	1	GDT689_V62_ACTION_ORDINAL
