rule	mode	record	unit	locus	word	bearer	right_complement	severed_candidate	issues	reading
V	LOCAL	f21r	f21r:V5	f21r.11:3	shol	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist feucht
V	LOCAL	f21r	f21r:V6	f21r.11:7	shey	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist heiß
V	LOCAL	f21r	f21r:V7	f21r.12:6	chol	f21r.12:5	NA	NA	NONE	Blüten ist trocken
V	LOCAL	f21r	f21r:V8	f21r.12:8	chkaiin	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist gemischt
V	LOCAL	f32v	f32v:V1	f32v.9:1	qotchy	f32v.8:9	f32v.9:2	NA	NONE	Feinanteil befindet sich bei Filterstelle
V	LOCAL	f32v	f32v:V2	f32v.10:1	sho	f32v.9:6	f32v.10:2	NA	NONE	Pflanzenportion enthält Öl
V	LOCAL	f32v	f32v:V3	f32v.10:4	chol	f32v.10:3	NA	NA	NONE	Blüten ist trocken
V	LOCAL	f32v	f32v:V4	f32v.11:2	sho	f32v.10:8	f32v.11:3	NA	NONE	Trockenmaterial enthält Wasser
V	LOCAL	f29v	f29v:V1	f29v.2:3	chol	f29v.2:1	NA	NA	NONE	Feinpulver ist trocken
V	LOCAL	f29v	f29v:V2	f29v.2:4	chol	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist trocken
V	LOCAL	f29v	f29v:V3	f29v.3:1	chol	f29v.2:8	NA	NA	NONE	zerkleinerte Blüten ist trocken
V	LOCAL	f29v	f29v:V4	f29v.3:2	chol	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist trocken
V	LOCAL	f29v	f29v:V5	f29v.3:4	shey	MISSING	NA	NA	MISSING_BEARER	?Gegenstand ist heiß
V	LOCAL	f29v	f29v:V6	f29v.3:6	qotchy	f29v.3:5	f29v.3:7	NA	NONE	Zusatzportion befindet sich bei Auffanggefäß
V	LOCAL	f29v	f29v:V7	f29v.4:8	sho	f29v.4:4	f29v.4:9	NA	NONE	Kraut enthält Ansatz
V	CARRY	f17r	f17r:V1	f17r.4:2	shol	f17r.4:1	NA	NA	NONE	Pflanzenmaterial ist feucht
V	CARRY	f21r	f21r:V1	f21r.9:2	sho	f21r.9:1	f21r.9:3	NA	NONE	Ansatz enthält Flüssigauszug
V	CARRY	f21r	f21r:V2	f21r.9:4	chkaiin	f21r.9:1	NA	NA	NONE	Ansatz ist gemischt
V	CARRY	f21r	f21r:V3	f21r.11:1	shol	f21r.10:6	NA	NA	NONE	Trockenmaterial ist feucht
V	CARRY	f21r	f21r:V4	f21r.11:2	chol	f21r.10:6	NA	NA	NONE	Trockenmaterial ist trocken
V	CARRY	f21r	f21r:V5	f21r.11:3	shol	f21r.10:6	NA	NA	NONE	Trockenmaterial ist feucht
V	CARRY	f21r	f21r:V6	f21r.11:7	shey	f21r.10:6	NA	NA	NONE	Trockenmaterial ist heiß
V	CARRY	f21r	f21r:V7	f21r.12:6	chol	f21r.12:5	NA	NA	NONE	Blüten ist trocken
V	CARRY	f21r	f21r:V8	f21r.12:8	chkaiin	f21r.12:5	NA	NA	NONE	Blüten ist gemischt
V	CARRY	f32v	f32v:V1	f32v.9:1	qotchy	f32v.8:9	f32v.9:2	NA	NONE	Feinanteil befindet sich bei Filterstelle
V	CARRY	f32v	f32v:V2	f32v.10:1	sho	f32v.9:6	f32v.10:2	NA	NONE	Pflanzenportion enthält Öl
V	CARRY	f32v	f32v:V3	f32v.10:4	chol	f32v.10:3	NA	NA	NONE	Blüten ist trocken
V	CARRY	f32v	f32v:V4	f32v.11:2	sho	f32v.10:8	f32v.11:3	NA	NONE	Trockenmaterial enthält Wasser
V	CARRY	f29v	f29v:V1	f29v.2:3	chol	f29v.2:1	NA	NA	NONE	Feinpulver ist trocken
V	CARRY	f29v	f29v:V2	f29v.2:4	chol	f29v.2:1	NA	NA	NONE	Feinpulver ist trocken
V	CARRY	f29v	f29v:V3	f29v.3:1	chol	f29v.2:8	NA	NA	NONE	zerkleinerte Blüten ist trocken
V	CARRY	f29v	f29v:V4	f29v.3:2	chol	f29v.2:8	NA	NA	NONE	zerkleinerte Blüten ist trocken
V	CARRY	f29v	f29v:V5	f29v.3:4	shey	f29v.2:8	NA	NA	NONE	zerkleinerte Blüten ist heiß
V	CARRY	f29v	f29v:V6	f29v.3:6	qotchy	f29v.3:5	f29v.3:7	NA	NONE	Zusatzportion befindet sich bei Auffanggefäß
V	CARRY	f29v	f29v:V7	f29v.4:8	sho	f29v.4:4	f29v.4:9	NA	NONE	Kraut enthält Ansatz
