surface	bridge_rank	candidate_rank	selected_primary	candidate_id	historical_expression	candidate_base_gloss_de	target_specific_working_candidate_de	working_confidence_if_primary	candidate_kind	candidate_register_family	gdt754_register_family	register_family_match	target_role_axes	candidate_required_all_axes	candidate_required_any_axes	hard_role_fit	preferred_axis_overlap	content_slot_axis	literal_content_axis_supported	reader_exact_occurrences	complete_independent_fields	preferred_channel_hits	preferred_channel_rate	layout_hits	layout_rate	historical_date_tier_0_3	historical_source_ids	historical_source_summary	attested_form	historical_locator	attestation_scope	fit_score_0_100_diagnostic	selection_reason_if_primary	counterevidence	comparison_unit	historical_graphic_match_claimed	literal_identity	confirmed_lexeme	component_export_credit
okeol	4	2	0	E024	usque ad mediam partem	bis zur Haelfte	bis zur Haelfte	ALTERNATE_NOT_SELECTED	PROCESS_TARGET	RECIPE_ACTION_OR_COMMAND_REGISTER	QUALITY_STATE_OR_DEGREE_REGISTER	0	HOT|MIDDLE_STAGE	MIDDLE_STAGE	PROCESS|PART	0	HOT	NONE	1	41	17	5	0.294118	40	0.975610	3	HX005	HX005: BnF lat.8651 fourteenth-century ink recipe (14th century)	usque ad mediam partem	BnF lat.8651 f88v	DIRECT_EXPRESSION	39.516	ALTERNATE_RIVAL	required target axes incomplete; changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
okeol	4	3	0	E050	calidum	heiss oder warm	heiss oder warm	ALTERNATE_NOT_SELECTED	QUALITY_STATE	QUALITY_STATE_OR_DEGREE_REGISTER	QUALITY_STATE_OR_DEGREE_REGISTER	1	HOT|MIDDLE_STAGE	HOT	NONE	1	NONE	NONE	1	41	17	5	0.294118	40	0.975610	3	HX001|HX002|HX007	HX001: Vatican Pal.lat.1234 degrees of simples (circa 1400) || HX002: Wellcome MS.542 medical miscellany and glossary (early 15th century) || HX007: Alphita medico-botanical glossary (medieval tradition; 1887 edition)	calidum	quality rubrics and materia entries	DIRECT_EXPRESSION_CLASS	75.516	ALTERNATE_RIVAL	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
qokeol	5	1	1	E009	calide in secundo gradu	heiss im zweiten Grad	heiß im zweiten Grad	C1_CONSTRAINED_CANDIDATE	QUALITY_DEGREE	QUALITY_STATE_OR_DEGREE_REGISTER	QUALITY_STATE_OR_DEGREE_REGISTER	1	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	NONE	1	NONE	NONE	1	34	13	5	0.384615	31	0.911765	3	HX001	HX001: Vatican Pal.lat.1234 degrees of simples (circa 1400)	Calide in 2o gradu	Pal.lat.1234 f1r	DIRECT_EXPRESSION	81.369	The corrected whole-pair retains the same HOT plus middle-stage role; no independent q-side command split survives.	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
qokeol	5	2	0	E024	usque ad mediam partem	bis zur Haelfte	bis zur Haelfte	ALTERNATE_NOT_SELECTED	PROCESS_TARGET	RECIPE_ACTION_OR_COMMAND_REGISTER	QUALITY_STATE_OR_DEGREE_REGISTER	0	HOT|MIDDLE_STAGE	MIDDLE_STAGE	PROCESS|PART	0	HOT	NONE	1	34	13	2	0.153846	31	0.911765	3	HX005	HX005: BnF lat.8651 fourteenth-century ink recipe (14th century)	usque ad mediam partem	BnF lat.8651 f88v	DIRECT_EXPRESSION	35.753	ALTERNATE_RIVAL	required target axes incomplete; changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
qokeol	5	3	0	E050	calidum	heiss oder warm	heiss oder warm	ALTERNATE_NOT_SELECTED	QUALITY_STATE	QUALITY_STATE_OR_DEGREE_REGISTER	QUALITY_STATE_OR_DEGREE_REGISTER	1	HOT|MIDDLE_STAGE	HOT	NONE	1	NONE	NONE	1	34	13	5	0.384615	31	0.911765	3	HX001|HX002|HX007	HX001: Vatican Pal.lat.1234 degrees of simples (circa 1400) || HX002: Wellcome MS.542 medical miscellany and glossary (early 15th century) || HX007: Alphita medico-botanical glossary (medieval tradition; 1887 edition)	calidum	quality rubrics and materia entries	DIRECT_EXPRESSION_CLASS	76.369	ALTERNATE_RIVAL	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
olchedy	6	1	1	E015	siccum	trocken oder getrocknet	getrocknet	C1_CONSTRAINED_CANDIDATE	QUALITY_STATE	QUALITY_STATE_OR_DEGREE_REGISTER	RECIPE_ACTION_OR_COMMAND_REGISTER	0	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	DRY	NONE	1	MATERIAL|PREPARATION	NONE	1	20	7	3	0.428571	19	0.950000	2	HX002|HX007	HX002: Wellcome MS.542 medical miscellany and glossary (early 15th century) || HX007: Alphita medico-botanical glossary (medieval tradition; 1887 edition)	siccum	Wellcome MS.542 f118r and Alphita entries	DIRECT_EXPRESSION_CLASS	69.821	Three of seven complete independent fields are descriptive materia and the form is relatively late, favouring a state over an imperative.	changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
olchedy	6	2	0	E043	sicca	trockne	trockne	ALTERNATE_NOT_SELECTED	PROCESS_VERB	RECIPE_ACTION_OR_COMMAND_REGISTER	RECIPE_ACTION_OR_COMMAND_REGISTER	1	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	DRY|PROCESS	NONE	1	MATERIAL|PREPARATION|CLOSE	NONE	1	20	7	0	0.000000	19	0.950000	1	HX011	HX011: Oxford Trinity College MS 9 recipe collection (late medieval)	sicca ad solem vel ad umbram	Oxford Trinity College MS 9 recipe catalogue	CATALOGUE_EXPRESSION	72.250	ALTERNATE_RIVAL	zero preferred-channel complete fields	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
olchedy	6	3	0	E025	preparatio	Zubereitung	Zubereitung	ALTERNATE_NOT_SELECTED	PREPARATION_NOUN	LEARNED_DRUG_OR_PREPARATION_HEADWORD_REGISTER	RECIPE_ACTION_OR_COMMAND_REGISTER	0	DRY|MATERIAL|PREPARATION|PROCESS|CLOSE	PREPARATION|MATERIAL	NONE	1	CLOSE	PREPARATION	1	20	7	3	0.428571	19	0.950000	3	HX004|HX008	HX004: Durham Cathedral MS B.III.12 endleaf recipes (14th to 15th centuries) || HX008: Wellcome MS.491 Pseudo-Mesue Grabadin (1418)	Preparationes; Preparatio	Durham f83v recipes 6-7	DIRECT_EXPRESSION	76.821	ALTERNATE_RIVAL	changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
chees	7	1	1	E015	siccum	trocken oder getrocknet	vollständig getrocknet	C1_CONSTRAINED_CANDIDATE	QUALITY_STATE	QUALITY_STATE_OR_DEGREE_REGISTER	RECIPE_ACTION_OR_COMMAND_REGISTER	0	DRY|END_STAGE|MATERIAL|PREPARATION|PROCESS	DRY	NONE	1	MATERIAL|PREPARATION|END_STAGE	NONE	1	29	11	5	0.454545	28	0.965517	2	HX002|HX007	HX002: Wellcome MS.542 medical miscellany and glossary (early 15th century) || HX007: Alphita medico-botanical glossary (medieval tradition; 1887 edition)	siccum	Wellcome MS.542 f118r and Alphita entries	DIRECT_EXPRESSION_CLASS	72.574	DRY plus end-stage and a descriptive-leaning external mix favour a completed state; process remains an alternate.	changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
chees	7	2	0	E043	sicca	trockne	trockne	ALTERNATE_NOT_SELECTED	PROCESS_VERB	RECIPE_ACTION_OR_COMMAND_REGISTER	RECIPE_ACTION_OR_COMMAND_REGISTER	1	DRY|END_STAGE|MATERIAL|PREPARATION|PROCESS	DRY|PROCESS	NONE	1	MATERIAL|PREPARATION	NONE	1	29	11	3	0.272727	28	0.965517	1	HX011	HX011: Oxford Trinity College MS 9 recipe collection (late medieval)	sicca ad solem vel ad umbram	Oxford Trinity College MS 9 recipe catalogue	CATALOGUE_EXPRESSION	75.937	ALTERNATE_RIVAL	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
chees	7	3	0	E025	preparatio	Zubereitung	Zubereitung	ALTERNATE_NOT_SELECTED	PREPARATION_NOUN	LEARNED_DRUG_OR_PREPARATION_HEADWORD_REGISTER	RECIPE_ACTION_OR_COMMAND_REGISTER	0	DRY|END_STAGE|MATERIAL|PREPARATION|PROCESS	PREPARATION|MATERIAL	NONE	1	NONE	PREPARATION	1	29	11	4	0.363636	28	0.965517	3	HX004|HX008	HX004: Durham Cathedral MS B.III.12 endleaf recipes (14th to 15th centuries) || HX008: Wellcome MS.491 Pseudo-Mesue Grabadin (1418)	Preparationes; Preparatio	Durham f83v recipes 6-7	DIRECT_EXPRESSION	73.755	ALTERNATE_RIVAL	changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
qopchedy	8	1	1	E024	usque ad mediam partem	bis zur Haelfte	bis zur Hälfte trocknen	C1_CONSTRAINED_CANDIDATE	PROCESS_TARGET	RECIPE_ACTION_OR_COMMAND_REGISTER	RECIPE_ACTION_OR_COMMAND_REGISTER	1	DRY|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	MIDDLE_STAGE	PROCESS|PART	1	DRY	NONE	1	23	13	3	0.230769	22	0.956522	3	HX005	HX005: BnF lat.8651 fourteenth-century ink recipe (14th century)	usque ad mediam partem	BnF lat.8651 f88v	DIRECT_EXPRESSION	75.963	MIDDLE_STAGE plus DRY and PROCESS matches an attested until-half process target, with the drying operation supplied only by the whole-role hypothesis.	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
qopchedy	8	2	0	E043	sicca	trockne	trockne	ALTERNATE_NOT_SELECTED	PROCESS_VERB	RECIPE_ACTION_OR_COMMAND_REGISTER	RECIPE_ACTION_OR_COMMAND_REGISTER	1	DRY|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	DRY|PROCESS	NONE	1	MATERIAL|PREPARATION|CLOSE	NONE	1	23	13	3	0.230769	22	0.956522	1	HX011	HX011: Oxford Trinity College MS 9 recipe collection (late medieval)	sicca ad solem vel ad umbram	Oxford Trinity College MS 9 recipe catalogue	CATALOGUE_EXPRESSION	76.963	ALTERNATE_RIVAL	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
qopchedy	8	3	0	E019	repone	stelle zurueck oder bewahre auf	stelle zurueck oder bewahre auf	ALTERNATE_NOT_SELECTED	PROCESS_VERB	RECIPE_ACTION_OR_COMMAND_REGISTER	RECIPE_ACTION_OR_COMMAND_REGISTER	1	DRY|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	PROCESS|CLOSE	NONE	1	PREPARATION	NONE	1	23	13	3	0.230769	22	0.956522	3	HX005	HX005: BnF lat.8651 fourteenth-century ink recipe (14th century)	repone	BnF lat.8651 f88v	DIRECT_EXPRESSION	80.963	ALTERNATE_RIVAL	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
okam	9	1	1	E004	drachma i	eine Drachme	eine Drachme	C1_CONSTRAINED_CANDIDATE	FORMULAIC_MEASURE	MEASURE_FRACTION_OR_DEGREE_REGISTER	MEASURE_FRACTION_OR_DEGREE_REGISTER	1	HOT|LEVEL_I|AMOUNT|MATERIAL|PREPARATION	AMOUNT	LEVEL_I|LEVEL_II|LEVEL_III	1	LEVEL_I	NONE	1	17	5	1	0.200000	11	0.647059	1	HX006|HX009	HX006: Aligned John of Burgundy plague-tract abbreviation corpus (1450s to 1490s) || HX009: Abbreviations in Medieval Medical Manuscripts (late 14th to 15th century)	drachm logogram	aligned recipe table 4	CORPUS_FORMULA	62.706	AMOUNT plus level I and eleven of seventeen line-final occurrences fit a compact terminal dose or measure.	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
okam	9	2	0	E005	uncia i	eine Unze	eine Unze	ALTERNATE_NOT_SELECTED	FORMULAIC_MEASURE	MEASURE_FRACTION_OR_DEGREE_REGISTER	MEASURE_FRACTION_OR_DEGREE_REGISTER	1	HOT|LEVEL_I|AMOUNT|MATERIAL|PREPARATION	AMOUNT	LEVEL_I|LEVEL_II|LEVEL_III	1	LEVEL_I	NONE	1	17	5	1	0.200000	11	0.647059	2	HX004|HX006|HX009	HX004: Durham Cathedral MS B.III.12 endleaf recipes (14th to 15th centuries) || HX006: Aligned John of Burgundy plague-tract abbreviation corpus (1450s to 1490s) || HX009: Abbreviations in Medieval Medical Manuscripts (late 14th to 15th century)	sex vncias; vnam ... quartam vncie	Durham f83v recipe 1	DIRECT_EXPRESSION	66.706	ALTERNATE_RIVAL	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
okam	9	3	0	E006	ana	zu gleichen Teilen	zu gleichen Teilen	ALTERNATE_NOT_SELECTED	FORMULAIC_QUANTITY	MEASURE_FRACTION_OR_DEGREE_REGISTER	MEASURE_FRACTION_OR_DEGREE_REGISTER	1	HOT|LEVEL_I|AMOUNT|MATERIAL|PREPARATION	NONE	AMOUNT|PART	1	AMOUNT	NONE	1	17	5	1	0.200000	17	1.000000	2	HX006|HX009|HX010	HX006: Aligned John of Burgundy plague-tract abbreviation corpus (1450s to 1490s) || HX009: Abbreviations in Medieval Medical Manuscripts (late 14th to 15th century) || HX010: Wellcome MS.307 recipe collection (late 14th century)	ana	Wellcome MS.307 f44r-f45v; aligned recipe table 4	DIRECT_PLUS_CORPUS_FORMULA	67.000	ALTERNATE_RIVAL	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
qoaiin	10	1	1	E007	Recipe iii vel iiii guttas	nimm drei oder vier Tropfen	nimm drei Einheiten	C1_CONSTRAINED_CANDIDATE	FORMULAIC_COMMAND_QUANTITY	MEASURE_FRACTION_OR_DEGREE_REGISTER	MEASURE_FRACTION_OR_DEGREE_REGISTER	1	LEVEL_III|PROCESS	LEVEL_III	PROCESS|AMOUNT|PASS	1	PROCESS	NONE	1	20	5	2	0.400000	20	1.000000	3	HX002	HX002: Wellcome MS.542 medical miscellany and glossary (early 15th century)	R. iii vel iiii guttas	Wellcome MS.542 f79v	DIRECT_EXPRESSION	80.000	LEVEL_III plus PROCESS and a relatively early profile fit a terse command-number macro better than a descriptive degree.	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
qoaiin	10	2	0	E049	tertia pars	dritter Teil	dritter Teil	ALTERNATE_NOT_SELECTED	FORMULAIC_PART	MEASURE_FRACTION_OR_DEGREE_REGISTER	MEASURE_FRACTION_OR_DEGREE_REGISTER	1	LEVEL_III|PROCESS	PART|LEVEL_III	NONE	0	NONE	NONE	1	20	5	2	0.400000	15	0.750000	2	HX005|HX007	HX005: BnF lat.8651 fourteenth-century ink recipe (14th century) || HX007: Alphita medico-botanical glossary (medieval tradition; 1887 edition)	tertiam partem; tertiam mellis	BnF lat.8651 f88v; Alphita Idromel	DIRECT_EXPRESSION_CLASS	40.250	ALTERNATE_RIVAL	required target axes incomplete	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
qoaiin	10	3	0	E016	Recipe	nimm	nimm	ALTERNATE_NOT_SELECTED	FORMULAIC_COMMAND	RECIPE_ACTION_OR_COMMAND_REGISTER	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	LEVEL_III|PROCESS	NONE	PROCESS|PASS	1	NONE	NONE	1	20	5	1	0.200000	5	0.250000	2	HX004|HX006|HX009	HX004: Durham Cathedral MS B.III.12 endleaf recipes (14th to 15th centuries) || HX006: Aligned John of Burgundy plague-tract abbreviation corpus (1450s to 1490s) || HX009: Abbreviations in Medieval Medical Manuscripts (late 14th to 15th century)	Recipe	Durham f83v recipes; aligned recipe table 4	DIRECT_PLUS_CORPUS_FORMULA	45.750	ALTERNATE_RIVAL	changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
lky	11	1	1	E050	calidum	heiss oder warm	heiß oder warm	C1_CONSTRAINED_CANDIDATE	QUALITY_STATE	QUALITY_STATE_OR_DEGREE_REGISTER	QUALITY_STATE_OR_DEGREE_REGISTER	1	HOT	HOT	NONE	1	NONE	NONE	1	16	8	1	0.125000	16	1.000000	3	HX001|HX002|HX007	HX001: Vatican Pal.lat.1234 degrees of simples (circa 1400) || HX002: Wellcome MS.542 medical miscellany and glossary (early 15th century) || HX007: Alphita medico-botanical glossary (medieval tradition; 1887 edition)	calidum	quality rubrics and materia entries	DIRECT_EXPRESSION_CLASS	72.500	The later whole-role evidence retains HOT only; no degree or operation is added.	NONE	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
lky	11	2	0	E009	calide in secundo gradu	heiss im zweiten Grad	heiss im zweiten Grad	ALTERNATE_NOT_SELECTED	QUALITY_DEGREE	QUALITY_STATE_OR_DEGREE_REGISTER	QUALITY_STATE_OR_DEGREE_REGISTER	1	HOT	HOT|MIDDLE_STAGE	NONE	0	NONE	NONE	1	16	8	1	0.125000	16	1.000000	3	HX001	HX001: Vatican Pal.lat.1234 degrees of simples (circa 1400)	Calide in 2o gradu	Pal.lat.1234 f1r	DIRECT_EXPRESSION	42.500	ALTERNATE_RIVAL	required target axes incomplete	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
lky	11	3	0	E021	fac bullire	lasse kochen	lasse kochen	ALTERNATE_NOT_SELECTED	PROCESS_VERB	RECIPE_ACTION_OR_COMMAND_REGISTER	QUALITY_STATE_OR_DEGREE_REGISTER	0	HOT	HOT|PROCESS	NONE	0	NONE	NONE	1	16	8	0	0.000000	12	0.750000	3	HX005	HX005: BnF lat.8651 fourteenth-century ink recipe (14th century)	fac bulire	BnF lat.8651 f88v	DIRECT_EXPRESSION	28.250	ALTERNATE_RIVAL	required target axes incomplete; zero preferred-channel complete fields; changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
ykedy	12	1	1	E027	custodiatur	bewahre auf oder halte	warm halten oder aufbewahren	C0_FORCED_DEFAULT	PROCESS_VERB	RECIPE_ACTION_OR_COMMAND_REGISTER	QUALITY_STATE_OR_DEGREE_REGISTER	0	HOT|MIDDLE_STAGE|CLOSE|PASS	PASS|CLOSE	NONE	1	NONE	NONE	1	6	2	1	0.500000	6	1.000000	3	HX004	HX004: Durham Cathedral MS B.III.12 endleaf recipes (14th to 15th centuries)	custodiatur	Durham f83v recipe 6	DIRECT_EXPRESSION	77.000	PASS plus CLOSE and late placement support keeping; HOT is retained as a modifier but no exact historical warm-hold macro is identified.	changes GDT754 broad register family	EXACT_COMPLETE_SURFACE_ROLE_NOT_EVA_SPELLING	0	OPEN	0	0
