line_initial_rate_rank	surface	reader_exact_occurrences	line_first_occurrences	line_first_rate	line_last_occurrences	paragraph_first_occurrences	section_counts	top24_target	gdt754_productive_compound_surface	comparison_used_semantics	reader_exact_minimum_occurrences	confirmed_lexeme
179	choty	32	2	0.062500	4	0	B:1|H:19|P:1|S:8|T:3	0	0	0	10	0
180	cthey	32	2	0.062500	3	0	B:1|H:25|P:3|S:3	0	0	0	10	0
181	keol	16	1	0.062500	1	1	B:1|H:9|S:6	0	0	0	10	0
182	tedy	16	1	0.062500	0	1	B:8|C:1|H:4|S:3	0	0	0	10	0
183	chedaiin	17	1	0.058824	1	0	B:2|H:1|S:14	0	0	0	10	0
184	kchey	17	1	0.058824	0	1	B:3|H:11|S:3	0	0	0	10	0
185	okair	17	1	0.058824	0	0	B:1|H:6|S:10	0	0	0	10	0
186	qokair	17	1	0.058824	0	0	B:1|H:1|P:1|S:14	0	0	0	10	0
187	qotchedy	17	1	0.058824	1	0	B:1|S:14|T:2	0	0	0	10	0
188	ol	376	22	0.058511	37	0	B:167|C:4|H:70|P:17|S:87|T:31	0	0	0	10	0
189	chor	176	10	0.056818	5	0	H:141|P:12|S:18|T:5	0	0	0	10	0
190	qokey	88	5	0.056818	6	0	B:25|H:7|P:8|S:40|T:8	0	0	0	10	0
191	okey	36	2	0.055556	3	0	B:5|H:8|P:5|S:18	0	0	0	10	0
192	chain	18	1	0.055556	1	0	B:1|H:10|S:7	0	0	0	10	0
193	chockhy	18	1	0.055556	2	0	H:6|P:5|S:7	0	0	0	10	0
194	daly	18	1	0.055556	7	0	B:5|H:6|P:1|S:3|T:3	0	0	0	10	0
195	otair	18	1	0.055556	0	0	B:1|C:1|S:16	0	0	0	10	0
196	otchedy	18	1	0.055556	1	0	B:2|C:2|H:1|S:12|T:1	0	0	0	10	0
197	lchey	37	2	0.054054	4	0	B:16|H:2|S:16|T:3	0	0	0	10	0
198	qokar	132	7	0.053030	3	0	B:38|C:1|H:25|P:4|S:43|T:21	0	0	0	10	0
199	chol	303	16	0.052805	5	0	B:8|C:4|H:194|P:30|S:58|T:9	0	0	0	10	0
200	cthor	39	2	0.051282	2	0	B:2|H:36|P:1	0	0	0	10	0
201	oky	80	4	0.050000	22	0	B:10|H:48|P:4|S:10|T:8	0	0	0	10	0
202	qotain	60	3	0.050000	4	0	B:20|S:36|T:4	0	0	0	10	0
203	kol	20	1	0.050000	1	0	B:1|H:16|S:2|T:1	0	0	0	10	0
204	okeeey	20	1	0.050000	3	0	C:1|H:2|P:4|S:12|T:1	0	0	0	10	0
205	olchedy	20	1	0.050000	5	0	B:13|H:1|S:4|T:2	1	1	0	10	0
206	sheedy	41	2	0.048780	0	0	B:18|C:1|H:2|P:1|S:15|T:4	0	0	0	10	0
207	oteedy	66	3	0.045455	4	0	B:15|C:1|H:3|S:43|T:4	0	0	0	10	0
208	cheeky	22	1	0.045455	0	0	B:10|H:6|S:5|T:1	0	0	0	10	0
209	okar	91	4	0.043956	3	0	B:12|H:30|P:1|S:35|T:13	0	0	0	10	0
210	oty	92	4	0.043478	23	0	B:16|C:1|H:46|P:1|S:22|T:6	0	0	0	10	0
211	qopchedy	23	1	0.043478	2	0	B:5|S:16|T:2	1	1	0	10	0
212	cheol	118	5	0.042373	4	0	B:21|H:25|P:19|S:49|T:4	0	0	0	10	0
213	sheol	71	3	0.042254	4	0	B:21|H:12|P:10|S:21|T:7	0	0	0	10	0
214	sheody	24	1	0.041667	1	0	H:7|P:4|S:10|T:3	0	0	0	10	0
215	qoky	125	5	0.040000	24	0	B:50|C:1|H:30|P:4|S:32|T:8	0	0	0	10	0
216	lchedy	75	3	0.040000	8	0	B:31|H:2|S:35|T:7	0	0	0	10	0
217	olkeedy	25	1	0.040000	1	0	B:9|H:1|S:11|T:4	0	0	0	10	0
218	qoty	77	3	0.038961	15	0	B:24|C:2|H:27|S:19|T:5	0	0	0	10	0
219	ody	26	1	0.038462	8	0	B:2|H:16|S:3|T:5	0	0	0	10	0
220	sy	26	1	0.038462	16	0	B:5|H:17|P:2|S:2	0	0	0	10	0
221	sheey	105	4	0.038095	3	0	B:22|C:2|H:23|P:7|S:43|T:8	0	0	0	10	0
222	char	55	2	0.036364	1	0	B:5|H:23|S:27	0	0	0	10	0
223	cheor	56	2	0.035714	2	0	B:8|H:27|P:11|S:9|T:1	0	0	0	10	0
224	chees	29	1	0.034483	0	0	B:5|H:11|P:3|S:8|T:2	1	1	0	10	0
225	choky	30	1	0.033333	6	0	H:19|P:4|S:6|T:1	0	0	0	10	0
226	olkain	30	1	0.033333	2	0	B:24|H:3|S:3	0	0	0	10	0
227	otaiin	128	4	0.031250	11	0	B:12|C:3|H:30|S:74|T:9	0	0	0	10	0
228	lkeey	34	1	0.029412	2	0	B:2|H:2|S:30	0	0	0	10	0
229	cheo	36	1	0.027778	0	0	H:9|P:2|S:25	0	0	0	10	0
230	otal	109	3	0.027523	10	0	B:17|H:20|P:2|S:57|T:13	0	0	0	10	0
231	dal	147	4	0.027211	36	0	B:46|C:2|H:46|P:13|S:29|T:11	0	0	0	10	0
232	okeol	41	1	0.024390	5	0	B:2|H:8|P:18|S:13	1	1	0	10	0
233	kar	42	1	0.023810	3	0	B:4|H:17|S:17|T:4	0	0	0	10	0
234	lkaiin	43	1	0.023256	3	0	B:3|S:36|T:4	1	1	0	10	0
235	air	44	1	0.022727	2	0	B:1|H:7|P:2|S:32|T:2	1	1	0	10	0
236	kaiin	44	1	0.022727	1	1	B:4|H:14|S:23|T:3	0	0	0	10	0
237	cho	45	1	0.022222	1	0	H:33|P:3|S:9	0	0	0	10	0
238	okeedy	49	1	0.020408	5	0	B:13|H:4|S:29|T:3	0	0	0	10	0
239	qotedy	49	1	0.020408	3	0	B:26|H:5|S:16|T:2	0	0	0	10	0
240	chedy	296	6	0.020270	21	0	B:113|C:3|H:24|P:1|S:125|T:30	0	0	0	10	0
241	cthol	50	1	0.020000	6	0	B:1|H:44|P:3|S:2	0	0	0	10	0
242	okal	102	2	0.019608	11	0	B:17|H:33|P:1|S:46|T:5	0	0	0	10	0
243	qotar	53	1	0.018868	5	0	B:11|C:1|H:8|S:26|T:7	0	0	0	10	0
244	cheody	54	1	0.018519	11	0	C:1|H:10|P:13|S:28|T:2	0	0	0	10	0
245	qotal	54	1	0.018519	5	0	B:22|H:6|S:19|T:7	0	0	0	10	0
246	chey	282	5	0.017730	17	0	B:68|C:2|H:66|P:10|S:113|T:23	0	0	0	10	0
247	chy	114	2	0.017544	11	0	B:7|C:2|H:88|P:2|S:12|T:3	0	0	0	10	0
248	shey	179	3	0.016760	10	0	B:55|H:33|P:6|S:66|T:19	0	0	0	10	0
249	chody	64	1	0.015625	5	0	C:1|H:37|P:5|S:16|T:5	0	0	0	10	0
250	ain	67	1	0.014925	6	0	B:8|C:2|H:7|P:3|S:38|T:9	0	0	0	10	0
251	shy	67	1	0.014925	6	0	B:9|H:46|P:3|S:6|T:3	0	0	0	10	0
252	cheey	137	2	0.014599	5	0	B:36|C:1|H:17|P:8|S:70|T:5	0	0	0	10	0
253	shedy	219	3	0.013699	11	0	B:102|C:1|H:16|S:75|T:25	0	0	0	10	0
254	otain	88	1	0.011364	8	0	B:21|C:2|H:10|S:49|T:6	0	0	0	10	0
255	otar	110	1	0.009091	4	0	B:17|C:1|H:22|P:1|S:55|T:14	0	0	0	10	0
256	dy	149	1	0.006711	47	0	B:34|H:94|P:7|S:7|T:7	0	0	0	10	0
257	ar	242	1	0.004132	18	0	B:12|C:7|H:58|P:3|S:136|T:26	0	0	0	10	0
258	aiin	338	0	0.000000	20	0	B:25|C:11|H:77|P:12|S:181|T:32	0	0	0	10	0
259	al	167	0	0.000000	22	0	B:11|H:16|P:6|S:120|T:14	0	0	0	10	0
260	chckhy	115	0	0.000000	8	0	B:25|C:1|H:45|P:1|S:34|T:9	0	0	0	10	0
261	chdy	89	0	0.000000	11	0	B:8|C:2|H:36|P:1|S:33|T:9	0	0	0	10	0
262	cthy	85	0	0.000000	26	0	H:83|S:1|T:1	0	0	0	10	0
263	chcthy	69	0	0.000000	6	0	B:17|C:2|H:24|S:23|T:3	0	0	0	10	0
264	am	53	0	0.000000	43	0	B:2|C:4|H:15|S:27|T:5	0	0	0	10	0
265	cheky	50	0	0.000000	5	0	B:9|H:24|P:2|S:13|T:2	0	0	0	10	0
266	oly	48	0	0.000000	33	0	B:22|H:12|P:1|S:9|T:4	0	0	0	10	0
267	okedy	47	0	0.000000	2	0	B:11|H:9|S:21|T:6	0	0	0	10	0
268	raiin	45	0	0.000000	4	0	B:6|C:1|H:2|P:1|S:32|T:3	0	0	0	10	0
269	shckhy	44	0	0.000000	0	0	B:14|H:5|S:18|T:7	0	0	0	10	0
270	checkhy	43	0	0.000000	1	0	B:18|C:1|H:6|P:1|S:16|T:1	0	0	0	10	0
271	chaiin	42	0	0.000000	7	0	H:33|S:8|T:1	0	0	0	10	0
272	aiiin	39	0	0.000000	1	0	B:5|C:1|H:3|P:2|S:19|T:9	0	0	0	10	0
273	cheedy	39	0	0.000000	1	0	B:17|H:1|P:1|S:16|T:4	0	0	0	10	0
274	otam	39	0	0.000000	26	0	B:2|C:1|H:12|P:1|S:16|T:7	0	0	0	10	0
275	chear	38	0	0.000000	2	0	B:3|C:1|H:11|P:3|S:17|T:3	0	0	0	10	0
276	otey	38	0	0.000000	1	0	B:12|C:1|H:4|P:1|S:17|T:3	0	0	0	10	0
277	dam	37	0	0.000000	24	0	B:2|H:23|P:3|S:7|T:2	0	0	0	10	0
278	kain	36	0	0.000000	2	0	B:13|H:4|S:15|T:4	0	0	0	10	0
279	opchedy	36	0	0.000000	1	0	B:10|H:3|S:19|T:4	1	1	0	10	0
280	chal	35	0	0.000000	6	0	B:5|H:5|S:22|T:3	0	0	0	10	0
281	qodaiin	34	0	0.000000	1	0	C:3|H:13|P:1|S:14|T:3	0	0	0	10	0
282	lkar	29	0	0.000000	2	0	B:2|C:1|S:21|T:5	0	0	0	10	0
283	ches	28	0	0.000000	2	0	B:9|H:4|P:2|S:11|T:2	0	0	0	10	0
284	sheo	28	0	0.000000	0	0	C:1|H:13|P:3|S:11	0	0	0	10	0
285	keey	27	0	0.000000	0	0	B:1|H:10|P:3|S:13	0	0	0	10	0
286	lkain	27	0	0.000000	2	0	B:3|S:22|T:2	0	0	0	10	0
287	shcthy	26	0	0.000000	1	0	B:8|H:7|S:8|T:3	0	0	0	10	0
288	chckhey	25	0	0.000000	2	0	B:6|C:1|H:4|P:1|S:12|T:1	0	0	0	10	0
289	cheal	25	0	0.000000	1	0	B:4|H:2|S:19	0	0	0	10	0
290	ckhy	25	0	0.000000	6	0	B:1|H:20|P:2|S:2	0	0	0	10	0
291	olkaiin	25	0	0.000000	1	0	B:6|C:1|H:5|S:10|T:3	0	0	0	10	0
292	opchey	25	0	0.000000	1	0	B:3|H:5|P:1|S:13|T:3	0	0	0	10	0
293	sheky	25	0	0.000000	1	0	B:10|H:7|P:1|S:6|T:1	0	0	0	10	0
294	checthy	24	0	0.000000	3	0	B:13|H:3|S:7|T:1	0	0	0	10	0
295	chl	24	0	0.000000	1	0	B:4|H:6|S:14	0	0	0	10	0
296	lshedy	24	0	0.000000	1	0	B:11|H:1|S:10|T:2	0	0	0	10	0
297	sheckhy	24	0	0.000000	1	0	B:13|H:2|S:9	0	0	0	10	0
298	lkeedy	23	0	0.000000	3	0	H:1|S:21|T:1	0	0	0	10	0
299	cheos	22	0	0.000000	1	0	C:1|H:7|P:4|S:10	0	0	0	10	0
