bridge_rank	surface	selected_role_axes	gdt754_historical_register_family	strongest_later_evidence_tier_0_4	reader_exact_occurrences	reader_exact_pages	complete_independent_fields	complete_independent_field_pages	anchored_complete_fields	nonopen_complete_fields	nonopen_complete_field_rate	dominant_nonopen_channel	dominant_nonopen_channel_count	complete_channel_counts	all_field_channel_counts	complete_independent_anchor_axis_counts	line_first_occurrences	line_last_occurrences	paragraph_first_occurrences	paragraph_last_occurrences	mean_normalized_position	section_counts	suspect_neighbor_axes_excluded	all_172_productive_compound_axes_excluded_from_fields	literal_identity	confirmed_lexeme	component_export_credit
11	lky	HOT	QUALITY_STATE_OR_DEGREE_REGISTER	1	16	11	8	6	1	1	0.125000	DESCRIPTIVE_MATERIA	1	DESCRIPTIVE_MATERIA:1|OPEN:7	DESCRIPTIVE_MATERIA:4|DESCRIPTIVE_QUALITY:1|OPEN:11	DRY:1|PART:1|PREPARATION:1|MIDDLE_STAGE:1	0	4	0	2	0.601157	B:3|S:13	0	1	OPEN	0	0
12	ykedy	HOT|MIDDLE_STAGE|CLOSE|PASS	QUALITY_STATE_OR_DEGREE_REGISTER	0	6	6	2	2	2	2	1.000000	DESCRIPTIVE_QUALITY	1	DESCRIPTIVE_QUALITY:1|PRESCRIPTIVE_RECIPE:1	DESCRIPTIVE_QUALITY:2|OPEN:2|PRESCRIPTIVE_RECIPE:2	HOT:1|AMOUNT:1|MATERIAL:1|PROCESS:1|CLOSE:1|MIDDLE_STAGE:1|END_STAGE:1	0	1	0	0	0.674140	B:1|H:3|S:1|T:1	2	1	OPEN	0	0
13	orain	LEVEL_II|PART	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	14	12	5	4	2	2	0.400000	DESCRIPTIVE_MATERIA	1	DESCRIPTIVE_MATERIA:1|OPEN:3|QUANTITY_OR_PART:1	DESCRIPTIVE_MATERIA:3|DESCRIPTIVE_QUALITY:1|MATERIA_OR_INGREDIENT:1|OPEN:6|PRESCRIPTIVE_RECIPE:2|QUANTITY_OR_PART:1	DRY:1|AMOUNT:1|PART:2|MATERIAL:2	3	7	1	3	0.635101	B:3|H:3|P:2|S:6	0	1	OPEN	0	0
14	chky	HOT|DRY|BEGIN_STAGE|PROCESS|CLOSE	RECIPE_ACTION_OR_COMMAND_REGISTER	0	15	14	9	9	4	4	0.444444	DESCRIPTIVE_MATERIA	3	DESCRIPTIVE_MATERIA:3|DESCRIPTIVE_QUALITY:1|OPEN:5	DESCRIPTIVE_MATERIA:5|DESCRIPTIVE_QUALITY:1|OPEN:8|QUANTITY_OR_PART:1	HOT:4|COLD:2|DRY:3|MOIST:1|AMOUNT:1|PART:1|MATERIAL:1|PREPARATION:2|CLOSE:1|BEGIN_STAGE:2|MIDDLE_STAGE:1|END_STAGE:2|LEVEL_III:1	0	2	0	1	0.609867	B:1|H:10|S:3|T:1	2	1	OPEN	0	0
15	qockhey	BEGIN_STAGE|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	RECIPE_ACTION_OR_COMMAND_REGISTER	0	12	11	7	7	2	2	0.285714	DESCRIPTIVE_MATERIA	1	DESCRIPTIVE_MATERIA:1|OPEN:5|QUANTITY_OR_PART:1	DESCRIPTIVE_MATERIA:2|DESCRIPTIVE_QUALITY:1|OPEN:5|PRESCRIPTIVE_RECIPE:2|QUANTITY_OR_PART:2	HOT:1|MOIST:1|AMOUNT:1|MATERIAL:1|PREPARATION:2|MIDDLE_STAGE:1|LEVEL_II:1	0	0	0	0	0.556740	B:2|H:3|P:3|S:3|T:1	0	1	OPEN	0	0
16	ychor	PART|PASS	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	13	13	8	8	6	6	0.750000	PRESCRIPTIVE_RECIPE	3	DESCRIPTIVE_MATERIA:2|MATERIA_OR_INGREDIENT:1|OPEN:2|PRESCRIPTIVE_RECIPE:3	DESCRIPTIVE_MATERIA:3|MATERIA_OR_INGREDIENT:1|OPEN:5|PRESCRIPTIVE_RECIPE:4	HOT:3|DRY:2|MOIST:1|AMOUNT:3|PART:1|MATERIAL:5|PREPARATION:3|PROCESS:3|BEGIN_STAGE:1|MIDDLE_STAGE:1	13	0	0	0	0.000000	H:9|P:2|S:1|T:1	1	1	OPEN	0	0
17	cthody	MATERIAL|PREPARATION|CLOSE	LEARNED_DRUG_OR_PREPARATION_HEADWORD_REGISTER	0	12	11	4	4	3	3	0.750000	DESCRIPTIVE_MATERIA	2	DESCRIPTIVE_MATERIA:2|OPEN:1|PRESCRIPTIVE_RECIPE:1	DESCRIPTIVE_MATERIA:7|MATERIA_OR_INGREDIENT:2|OPEN:1|PRESCRIPTIVE_RECIPE:2	HOT:1|MOIST:2|AMOUNT:2|MATERIAL:1|PREPARATION:3|PROCESS:1	0	2	0	0	0.709987	H:10|P:2	0	1	OPEN	0	0
18	ykol	HOT|MATERIAL|PASS	LEARNED_DRUG_OR_PREPARATION_HEADWORD_REGISTER	0	9	9	4	4	3	3	0.750000	DESCRIPTIVE_MATERIA	3	DESCRIPTIVE_MATERIA:3|OPEN:1	DESCRIPTIVE_MATERIA:5|DESCRIPTIVE_QUALITY:1|MATERIA_OR_INGREDIENT:1|OPEN:1|PRESCRIPTIVE_RECIPE:1	HOT:2|DRY:2|MOIST:1|AMOUNT:1|MATERIAL:1|PREPARATION:2|BEGIN_STAGE:2	1	1	0	0	0.497928	H:7|P:1|T:1	0	1	OPEN	0	0
19	olar	LEVEL_I|PART|MATERIAL|PREPARATION	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	7	6	2	2	2	2	1.000000	DESCRIPTIVE_MATERIA	1	DESCRIPTIVE_MATERIA:1|DESCRIPTIVE_QUALITY:1	DESCRIPTIVE_MATERIA:3|DESCRIPTIVE_QUALITY:1|OPEN:2|PRESCRIPTIVE_RECIPE:1	HOT:2|DRY:2|AMOUNT:1|MATERIAL:1|LEVEL_II:1	0	0	0	0	0.489100	B:1|H:2|S:4	0	1	OPEN	0	0
20	otaly	COLD|BEGIN_STAGE|LEVEL_I|MATERIAL|PREPARATION|CLOSE	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	11	10	6	6	3	3	0.500000	DESCRIPTIVE_MATERIA	1	DESCRIPTIVE_MATERIA:1|DESCRIPTIVE_QUALITY:1|OPEN:3|PRESCRIPTIVE_RECIPE:1	DESCRIPTIVE_MATERIA:2|DESCRIPTIVE_QUALITY:1|OPEN:7|PRESCRIPTIVE_RECIPE:1	HOT:1|COLD:1|DRY:1|MOIST:1|AMOUNT:1|PART:1|MATERIAL:1|PREPARATION:1|PROCESS:1|MIDDLE_STAGE:1|LEVEL_II:1	2	4	0	1	0.565368	B:3|H:1|P:2|S:5	0	1	OPEN	0	0
21	qolchedy	DRY|MIDDLE_STAGE|PROCESS|CLOSE	RECIPE_ACTION_OR_COMMAND_REGISTER	0	7	6	5	5	2	2	0.400000	DESCRIPTIVE_MATERIA	1	DESCRIPTIVE_MATERIA:1|MATERIA_OR_INGREDIENT:1|OPEN:3	DESCRIPTIVE_MATERIA:1|MATERIA_OR_INGREDIENT:1|OPEN:5	MOIST:1|MATERIAL:2|MIDDLE_STAGE:1	1	0	0	0	0.348980	B:6|T:1	0	1	OPEN	0	0
22	chdam	DRY|LEVEL_I|AMOUNT|PROCESS	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	4	4	3	3	2	2	0.666667	DESCRIPTIVE_MATERIA	2	DESCRIPTIVE_MATERIA:2|OPEN:1	DESCRIPTIVE_MATERIA:2|OPEN:2	HOT:1|DRY:2|PART:1|MATERIAL:1|PREPARATION:1|MIDDLE_STAGE:1|LEVEL_III:1	0	4	0	0	1.000000	H:1|S:2|T:1	0	1	OPEN	0	0
23	olchy	DRY|MATERIAL|PREPARATION|PROCESS	RECIPE_ACTION_OR_COMMAND_REGISTER	0	6	6	3	3	3	3	1.000000	DESCRIPTIVE_MATERIA	2	DESCRIPTIVE_MATERIA:2|DESCRIPTIVE_QUALITY:1	DESCRIPTIVE_MATERIA:3|DESCRIPTIVE_QUALITY:1|OPEN:2	HOT:3|DRY:2|AMOUNT:2|MATERIAL:2|PREPARATION:1|BEGIN_STAGE:1	0	1	0	1	0.522222	B:1|H:2|S:2|T:1	1	1	OPEN	0	0
24	qopchey	DRY|BEGIN_STAGE|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE	RECIPE_ACTION_OR_COMMAND_REGISTER	0	9	9	5	5	0	0	0.000000	NONE	0	OPEN:5	DESCRIPTIVE_MATERIA:1|DESCRIPTIVE_QUALITY:1|MATERIA_OR_INGREDIENT:1|OPEN:6	NONE	0	0	0	0	0.463777	H:2|S:5|T:2	0	1	OPEN	0	0
