bridge_rank	surface	gdt754_working_whole_default_de	gdt755_primary_historical_expression	gdt755_working_candidate_de	gdt755_spoken_candidate_render_de	working_confidence	evidence	selection_reason	counterevidence	alternate_candidate_1	alternate_candidate_2	candidate_register_family	register_migration_from_gdt754	candidate_layer_scope	historical_graphic_match_claimed	literal_identity	confirmed_lexeme	component_export_credit
11	lky	Arbeitshypothese: heiß/warm; genaue Ganzformbedeutung offen	calidum	heiß oder warm	Arbeitshypothese: heiß oder warm	C1_CONSTRAINED_CANDIDATE	whole axes HOT; 16 exact occurrences, 8 complete external fields; complete channels DESCRIPTIVE_MATERIA:1|OPEN:7; layout first/last 0/4; historical calidum (HX001|HX002|HX007)	The later whole-role evidence retains HOT only; no degree or operation is added.	NONE	E009	E021	QUALITY_STATE_OR_DEGREE_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
12	ykedy	Arbeitshypothese: heiß/warm, Mittelstufe, Abschlussfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	custodiatur	warm halten oder aufbewahren	Arbeitshypothese: warm halten oder aufbewahren	C0_FORCED_DEFAULT	whole axes HOT|MIDDLE_STAGE|CLOSE|PASS; 6 exact occurrences, 2 complete external fields; complete channels DESCRIPTIVE_QUALITY:1|PRESCRIPTIVE_RECIPE:1; layout first/last 0/1; historical custodiatur (HX004)	PASS plus CLOSE and late placement support keeping; HOT is retained as a modifier but no exact historical warm-hold macro is identified.	forced concrete default remains easy to replace	E048	E019	RECIPE_ACTION_OR_COMMAND_REGISTER	1	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
13	orain	Arbeitshypothese: Index/Stufe II, Teil-/Fraktionsfeld; genaue Ganzformbedeutung offen	ii partes	zwei Teile	Arbeitshypothese: zwei Teile	C1_CONSTRAINED_CANDIDATE	whole axes LEVEL_II|PART; 14 exact occurrences, 5 complete external fields; complete channels DESCRIPTIVE_MATERIA:1|OPEN:3|QUANTITY_OR_PART:1; layout first/last 3/7; historical ii partes aque (HX005|HX007)	PART plus level II and seven of fourteen line-final occurrences fit a quantity formula more strongly than a heading.	NONE	E002	E003	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
14	chky	Arbeitshypothese: heiß/warm, trocken, Anfangsstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	calidum et siccum in primo gradu	heiß und trocken im ersten Grad	Arbeitshypothese: heiß und trocken im ersten Grad	C1_CONSTRAINED_CANDIDATE	whole axes HOT|DRY|BEGIN_STAGE|PROCESS|CLOSE; 15 exact occurrences, 9 complete external fields; complete channels DESCRIPTIVE_MATERIA:3|DESCRIPTIVE_QUALITY:1|OPEN:5; layout first/last 0/2; historical Calide in primo gradu; calidum et siccum in ii gradu (HX001|HX002)	HOT DRY and begin-stage align with a real quality-degree class; mostly Herbal placement and descriptive fields weaken the old command reading.	changes GDT754 broad register family	E013	E008	QUALITY_STATE_OR_DEGREE_REGISTER	1	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
15	qockhey	Arbeitshypothese: Anfangsstufe, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	misce	mische	Arbeitshypothese: mische	C0_FORCED_DEFAULT	whole axes BEGIN_STAGE|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE; 12 exact occurrences, 7 complete external fields; complete channels DESCRIPTIVE_MATERIA:1|OPEN:5|QUANTITY_OR_PART:1; layout first/last 0/0; historical misce (HX004)	PROCESS plus PREPARATION makes mixing historically plausible, but five of seven complete external fields are open.	forced concrete default remains easy to replace	E025	E019	RECIPE_ACTION_OR_COMMAND_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
16	ychor	Arbeitshypothese: Teil-/Fraktionsfeld, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	Recipe	nimm	Arbeitshypothese: nimm	C2_STRONG_EXPLORATORY	whole axes PART|PASS; 13 exact occurrences, 8 complete external fields; complete channels DESCRIPTIVE_MATERIA:2|MATERIA_OR_INGREDIENT:1|OPEN:2|PRESCRIPTIVE_RECIPE:3; layout first/last 13/0; historical Recipe (HX004|HX006|HX009)	All thirteen exact occurrences are line-initial and three of eight complete independent fields are prescriptive recipe fields; this strongly beats the inherited part reading.	changes GDT754 broad register family	E017	E006	RECIPE_ACTION_OR_COMMAND_REGISTER	1	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
17	cthody	Arbeitshypothese: Stoff-/Materialrolle, Zubereitungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	unguentum	Salbe	Arbeitshypothese: Salbe	C0_FORCED_DEFAULT	whole axes MATERIAL|PREPARATION|CLOSE; 12 exact occurrences, 4 complete external fields; complete channels DESCRIPTIVE_MATERIA:2|OPEN:1|PRESCRIPTIVE_RECIPE:1; layout first/last 0/2; historical Unguentum (HX004)	MATERIAL plus PREPARATION and late Herbal placement create a learned preparation slot; Salbe is a bold specific whole-word candidate with generic preparation and electuary rivals.	forced concrete default remains easy to replace	E025	E039	LEARNED_DRUG_OR_PREPARATION_HEADWORD_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
18	ykol	Arbeitshypothese: heiß/warm, Stoff-/Materialrolle, Weiterführungs-/Bezugsfeld; genaue Ganzformbedeutung offen	calidum	heißes Heilmittel	Arbeitshypothese: heißes Heilmittel	C0_FORCED_DEFAULT	whole axes HOT|MATERIAL|PASS; 9 exact occurrences, 4 complete external fields; complete channels DESCRIPTIVE_MATERIA:3|OPEN:1; layout first/last 1/1; historical calidum (HX001|HX002|HX007)	HOT plus MATERIAL and seven of nine Herbal occurrences favour a descriptive medicine content slot; the noun remains speculative.	forced concrete default remains easy to replace	E026	E028	QUALITY_STATE_OR_DEGREE_REGISTER	1	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
19	olar	Arbeitshypothese: Index/Stufe I, Teil-/Fraktionsfeld, Stoff-/Materialrolle, Zubereitungsrolle; genaue Ganzformbedeutung offen	prima pars	erster Teil oder Anteil	Arbeitshypothese: erster Teil oder Anteil	C1_CONSTRAINED_CANDIDATE	whole axes LEVEL_I|PART|MATERIAL|PREPARATION; 7 exact occurrences, 2 complete external fields; complete channels DESCRIPTIVE_MATERIA:1|DESCRIPTIVE_QUALITY:1; layout first/last 0/0; historical primo gradu; mediam partem; parte (HX001|HX005|HX006)	PART plus level I is an exact role fit and complete fields are descriptive rather than command-like.	zero preferred-channel complete fields	E002	E004	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
20	otaly	Arbeitshypothese: kalt/kühl, Anfangsstufe, Index/Stufe I, Stoff-/Materialrolle, Zubereitungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	frigida in primo gradu	kalt im ersten Grad	Arbeitshypothese: kalt im ersten Grad	C1_CONSTRAINED_CANDIDATE	whole axes COLD|BEGIN_STAGE|LEVEL_I|MATERIAL|PREPARATION|CLOSE; 11 exact occurrences, 6 complete external fields; complete channels DESCRIPTIVE_MATERIA:1|DESCRIPTIVE_QUALITY:1|OPEN:3|PRESCRIPTIVE_RECIPE:1; layout first/last 2/4; historical Frigida in primo gradu (HX001)	COLD begin-stage and level I match an exact period quality rubric; preparation is retained only as carrier background.	changes GDT754 broad register family	E020	E025	QUALITY_STATE_OR_DEGREE_REGISTER	1	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
21	qolchedy	Arbeitshypothese: trocken, Mittelstufe, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	usque ad mediam partem	bis zur Hälfte trocknen	Arbeitshypothese: bis zur Hälfte trocknen	C0_FORCED_DEFAULT	whole axes DRY|MIDDLE_STAGE|PROCESS|CLOSE; 7 exact occurrences, 5 complete external fields; complete channels DESCRIPTIVE_MATERIA:1|MATERIA_OR_INGREDIENT:1|OPEN:3; layout first/last 1/0; historical usque ad mediam partem (HX005)	DRY middle-stage and PROCESS support a half-way process target, but three of five complete fields remain open.	forced concrete default remains easy to replace	E043	E019	RECIPE_ACTION_OR_COMMAND_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
22	chdam	Arbeitshypothese: trocken, Index/Stufe I, Mengen-/Maßfeld, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	drachma i	eine Drachme	Arbeitshypothese: eine Drachme	C0_FORCED_DEFAULT	whole axes DRY|LEVEL_I|AMOUNT|PROCESS; 4 exact occurrences, 3 complete external fields; complete channels DESCRIPTIVE_MATERIA:2|OPEN:1; layout first/last 0/4; historical drachm logogram (HX006|HX009)	AMOUNT plus level I and four of four line-final occurrences fit a terminal measure, but the sample is small and no complete external quantity field survives.	forced concrete default remains easy to replace	E005	E015	MEASURE_FRACTION_OR_DEGREE_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
23	olchy	Arbeitshypothese: trocken, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle; genaue Ganzformbedeutung offen	siccum	trockene Zubereitung	Arbeitshypothese: trockene Zubereitung	C1_CONSTRAINED_CANDIDATE	whole axes DRY|MATERIAL|PREPARATION|PROCESS; 6 exact occurrences, 3 complete external fields; complete channels DESCRIPTIVE_MATERIA:2|DESCRIPTIVE_QUALITY:1; layout first/last 0/1; historical siccum (HX002|HX007)	All three complete independent fields are descriptive and the role bundle contains DRY MATERIAL and PREPARATION.	changes GDT754 broad register family	E025	E043	QUALITY_STATE_OR_DEGREE_REGISTER	1	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
24	qopchey	Arbeitshypothese: trocken, Anfangsstufe, Mittelstufe, Stoff-/Materialrolle, Zubereitungsrolle, Vorgangs-/Anweisungsrolle, Abschlussfeld; genaue Ganzformbedeutung offen	sicca	trockne	Arbeitshypothese: trockne	C0_FORCED_DEFAULT	whole axes DRY|BEGIN_STAGE|MIDDLE_STAGE|MATERIAL|PREPARATION|PROCESS|CLOSE; 9 exact occurrences, 5 complete external fields; complete channels OPEN:5; layout first/last 0/0; historical sicca ad solem vel ad umbram (HX011)	DRY plus PROCESS gives a concrete default, but every complete independent field is open and the stage details remain unresolved.	forced concrete default remains easy to replace	E024	E019	RECIPE_ACTION_OR_COMMAND_REGISTER	0	EXACT_COMPLETE_SURFACE_ON_ENUMERATED_READER_EXACT_POSITIONS	0	OPEN	0	0
