locus	line_mode	action_ordinals	working_line_de	review_note
f112r.36	QUANTITY_LABEL	NONE	Saatgut, Charge II · Ansatz/Gut · trockenes Arzneikompositum, Anfangsstufe · ⟦olchain:?⟧ · heißer Ansatz, Endstufe · ein Maß Ansatz-/Drogenmaterial.	HOLD: olam ist sicher ein Maß; Stoffklasse beziehungsweise Holzbindung bleibt offen.
f112v.10	QUANTITY_LABEL	NONE	Grad/Maß II · feucht, Endstufe · heiß-trockener Ansatz, Mittelstufe, abgeschlossen · zwei Portionen.	HOLD: vollständiges Zustands- und Mengenlabel; oror passt ohne Zusatzannahme.
f113v.12	QUANTITY_LABEL	NONE	Getrockneter Samen-/Saatgutansatz · ⟦otsheody:?⟧ · erste Holzdrogenfraktion · ⟦olchey:?⟧ · zwei Portionen.	HOLD: oror quantifiziert das vorausgehende Fraktionsregister.
f113v.17	NOMINAL_REGISTER	NONE	⟦saraiin:?⟧ · feucht, Mittelstufe, abgeschlossen · trocken gebundenes Drogenholz, Form II · erste erhitzte Drogenfraktion im Ansatz · heiß, Grad III, im Ansatz · ⟦cthororaiin:?⟧ · ⟦yteeeor:?⟧.	HOLD: olkar ist nominale erhitzte Fraktion; keine Imperativvalenz vorhanden.
f113v.3	QUANTITY_LABEL	NONE	Samenfraktion I · Menge III · ⟦chotar:?⟧ · ⟦okeeodar:?⟧ · heiß, Grad II · Holzdrogen-Grundansatz · ein Maß Ansatz-/Drogenmaterial.	HOLD: olam schließt ein Mengenetikett ab; Holzbezug ist möglich, aber nicht erzwungen.
f114r.24	NOMINAL_REGISTER	NONE	⟦tchedaiin:?⟧ · abgemessener Drogenrohstoff I · Pflanzen-/Reproduktionsteil · ⟦chpcheey:?⟧ · bis Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum · ⟦cphochy:?⟧ · Charge Trockenansatz · ⟦aiir:?⟧ · trocken-kalt, Anfangsstufe · ⟦chopo:?⟧ · Samenfraktion II · Arzneikompositum in Grundform · abgemessene Fraktion II.	HOLD/SPLIT: chcphey ist ein benanntes Trockenprodukt zwischen Materialangaben.
f114r.26	QUANTITY_LABEL	NONE	⟦ycheeodaiin:?⟧ · ⟦olkaiir:?⟧ · heiß, Grad III · Trockenansatz, Dosis III · heiße Drogenfraktion I im Ansatz · heiße Drogenbasis, Stufe III · heiß, Grad III, im Ansatz · getrockneter Ansatz · ⟦airoy:?⟧ · ein Maß Ansatz-/Drogenmaterial.	HOLD: olam ist der Abschluss eines gestuften Mengenregisters.
f114v.36	MIXED_RECORD	6	Kalt-feucht, Mittelstufe · ⟦oidal:?⟧ · ⟦op:?⟧ · ⟦shoko:?⟧ · kalt-trockener Ansatz, Mittelstufe · getrockneten Pulverstoff nehmen · ⟦qopaiin:?⟧ · kalte Drogenfraktion I · Rohstoffklasse I · Rohstoffklasse I im heißen Anfangsansatz · Wurzeldroge, Einheit I.	HOLD: qopchol hat mit dem expliziten Pulverstoff eine natürliche Entnahmevalenz.
f115r.1	MIXED_RECORD	2	⟦fdar:?⟧ · getrockneten Pulverstoff nehmen · ⟦qochedain:?⟧ · kalter Ansatz, Mittelstufe, abgeschlossen · ⟦cheop:?⟧ · Ansatz/Gut · vollständig abgekühlt und abgeschlossen · ⟦oroiir:?⟧ · ⟦oechedy:?⟧ · kalter Ansatz, Endstufe, abgeschlossen · kalt-trocken, Mittelstufe, abgeschlossen.	HOLD: qopchol bleibt konkrete Entnahme; die nachfolgenden Wörter sind überwiegend Zustandsresultate.
f115r.23	ACTION_SEQUENCE	1|5	Eine Dosis bis Mittelstufe trocknen und abschließen · heiß, Endstufe · ⟦qokeod:?⟧ · Trockenansatz, abgeschlossen · erhitzen, trocknen und ansetzen · Samen-/Saatgutposten · trockenes Blatt-/Krautgut · stark erhitzt, Endstufe III · ⟦keeey:?⟧ · Holzstoff · trocken, Mittelstufe, abgeschlossen · heiß-trocken, Mittelstufe, abgeschlossen · Holzdroge, fertig aufbereitet.	HOLD: initiales dchey und qokcho bilden eine plausible zweiteilige Arbeitsfolge.
f116r.12	MIXED_RECORD	9	⟦qoin:?⟧ · Drogenfraktion I · ⟦cholches:?⟧ · heiß, Grad II, im Zubereitungsrahmen · Grad/Maß II · trocken, Endstufe · heißer Ansatz, Endstufe · kalt, Grad II, im Zubereitungsrahmen · Drogenstoff trocknen und fertigstellen · Rohstoffklasse I im kalten Anfangsansatz · Grad/Maß II · ein Maß Ansatz-/Drogenmaterial.	HOLD MIT BINDUNGSFRAGE: olam bleibt Maß; wahrscheinlich bindet dain unmittelbar daran.
f23r.6	MIXED_RECORD	5	⟦tshol:?⟧ · hierzu · heiße Drogenportion · heiß, Grad III · hierzu leicht erhitzen · abgemessene Fraktion I · heißer Ansatzstoff · abgemessene Trockendroge der Mittelstufe, abgeschlossen · ⟦daiidal:?⟧ · Dosis I · ⟦ytcho:?⟧ · ⟦ldals:?⟧.	HOLD/SPLIT: dchey an Position 8 ist nominales Trockenprodukt, nicht nochmals ein Befehl.
f24v.15	ACTION_SEQUENCE	1	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦kchod:?⟧ · ⟦dchal:?⟧ · ⟦ochdy:?⟧.	HOLD: dchey ist als Initialhandlung möglich; der Gegenstand bleibt durch drei offene Stellen unbekannt.
f26r.2	NOMINAL_REGISTER	NONE	Abgemessene Trockendroge der Mittelstufe, abgeschlossen · Menge III · ⟦adeeody:?⟧ · ⟦ykecthey:?⟧ · trocken, Mittelstufe, abgeschlossen · ⟦ytedy:?⟧ · Qualitäts-/Wertfeld geschlossen · ⟦checthedy:?⟧ · ⟦ls:?⟧.	OVERRIDE: dchey aiin muss hier nominal als Produkt plus Menge gelesen werden; Imperativ plus Menge III ist zeilenweit inkohärent.
f27r.9	MIXED_RECORD	1	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦keeod:?⟧ · ⟦shotchey:?⟧ · Trockengut · kalter Ansatz, Anfangsstufe · trocken, Anfangsstufe · ⟦tolg:?⟧.	HOLD: dchey bleibt Initialhandlung; folgende Zustände können ihr Ergebnis spezifizieren.
f30r.9	ACTION_SEQUENCE	1|5|7	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦qochar:?⟧ · Trockengut · ⟦keeaiin:?⟧ · Krautdroge bis zur Mittelstufe trocknen · Pflanzen-/Reproduktionsteil · bis zur mittleren Trockenstufe bringen, dann leicht erhitzen.	HOLD: dchey passt in eine dreigliedrige Trocknungs- und Erhitzungsfolge.
f49r.16	NOMINAL_REGISTER	NONE	⟦qocho:?⟧ · trocken, Endstufe · abgemessene Trockendroge der Mittelstufe, abgeschlossen · ⟦qotchody:?⟧.	HOLD/SPLIT: dchey ist zwischen Zustandswörtern ein nominales Trockenprodukt.
f56r.6	NOMINAL_REGISTER	NONE	⟦ykcho:?⟧ · Qualitäts-/Wertfeld geschlossen · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß, Endstufe · Grad/Maß III · Eintrag abgeschlossen.	HOLD/SPLIT: dchey ist Bestandteil eines abgeschlossenen Qualitätsregisters.
f75r.3	MIXED_RECORD	6	Heiß, Grad II · Rohstoffklasse I, trocken, Anfangsstufe · ⟦orchey:?⟧ · ⟦qey:?⟧ · heiß, Grad II · vollständig einweichen, erhitzen und abschließen · ⟦ltain:?⟧ · erste erhitzte Drogenfraktion im Ansatz · Drogenportion.	HOLD: olkar bleibt nominale Fraktion innerhalb einer Zustands-/Handlungszeile.
f76v.10	MIXED_RECORD	3|4	⟦cphdor:?⟧ · feuchte abgemessene Rohstoffmenge I, Mittelstufe · fertig getrocknetes Pulver nehmen · eine Dosis Droge bis Mittelstufe einweichen und abschließen · feucht, Mittelstufe, abgeschlossen · kalt-trocken, Mittelstufe, abgeschlossen · ⟦lsheetal:?⟧ · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · Grad/Maß III · Qualitäts-/Wertfeld geschlossen.	HOLD/SPLIT: shecphy ist das eingeweichte Resultat der vorausgehenden Operation.
f77r.38	ACTION_SEQUENCE	3|6|9	Pulverstoff · feucht, Mittelstufe, abgeschlossen · vollständig fertiggestellten Ansatz nehmen · heiß, Grad III · bis Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum · Drogenstoff zugeben · ⟦ltaiin:?⟧ · feucht, Mittelstufe, abgeschlossen · Drogenstoff zugeben.	HOLD/SPLIT: chcphey ist das getrocknete Zugabegut zwischen Nehmen und zweimaligem Zugeben.
f77v.7	ACTION_SEQUENCE	2|5|11	Holzdroge im Ansatz, vollständig eingeweicht · vollständig eingeweichten und fertigen Drogenstoff zugeben · ⟦qy:?⟧ · ⟦rr:?⟧ · hiervon vollständig trocknen und fertigstellen · heißer Ansatz, Mittelstufe, abgeschlossen · eingeweichtes Drogenholz · Trockengut, Grundform · feuchte abgemessene Rohstoffmenge I, Anfangsstufe · trocken, Mittelstufe, abgeschlossen · leicht erhitzten Drogenstoff zugeben.	HOLD/SPLIT: bei qolsheedy ist nur qol die Zugabehandlung; sheedy bezeichnet bereits fertiges Feuchtgut.
f7r.2	MIXED_RECORD	1	Eine Dosis vollständig trocknen und abschließen · ⟦keo:?⟧ · Wurzel · Blüten-/Fruchtstand · ⟦dold:?⟧ · abgemessene Trockendroge der Mittelstufe, abgeschlossen · heiß-trocken, Mittelstufe · kalt-trockener Ansatz, Anfangsstufe · getrockneter Ansatz.	HOLD/SPLIT: dcheey ist der Initialbefehl; späteres dchey ist nominales Ergebnis.
f80r.17	ACTION_SEQUENCE	3|6|11	⟦solky:?⟧ · feuchtes Arzneikompositum, Anfangsstufe · bis Mittelstufe einweichen, erhitzen und abschließen · ⟦shkeol:?⟧ · heiße Drogenfraktion I · bis Mittelstufe einweichen, erhitzen und abschließen · ⟦chetain:?⟧ · Ansatz/Gut · erste erhitzte Drogenfraktion im Ansatz · heiß, Grad II, im Zubereitungsrahmen · bis Mittelstufe einweichen, erhitzen und abschließen · Rohstoffklasse I im heißen Anfangsansatz · ⟦da:?⟧.	HOLD: olkar bleibt das erhitzte Fraktionsobjekt zwischen den wiederholten Behandlungsschritten.
f80v.27	NOMINAL_REGISTER	NONE	Eingeweichter Pulverstoff · heiß, Grad II · erste erhitzte Drogenfraktion im Ansatz · feucht, Mittelstufe · heiß, Grad II · abgemessene Rohstoffmenge I · ⟦oltaiin:?⟧ · heiß, Grad II, im Zubereitungsrahmen · Rohstoffklasse I, feucht, Anfangsstufe · kalt, Anfangsstufe.	HOLD: olkar passt als nominale erhitzte Fraktion in ein fast geschlossenes Stoffregister.
f80v.35	ACTION_SEQUENCE	5|6	Kaltes Gut · ⟦oltain:?⟧ · erste erhitzte Drogenfraktion im Ansatz · hierzu · Drogenstoff zugeben · Drogenstoff zugeben · heiß, Grad II · ⟦okiin:?⟧ · Ansatz/Gut · heiß, Grad II · feucht, Mittelstufe · Holzdroge, fertig aufbereitet.	HOLD: olkar ist Zugabegut; die zwei qol sind die tatsächlichen Imperative.
f83v.12	NOMINAL_REGISTER	NONE	Grad/Maß III · feuchtes Arzneikompositum, Anfangsstufe · ⟦qoeeo:?⟧ · ⟦lldar:?⟧ · trocken, Endstufe · Rohstoffklasse I · heiß, Endstufe, abgeschlossen · erste erhitzte Drogenfraktion im Ansatz · feucht, Endstufe, abgeschlossen · heiß, Grad II · Holzrohstoffansatz, Form I.	HOLD: olkar ist nominal und zwischen abgeschlossenen Zustandsstufen eingebettet.
f85r2.5	NOMINAL_REGISTER	NONE	⟦ockhdar:?⟧ · erste erhitzte Drogenfraktion im Ansatz (nur ZL3b; Leser-Rivale olkor/ar) · ⟦shoral:?⟧.	QUARANTÄNE: Die ZL3b-Lesung olkar bleibt als Arbeitshypothese sichtbar; IT2a/RF1b ersetzen die entscheidende Form durch olkor beziehungsweise ar, und beide Nachbarn sind offen.
f86v3.13	MIXED_RECORD	3|10	⟦osheey:?⟧ · ⟦orsheey:?⟧ · abkühlen, bis Mittelstufe trocknen, ansetzen und fertigstellen · heiß, Grad II · Qualitätsgrad III · erste erhitzte Drogenfraktion im Ansatz · abgemessene Trockendroge, Dosis III · hierzu · trocken, Mittelstufe, abgeschlossen · einen gleichen Teil erhitzen und abschließen · ⟦cholkain:?⟧.	HOLD: olkar ist das Fraktionsobjekt zwischen zwei Arbeitsanweisungen.
f86v3.18	MIXED_RECORD	4	⟦pchedaiin:?⟧ · abgemessene Trockendroge, fertig · heiß-trocken, Anfangsstufe, abgeschlossen · getrockneten Pulverstoff nehmen · Feuchtgut · angefeuchteter Ansatz, abgeschlossen · ⟦solkam:?⟧.	HOLD: qopchol hat konkrete Entnahmevalenz und ein direktes Pulverobjekt.
f86v3.19	ACTION_SEQUENCE	1|4	Eine Dosis bis Mittelstufe trocknen und abschließen · kalt, Grad II, im Zubereitungsrahmen · ⟦olkechy:?⟧ · ein Maß nehmen und erhitzen · Trockengut · heiß-trocken, Anfangsstufe, abgeschlossen · Trockengut · kalt-trocken, Anfangsstufe, abgeschlossen · abgemessene Fraktion I · ⟦aiindy:?⟧.	HOLD: initiales dchey ist mit der späteren Maßentnahme eine kohärente Arbeitsfolge.
f86v5.2	ACTION_SEQUENCE	7|10	⟦losair:?⟧ · kalte Zubereitung, abgeschlossen · heiße Drogenfraktion I · feucht, Anfangsstufe · heiße Drogenfraktion I · Blüten-/Fruchtstand · getrockneten Pulverstoff nehmen · Rohstoffklasse I, kalt, Anfangsstufe · Ansatz/Gut · hiervon den Drogenstoff abkühlen · ein Maß kalten Ansatzes · ein Maß kalten Ansatzes.	HOLD: qopchol und ytol ergeben eine konkrete Entnahme-Kühl-Folge.
f86v5.24	MIXED_RECORD	3	Drogenfraktion I im Ansatz · Menge III · hiervon auf Stufe II erhitzen · Rohstoffklasse I im heißen Anfangsansatz · ⟦kchody:?⟧ · trockenes Arzneikompositum, Anfangsstufe · kalt, Grad III, im Zubereitungsrahmen · erste erhitzte Drogenfraktion im Ansatz · kalt, Grad III, im Zubereitungsrahmen.	HOLD: olkar ist das erhitzte Fraktionsresultat; die einzige klare Handlung ist ykain.
f86v5.4	QUANTITY_LABEL	NONE	⟦ypchesy:?⟧ · heißer Ansatz, Anfangsstufe · ⟦sheeey:?⟧ · kalt, Anfangsstufe · kalt, Grad III · ⟦sail:?⟧ · ⟦chepy:?⟧ · ⟦ltedy:?⟧ · abgemessene Fraktion I · erste erhitzte Drogenfraktion im Ansatz · Maßeinheit I.	HOLD: dar olkar am bildet am ehesten ein Fraktions-/Mengenetikett, keine Handlung.
f86v6.25	ACTION_SEQUENCE	1|5	Hiervon vollständig abkühlen und abschließen · heiße Drogenfraktion I · erste erhitzte Drogenfraktion im Ansatz · ⟦qodar:?⟧ · hiervon auf Stufe III erhitzen · Drogenportion · ⟦okeeeey:?⟧ · ⟦ofchedy:?⟧ · heiß, Grad III · ⟦araram:?⟧.	HOLD: olkar ist plausibles Material zwischen Abkühlen und erneutem Erhitzen.
f86v6.31	NOMINAL_REGISTER	NONE	Abgemessene Fraktion II · ⟦chepy:?⟧ · heiß, Grad III · erste erhitzte Drogenfraktion im Ansatz · heiß-trocken aufbereitetes Drogenmaterial · heiße Drogenfraktion I im Ansatz · Rohstoffklasse I · abgemessene Fraktion I · ⟦olkchey:?⟧ · ⟦otytam:?⟧ · ⟦orom:?⟧.	HOLD: olkar ist Bestandteil eines Fraktionsregisters ohne Imperativanker.
f86v6.4	QUANTITY_LABEL	NONE	Abgemessene Blüten-/Fruchtdroge · feucht, Anfangsstufe, abgeschlossen · Blüten-/Fruchtstand · Ansatz/Gut · Menge III · Holzdrogenansatz vollständig erhitzt und abgeschlossen · feuchte abgemessene Rohstoffmenge I, Anfangsstufe · ⟦oteor:?⟧ · abgemessene Trockenfraktion I, Anfangsstufe · Holzdroge, gebundene Anschlussform · ⟦karchees:?⟧ · erste erhitzte Drogenfraktion im Ansatz · ein Maß Rohdroge I.	HOLD: olkar dalam schließt plausibel als „erhitzte Fraktion; ein Maß Rohdroge I“.
f86v6.5	NOMINAL_REGISTER	NONE	Kalte Drogenfraktion I · Holzstoff · Trockengut · erste erhitzte Drogenfraktion im Ansatz · Grad/Maß III · trockene Fraktion I · Drogenportion · kalt-feuchter Ansatz, Mittelstufe · heiße Drogenfraktion I · Trockenpulver-Ansatz, Form I · ⟦taiky:?⟧ · kalte Drogenfraktion I.	HOLD: olkar steht in einer besonders starken kalten/heißer/trockenen Fraktionsparadigmatik.
f88r.19	MIXED_RECORD	1	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦chokol:?⟧ · Qualitätsgrad III · ⟦qoekol:?⟧ · ⟦qoekol:?⟧ · ⟦qockhol:?⟧ · heißer Ansatzstoff · trockener Drogenstoff.	HOLD: initiales dchey kann Anweisung sein; die doppelte unbekannte Form bleibt sichtbar.
f8r.15	MIXED_RECORD	1	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦ckhol:?⟧ · Trockengut · trocken, Mittelstufe · ⟦kc:?⟧ · trocken, Anfangsstufe · Grad/Maß III · Materialmaß · ⟦daiiiry:?⟧ · Arzneikompositum, Anfangsstufe.	HOLD: dchey ist Initialhandlung mit nachfolgender Trockenstufen- und Maßspezifikation.
f95v1.7	NOMINAL_REGISTER	NONE	Eine Dosis bis Mittelstufe angefeuchtete Droge · heiß, Grad II · heiße Drogenfraktion I · erste erhitzte Drogenfraktion im Ansatz (nur ZL3b; IT2a/RF1b: oltar) · trocken, Anfangsstufe · kalte Drogenfraktion I · kalte Drogenfraktion I im Ansatz · trocken, Anfangsstufe, abgeschlossen · heiß-trocken, Anfangsstufe, abgeschlossen · ⟦dolkain:?⟧ · ⟦otardy:?⟧.	QUARANTÄNE: ZL3b-olkar passt nominal in das heiß/kalt/trocken-Register, aber beide Alternativleser haben oltar; die Prosa markiert den Rivalen deshalb direkt.
