master_card_id	master_head_form	registered_surface_family	atom_sequence	predicted_nucleus_de	existing_short_meaning_de	source_component_formula	prose_event_count	prediction_use_de
MC025	dchedy	dchedy|schedy|tchedy	CHD+CLOSE	ÜBERTRAGEN; SCHLUSS	Posten überführen; Schluss	CHED_TRANSFER+TERMINAL	4	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC076	dsheol	dsheol	SH+E+OL	KURZ HALTEN UND FORTSETZEN	kurz weiter ruhen lassen	SH_REST+E_SHORT+OL_CONTINUE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC077	kchal	kchal	KCH+AL	AM ZIEL BEARBEITEN	an der Zielstelle bearbeiten	KCH_PROCESS+AL_TO	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC090	kchol	kchol	KCH+OL	WEITER BEARBEITEN	weiter bearbeiten	KCH_PROCESS+OL_CONTINUE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC104	keol	keol	E+OL	KURZ FORTSETZEN	kurz weiterbearbeiten	E_SHORT+OL_CONTINUE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC120	okaiin	okaiin|qokaiin	OK+AIIN	AUF VORGABEWERT SETZEN	auf Sollmaß einstellen	OK_SET+AIIN_TARGET_MEASURE	9	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC005	okchedy	okchedy|qokchedy	OK+CHD+CLOSE	SETZEN UND ÜBERTRAGEN; SCHLUSS	angesetzten Inhalt überführen; Schluss	OK+CHED_TRANSFER+CLOSE	2	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC041	okchol	okchol	OK+OL	FORTSETZUNG SETZEN	weiterlaufenden Posten aufnehmen	OK_SET+CH_WRAPPER+OL_CONTINUE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC150	okeeol	okeeol	OK+EE+OL	LÄNGER FORTSETZEN	länger fortführen	OK_SET+GRADE_2+OL_CONTINUE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC028	olchedy	olchedy|qolchedy	OL+CHD+CLOSE	WEITER ÜBERTRAGEN; SCHLUSS	weiterüberführen; Schluss	OL_CONTINUE+CHED_TRANSFER+TERMINAL_CLOSE	3	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC097	olkain	olkain|qolkain	OL+AIN	WEITERER ANTEIL	weitere Portion	OL_CONTINUE+AIN_PORTION	2	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC072	orain	orain	OR+AIN	ANSATZANTEIL	Ansatzportion	OR_BATCH+AIN_PORTION	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC060	otaiin	otaiin|sotaiin	OT+AIIN	FOLGEWERT	Folgemaß	OT_FOLLOW+AIIN_MEASURE	3	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC093	otal	otal|qotal	OT+AL	DANACH ZUM ZIEL	danach dorthin	OT_NEXT+AL_TO	3	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC057	otchedy	otchedy|qotchedy	OT+CHD+CLOSE	FOLGEPOSTEN ÜBERTRAGEN; SCHLUSS	nächsten Posten überführen; Schluss	OT_FOLLOW+CHED_TRANSFER+TERMINAL_CLOSE	2	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC013	otchor	otchor|qotchor	OT+OR	FOLGEANSATZ	Folgeansatz	OT_FOLLOW+OR_BATCH	2	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC135	otedy	otedy	OT+E+CLOSE	KURZE FOLGE; SCHLUSS	kurze Folge; Schluss	OT_FOLLOW+GRADE_1+CLOSE	2	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC054	qokaly	qokaly	OK+AL+Y	AKTUELLEN POSTEN AM ZIEL SETZEN	dies dort ansetzen	OK_SET+AL_TO+Y_ITEM	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC044	qokar	qokar	OK+AR	VOM AUSGANG SETZEN	daraus ansetzen	OK_SET+AR_FROM	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC088	qokchdy	qokchdy	OK+CHD+CLOSE	SETZEN UND ÜBERTRAGEN; SCHLUSS	Umsetzung ansetzen; Schluss	OK+CHD_TRANSFER+CLOSE	3	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC083	qokedy	qokedy	OK+E+CLOSE	KURZ SETZEN; SCHLUSS	kurz ansetzen; Schluss	OK_SET+GRADE_1+DY_CLOSE	8	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC082	qokeedy	qokeedy	OK+EE+CLOSE	LÄNGER SETZEN; SCHLUSS	länger ansetzen; Schluss	OK_SET+GRADE_2+DY_CLOSE	10	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC162	qolchey	qolchey	OL+Y	AKTUELLEN POSTEN FORTSETZEN	diesen Posten weiterfuehren	OL_CONTINUE+Y_CURRENT	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC163	qotchol	qotchol	OT+OL	DANACH FORTSETZEN	danach weiterfuehren	OT_FOLLOW+OL_CONTINUE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC107	qotchy	qotchy	OT+Y	FOLGEPOSTEN	anschließender Arbeitsposten	OT_FOLLOW+CHY_ITEM	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC018	qotedaiin	qotedaiin	OT+E+AIIN	KURZER FOLGEWERT	kurzes Folgemass	OT_FOLLOW+E_SHORT+AIIN_MEASURE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC173	qoteedy	qoteedy	OT+EE+CLOSE	LANGE FOLGE; SCHLUSS	lange Folge; Schluss	OT_FOLLOW+GRADE_2+CLOSE	2	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC056	ral	ral	AL	ZUM ZIEL	zur Zielstelle	R_FRAME+AL_TO	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC046	raly	raly	AL+Y	AKTUELLEN POSTEN ZUM ZIEL	diesen Posten dorthin	AL_TO+Y_CURRENT	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC016	rol	rol	OL	FORTSETZEN	vom vorigen Gang weiterführen	R_FRAME+OL_CONTINUE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC102	rsheal	rsheal	SH+E+AL	KURZ AM ZIEL HALTEN	kurz am Ziel ruhen	R_FRAME+SH_REST+E_SHORT+AL_TO	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC049	schoal	schoal	HO+AL	EINGANGSPOSTEN ZUM ZIEL	Zutat an die Arbeitsstelle geben	HO_INGREDIENT+AL_TO	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC106	teol	teol	E+OL	KURZ FORTSETZEN	kurz weiterleiten	E_SHORT+OL_CONTINUE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC170	ykaiin	ykaiin	Y+AIIN	POSTENWERT	Postenmaß	Y_ITEM+AIIN_MEASURE	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
MC047	ykain	ykain	Y+AIN	POSTENANTEIL	Postenportion	Y_ITEM+AIN_PORTION	1	aus bekannten Kurzbausteinen lesen statt als neue Ganzkarte lernen
