locus	frame	working_translation_de	uncertainty_note
f1r.11	INSTRUCTION	Davon zwei Maße; drei Teile Saatgut-Kompositum der Mittelstufe; Drogenstoffposten; Kompositum auf Mittelstufe, abgeschlossen; hiervon auf Kältestufe II abkühlen; den Feuchtansatz erneut leicht einweichen und abschließen; Rohstoffmenge I des Kompositumansatzes abmessen; ⟦≈Mittelstufen-Species?⟧.	es ist LOW gelernt
f1r.12	INSTRUCTION	Ansatz erhitzen, einweichen und erneut ansetzen; anschließend erhitzen, einweichen, ansetzen und abschließen. Kaltansatz, zweite Fraktion, Form II; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen; Ansatz auf Heizstufe I; zwei Dosen Feuchtansatz; ⟦≈drei Maße des auf Mittelstufe abgeschlossenen Saatgut-Kompositums?⟧.	sckhey ist LOW gelernt
f1r.13	MIXED	Feuchtansatz leicht abschließen; Arzneikompositum auf Mittelstufe; drei Dosen erhitzte Zubereitung; Arzneikompositum in Grundform; ⟦≈Kompositumansatz-Species mit unbestimmter Dosis- oder Holzeinlage?⟧; Kraut- oder Blattdroge Form I; Feuchtansatz; zwei Dosen Holzdroge im Ansatz abmessen; abschließen?	cphodaiils und freies d sind LOW oder reader-instabil; RF1b liest y statt cthey sowie ol ain statt oldain und lässt finales d aus
f1r.14	MIXED	Zwei Maße der Zubereitungsform III; Trockendroge; drei Dosen Zubereitung; zwei Dosen Trockenansatz; trocken am Anfang des Grades, abgeschlossen; Ansatz auf Heizstufe II; ⟦≈eine Dosis beziehungsweise ein Teil Krautdroge?⟧; Heißansatz abschließen.	dn ist ein MEDIUM Leseralias; IT2a dan und RF1b an binden beide rechts an cthy
f1r.15	CATALOGUE	Drei Maße des feuchten Arzneikompositums auf Mittelstufe; ⟦≈Mittelstufenansatz?⟧. Wurzel: erste Trockenfraktion; Feuchtstufe Mitte; heiße Droge; zweimal Trockendroge; heiße Drogenportion; Rohstoffklasse I, trocken am Gradanfang.	eo ist LOW und seine Lesergrenze instabil; r bindet occurrence-spezifisch rechts
f1r.16	MIXED	Feuchtansatz; Trockendroge; eine Dosis Feuchtansatz; heiß-feuchte Grundstufe; heiß-trockene Grundstufe; eine Drogenportion abmessen; drei Dosen Trockenansatz; Feuchtansatz; ein Maß Ansatz bis zur Mittelstufe erhitzen.	d und or werden bilateral als dor gelesen; beide Token bleiben sichtbar; koeam variiert als kchom oder keeam
f1r.17	MIXED	Eintrag: Trockenansatz; kalt und trocken auf Mittelstufe; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; Feuchtzubereitung; eingeweichter Pulverstoff; ⟦≈zweimalige Fertigstellung mit Schluss?⟧; Krautdroge; ⟦≈abgemessene Drogenportion, abgeschlossen?⟧.	dydyd ist LOW und daiy MEDIUM gelernt; Leser unterscheiden chekain oder chokain sowie daiy oder daicthy
f1r.18	INSTRUCTION	Hiervon einen Ansatz abkühlen; Feuchtdroge, zusätzlich feucht gebunden. ⟦≈Heißansatz abschließen und anschließend bis zur Mittelstufe einweichen?⟧; ⟦≈Rohdroge-I-Kompositum auf Mittelstufe, abgeschlossen?⟧; zwei Teile der ersten abgemessenen Fraktion; zwei Maße der ⟦≈abgeschlossenen Kompositum-Species?⟧.	kodshey und ckhyds sind LOW gelernt; Leser unterscheiden yto oder to sowie dar ain oder dasain
f1r.19	MIXED	Erste Trockenfraktion abmessen; drei Teile eingeweichte Krautdroge; dritte erhitzte Ansatzfraktion; trocken auf Mittelstufe; trocken am Anfang des Grades; kalte Droge; Charge Krautdrogenstoff; ⟦≈Holzdroge abmessen und zweimal ansetzen?⟧.	dloo ist LOW gelernt; die zweite Zeilenhälfte divergiert stark zwischen den Lesern
f1r.20	MIXED	Den Feuchtansatz erhitzen. Pflanzenteil oder Blüten- beziehungsweise Fruchtteil, trocken auf Mittelstufe; zwei Maße des folgenden Arzneikompositums auf Mittelstufe.	keine lokale W- oder O-Karte
f1r.21	CATALOGUE	Vier Maße der kalten Zubereitung.	keine lokale W- oder O-Karte
f1r.22	MIXED	Kompositumansatz; Feuchtstufe III; den Feuchtansatz erhitzen, vollständig trocknen und abschließen; Trockendroge; ⟦≈kalt-feuchte Ansatzspecies auf Endstufe, abgeschlossen?⟧; Feuchtstufe Mitte; ⟦≈Enddosis Pulver abmessen und abschließen?⟧; ein Teil Trockendroge; Wurzelansatz; erste abgemessene Fraktion.	tshodeesy und pydeey sind LOW gelernt; Leser unterscheiden cha oder chy sowie dar oder d
f1r.23	INSTRUCTION	Hiervon eine Ansatzportion der Form II abmessen; zwei Maße Trockendroge; Kraut- oder Blattdroge aus Rohdroge I; erste abgemessene Fraktion; die erste Fraktion bis zur Mittelstufe einweichen; Heizstufe III; erste abgemessene Fraktion; Feuchtstufe Mitte; erste Kraut- oder Blattfraktion.	RF1b beginnt mit ain chol und nicht mit dem ZL3b- oder IT2a-Befehl ydoin beziehungsweise doin
f1r.24	MIXED	Trockenansatz mit Ansatzwasser auf Heizstufe III; drei Teile Feuchtansatz; drei Maße des heißen Ansatzstoffs; Pflanzendroge; drei Maße des Krautdrogenstoffs; die erste Fraktion Krautdrogenstoff abmessen.	freies o wird nur hier gemäß V48 occurrence-sensitiv als Ansatzwasser gesprochen; Leser trennen cho o oder verbinden choo
f1r.25	INSTRUCTION	Hiervon bis zur Trocken-Endstufe trocknen; heißer Ansatz auf Endstufe; drei Maße des heißen Ansatzes am Gradanfang; heiß-trockener Ansatz auf Mittelstufe; den Ansatz erhitzen und erneut auf Stufe III erhitzen; Ansatz aus Trockendroge; ⟦≈eine erhitzte Dosis trocknen und abschließen?⟧; Rohstoffmenge I.	kdchy ist LOW; beide Alternativleser lassen d aus
f1r.26	INSTRUCTION	Eine Dosis bis zur Mittelstufe trocknen und ansetzen; fertig eingeweichter Ansatz; heißen Ansatz bis zur Mittelstufe einweichen und abschließen; Krautdroge; heiß-trockener Ansatz auf Mittelstufe; zweimal heiß auf Endstufe; Rohstoffmenge I; eine Portion trocken-abgekühlte Droge.	ok und chey werden bilateral als okchey gelesen; Leser unterscheiden dcheo oder deeo sowie koshey oder koechy
f1r.27	INSTRUCTION	⟦≈Mittelstufenansatz?⟧; Trockendroge; den Trockenansatz erhitzen; kalter Trockenansatz; den Trockenansatz bis zur Mittelstufe abkühlen und abschließen.	eo ist LOW; RF1b liest sho
f1r.28	CATALOGUE	Abgemessene Trockendroge, Grad III.	keine lokale W- oder O-Karte
