surface	count	class	composition	working_meaning_de	confidence
tshodeesy	1	W	LEARNED_TSHODEESY_WHOLE	kalt-feuchte Ansatzspecies auf Endstufe, abgeschlossen	LOW
pydeey	1	W	LEARNED_PYDEEY_WHOLE	Enddosis Pulver abmessen und abschließen	LOW
cha	1	P	CH_DRY+A_PART_OR_LINK	ein Teil Trockendroge	MEDIUM
ydoin	1	P	Y_REFERENCE+D_MEASURE+O_PREP+IN_FORM_II	hiervon eine Ansatzportion der Form II abmessen	HIGH
shoaiin	1	P	SH_MOIST+O_PREP+AIIN_III	drei Teile Feuchtansatz	HIGH
ctholdar	1	P	CTH_HERB+OL_MATERIAL+D_MEASURE+AR_FRACTION_I	erste Fraktion Krautdrogenstoff abmessen	HIGH
kokaiin	1	P	K_HOT+O_PREP+K_HOT+AIIN_III	Ansatz erhitzen und erneut auf Stufe III erhitzen	HIGH
ochol	1	P	O_PREP+CH_DRY+OL_MATERIAL	Ansatz aus Trockendroge	HIGH
kdchy	1	W	LEARNED_KDCHY_WHOLE	erhitzte Dosis trocknen und abschließen	LOW
dcheo	1	P	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP	Dosis bis Mittelstufe trocknen und ansetzen	HIGH
koshey	1	P	K_HOT+O_PREP+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	heißen Ansatz bis Mittelstufe einweichen und abschließen	HIGH
ok	1	O	LOCAL_LEFT_OF_CHEY	Ansatz erhitzen; mit chey lokal heiß-trockener Ansatz auf Mittelstufe	HIGH
chtor	1	P	CH_DRY+T_COLD+OR_PORTION	Portion trocken abgekühlte Droge	HIGH
chok	1	P	CH_DRY+O_PREP+K_HOT	Trockenansatz erhitzen	HIGH
