surface	selection_rank	page	locus	reader_support	zl3b_line	tokenwise_v34_de	target_meaning_de	syntax_note
shtal	1	f103v	f103v.43	ALL_THREE_EXACT	orain chckhey qokaiin shckhy shtal opchy lkeedy chdy lchedy	[orain:?] | Arzneikompositum: trocken, Gradmitte | heiß, Grad III | Arzneikompositum: feucht, Gradanfang | Rohstoffklasse I, feucht-kalt am Gradanfang | [opchy:?] | [lkeedy:?] | trocken am Anfang des Grades, abgeschlossen | getrocknetes Drogenholz	Rohstoffklasse I, feucht-kalt am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
shekal	1	f33r	f33r.5	ALL_THREE_EXACT	pair or aiin otaiin ol kor aiin okal otal chdal shekal qokar otam	Pulverfraktion II | Drogenportion | Menge III | kalt im Zubereitungsrahmen, Grad III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiße Drogenportion | Menge III | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Rohstoffklasse I im Ansatz, kalt am Gradanfang | trockene abgemessene Rohstoffmenge I am Gradanfang | Rohstoffklasse I: feucht in der Gradmitte; heiß am Gradanfang | heiße Drogenfraktion I | [otam:?]	Rohstoffklasse I: feucht in der Gradmitte; heiß am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
shokal	1	f108r	f108r.21	ALL_THREE_EXACT	qolshy qoeedy lkealshedy shokal keedy qotedy qopchedy otal dkedam	[qolshy:?] | [qoeedy:?] | [lkealshedy:?] | Feuchtansatz aus heißem Rohstoff Klasse I am Gradanfang | heiß am Ende des Grades, abgeschlossen | kalt in der Mitte des Grades, abgeschlossen | [qopchedy:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [dkedam:?]	Feuchtansatz aus heißem Rohstoff Klasse I am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
sheoal	1	f114v	f114v.17	ALL_THREE_EXACT	sheoal chos oaiir alchedy chcphedy okary	feucht angesetzte Zubereitung aus Rohstoffklasse I | [chos:?] | Zubereitung, Teil-/Sortierklasse III | [alchedy:?] | [chcphedy:?] | [okary:?]	feucht angesetzte Zubereitung aus Rohstoffklasse I	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
sheotal	1	f106v	f106v.27	ALL_THREE_EXACT	olcheo odaiin sheotal shoor qokeey oarar	[olcheo:?] | Zubereitungsdosis III | feucht angesetzte Zubereitung aus kaltem Rohstoff Klasse I am Gradanfang | [shoor:?] | heiß am Ende des Grades | [oarar:?]	feucht angesetzte Zubereitung aus kaltem Rohstoff Klasse I am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
kchal	1	f56r	f56r.13	ALL_THREE_EXACT	okchy chokcheo kchal	heiß-trockener Ansatz am Anfang des Grades | [chokcheo:?] | Rohstoffklasse I, heiß-trocken am Gradanfang	Rohstoffklasse I, heiß-trocken am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
tchal	1	f82v	f82v.28	ALL_THREE_EXACT	tchal olkair sheeky qolchey qokar shey qokain otshedy	Rohstoffklasse I, kalt-trocken am Gradanfang | [olkair:?] | [sheeky:?] | [qolchey:?] | heiße Drogenfraktion I | feucht in der Mitte des Grades | heiß, Grad II | kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen	Rohstoffklasse I, kalt-trocken am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
okchal	1	f13r	f13r.9	ALL_THREE_EXACT	oldy shey chol doiin ykoly okchal daldy	[oldy:?] | feucht in der Mitte des Grades | trocken; nominal trockenes Gut/Material | Zubereitungsmaß, Form III | [ykoly:?] | Ansatz aus heiß-trockenem Rohstoff Klasse I am Gradanfang | abgemessene Rohstoffmenge I, abgeschlossen	Ansatz aus heiß-trockenem Rohstoff Klasse I am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
okshal	1	f18r	f18r.9	ALL_THREE_EXACT	chol chcthal okshal chykald	trocken; nominal trockenes Gut/Material | [chcthal:?] | Ansatz aus heiß-feuchtem Rohstoff Klasse I am Gradanfang | [chykald:?]	Ansatz aus heiß-feuchtem Rohstoff Klasse I am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
otchal	1	f2r	f2r.1	ALL_THREE_EXACT	kydainy ypchol daiin otchal ypchaiin ckholsy	[kydainy:?] | [ypchol:?] | Qualitätsgrad III | Ansatz aus kalt-trockenem Rohstoff Klasse I am Gradanfang | [ypchaiin:?] | [ckholsy:?]	Ansatz aus kalt-trockenem Rohstoff Klasse I am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
otshal	1	f8r	f8r.1	ALL_THREE_EXACT	pshol chor otshal chopy cphol chody shy cfhodar shor	[pshol:?] | Pflanzen-/Reproduktionsteil | Ansatz aus kalt-feuchtem Rohstoff Klasse I am Gradanfang | [chopy:?] | [cphol:?] | [chody:?] | feucht am Anfang des Grades | [cfhodar:?] | Blüten-/Fruchtstand; reproduktiver Teil	Ansatz aus kalt-feuchtem Rohstoff Klasse I am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
qokchal	1	f112v	f112v.44	ZL3B_IT2A_EXACT_RF_VARIANT	qokchal qokey qaiin otol teol okal otedar epalchdy alpchdy	Rohstoffklasse I, heiß-trocken am Gradanfang | heiß in der Mitte des Grades | [qaiin:?] | kaltes Zubereitungsgut | [teol:?] | Rohstoffklasse I im Ansatz, heiß am Gradanfang | [otedar:?] | [epalchdy:?] | [alpchdy:?]	Rohstoffklasse I, heiß-trocken am Gradanfang	EXACT_TOKEN_ORDER_BASELINE__RESIDUALS_RETAINED
