page	locus	target_surfaces	target_count	simple_v33_al_sisters	simple_v33_sister_present	zl3b_line
f112v	f112v.44	qokchal	1	okal	1	qokchal qokey qaiin otol teol okal otedar epalchdy alpchdy
f113r	f113r.46	chkal	1	NONE	0	oaiin cheokeeas lkaiin chkal kar cheeody qokeeody qokeey chos araiinol
f113r	f113r.5	chekal	1	NONE	0	ycheeckhy osaiin cheoar qokaiin chekal otar shos aiin chckhy chdo okol chedy chedy
f114r	f114r.16	cheoal	1	otal	1	cheoal sheedo l kol dair dair chdair cheoty otal cheo dair chekar otol chedy
f114r	f114r.44	chotal	1	qoal	1	ydaiin chedy qoal cheey qokair okeedy chotal chol okain ar da opaiin
f114v	f114v.17	sheoal	1	NONE	0	sheoal chos oaiir alchedy chcphedy okary
f115v	f115v.27	chkal	1	NONE	0	olain cheo lkain cheey qot cheody lor aiin oteed chkal kchetam
f13r	f13r.9	okchal	1	NONE	0	oldy shey chol doiin ykoly okchal daldy
f18r	f18r.2	okchal	1	NONE	0	otshol qokchol chykchy okchal daiin dy chol dain
f18r	f18r.9	okshal	1	NONE	0	chol chcthal okshal chykald
f24v	f24v.12	okchal	1	NONE	0	ksho foar o sho qokch ok okchal
f27r	f27r.6	kchal	1	NONE	0	chy t chols chor cholaiin shy kchal dy
f2r	f2r.1	otchal	1	NONE	0	kydainy ypchol daiin otchal ypchaiin ckholsy
f33r	f33r.5	shekal	1	okal|otal	1	pair or aiin otaiin ol kor aiin okal otal chdal shekal qokar otam
f34v	f34v.4	chekal	1	NONE	0	tchdaiin chekal shedy qokedar chdaiin oldar qoldar chedy daiin otam
f3v	f3v.5	otchal	1	NONE	0	ychear otchal cho r char ckha
f43v	f43v.14	choal	1	NONE	0	dykeedain chedy okeedy chedal olkey cheky choal chedy oteorom
f46r	f46r.10	chkal	1	NONE	0	tchey shy chkal chd qokdy shdy adoldy olaiir sheol
f46r	f46r.4	chekal	1	NONE	0	tshedar chol kaldy chckhy qokaldy chekal chckhy sheky sheky daloy
f46v	f46v.3	chotal	1	NONE	0	ytchey keody chockhdy chotal okalshdy shy qokar oty qoty shedy chedy dam
f52r	f52r.5	okchal	1	NONE	0	oky chor okchal okchar shor tol ykair ytchdam
f56r	f56r.13	kchal	1	NONE	0	okchy chokcheo kchal
f58r	f58r.36	shokal	1	NONE	0	skaiin shokal chockhy qoky chcthy ykeeshy shoekar
f58r	f58r.41	chokal	1	okal	1	dchol chokal saiin dal okal s alchey
f58v	f58v.19	chokal	1	NONE	0	okain chokal sheoldy qokor olkam cheol dar chokeey okalchy
f66v	f66v.12	chekal	1	kal	1	qekar okedy cheky dal chekal chckhy kal kal dar chkchody
f66v	f66v.4	chekal	1	NONE	0	shokeshy daiin cheos chety dol chckhy dal ko dal chekal dal
f66v	f66v.5	chokal	1	NONE	0	shdy shedefam qokedy chokal dal
f75r	f75r.29	chkal	1	NONE	0	dain chkal dy lo lkaiin ol okeedyqol dain olchey qokeedy chedy qotan
f76v	f76v.30	shtal	1	NONE	0	tchedy lshees aiin chees tchy rshed chkaiin sheky shtal cheedy lsan
f78r	f78r.28	tchal	1	NONE	0	orain ol qokeedy kchol tchal olkee yfchey ofchedy taly
f80r	f80r.19	chtal	1	qokal	1	dcheol shedy qokeel qotaiin chtal schcthy qokal chcthy qokain okain oloky
f80v	f80v.43	shokal	1	NONE	0	sor ain shkain shar okshey dalar shokal dy
f81v	f81v.1	shekal	1	NONE	0	par shey keedy shekal dal dar ol pchedy shek dain ofalsheky
f81v	f81v.20	chekal	1	NONE	0	qocthey chekal chedy qokedy lshety qoldy ltedy qotain
f82v	f82v.28	tchal	1	NONE	0	tchal olkair sheeky qolchey qokar shey qokain otshedy
f86v6	f86v6.40	chotal	1	qotal	1	daiin ar qotal tshdy otar shcthdy qokol chotal kar ol kar alky
f88v	f88v.6	cheokal	1	NONE	0	teodal lkeo cheor roshckhy sorshy aiin cheokal saldaiin
f89v1	f89v1.10	chekal	1	NONE	0	tor sheor cheeor cthey qokol daiin chekal dals chear qotam
f89v1	f89v1.11	chekal	1	NONE	0	osheokaiin s ain ol shodain qokar ain chekal daiin dar
f8r	f8r.1	otshal	1	NONE	0	pshol chor otshal chopy cphol chody shy cfhodar shor
f93r	f93r.32	chokal	1	NONE	0	dol chokal schos
f95r1	f95r1.11	chekal	1	NONE	0	ykaiin or chdy chekain ol dar ykar olkeey ldar chekal
f95v1	f95v1.8	chtal	1	NONE	0	dchody sheos qodaiin fchodaiin chtal dar okedy okchedy
