deck_order	entry_kind	entry_id	visible_or_master_form	short_value_de	learning_rule	support_events
22	SHARED_PRODUCTIVE	CHD	CHD	ÜBERFÜHREN	kurze Allomorphie derselben Transferhandlung	18
23	SHARED_PRODUCTIVE	CTH	CTH	BEREIT	einen Posten als vorbereitet oder bereit setzen	16
24	SHARED_PRODUCTIVE	SHED	SHED	ABSETZEN	ruhen und sich absetzen lassen	17
25	SHARED_PRODUCTIVE	CHK	CHK	WÄRMEN	den Posten erwärmen oder warm halten	7
26	SHARED_PRODUCTIVE	CKH	CKH	DURCHLASS	durch einen Gang oder eine Passage führen	9
27	SHARED_PRODUCTIVE	CKHE	CKHE	SEIHEN	durch einen trennenden Durchlass führen	4
28	SHARED_PRODUCTIVE	SOLK	SOLK	SAMMELN	an einer lokalen Sammel- oder Auffangstelle halten	6
29	SHARED_PRODUCTIVE	LSH	LSH	WASCHEN	einen Wasch- oder Spülgang ausführen	3
30	SHARED_PRODUCTIVE	TY	TY	TEIL	einen Materialteil oder Rest bezeichnen	6
31	LICENSED_LOCAL_CORE	CHO_INPUT	CHO_INPUT	EINGABE	input or condition card in the cross-register slot	5
32	LICENSED_LOCAL_CORE	O_WITHDRAW	O_WITHDRAW	ZURUECKNEHMEN	licensed only inside the ODY terminal card	1
33	LICENSED_LOCAL_CORE	OS_RECEIVER	OS_RECEIVER	AUFNAHME	receiving or enclosing work field	1
34	LICENSED_LOCAL_CORE	CH_POUR	CH_POUR	ZUGIESSEN	pour the running medium into the active preparation	1
35	LICENSED_LOCAL_CORE	TCH_PREPARATION	TCH_PREPARATION	BEREITUNG	name the active preparation inside an OL continuation frame	1
36	LICENSED_LOCAL_CORE	OYK_VESSEL	OYK_VESSEL	GEFAESS	name the vessel carrying the active batch	1
37	LICENSED_LOCAL_CORE	K_BINDER	K_BINDER	ARGUMENTBINDER	bind Y to a portion grade or CHO to a source	4
38	LICENSED_LOCAL_CORE	YTY_PART	YTY_PART	FOLGETEIL	name the selected additive or following part	2
39	LICENSED_LOCAL_CORE	SHFY_DURATION	SHFY_DURATION	STEHZEIT	turn the prescribed value into a standing duration	1
40	LICENSED_LOCAL_CORE	D_PREVIOUS	D_PREVIOUS	VORIGER	take the continuation from the previous working step	2
41	MEMORIZED_WHOLE_SIGN	MC012	dl	Zusatz	name a material, product, vessel or part; remain open	2
42	MEMORIZED_WHOLE_SIGN	MC037	tchody	kalt stellen; Schluss	perform the learned operation and close the statement	1
43	MEMORIZED_WHOLE_SIGN	MC049	schoal	Sudansatz	name a material, product, vessel or part; remain open	1
44	MEMORIZED_WHOLE_SIGN	MC052	qekey	kurz bearbeiten	perform an internal operation; remain open	1
45	MEMORIZED_WHOLE_SIGN	MC059	dain	Einlage	name a material, product, vessel or part; remain open	2
46	MEMORIZED_WHOLE_SIGN	MC061	sshkchdy	übertragen; Schluss	perform the learned operation and close the statement	1
47	MEMORIZED_WHOLE_SIGN	MC068	sotodan	zur Folgeanwendung weiterführen	hand the active item to a following application; remain open	1
48	MEMORIZED_WHOLE_SIGN	MC071	dchey	Wurzel	name a material, product, vessel or part; remain open	1
49	MEMORIZED_WHOLE_SIGN	MC084	rshedy	Vollwaschung; Schluss	perform the learned operation and close the statement	1
50	MEMORIZED_WHOLE_SIGN	MC098	tshol	Kochgut	name a material, product, vessel or part; remain open	1
51	MEMORIZED_WHOLE_SIGN	MC099	cheeckhody	auftragen; Schluss	perform the learned operation and close the statement	1
52	MEMORIZED_WHOLE_SIGN	MC108	etyd	kleiner Rest	name a material, product, vessel or part; remain open	1
53	MEMORIZED_WHOLE_SIGN	MC109	ytey	Kurzteil	name a material, product, vessel or part; remain open	1
54	MEMORIZED_WHOLE_SIGN	MC114	sh	Stängel	name a material, product, vessel or part; remain open	1
55	MEMORIZED_WHOLE_SIGN	MC118	ly	Auffanggefäß	name a material, product, vessel or part; remain open	1
56	MEMORIZED_WHOLE_SIGN	MC119	cheey	Klarlauf	name a material, product, vessel or part; remain open	4
57	MEMORIZED_WHOLE_SIGN	MC124	lkedy	weiter abziehen; Schluss	perform the learned operation and close the statement	1
58	MEMORIZED_WHOLE_SIGN	MC129	cfhy	auswringen	perform an internal operation; remain open	1
59	MEMORIZED_WHOLE_SIGN	MC138	dshedy	Frischwasser zugeben; Schluss	perform the learned operation and close the statement	1
60	MEMORIZED_WHOLE_SIGN	MC152	ches	teilen	perform an internal operation; remain open	1
61	MEMORIZED_WHOLE_SIGN	MC156	cphy	nachseihen	perform an internal operation; remain open	1
62	MEMORIZED_WHOLE_SIGN	MC160	talam	verwahren; Schluss	perform the learned operation and close the statement	1
63	MEMORIZED_WHOLE_SIGN	MC164	qokylddy	befestigen; Schluss	perform the learned operation and close the statement	1
