statement_id	page	record	silent_owner_de	action_events	argument_state_events	complete_action_sequence_de	complete_argument_sequence_de	action_complete_translation_de	all_events_spoken
H4-S002	f55v	H4	abgebildete breitblättrige rispige Pflanze	2	1	abmessen und umsetzen → verwahren	vorgeschriebenes Maß	Bei der abgebildeten breitblättrigen Pflanze: abmessen und umsetzen; dann verwahren. Angaben: vorgeschriebenes Maß.	YES
H4-S003	f55v	H4	abgebildete breitblättrige rispige Pflanze	3	1	dosiert zugeben → entnehmen → temperieren	fortsetzen; Schritt schließen	Bei der abgebildeten breitblättrigen Pflanze: dosiert zugeben; dann entnehmen; dann temperieren. Angaben: fortsetzen; Schritt schließen.	YES
H4-S004	f55v	H4	abgebildete breitblättrige rispige Pflanze	2	4	anlegen → eintragen	vorgeschriebenes Maß | Ansatz | dieser Posten | Ansatz · Portion	Bei der abgebildeten breitblättrigen Pflanze: anlegen; dann eintragen. Angaben: vorgeschriebenes Maß | Ansatz | dieser Posten | Ansatz · Portion.	YES
H5-S001	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	4	5	abziehen → zuführen → abziehen → Pflanzenstoff in den Ansatz geben	Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | bezeichnete Stelle	Bei der abgebildeten mehrköpfigen Pflanze: abziehen; dann zuführen; dann abziehen; dann Pflanzenstoff in den Ansatz geben. Angaben: Gabe | Gabe · bezeichnete Stelle · dieser Posten | vorgeschriebenes Maß | Gabe | bezeichnete Stelle.	YES
H5-S002	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	2	2	anlegen → ablaufen lassen	fortsetzen | Gabe · dieser Posten	Bei der abgebildeten mehrköpfigen Pflanze: anlegen; dann ablaufen lassen. Angaben: fortsetzen | Gabe · dieser Posten.	YES
H5-S003	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	3	1	ziehen lassen → zugeben → einsetzen + einsetzen	Gabe	Bei der abgebildeten mehrköpfigen Pflanze: ziehen lassen; dann zugeben; dann einsetzen + einsetzen. Angaben: Gabe.	YES
H5-S004	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	3	0	Pflanzenstoff in den Ansatz geben → ansetzen + abziehen → zuführen	NONE	Bei der abgebildeten mehrköpfigen Pflanze: Pflanzenstoff in den Ansatz geben; dann ansetzen + abziehen; dann zuführen.	YES
H5-S005	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	2	2	ansetzen → zugeben	Gabe | danach · Arbeitsgang · Portion	Bei der abgebildeten mehrköpfigen Pflanze: ansetzen; dann zugeben. Angaben: Gabe | danach · Arbeitsgang · Portion.	YES
H5-S006	f56r	H5	abgebildete mehrköpfige stachelige Pflanze	1	2	zugeben	danach · dieser Posten | vorgeschriebenes Maß	Bei der abgebildeten mehrköpfigen Pflanze: zugeben. Angaben: danach · dieser Posten | vorgeschriebenes Maß.	YES
B1-S001	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	0	einwirken lassen	NONE	Bei dem gemeinsamen Becken: einwirken lassen.	YES
B1-S002	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	10	9	bis zum Sollmaß beschicken → einspeisen → anlegen → dosiert zugeben → dosiert zugeben → abkühlen lassen → führen → zurückhalten → anlegen → durchleiten	von dort | fortsetzen | bezeichnete Stelle | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | vorgeschriebenes Maß | Durchlass · dieser Posten	Bei dem gemeinsamen Becken: bis zum Sollmaß beschicken; dann einspeisen; dann anlegen; dann dosiert zugeben; dann dosiert zugeben; dann abkühlen lassen; dann führen; dann zurückhalten; dann anlegen; dann durchleiten. Angaben: von dort | fortsetzen | bezeichnete Stelle | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | vorgeschriebenes Maß | Durchlass · dieser Posten.	YES
B1-S003	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	1	halten + zugeben + überführen	fortsetzen	Bei dem gemeinsamen Becken: halten + zugeben + überführen. Angaben: fortsetzen.	YES
B1-S004	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	2	1	umschöpfen → absetzen lassen	fortsetzen	Bei dem gemeinsamen Becken: umschöpfen; dann absetzen lassen. Angaben: fortsetzen.	YES
B1-S005	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	0	in die nächste Station weitergeben	NONE	Bei dem gemeinsamen Becken: in die nächste Station weitergeben.	YES
B1-S006	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	3	1	eine Portion einfüllen → durchleiten → abkühlen lassen	Durchlass · dieser Posten	Bei dem gemeinsamen Becken: eine Portion einfüllen; dann durchleiten; dann abkühlen lassen. Angaben: Durchlass · dieser Posten.	YES
B1-S007	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	0	einsetzen + überführen	NONE	Bei dem gemeinsamen Becken: einsetzen + überführen.	YES
B1-S008	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	2	3	warm halten → absetzen lassen	dieser Posten | fortsetzen | fortsetzen	Bei dem gemeinsamen Becken: warm halten; dann absetzen lassen. Angaben: dieser Posten | fortsetzen | fortsetzen.	YES
B1-S009	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	0	einwirken lassen	NONE	Bei dem gemeinsamen Becken: einwirken lassen.	YES
B1-S010	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	0	einwirken lassen	NONE	Bei dem gemeinsamen Becken: einwirken lassen.	YES
B1-S011	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	1	einleiten	Durchlass · dieser Posten	Bei dem gemeinsamen Becken: einleiten. Angaben: Durchlass · dieser Posten.	YES
B1-S012	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	3	0	waschen → wirken lassen → durchwaschen	NONE	Bei dem gemeinsamen Becken: waschen; dann wirken lassen; dann durchwaschen.	YES
B1-S013	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	0	durchwaschen	NONE	Bei dem gemeinsamen Becken: durchwaschen.	YES
B1-S014	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	3	2	umschöpfen → auffangen → hinleiten + umfüllen	fortsetzen | danach · von dort	Bei dem gemeinsamen Becken: umschöpfen; dann auffangen; dann hinleiten + umfüllen. Angaben: fortsetzen | danach · von dort.	YES
B1-S015	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	2	0	übertragen → einsetzen + überführen	NONE	Bei dem gemeinsamen Becken: übertragen; dann einsetzen + überführen.	YES
B1-S016	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	3	1	anlegen → wirken lassen → absetzen lassen	fortsetzen	Bei dem gemeinsamen Becken: anlegen; dann wirken lassen; dann absetzen lassen. Angaben: fortsetzen.	YES
B1-S017	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	2	umfüllen	bezeichnete Stelle | kurz · fortsetzen	Bei dem gemeinsamen Becken: umfüllen. Angaben: bezeichnete Stelle | kurz · fortsetzen.	YES
B1-S018	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	3	1	führen → stehen lassen → auffangen und stehen lassen	Arbeitsgang · Sollstufe	Bei dem gemeinsamen Becken: führen; dann stehen lassen; dann auffangen und stehen lassen. Angaben: Arbeitsgang · Sollstufe.	YES
B1-S019	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	1	0	absetzen lassen	NONE	Bei dem gemeinsamen Becken: absetzen lassen.	YES
B1-S020	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	2	0	warm halten → zurückhalten	NONE	Bei dem gemeinsamen Becken: warm halten; dann zurückhalten.	YES
B1-S021	f81v	B1	gemeinsame zweireihige Figuren-/Beckenstation	0	1	NO_EXPLICIT_ACTION_CARD	bezeichnete Stelle	Bei dem gemeinsamen Becken: die gelernte Zustands- und Adressfolge setzen. Angaben: bezeichnete Stelle.	YES
B2-S001	f82r	B2	oberes Beckenpaar mit Zylinder	1	0	in die nächste Station weitergeben	NONE	Bei dem oberen Beckenpaar: in die nächste Station weitergeben.	YES
B2-S002	f82r	B2	oberes Beckenpaar mit Zylinder	1	0	in die nächste Station weitergeben	NONE	Bei dem oberen Beckenpaar: in die nächste Station weitergeben.	YES
B2-S003	f82r	B2	oberes Beckenpaar mit Zylinder	2	1	eine Portion einfüllen → einwirken lassen	dieser Posten	Bei dem oberen Beckenpaar: eine Portion einfüllen; dann einwirken lassen. Angaben: dieser Posten.	YES
B2-S004	f82r	B2	oberes Beckenpaar mit Zylinder	5	0	anlegen → durchleiten → führen + umsetzen → wirken lassen → durchleiten	NONE	Bei dem oberen Beckenpaar: anlegen; dann durchleiten; dann führen + umsetzen; dann wirken lassen; dann durchleiten.	YES
B2-S005	f82r	B2	oberes Beckenpaar mit Zylinder	6	2	anlegen → bis zum Maß auffangen → einleiten → einleiten → warm halten → abführen	Durchlass · dieser Posten | Arbeitsgang · bereit · kurz · fortsetzen	Bei dem oberen Beckenpaar: anlegen; dann bis zum Maß auffangen; dann einleiten; dann einleiten; dann warm halten; dann abführen. Angaben: Durchlass · dieser Posten | Arbeitsgang · bereit · kurz · fortsetzen.	YES
B2-S006	f82r	B2	oberes Beckenpaar mit Zylinder	3	1	anlegen → zurückhalten → den Arbeitsstoff einsetzen	danach · länger · dieser Posten	Bei dem oberen Beckenpaar: anlegen; dann zurückhalten; dann den Arbeitsstoff einsetzen. Angaben: danach · länger · dieser Posten.	YES
B2-S007	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	1	0	ruhen lassen	NONE	Bei dem mittleren Handgerät: ruhen lassen.	YES
B2-S008	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	2	1	aus der bezeichneten Quelle beschicken → absetzen lassen	danach · vorgeschriebenes Maß	Bei dem mittleren Handgerät: aus der bezeichneten Quelle beschicken; dann absetzen lassen. Angaben: danach · vorgeschriebenes Maß.	YES
B2-S009	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	1	0	ruhen lassen	NONE	Bei dem mittleren Handgerät: ruhen lassen.	YES
B2-S010	f82r	B2	mittleres linkes Handgerät mit Inline-Knoten	3	1	wirken lassen → den Arbeitsstoff einsetzen → stehen lassen	weiter	Bei dem mittleren Handgerät: wirken lassen; dann den Arbeitsstoff einsetzen; dann stehen lassen. Angaben: weiter.	YES
B2-S011	f82r	B2	mittlere rechte unklare Station	3	1	eine Portion einfüllen → eine Portion einfüllen → einwirken lassen	von dort	Bei der mittleren rechten Station: eine Portion einfüllen; dann eine Portion einfüllen; dann einwirken lassen. Angaben: von dort.	YES
B2-S012	f82r	B2	mittlere rechte unklare Station	5	3	führen + abnehmen → stehen lassen → wirken lassen → führen → vollständig beschicken und abschließen	bereit · kurz · dieser Posten | vorgeschriebenes Maß | dieser Posten	Bei der mittleren rechten Station: führen + abnehmen; dann stehen lassen; dann wirken lassen; dann führen; dann vollständig beschicken und abschließen. Angaben: bereit · kurz · dieser Posten | vorgeschriebenes Maß | dieser Posten.	YES
B2-S013	f82r	B2	unteres grünes Mehrfigurenbecken	1	0	abführen + überführen	NONE	Bei dem unteren grünen Becken: abführen + überführen.	YES
B2-S014	f82r	B2	unteres grünes Mehrfigurenbecken	1	0	ableiten	NONE	Bei dem unteren grünen Becken: ableiten.	YES
B2-S015	f82r	B2	kleine Randstationen des unteren Beckens	2	0	stehen lassen → einwirken lassen	NONE	Bei den kleinen Randstationen: stehen lassen; dann einwirken lassen.	YES
B2-S016	f82r	B2	kleine Randstationen des unteren Beckens	5	3	ableiten + umfüllen → abnehmen + abteilen → bis zum Sollmaß beschicken → wirken lassen → einfüllen + überführen	bezeichnete Stelle | vorgeschriebenes Maß | danach · länger · dieser Posten	Bei den kleinen Randstationen: ableiten + umfüllen; dann abnehmen + abteilen; dann bis zum Sollmaß beschicken; dann wirken lassen; dann einfüllen + überführen. Angaben: bezeichnete Stelle | vorgeschriebenes Maß | danach · länger · dieser Posten.	YES
B2-S017	f82r	B2	kleine Randstationen des unteren Beckens	1	1	abkühlen lassen + ruhen lassen	bezeichnete Stelle; Schritt schließen	Bei den kleinen Randstationen: abkühlen lassen + ruhen lassen. Angaben: bezeichnete Stelle; Schritt schließen.	YES
B2-S018	f82r	B2	kleine Randstationen des unteren Beckens	1	0	einwirken lassen	NONE	Bei den kleinen Randstationen: einwirken lassen.	YES
B2-S019	f82r	B2	kleine Randstationen des unteren Beckens	1	0	auskühlen lassen + absetzen lassen	NONE	Bei den kleinen Randstationen: auskühlen lassen + absetzen lassen.	YES
B2-S020	f82r	B2	kleine Randstationen des unteren Beckens	0	1	NO_EXPLICIT_ACTION_CARD	danach · länger; Schritt schließen	Bei den kleinen Randstationen: die gelernte Zustands- und Adressfolge setzen. Angaben: danach · länger; Schritt schließen.	YES
B2-S021	f82r	B2	kleine Randstationen des unteren Beckens	1	0	einwirken lassen	NONE	Bei den kleinen Randstationen: einwirken lassen.	YES
B2-S022	f82r	B2	kleine Randstationen des unteren Beckens	1	0	abführen + überführen	NONE	Bei den kleinen Randstationen: abführen + überführen.	YES
B3-S001	f83r	B3	obere offene Fächerstation am Rand	1	0	auffangen und stehen lassen	NONE	Bei der oberen Fächerstation: auffangen und stehen lassen.	YES
B3-S002	f83r	B3	obere offene Fächerstation am Rand	1	1	anwärmen	danach · bezeichnete Stelle	Bei der oberen Fächerstation: anwärmen. Angaben: danach · bezeichnete Stelle.	YES
B3-S003	f83r	B3	obere offene Fächerstation am Rand	1	3	abführen + abmessen und umsetzen	dieser Posten | vorgeschriebenes Maß | dieser Posten	Bei der oberen Fächerstation: abführen + abmessen und umsetzen. Angaben: dieser Posten | vorgeschriebenes Maß | dieser Posten.	YES
B3-S004	f83r	B3	obere offene Fächerstation am Rand	1	2	bis zum Sollmaß beschicken	danach · bezeichnete Stelle | von dort	Bei der oberen Fächerstation: bis zum Sollmaß beschicken. Angaben: danach · bezeichnete Stelle | von dort.	YES
B3-S005	f83r	B3	mittlere Randfigur im runden Gefäß	1	0	umfüllen	NONE	Bei dem runden Gefäß: umfüllen.	YES
B3-S006	f83r	B3	mittlere Randfigur im runden Gefäß	3	0	umschöpfen → anlegen → in die nächste Station weitergeben	NONE	Bei dem runden Gefäß: umschöpfen; dann anlegen; dann in die nächste Station weitergeben.	YES
B3-S007	f83r	B3	mittlere Randfigur im runden Gefäß	3	0	bis zum Sollmaß beschicken → umschöpfen → einwirken lassen	NONE	Bei dem runden Gefäß: bis zum Sollmaß beschicken; dann umschöpfen; dann einwirken lassen.	YES
B3-S008	f83r	B3	mittlere Randfigur im runden Gefäß	1	0	abführen + überführen	NONE	Bei dem runden Gefäß: abführen + überführen.	YES
B3-S009	f83r	B3	mittlere Randfigur im runden Gefäß	1	0	den Arbeitsstoff einsetzen	NONE	Bei dem runden Gefäß: den Arbeitsstoff einsetzen.	YES
B3-S010	f83r	B3	untere Randfigur im korbartigen Gefäß	1	1	einfüllen + umfüllen	danach · kurz; Schritt schließen	Bei dem korbartigen Gefäß: einfüllen + umfüllen. Angaben: danach · kurz; Schritt schließen.	YES
B3-S011	f83r	B3	untere Randfigur im korbartigen Gefäß	3	1	halten + umsetzen → den Arbeitsstoff einsetzen → umschöpfen	von dort · dieser Posten	Bei dem korbartigen Gefäß: halten + umsetzen; dann den Arbeitsstoff einsetzen; dann umschöpfen. Angaben: von dort · dieser Posten.	YES
B3-S012	f83r	B3	untere Randfigur im korbartigen Gefäß	1	1	absetzen lassen	Ansatz	Bei dem korbartigen Gefäß: absetzen lassen. Angaben: Ansatz.	YES
B3-S013	f83r	B3	untere Randfigur im korbartigen Gefäß	3	1	bis zum Sollmaß beschicken → dosiert zugeben → einwirken lassen	bereit · kurz · dieser Posten	Bei dem korbartigen Gefäß: bis zum Sollmaß beschicken; dann dosiert zugeben; dann einwirken lassen. Angaben: bereit · kurz · dieser Posten.	YES
B3-S014	f83r	B3	untere Randfigur im korbartigen Gefäß	2	0	einleiten → ruhen lassen	NONE	Bei dem korbartigen Gefäß: einleiten; dann ruhen lassen.	YES
B3-S015	f83r	B3	untere Randfigur im korbartigen Gefäß	1	0	abführen + überführen	NONE	Bei dem korbartigen Gefäß: abführen + überführen.	YES
B3-S016	f83r	B3	untere Randfigur im korbartigen Gefäß	2	0	führen → einsetzen + überführen	NONE	Bei dem korbartigen Gefäß: führen; dann einsetzen + überführen.	YES
B3-S017	f83r	B3	unverbundener Zwischenbereich	1	0	einwirken lassen	NONE	Bei dem getrennten Zwischenbereich: einwirken lassen.	YES
B3-S018	f83r	B3	unverbundener Zwischenbereich	1	0	absetzen lassen	NONE	Bei dem getrennten Zwischenbereich: absetzen lassen.	YES
B3-S019	f83r	B3	unverbundener Zwischenbereich	1	0	einwirken lassen + ruhen lassen	NONE	Bei dem getrennten Zwischenbereich: einwirken lassen + ruhen lassen.	YES
B3-S020	f83r	B3	unverbundener Zwischenbereich	1	1	hinleiten + umfüllen	bezeichnete Stelle	Bei dem getrennten Zwischenbereich: hinleiten + umfüllen. Angaben: bezeichnete Stelle.	YES
B3-S021	f83r	B3	unverbundener Zwischenbereich	4	7	bis zum Sollmaß beschicken → ablagern → stehen lassen → umfüllen	bereit · dieser Posten | bezeichnete Stelle | dieser Posten | vorgeschriebenes Maß | dieser Posten | bezeichnete Stelle | bereit · dieser Posten	Bei dem getrennten Zwischenbereich: bis zum Sollmaß beschicken; dann ablagern; dann stehen lassen; dann umfüllen. Angaben: bereit · dieser Posten | bezeichnete Stelle | dieser Posten | vorgeschriebenes Maß | dieser Posten | bezeichnete Stelle | bereit · dieser Posten.	YES
B3-S022	f83r	B3	unverbundener Zwischenbereich	1	0	in die nächste Station weitergeben	NONE	Bei dem getrennten Zwischenbereich: in die nächste Station weitergeben.	YES
B3-S023	f83r	B3	unverbundener Zwischenbereich	1	0	abführen + überführen	NONE	Bei dem getrennten Zwischenbereich: abführen + überführen.	YES
B3-S024	f83r	B3	unverbundener Zwischenbereich	1	0	in die nächste Station weitergeben	NONE	Bei dem getrennten Zwischenbereich: in die nächste Station weitergeben.	YES
B3-S025	f83r	B3	unverbundener Zwischenbereich	1	0	einsetzen + überführen	NONE	Bei dem getrennten Zwischenbereich: einsetzen + überführen.	YES
B3-S026	f83r	B3	unverbundener Zwischenbereich	5	2	ableiten → umschöpfen → eine Portion einfüllen → abkühlen lassen → auffangen und stehen lassen	länger · von dort | bereit · dieser Posten	Bei dem getrennten Zwischenbereich: ableiten; dann umschöpfen; dann eine Portion einfüllen; dann abkühlen lassen; dann auffangen und stehen lassen. Angaben: länger · von dort | bereit · dieser Posten.	YES
B3-S027	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	0	1	NO_EXPLICIT_ACTION_CARD	danach · länger; Schritt schließen	Bei dem Figurenpaar in B3: die gelernte Zustands- und Adressfolge setzen. Angaben: danach · länger; Schritt schließen.	YES
B3-S028	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	2	0	wirken lassen → einwirken lassen	NONE	Bei dem Figurenpaar in B3: wirken lassen; dann einwirken lassen.	YES
B3-S029	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	2	1	eintragen → einwirken lassen	fortsetzen	Bei dem Figurenpaar in B3: eintragen; dann einwirken lassen. Angaben: fortsetzen.	YES
B3-S030	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	3	1	den Arbeitsstoff einsetzen → durchleiten → in die nächste Station weitergeben	vorgeschriebenes Maß	Bei dem Figurenpaar in B3: den Arbeitsstoff einsetzen; dann durchleiten; dann in die nächste Station weitergeben. Angaben: vorgeschriebenes Maß.	YES
B3-S031	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	0	einwirken lassen	NONE	Bei dem Figurenpaar in B3: einwirken lassen.	YES
B3-S032	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	2	3	abmessen und umsetzen → abmessen und umsetzen	danach · kurz · vorgeschriebenes Maß | danach · vorgeschriebenes Maß | danach · kurz; Schritt schließen	Bei dem Figurenpaar in B3: abmessen und umsetzen; dann abmessen und umsetzen. Angaben: danach · kurz · vorgeschriebenes Maß | danach · vorgeschriebenes Maß | danach · kurz; Schritt schließen.	YES
B3-S033	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	0	abführen	NONE	Bei dem Figurenpaar in B3: abführen.	YES
B3-S034	f83r	B3	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	2	4	eintragen → ablagern	Arbeitsgang · Sollstufe | bereit · dieser Posten | danach · vorgeschriebenes Maß | fortsetzen · bezeichnete Stelle · dieser Posten	Bei dem Figurenpaar in B3: eintragen; dann ablagern. Angaben: Arbeitsgang · Sollstufe | bereit · dieser Posten | danach · vorgeschriebenes Maß | fortsetzen · bezeichnete Stelle · dieser Posten.	YES
B4-S001	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	0	einwirken lassen	NONE	Bei dem Figurenpaar in B4: einwirken lassen.	YES
B4-S002	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	2	1	wirken lassen → einwirken lassen	fortsetzen · dieser Posten	Bei dem Figurenpaar in B4: wirken lassen; dann einwirken lassen. Angaben: fortsetzen · dieser Posten.	YES
B4-S003	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	4	3	umschöpfen → anlegen → den Arbeitsstoff einsetzen → absetzen lassen	danach · bezeichnete Stelle | danach · dieser Posten | fortsetzen	Bei dem Figurenpaar in B4: umschöpfen; dann anlegen; dann den Arbeitsstoff einsetzen; dann absetzen lassen. Angaben: danach · bezeichnete Stelle | danach · dieser Posten | fortsetzen.	YES
B4-S004	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	0	einsetzen + festbinden	NONE	Bei dem Figurenpaar in B4: einsetzen + festbinden.	YES
B4-S005	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	2	1	abmessen und umsetzen → einwirken lassen	Portion	Bei dem Figurenpaar in B4: abmessen und umsetzen; dann einwirken lassen. Angaben: Portion.	YES
B4-S006	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	0	zurückhalten	NONE	Bei dem Figurenpaar in B4: zurückhalten.	YES
B4-S007	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	0	zurückhalten	NONE	Bei dem Figurenpaar in B4: zurückhalten.	YES
B4-S008	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	3	1	warm halten → einwirken lassen → einwirken lassen	vorgeschriebenes Maß	Bei dem Figurenpaar in B4: warm halten; dann einwirken lassen; dann einwirken lassen. Angaben: vorgeschriebenes Maß.	YES
B4-S009	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	0	absetzen lassen	NONE	Bei dem Figurenpaar in B4: absetzen lassen.	YES
B4-S010	f83r	B4	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	0	1	NO_EXPLICIT_ACTION_CARD	fortsetzen; Schritt schließen	Bei dem Figurenpaar in B4: die gelernte Zustands- und Adressfolge setzen. Angaben: fortsetzen; Schritt schließen.	YES
B4-S011	f83r	B4	linke Hauptstation mit offenem Fransenlauf	5	2	warm halten → wirken lassen → eine Portion einfüllen → umschöpfen → abführen + zugeben	vorgeschriebenes Maß | fortsetzen	Bei der linken Hauptstation: warm halten; dann wirken lassen; dann eine Portion einfüllen; dann umschöpfen; dann abführen + zugeben. Angaben: vorgeschriebenes Maß | fortsetzen.	YES
B4-S012	f83r	B4	linke Hauptstation mit offenem Fransenlauf	1	0	abführen + überführen	NONE	Bei der linken Hauptstation: abführen + überführen.	YES
B4-S013	f83r	B4	linke Hauptstation mit offenem Fransenlauf	2	0	weiter beschicken → absetzen lassen	NONE	Bei der linken Hauptstation: weiter beschicken; dann absetzen lassen.	YES
