surface	page	locus	zl3b_line	it2a_line	rf1b_line	reader_support	working_meaning_de	decision
sheo	f58v	f58v.34	tol sheo keo ar qofcheal dar aey opchal shockhy okaly	tolsheo keoar qofcheol dar aiphey opchal shockhy okaly	tol sheo keo ar qofcheal ar acphey opchal shockhy otaly	READER_VARIANT	Feuchtzubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ycheol	f100r	f100r.22	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy	folshody chol daiin fchodycheol cphol qotees shey oreso alcfhy	folsho dy choldaiin fchodycheol cphol qotees shey seso alcfhy	READER_VARIANT	trockener Drogenstoff dieser Droge	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ycheol	f112v	f112v.23	ycheol keeor olkeeey chedain ol cheedaiin sheedy qokeedy qotain	ycheol keeor olkeeey chedain ol cheedaiin sheedy qokeedy qotain	ycheolkee r alkeeey chedain ol cheedaiin eedy qokeedy qotain	READER_VARIANT	trockener Drogenstoff dieser Droge	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
ycheol	f24r	f24r.18	ycheol chol daiin chol s	y cheol chol daiin chol s	ycheol chol daiin chol s	ALL_THREE_SPLIT_NORMALIZED	trockener Drogenstoff dieser Droge	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheckhy	f103v	f103v.45	okey ol cheey lcheey lkain shckhy sheckhy or ain otar oly	okey ol cheey lcheey lkain shckhy sheckhy orain otar oly	okey ol cheey lcheey lkain shckhy sheckhyorain otar oly	READER_VARIANT	feuchte Arzneimischung, Anfangsgrad, gebunden	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheckhy	f108r	f108r.45	dain sheckhy okeey keey lchedy okeey qokedy chedy dalkedy qokedy dal	dain sheckhy okeey keey lchedy okeey qokedy chedy dalkedy qokedy dal	dain shecthy okeey keey lchedy okeey qoke y chedy dalkedy qokedy dal	READER_VARIANT	feuchte Arzneimischung, Anfangsgrad, gebunden	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheckhy	f75v	f75v.14	qol sheckhy qokedy qokedy qokaly sor chedy qoky olshty qokydy	qol sheckhy qokedy qokedy qokaly sor chedy qoky olshty qokydy	qol eckhy qoke y qokedy qokaly sor chedy qoky olshty qokydy	READER_VARIANT	feuchte Arzneimischung, Anfangsgrad, gebunden	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheckhy	f75v	f75v.46	ychey qotain sheckhy qokedy qokedy lsheckhy qokain dal tol olchedy	ychey qotain sheckhy qokedy qokedy lsheckhy qokain dal tol olchedy	ychey qotain eckhy qokedy qokedy leckhy qokain dal tol olchedy	READER_VARIANT	feuchte Arzneimischung, Anfangsgrad, gebunden	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheckhy	f80r	f80r.17	solky sheckhy sheky shkeol qokar sheky chetain ol olkar okain sheky qokal da	solky sheckhy sheky shkeol qokar sheky chetain ol olkar okain sheky qokal day	solky eckhy sheky shkeol qokar sheky chetain l olkar okain sheky qokal da	READER_VARIANT	feuchte Arzneimischung, Anfangsgrad, gebunden	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheckhy	f80r	f80r.24	lol chey rchy r ol dain oty qoty otalor sheckhy olkeey ral chedyor	lol chey rchy r ol dain oty qoty otalor sheckhy olkeey ral chedyor	lol chey rchy r ol dain oty qoty otalor eckhy olkeey ral chedyor	READER_VARIANT	feuchte Arzneimischung, Anfangsgrad, gebunden	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheckhy	f80v	f80v.11	tol sheedy qokar olky rorcheey sheckhy qotain chedy rol	tol sheedy qokar olky rorcheey sheckhy qotain chedy rol	t l eedy qokar olky ror cheey eckhy qotain che y rol	READER_VARIANT	feuchte Arzneimischung, Anfangsgrad, gebunden	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheckhy	f82r	f82r.6	sar shedy qol shedaiin sheckhy okal sheky qotaiin chedol	sor shedy qol shedaiin sheckhy okal sheky qotaiin chedol	sar shedy qol shedaiin sheckh okal sheky qotaiin ched l	READER_VARIANT	feuchte Arzneimischung, Anfangsgrad, gebunden	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheckhy	f82v	f82v.9	solshedy lchedy dolshedy qokal sheckhy shey teeol oteedy qokedy	solshedy lchedy dolshedy qokal sheckhy shey teeol oteedy qokedy	solshedy lche y dolshedy qokal eckhy shey teeol oteedy qokedy	READER_VARIANT	feuchte Arzneimischung, Anfangsgrad, gebunden	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheckhedy	f81r	f81r.11	olsheol olkedy sheckhedy oltedy	olsheol olkedy sheckhedy oltedy	ol eol olkedy eckhedy oltedy	READER_VARIANT	feuchte Arzneimischung, Mittelgrad, gebunden und abgeschlossen	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
