trace_no	step_no	clause_id	record	page	silent_owner_de	source_position_id	visible_event_ids	observed_surface	observed_card_no	component_parse	decoded_atomic_value_de	candidate_card_nos_from_components	semantic_roundtrip	exact_card_roundtrip	master_card_prose_used	renderer_rule_type	renderer_branch	predicted_card_no	renderer_exact_match
3	5	I064-C02	B3	f83r	unverbundener Zwischenbereich	SRC_E275	E275	shedal	PROC142	SHED+AL	den laufenden Posten an bezeichnete Stelle absetzen	PROC142	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC142	YES
4	1	I091-C01	B4	f83r	linke Hauptstation mit offenem Fransenlauf	SRC_E348	E348	or	PROC016	OR	Ansatz	PROC016	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC016	YES
4	2	I091-C01	B4	f83r	linke Hauptstation mit offenem Fransenlauf	SRC_E349	E349	chey	PROC019	Y	dieser Posten	PROC019	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC019	YES
4	3	I091-C01	B4	f83r	linke Hauptstation mit offenem Fransenlauf	SRC_E350	E350	qockhey	PROC161	O+CKH+E+Y	Arbeitsgang · Durchlass · kurz · dieser Posten	PROC161	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC161	YES
4	4	I091-C01	B4	f83r	linke Hauptstation mit offenem Fransenlauf	SRC_E351	E351	dairydy	PROC162	AIR+Y+DY	laufender Bestand · dieser Posten; Schritt schließen	PROC162	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC162	YES
5	1	I096-C04	B5	f83r	linke Fransenstation im B5-Nachtrag	SRC_E369	E369	aiin	PROC009	AIIN	vorgeschriebenes Maß	PROC009	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC009	YES
5	2	I096-C04	B5	f83r	linke Fransenstation im B5-Nachtrag	SRC_E370	E370	sol	PROC013	OL	fortsetzen	PROC013|PROC034	PASS	NEEDS_LOCAL_ALLOGRAPH	NO	RECORD_RULE	DEFAULT	PROC013	YES
5	3	I096-C04	B5	f83r	linke Fransenstation im B5-Nachtrag	SRC_E371	E371	daiiin	PROC169	DA+IIN	zweite · Sollstufe	PROC169	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC169	YES
5	4	I096-C04	B5	f83r	linke Fransenstation im B5-Nachtrag	SRC_E372	E372	chedy	PROC042	CHD+Y	den aktuellen Posten umsetzen	PROC042|PROC133	PASS	NEEDS_LOCAL_ALLOGRAPH	NO	NEIGHBOR_RULE	DEFAULT	PROC042	YES
6	1	I097-C04	B6	f83r	rechter S-Lauf im B6-Nachtrag	SRC_E376	E376	ol	PROC013	OL	fortsetzen	PROC013|PROC034	PASS	NEEDS_LOCAL_ALLOGRAPH	NO	RECORD_RULE	DEFAULT	PROC013	YES
6	2	I097-C04	B6	f83r	rechter S-Lauf im B6-Nachtrag	SRC_E377	E377	daiin	PROC009	AIIN	vorgeschriebenes Maß	PROC009	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC009	YES
6	3	I097-C04	B6	f83r	rechter S-Lauf im B6-Nachtrag	SRC_E378	E378	ol	PROC013	OL	fortsetzen	PROC013|PROC034	PASS	NEEDS_LOCAL_ALLOGRAPH	NO	RECORD_RULE	DEFAULT	PROC013	YES
6	4	I097-C04	B6	f83r	rechter S-Lauf im B6-Nachtrag	SRC_E379	E379	dain	PROC156	AIN	Portion	PROC156	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC156	YES
6	5	I097-C04	B6	f83r	rechter S-Lauf im B6-Nachtrag	SRC_E380	E380	chey	PROC019	Y	dieser Posten	PROC019	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC019	YES
6	6	I097-C04	B6	f83r	rechter S-Lauf im B6-Nachtrag	SRC_E381	E381	ldalor	PROC173	L+AL+OR	den Ansatz an bezeichnete Stelle führen	PROC173	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC173	YES
7	1	I001-C08	H1	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E012	E012	qotchol	PROC012	OT+CH+OL	danach fortsetzen den laufenden Posten abziehen	PROC012	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC012	YES
7	2	I001-C08	H1	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E013	E013	chol	PROC013	OL	fortsetzen	PROC013|PROC034	PASS	NEEDS_LOCAL_ALLOGRAPH	NO	RECORD_RULE	DEFAULT	PROC013	YES
7	3	I001-C08	H1	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E014	E014	cthy	PROC014	CTH+Y	bereit · dieser Posten	PROC014	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC014	YES
8	1	I002-C02	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E016	E016	cthy	PROC014	CTH+Y	bereit · dieser Posten	PROC014	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC014	YES
8	2	I002-C02	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E017	E017	chor	PROC016	OR	Ansatz	PROC016	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC016	YES
8	3	I002-C02	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E018	E018	cthaiin	PROC017	CTH+AIIN	bereit · vorgeschriebenes Maß	PROC017	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC017	YES
8	4	I002-C02	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E019	E019	qoctholy	PROC018	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dieser Posten	PROC018	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC018	YES
8	5	I002-C02	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E020	E020	dy	PROC019	Y	dieser Posten	PROC019	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC019	YES
8	6	I002-C02	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E021	E021	chy	PROC019	Y	dieser Posten	PROC019	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC019	YES
8	7	I002-C02	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E022	E022	taiin	PROC009	AIIN	vorgeschriebenes Maß	PROC009	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC009	YES
8	8	I002-C02	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E023	E023	shy	PROC019	Y	dieser Posten	PROC019	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC019	YES
8	9	I002-C02	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E024	E024	qotchor	PROC020	OT+CH+OR	danach den Ansatz abziehen	PROC020	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC020	YES
9	1	I002-C03	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E025	E025	chor	PROC016	OR	Ansatz	PROC016	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC016	YES
9	2	I002-C03	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E026	E026	otol	PROC021	OT+OL	danach · fortsetzen	PROC021	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC021	YES
9	3	I002-C03	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E027	E027	chol	PROC013	OL	fortsetzen	PROC013|PROC034	PASS	NEEDS_LOCAL_ALLOGRAPH	NO	RECORD_RULE	DEFAULT	PROC013	YES
9	4	I002-C03	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E028	E028	cholor	PROC022	OL+OR	fortsetzen · Ansatz	PROC022	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC022	YES
9	5	I002-C03	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E029	E029	chol	PROC013	OL	fortsetzen	PROC013|PROC034	PASS	NEEDS_LOCAL_ALLOGRAPH	NO	RECORD_RULE	DEFAULT	PROC013	YES
9	6	I002-C03	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E030	E030	daiin	PROC009	AIIN	vorgeschriebenes Maß	PROC009	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC009	YES
9	7	I002-C03	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E031	E031	dar	PROC003	AR	von dort	PROC003	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC003	YES
9	8	I002-C03	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E032	E032	oykchor	PROC023	O+Y+K+OR	diesen Posten zuführen	PROC023	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC023	YES
10	1	I002-C04	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E033	E033	shor	PROC016	OR	Ansatz	PROC016	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC016	YES
10	2	I002-C04	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E034	E034	chor	PROC016	OR	Ansatz	PROC016	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC016	YES
10	3	I002-C04	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E035	E035	chy	PROC019	Y	dieser Posten	PROC019	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC019	YES
10	4	I002-C04	H2	f10r	abgebildete breit gezähnte radialblütige Pflanze	SRC_E036	E036	kaiiin	PROC024	K+IIN	den laufenden Posten zuführen bis Sollstufe	PROC024	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC024	YES
11	1	I004-C03	H3	f11r	abgebildete dicht blau blühende Kronenpflanze	SRC_E050	E050	dy	PROC019	Y	dieser Posten	PROC019	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC019	YES
11	2	I004-C03	H3	f11r	abgebildete dicht blau blühende Kronenpflanze	SRC_E051	E051	daiin	PROC009	AIIN	vorgeschriebenes Maß	PROC009	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC009	YES
11	3	I004-C03	H3	f11r	abgebildete dicht blau blühende Kronenpflanze	SRC_E052	E052	qotchy	PROC036	OT+Y	danach den aktuellen Posten wiederaufnehmen	PROC036|PROC065	PASS	NEEDS_LOCAL_ALLOGRAPH	NO	RECORD_RULE	EXCEPTION	PROC036	YES
11	4	I004-C03	H3	f11r	abgebildete dicht blau blühende Kronenpflanze	SRC_E053	E053	okchol	PROC037	OK+OL	den aktuellen Posten weiter in Einsatz bringen	PROC037|PROC160	PASS	NEEDS_LOCAL_ALLOGRAPH	NO	RECORD_RULE	DEFAULT	PROC037	YES
11	5	I004-C03	H3	f11r	abgebildete dicht blau blühende Kronenpflanze	SRC_E054	E054	cthy	PROC014	CTH+Y	bereit · dieser Posten	PROC014	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC014	YES
11	6	I004-C03	H3	f11r	abgebildete dicht blau blühende Kronenpflanze	SRC_E055	E055	dy	PROC019	Y	dieser Posten	PROC019	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC019	YES
12	1	I007-C02	H4	f55v	abgebildete breitblättrige rispige Pflanze	SRC_E070	E070	oltchy	PROC049	OL+T+Y	fortsetzen diesen Posten eintragen	PROC049	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC049	YES
12	2	I007-C02	H4	f55v	abgebildete breitblättrige rispige Pflanze	SRC_E071	E071	or	PROC016	OR	Ansatz	PROC016	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC016	YES
12	3	I007-C02	H4	f55v	abgebildete breitblättrige rispige Pflanze	SRC_E072	E072	y	PROC019	Y	dieser Posten	PROC019	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC019	YES
12	4	I007-C02	H4	f55v	abgebildete breitblättrige rispige Pflanze	SRC_E073	E073	orain	PROC050	OR+AIN	Ansatz · Portion	PROC050	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC050	YES
13	1	I008-C02	H5	f56r	abgebildete mehrköpfige stachelige Pflanze	SRC_E075	E075	cho	PROC052	HO	Gabe	PROC052	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC052	YES
13	2	I008-C02	H5	f56r	abgebildete mehrköpfige stachelige Pflanze	SRC_E076	E076	chodaly	PROC053	HO+AL+Y	Gabe · bezeichnete Stelle · dieser Posten	PROC053	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC053	YES
13	3	I008-C02	H5	f56r	abgebildete mehrköpfige stachelige Pflanze	SRC_E077	E077	daiin	PROC009	AIIN	vorgeschriebenes Maß	PROC009	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC009	YES
13	4	I008-C02	H5	f56r	abgebildete mehrköpfige stachelige Pflanze	SRC_E078	E078	sho	PROC052	HO	Gabe	PROC052	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC052	YES
13	5	I008-C02	H5	f56r	abgebildete mehrköpfige stachelige Pflanze	SRC_E079	E079	kchol	PROC054	K+OL	fortsetzen den laufenden Posten zuführen	PROC054	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC054	YES
14	1	I008-C05	H5	f56r	abgebildete mehrköpfige stachelige Pflanze	SRC_E082	E082	dal	PROC055	AL	bezeichnete Stelle	PROC055	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC055	YES
14	2	I008-C05	H5	f56r	abgebildete mehrköpfige stachelige Pflanze	SRC_E083	E083	schol	PROC034	OL	fortsetzen	PROC013|PROC034	PASS	NEEDS_LOCAL_ALLOGRAPH	NO	RECORD_RULE	EXCEPTION	PROC034	YES
14	3	I008-C05	H5	f56r	abgebildete mehrköpfige stachelige Pflanze	SRC_E084	E084	choy	PROC056	HO+Y	Gabe · dieser Posten	PROC056	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC056	YES
14	4	I008-C05	H5	f56r	abgebildete mehrköpfige stachelige Pflanze	SRC_E085	E085	choky	PROC008	OK+Y	den aktuellen Posten in Einsatz bringen	PROC008|PROC011	PASS	NEEDS_LOCAL_ALLOGRAPH	NO	LOCAL_LOCUS_MEMORY	DEFAULT	PROC008	YES
