event_id	page	record	locus	component_parse	previous_component_parse	next_component_parse	observed_card_no	predicted_card_no	prediction_branch	rule_type	exact_card_match	structural_without_local_memory_match
E085	f56r	H5	f56r.8	OK+Y	HO+Y	CH+EE+CKH+O+DY	PROC008	PROC008	DEFAULT	LOCAL_LOCUS_MEMORY	YES	YES
E091	f56r	H5	f56r.13	OK+Y	OK+OK+Y	OK+CH+E+O	PROC011	PROC011	EXCEPTION	LOCAL_LOCUS_MEMORY	YES	NO
E095	f56r	H5	f56r.18	OK+Y	HO	K+HO+AR	PROC011	PROC011	EXCEPTION	LOCAL_LOCUS_MEMORY	YES	NO
E140	f81v	B1	f81v.18	OK+Y	CKH+Y	LSH+O	PROC008	PROC008	DEFAULT	LOCAL_LOCUS_MEMORY	YES	YES
E188	f82r	B2	f82r.4	OK+Y	SH+E+CKH+Y	SH+E+DY	PROC008	PROC008	DEFAULT	LOCAL_LOCUS_MEMORY	YES	YES
E195	f82r	B2	f82r.7	OK+Y	OK+EE+Y	LS	PROC008	PROC008	DEFAULT	LOCAL_LOCUS_MEMORY	YES	YES
E247	f83r	B3	f83r.6	OK+Y	L+CHD+DY	P+CHD+AL	PROC008	PROC008	DEFAULT	LOCAL_LOCUS_MEMORY	YES	YES
E251	f83r	B3	f83r.8	OK+Y	SH+E+CTH+CHD+Y	CHD+Y	PROC008	PROC008	DEFAULT	LOCAL_LOCUS_MEMORY	YES	YES
E298	f83r	B3	f83r.20	OK+Y	OK+E+DY	AIIN	PROC008	PROC008	DEFAULT	LOCAL_LOCUS_MEMORY	YES	YES
E323	f83r	B4	f83r.26	OK+Y	OK+EE+Y	OL	PROC008	PROC008	DEFAULT	LOCAL_LOCUS_MEMORY	YES	YES
E013	f10r	H1	f10r.5	OL	OT+CH+OL	CTH+Y	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E027	f10r	H2	f10r.8	OL	OT+OL	OL+OR	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E029	f10r	H2	f10r.8	OL	OL+OR	AIIN	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E047	f11r	H3	f11r.4	OL	SH+O+Y+T+Y	Y	PROC034	PROC034	EXCEPTION	RECORD_RULE	YES	YES
E083	f56r	H5	f56r.8	OL	AL	HO+Y	PROC034	PROC034	EXCEPTION	RECORD_RULE	YES	YES
E106	f81v	B1	f81v.2	OL	AR	K+AIN	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E110	f81v	B1	f81v.2	OL	AL	R+OL	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E114	f81v	B1	f81v.7	OL	OL+OR	SH+E+CKH+AL	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E121	f81v	B1	f81v.7	OL	CHD+DY	SH+K+CHD+DY	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E124	f81v	B1	f81v.17	OL	CHD+Y	SHED+DY	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E133	f81v	B1	f81v.18	OL	Y	CHK+E+Y	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E135	f81v	B1	f81v.18	OL	CHK+E+Y	SHED+DY	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E148	f81v	B1	f81v.21	OL	L+CHD+AL	OT+AR	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E154	f81v	B1	f81v.24	OL	OK+EE+Y	SHED+DY	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E295	f83r	B3	f83r.20	OL	OK+E+DY	EEE+T+Y	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E324	f83r	B4	f83r.26	OL	OK+Y	SHED+DY	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E343	f83r	B4	f83r.37	OL	CHD+Y	L+K+E+DY	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E366	f83r	B5	f83r.48	OL	AL	L+OL	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E370	f83r	B5	f83r.49	OL	AIIN	DA+IIN	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E376	f83r	B6	f83r.52	OL	R+AL+Y	AIIN	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E378	f83r	B6	f83r.54	OL	AIIN	AIN	PROC013	PROC013	DEFAULT	RECORD_RULE	YES	YES
E281	f83r	B3	f83r.15	OT+CHD+DY	AL+CHD+DY	L+CHD+DY	PROC145	PROC145	DEFAULT	RECORD_RULE	YES	YES
E301	f83r	B3	f83r.22	OT+CHD+DY	CHD+AIR	OK+EE+DY	PROC145	PROC145	DEFAULT	RECORD_RULE	YES	YES
E362	f83r	B5	f83r.47	OT+CHD+DY	START	OK+CHD+DY	PROC166	PROC166	EXCEPTION	RECORD_RULE	YES	YES
E052	f11r	H3	f11r.7	OT+Y	AIIN	OK+OL	PROC036	PROC036	EXCEPTION	RECORD_RULE	YES	YES
E098	f56r	H5	f56r.19	OT+Y	OT+O+AIN	K+E+OL	PROC065	PROC065	DEFAULT	RECORD_RULE	YES	YES
E321	f83r	B4	f83r.26	OT+Y	OT+AL	OK+EE+Y	PROC065	PROC065	DEFAULT	RECORD_RULE	YES	YES
E044	f11r	H3	f11r.1	SH+EE+Y	P+Y	T+CH+O+DY	PROC031	PROC031	DEFAULT	NEIGHBOR_RULE	YES	YES
E197	f82r	B2	f82r.7	SH+EE+Y	LS	OK+AIN	PROC031	PROC031	DEFAULT	NEIGHBOR_RULE	YES	YES
E203	f82r	B2	f82r.23	SH+EE+Y	L+CH+Y	CTH+E+Y	PROC031	PROC031	DEFAULT	NEIGHBOR_RULE	YES	YES
E334	f83r	B4	f83r.28	SH+EE+Y	CHK+EE+Y	OK+E+DY	PROC157	PROC157	EXCEPTION	NEIGHBOR_RULE	YES	YES
E353	f83r	B4	f83r.39	SH+EE+Y	OK+AIN	K+AIN	PROC031	PROC031	DEFAULT	NEIGHBOR_RULE	YES	YES
E058	f55v	H4	f55v.5	Y+K+AIN	AIIN	Y+K+AIN	PROC039	PROC039	DEFAULT	NEIGHBOR_RULE	YES	YES
E059	f55v	H4	f55v.5	Y+K+AIN	Y+K+AIN	O+DY	PROC040	PROC040	EXCEPTION	NEIGHBOR_RULE	YES	YES
