stem_id	visible_patterns	selected_concrete_meaning_de	period_vocabulary_parallel	containing_cards	containing_events	example_compositions	competing_assignment_tested	workshop_decision
AR	ar	VORANSATZ ODER QUELLMATERIAL	ex eodem; materia prior	10	14	chary=ABKÜHLEN|lchedar=KÜHLES WASSER|lar=UNTERER ABLAUF|cheedar=BECKEN BEREITEN|qokar=BEHANDLUNGSSTELLE|dar=VORANSATZ|cheoar=AUSZUG|skar=WARMES WASSER	Körperstelle	SELECTED
CH_SH	ch|sh	BEHANDLUNGSGUT: PFLANZE ODER KÖRPER	herba; corpus; materia	102	253	chdal=ABNAHMESTELLE|sheedy=WASCHEN|okchedy=ABKÜHLEN|chokcheo=WEIN|lchy=KLAR ABZIEHEN|chary=ABKÜHLEN|chodaly=BLÜHSTELLE|lchedar=KÜHLES WASSER	zwei unabhängige Laute	SELECTED_ALLOGRAPHIC_PAIR
CKH	ckh	LEITUNG ODER FILTERPFAD	canalis; per pannum	9	14	chckhal=LEITUNGSSTELLE|chckhy=LEITUNG|sheckhal=MITTLERE STELLE|cheeckhody=BEENDEN|sheckhy=BEHANDLUNGSSTELLE|lcheckhedy=SEIHEN|shckhedy=FILTERN|qockhey=BEHANDLUNGSSTELLE	Wärme	SELECTED
L	lch|lo|ld	BECKEN, UNTERLAUF ODER ABFLUSS	lacus; vas; deorsum	21	33	ldy=ABZIEHEN|lchy=KLAR ABZIEHEN|lchedar=KÜHLES WASSER|oldy=ANWENDUNG BEENDEN|olchedy=ABSTELLEN|lo=UNTERER ABLAUF|dalchdy=RESTSTELLE|lchedal=UNTERES BECKEN	rein grammatische Richtung	SELECTED_CONCRETE
D	dch|dal|dair	ABZIEHEN ODER ABTRENNEN	detrahe; cola; effunde	18	32	chdal=ABNAHMESTELLE|chodaly=BLÜHSTELLE|dchedy=NACHSPÜLEN|dalchdy=RESTSTELLE|shecthedchy=AUFTRAGEN|lchedal=UNTERES BECKEN|chedchy=WARMES WASSER|dchey=WURZEL	zweite Reihenfolge	SELECTED
OT_QOT	ot|qot	ZWEITER ODER ZEITLICHER DURCHGANG	iterum; secundo; per tempus	16	26	otchor=EINZELPOSTEN|qotedaiin=GEFÄSSMASS|otol=HANDVOLL|otchedy=GLEICH MISCHEN|otaiin=GLEICHE DAUER|oteey=BADEZUSATZ|otchdy=ABZIEHEN|sotodan=HUSTEN	zufälliger Vorsatz	SELECTED_TIME_PROCESS
Y_DY	y|dy	ZUBEREITUNG ODER BEHANDELTER ZUSTAND	preparatum; fiat	95	211	okeey=TEMPERIEREN|sheedy=WASCHEN|ldy=ABZIEHEN|okchedy=ABKÜHLEN|okey=WARMES WASSER|lchy=KLAR ABZIEHEN|chary=ABKÜHLEN|chodaly=BLÜHSTELLE	bloßes Wortende	SELECTED_CONCRETE_RESULT
CTH	cth	REIFE- ODER PRÜFGRAD	signum; maturum; probetur	8	15	shecthedchy=AUFTRAGEN|qcthey=GLEICHER GRAD|octheol=TEMPERATURGRAD|qoctholy=SAFT PRESSEN|shecthy=WARMES WASSER|cthoor=REINIGEN|cthy=PRÜFZUSTAND|cthaiin=ZERKLEINERUNGSGRAD	Sammelverb	SELECTED_STATE
K	kain|kaiin|keey	GEFÄSS, PORTION ODER KONSISTENZ	vas; olla; portio	10	33	okeey=TEMPERIEREN|okain=PORTION ZUGEBEN|solkeey=BECKEN BEREITEN|solkaiin=FILTERTUCH|ykain=ZERSTOSSENE PORTION|olkain=BECKENFÜLLUNG|kain=PORTION|okaiin=FLÜSSIGKEITSMASS	reiner Lautwert	KEEP_LOOSE
P_F	pch|cph|cfh|fyd	PRESSEN ODER FILTERN	preme; cola; per pannum	5	5	pchedy=ABZIEHEN|shfydaiin=AUSZUG|pchedal=FÜLLSTELLE|cfhy=AUSWRINGEN|cphy=SEIHEN	Schreiberornament	SELECTED
T	taiin|tch|shedal	ZEIT ODER WÄRMEPHASE	tempus; hora; tepidum	13	41	otchor=EINZELPOSTEN|oltchy=ERWÄRMEN|dchedy=NACHSPÜLEN|tchody=ABKÜHLEN|aiin=MASS|otchedy=GLEICH MISCHEN|otaiin=GLEICHE DAUER|otchdy=ABZIEHEN	bloße Initialvariante	KEEP_LOOSE
O_WATER_TEST	o	NICHT ALS ALLEINIGES WASSER GEWÄHLT	aqua; acqua	88	190	okeey=TEMPERIEREN|okchedy=ABKÜHLEN|chokcheo=WEIN|okey=WARMES WASSER|chodaly=BLÜHSTELLE|otchor=EINZELPOSTEN|qokokchy=VERWAHREN|rol=VOR DEM KÜHLEN	AIR erklärt Flusskarten besser; OL und OR bleiben atomar	LOSES_TO_AIR
