rank	stem_or_family	concrete_semantic_nucleus_de	positional_or_allograph_rule	cards	events	pages	example_kernels	strength	hardest_attack	selected_in_best_model
11	E-GRADE	Nässegrad: spülen, baden, durchnässen	nur in OK-E^n-DY; 1/2/3 e	3	19	f81v|f82r|f83r	qokeedy|qokedy|qokeeedy	STRONG_SERIES	qokedy=spülen, qokeedy=eintauchen/baden, qokeeedy=vollständig durchnässen; genau diese Dreierreihe ist der stärkste interne Angriffstest.	YES
12	LCH/CHED	Flüssigkeit ziehen, umfüllen oder ablassen	längere Transferwurzel statt L oder CH	20	34	f81v|f82r|f83r	okchedy|lchy|lchedar|dchedy|olchedy|dalchdy|lchedal|otchedy|chedchy|lcheey|pchedy|schedair	MEDIUM	lcheey und qolchey erzwingen breites Umfüllen/Benetzen statt nur Seihen.	YES
13	CKH/KCH/FH/PH	Tuch, Filter oder enger Lauf	materieller Durchlasskern	13	18	f11r|f56r|f81v|f82r|f83r	chckhal|chckhy|sheckhal|sshkchdy|kchal|cheeckhody|cfhy|sheckhy|lcheckhedy|shckhedy|cphy|qockhey	MEDIUM	chckhal und sheckhal sind schwach; als Filter-/Kanallokus lesbar, aber nicht als Werkzeugname sicher.	YES
14	SHE	Waschwasser oder spülen	nicht das einzelne S als Stamm	16	21	f11r|f81v|f82r|f83r	sheedy|lshedy|shecthedchy|sheckhal|dsheol|rshedy|sheey|rsheal|shedal|shey|sheckhy|shecthy	MEDIUM	shey/sheey werden physisch als Waschflüssigkeit/Klärung gelesen, nicht als Satz- oder Kontrollmarker.	YES
15	CTH/TCH	zerstoßen, rühren oder materiell bearbeiten	OT+CHO wird vor TCH segmentiert	10	17	f10r|f11r|f55v|f82r|f83r	oltchy|tchody|shecthedchy|qcthey|octheol|qoctholy|shecthy|cthoor|cthy|cthaiin	EXPLORATORY	e0b630… ist mehrdeutig zwischen Zerkleinern, Erwärmen und Reifeprüfung; daher nur 'Material bearbeiten'.	YES
16	CHY	zubereitete Dosis oder Auflage	positionsgebundener Endkern	8	10	f10r|f11r|f55v|f56r|f82r|f83r	lchy|qokokchy|oltchy|shecthedchy|chedchy|okchy|qotchy|kchy	EXPLORATORY	qokokchy und qotchy tragen Dosis/Präparat; die genaue Darreichungsart bleibt lokal.	YES
17	OT	danach, zweite Gabe oder Einwirkzeit	konkrete Reihen-/Zeitangabe	15	25	f10r|f11r|f56r|f81v|f82r|f83r	otchor|qotedaiin|otol|otchedy|otaiin|oteey|otchdy|otytchol|otal|qotchy|otar|otedy	MEDIUM	otchor auf der Warzenstelle ist hart; gelesen wird die zweite Pflanzenportion für dieses Ziel.	YES
18	AR	gießen, überführen oder Abfluss	AIR wird als längerer Kern zuerst gelesen	10	14	f10r|f55v|f56r|f81v|f82r|f83r	chary|lchedar|lar|cheedar|qokar|dar|cheoar|skar|otar|kchoar	MEDIUM	lar=Abfluss schließen ist ein negierter/gestoppter Transfer; der Flussnukleus bleibt erhalten.	YES
19	EE	klar, warm oder vollständig bereitet	physischer Grad, keine abstrakte Zustandsklasse	18	38	f55v|f56r|f81v|f82r|f83r	okeey|sheedy|solkeey|cheeky|cheedar|olkeedy|oteey|lcheey|qokeedy|cheeety|sheey|qokeedal	EXPLORATORY	EE schwankt zwischen klar, warm und vollständig bereitet; nur physischer Bereitungsgrad, niedrige Priorität.	YES
20	LSH	Spülwasser einlassen oder Spülung beginnen	längere Form blockiert SHO=Pflanze	3	4	f81v|f82r	lshedy|ls|lsho	EXPLORATORY	Nur wenige Karten, aber lsho/lshedy/ls tragen Einlassen oder Spülbeginn konkret.	YES
