event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface	selected_segmentation	card_default_de	contextual_reading_de	concrete_fragment_de
27	E027	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	chol	OL	FLÜSSIGKEIT	PFLANZENAUSZUG	pflanzenauszug
28	E028	H2	f10r	f10r.8	F004	H2-S002	dec401773c1f0347793d	cholor	OL+OR	VORANSATZ	VORIGE ARZNEI	vorige arznei
29	E029	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	chol	OL	FLÜSSIGKEIT	PFLANZENAUSZUG	pflanzenauszug
30	E030	H2	f10r	f10r.8	F004	H2-S002	2f1c5e56e8f0ff459065	daiin	A+IIN	MASS	MASS	mass
31	E031	H2	f10r	f10r.8	F004	H2-S002	4d4559019a961b834aa1	dar	AR	VORANSATZ	VORIGE ARZNEI	vorige arznei
32	E032	H2	f10r	f10r.9	F005	H2-S003	27d97af8c96eb056c2e6	oykchor	OYKCH+OR	GLASIERTES GEFÄSS	GLASIERTES GEFÄSS	glasiertes gefäss
33	E033	H2	f10r	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	shor	OR	ANSATZ	ARZNEIANSATZ	arzneiansatz
34	E034	H2	f10r	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	chor	OR	ANSATZ	ARZNEIANSATZ	arzneiansatz
35	E035	H2	f10r	f10r.9	F005	H2-S003	b921a237be883a820352	chy	Y	ZUBEREITUNG	ARZNEIZUBEREITUNG	arzneizubereitung
36	E036	H2	f10r	f10r.9	F005	H2-S003	409de02322e7b2ca0c62	kaiiin	WHOLE(KAIIIN:SALBE)	SALBE	SALBE	salbe
37	E037	H2	f10r	f10r.9	F005	H2-S003	b921a237be883a820352	dy	Y	ZUBEREITUNG	ARZNEIZUBEREITUNG	arzneizubereitung
38	E038	H2	f10r	f10r.9	F005	H2-S003	834825c61d048a6b5628	chodaiin	WHOLE(CHODAIIN:GESCHWÜR)	GESCHWÜR	GESCHWÜR	geschwür
39	E039	H3	f11r	f11r.1	F006	H3-S001	953ad19b79517fc8a211	tshol	TSH+OL	BLÜTE	BLÜTE	blüte
40	E040	H3	f11r	f11r.1	F006	H3-S001	428a5e3662aa57b4b256	schoal	WHOLE(SCHOAL:WEIN)	WEIN	WEIN	wein
41	E041	H3	f11r	f11r.1	F006	H3-S001	bdad9f9ea8b80f141496	cfhy	WHOLE(CFHY:AUSWRINGEN)	AUSWRINGEN	AUSWRINGEN	auswringen
42	E042	H3	f11r	f11r.1	F006	H3-S001	a8af08e69edab8e54f15	shfydaiin	WHOLE(SHFYDAIIN:AUSZUG)	AUSZUG	AUSZUG	auszug
43	E043	H3	f11r	f11r.1	F006	H3-S001	deb377381ceaf55ea310	cphy	WHOLE(CPHY:SEIHEN)	SEIHEN	SEIHEN	seihen
44	E044	H3	f11r	f11r.1	F006	H3-S001	b5df9126607030b95175	shey	CH/SH+EE+Y	KLARGRAD	KLARER AUSZUG	klarer auszug
45	E045	H3	f11r	f11r.1	F006	H3-S001	2e2027b1951d79911e24	tchody	TCHO+DY	ABKÜHLEN	ABKÜHLEN	abkühlen
46	E046	H3	f11r	f11r.1	F007	H3-S002	577c03a928d674d420d7	shoyty	SH+O+Y+TY	BLÜTE ZURÜCKBEHALTEN	BLÜTE ZURÜCKBEHALTEN	blüte zurückbehalten
47	E047	H3	f11r	f11r.4	F008	H3-S003	d665560c8ff80799a82c	dchol	D+CH+OL	ABGENOMMENER POSTEN	ABGENOMMENER POSTEN	abgenommenen Posten nutzen
48	E048	H3	f11r	f11r.4	F008	H3-S003	b921a237be883a820352	chy	Y	ZUBEREITUNG	ARZNEIZUBEREITUNG	arzneizubereitung
49	E049	H3	f11r	f11r.4	F008	H3-S003	b2812c8283c3a62438bd	kchy	WHOLE(KCHY:TRANK)	TRANK	TRANK	trank
50	E050	H3	f11r	f11r.4	F008	H3-S003	b921a237be883a820352	dy	Y	ZUBEREITUNG	ARZNEIZUBEREITUNG	arzneizubereitung
51	E051	H3	f11r	f11r.4	F008	H3-S003	2f1c5e56e8f0ff459065	daiin	A+IIN	MASS	MASS	mass
52	E052	H3	f11r	f11r.7	F009	H3-S004	a48efd6c4491a046ba78	qotchy	WHOLE(QOTCHY:BLÜTE)	BLÜTE	BLÜTE	blüte
53	E053	H3	f11r	f11r.7	F009	H3-S004	322281bd391aa621f568	okchol	OKCH+OL	ÖL	ÖL	öl
54	E054	H3	f11r	f11r.7	F009	H3-S004	e0b630cb1b5df5e7105b	cthy	CTH+Y	PRÜFZUSTAND	PFLANZENREIFE	pflanzenreife
55	E055	H3	f11r	f11r.7	F009	H3-S004	b921a237be883a820352	dy	Y	ZUBEREITUNG	ARZNEIZUBEREITUNG	arzneizubereitung
56	E056	H4	f55v	f55v.5	F010	H4-S001	b5fcea1eaed06b2f2291	qokaiin	QOK+A+IIN	FLÜSSIGKEITSMASS	ARZNEIDOSIS	arzneidosis
57	E057	H4	f55v	f55v.5	F010	H4-S001	2f1c5e56e8f0ff459065	chaiin	A+IIN	MASS	MASS	mass
58	E058	H4	f55v	f55v.5	F010	H4-S001	403c1592f918c8f23b88	ykain	YK+AIN	ZERSTOSSENE PORTION	ZERSTOSSENE PORTION	zerstossene portion
59	E059	H4	f55v	f55v.5	F010	H4-S001	d929a14ec45749b2e805	ykan	WHOLE(YKAN:WEIN)	WEIN	WEIN	wein
60	E060	H4	f55v	f55v.5	F010	H4-S001	97cc9ac109148723c472	ody	O+DY	VERSCHLIESSEN	VERSCHLIESSEN	verschließen
61	E061	H4	f55v	f55v.5	F011	H4-S002	2f1c5e56e8f0ff459065	daiin	A+IIN	MASS	MASS	mass
62	E062	H4	f55v	f55v.5	F011	H4-S002	6f7ff8287eddf4da9fdb	chedy	CH+E+DY	RÜHREN	RÜHREN	rühren
63	E063	H4	f55v	f55v.5	F011	H4-S002	e026af581c99322fbd46	talam	WHOLE(TALAM:AUSZUG)	AUSZUG	AUSZUG	auszug
64	E064	H4	f55v	f55v.11	F012	H4-S003	f7dc90b2c31fd341f0a4	ykaiin	WHOLE(YKAIIN:WUNDE)	WUNDE	WUNDE	wunde
65	E065	H4	f55v	f55v.11	F012	H4-S003	807591efc3d3f7ddbfab	cheoar	CHEO+AR	AUSZUG	AUSZUG	auszug
66	E066	H4	f55v	f55v.11	F012	H4-S003	2c1a5fd92b9e3c762242	cheeky	CH+EE+KY	WARMZUSTAND	WARM ANWENDEN	warm anwenden
67	E067	H4	f55v	f55v.11	F012	H4-S003	1b1ffdd869fb1429ad03	oldy	OL+DY	ANWENDUNG BEENDEN	ANWENDUNG BEENDEN	Anwendung beenden
68	E068	H4	f55v	f55v.11	F013	H4-S004	2f1c5e56e8f0ff459065	aiin	A+IIN	MASS	MASS	mass
69	E069	H4	f55v	f55v.11	F013	H4-S004	308e8ea2d5d190c498e8	okal	OK+AL	STELLE BESCHICKEN	AUF DIE HAUT BRINGEN	auf die haut bringen
70	E070	H4	f55v	f55v.11	F013	H4-S004	204b04837409088c48f9	oltchy	WHOLE(OLTCHY:ERWÄRMEN)	ERWÄRMEN	ERWÄRMEN	erwärmen
71	E071	H4	f55v	f55v.11	F013	H4-S004	7a4bb8136330ee4e6e56	or	OR	ANSATZ	ARZNEIANSATZ	arzneiansatz
72	E072	H4	f55v	f55v.11	F013	H4-S004	b921a237be883a820352	y	Y	ZUBEREITUNG	ARZNEIZUBEREITUNG	arzneizubereitung
73	E073	H4	f55v	f55v.11	F013	H4-S004	6afeb5c9ab9f6cbdea0d	orain	OR+AIN	FRISCH AUFLEGEN	FRISCH AUFLEGEN	frisch auflegen
74	E074	H5	f56r	f56r.5	F014	H5-S001	b9d7b6d68209a9019e7a	chochor	CHOCH+OR	BILDPFLANZE	BILDPFLANZE	bildpflanze
75	E075	H5	f56r	f56r.5	F014	H5-S001	2cc054357a929df85f64	cho	CH/SH+O	KRAUT	KRAUT	kraut
76	E076	H5	f56r	f56r.5	F014	H5-S001	0ec6a45e2950e8e7061d	chodaly	CH+OD+AL+Y	BLÜHSTELLE	BLÜHSTELLE	blühstelle
77	E077	H5	f56r	f56r.5	F014	H5-S001	2f1c5e56e8f0ff459065	daiin	A+IIN	MASS	MASS	mass
78	E078	H5	f56r	f56r.7	F015	H5-S001	2cc054357a929df85f64	sho	CH/SH+O	KRAUT	KRAUT	kraut
79	E079	H5	f56r	f56r.7	F015	H5-S001	893c570f3fa3fce99711	kchol	KCH+OL	AUFLAGE	AUFLAGE	auflage
80	E080	H5	f56r	f56r.7	F015	H5-S001	10488b911aae52b3b334	otchor	QOT+CH+OR	EINZELPOSTEN	EINZELNE PFLANZENPORTION	einzelne pflanzenportion
81	E081	H5	f56r	f56r.7	F015	H5-S001	276a7c2d74d1143446f4	choky	QOK+Y	ANWENDEN	ANWENDEN	anwenden
82	E082	H5	f56r	f56r.7	F015	H5-S001	dd0ecaf5e27d81befffc	dal	AL	BEHANDLUNGSSTELLE	HAUTSTELLE	hautstelle
83	E083	H5	f56r	f56r.8	F016	H5-S002	d665560c8ff80799a82c	schol	D+CH+OL	ABGENOMMENER POSTEN	ABGENOMMENER POSTEN	abgenommenen Posten nutzen
84	E084	H5	f56r	f56r.8	F016	H5-S002	c10aec6d4dd877ec8bd8	choy	WHOLE(CHOY:WASCHEN)	WASCHEN	WASCHEN	waschen
85	E085	H5	f56r	f56r.8	F016	H5-S002	276a7c2d74d1143446f4	choky	QOK+Y	ANWENDEN	ANWENDEN	anwenden
86	E086	H5	f56r	f56r.8	F016	H5-S002	95987d6f198d6d247511	cheeckhody	CHEECKHO+DY	BEENDEN	BEENDEN	beenden
87	E087	H5	f56r	f56r.12	F017	H5-S003	ad3581d3144f69a5912d	sh	SH	BLÜTENSTIEL	BLÜTENSTIEL	blütenstiel
88	E088	H5	f56r	f56r.12	F017	H5-S003	2cc054357a929df85f64	cho	CH/SH+O	KRAUT	KRAUT	kraut
89	E089	H5	f56r	f56r.12	F017	H5-S003	b74e9e65637b7c8538dd	kchey	KCH+E+Y	ZERREIBEN	ZERREIBEN	zerreiben
90	E090	H5	f56r	f56r.12	F017	H5-S003	1322bc176443fc2a8a86	qokokchy	WHOLE(QOKOKCHY:VERWAHREN)	VERWAHREN	VERWAHREN	verwahren
91	E091	H5	f56r	f56r.13	F018	H5-S004	9ad66e67803a12e745de	okchy	OK+CH+Y	NACHANSATZ	ZWEITER AUSZUG	zweiter auszug
92	E092	H5	f56r	f56r.13	F018	H5-S004	087a47b5423438cd6b6a	chokcheo	WHOLE(CHOKCHEO:WEIN)	WEIN	WEIN	wein
93	E093	H5	f56r	f56r.13	F018	H5-S004	75a523fcf039b006f97b	kchal	K+CH+AL	FILTERSTELLE	FILTERSTELLE	filterstelle
94	E094	H5	f56r	f56r.18	F019	H5-S005	2cc054357a929df85f64	sho	CH/SH+O	KRAUT	KRAUT	kraut
95	E095	H5	f56r	f56r.18	F019	H5-S005	9ad66e67803a12e745de	chokchy	OK+CH+Y	NACHANSATZ	ZWEITER AUSZUG	zweiter auszug
96	E096	H5	f56r	f56r.18	F019	H5-S005	c71c72da4e09e0833392	kchoar	K+CH+O+AR	BRUSTTRANK	BRUSTTRANK	brusttrank
97	E097	H5	f56r	f56r.18	F019	H5-S005	61a075bc54793c1c781f	sotodan	WHOLE(SOTODAN:HUSTEN)	HUSTEN	HUSTEN	husten
98	E098	H5	f56r	f56r.19	F020	H5-S006	faf321940aed922846a9	otchey	OT+CH+E+Y	DOSIERTE GABE	DOSIERTE GABE	dosiert geben
99	E099	H5	f56r	f56r.19	F020	H5-S006	9bb7122b386ebbc6138f	keol	KE+OL	JE GABE	JE GABE	je gabe
100	E100	H5	f56r	f56r.19	F020	H5-S006	2f1c5e56e8f0ff459065	daiin	A+IIN	MASS	MASS	mass
101	E101	B1	f81v	f81v.2	F021	B1-S001	7db18b2f0fb7ed0fcfd3	qokedy	QOK+E+DY	SPÜLEN	SPÜLEN	spülen
102	E102	B1	f81v	f81v.2	F022	B1-S002	b5fcea1eaed06b2f2291	okaiin	QOK+A+IIN	FLÜSSIGKEITSMASS	BADWASSER-MASS	badwasser-mass
103	E103	B1	f81v	f81v.2	F022	B1-S002	22fb87a5a83e5c3fb510	kair	K+AIR	RÜCKSTROM	RÜCKSTROM	rückstrom
104	E104	B1	f81v	f81v.2	F022	B1-S002	308e8ea2d5d190c498e8	okal	OK+AL	STELLE BESCHICKEN	BECKEN BESCHICKEN	becken beschicken
105	E105	B1	f81v	f81v.2	F022	B1-S002	4d4559019a961b834aa1	sar	AR	VORANSATZ	VORIGES BADWASSER	voriges badwasser
106	E106	B1	f81v	f81v.2	F022	B1-S002	dcda95c81a5460feb191	ol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
107	E107	B1	f81v	f81v.2	F022	B1-S002	9da1b6ac2c929daea697	kain	K+AIN	PORTION	PORTION	portion
108	E108	B1	f81v	f81v.2	F022	B1-S002	94df4847b7b16c98394a	olkain	OL+K+AIN	BECKENFÜLLUNG	BECKENFÜLLUNG	beckenfüllung
109	E109	B1	f81v	f81v.2	F022	B1-S002	dd0ecaf5e27d81befffc	al	AL	BEHANDLUNGSSTELLE	KÖRPER- ODER BECKENSTELLE	körper- oder beckenstelle
110	E110	B1	f81v	f81v.2	F022	B1-S002	dcda95c81a5460feb191	ol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
111	E111	B1	f81v	f81v.2	F022	B1-S002	1496a731803a9f48d2e1	rol	R+OL	VOR DEM KÜHLEN	VOR DEM KÜHLEN	vor dem kühlen
112	E112	B1	f81v	f81v.2	F022	B1-S002	0f18de177ed7c878bf95	dl	D+L	BADEZUSATZ	BADEZUSATZ	badezusatz
113	E113	B1	f81v	f81v.7	F023	B1-S002	dec401773c1f0347793d	olor	OL+OR	VORANSATZ	VORIGES BADWASSER	voriges badwasser
114	E114	B1	f81v	f81v.7	F023	B1-S002	dcda95c81a5460feb191	ol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
115	E115	B1	f81v	f81v.7	F023	B1-S002	4eab1841ed655c20a348	sheckhal	SH+ECKH+AL	MITTLERE STELLE	MITTLERE STELLE	mittlere stelle
116	E116	B1	f81v	f81v.7	F023	B1-S002	2f1c5e56e8f0ff459065	daiin	A+IIN	MASS	MASS	mass
117	E117	B1	f81v	f81v.7	F023	B1-S002	93f69c38fdedee1598e9	qokeedal	QOK+EE+D+AL	EINGETAUCHTE STELLE	EINGETAUCHTE STELLE	eingetauchte stelle
118	E118	B1	f81v	f81v.7	F023	B1-S002	2f1c5e56e8f0ff459065	daiin	A+IIN	MASS	MASS	mass
119	E119	B1	f81v	f81v.7	F023	B1-S002	2cc8bb3c2af19607888f	chckhy	CH/SH+CKH+Y	LEITUNG	LEITUNG	leitung
120	E120	B1	f81v	f81v.7	F023	B1-S002	259b2b3b0bf859882e2c	schedy	D/S/T+CH+E+DY	NACHSPÜLEN	NACHSPÜLEN	nachspülen
121	E121	B1	f81v	f81v.7	F024	B1-S003	dcda95c81a5460feb191	qol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
122	E122	B1	f81v	f81v.17	F025	B1-S003	54e32e9c1414b20640e9	sshkchdy	SH+K+CH+DY	WARM HALTEN	WARM HALTEN	warm halten
123	E123	B1	f81v	f81v.17	F026	B1-S004	6f7ff8287eddf4da9fdb	chedy	CH+E+DY	RÜHREN	RÜHREN	rühren
124	E124	B1	f81v	f81v.17	F026	B1-S004	dcda95c81a5460feb191	ol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
125	E125	B1	f81v	f81v.17	F026	B1-S004	bc4f1f5c006c74a4d26d	shedy	CH/SH/T+E+DY	RUHEN LASSEN	RUHEN LASSEN	ruhen lassen
126	E126	B1	f81v	f81v.17	F027	B1-S005	28ffbc88b97772a75f1e	qolchedy	OL+CH+E+DY	ABSTELLEN	ABSTELLEN	abstellen
127	E127	B1	f81v	f81v.17	F028	B1-S006	1645e612504fcef59ced	qokain	OK+AIN	PORTION ZUGEBEN	PORTION ZUGEBEN	eine Portion zugeben
128	E128	B1	f81v	f81v.17	F028	B1-S006	2cc8bb3c2af19607888f	shckhy	CH/SH+CKH+Y	LEITUNG	LEITUNG	leitung
129	E129	B1	f81v	f81v.17	F028	B1-S006	0f18de177ed7c878bf95	dl	D+L	BADEZUSATZ	BADEZUSATZ	badezusatz
130	E130	B1	f81v	f81v.17	F028	B1-S006	4da0f0f7b5fc7ac20067	ral	R+AL	KÜHLSTELLE	KÜHLSTELLE	kühlstelle
131	E131	B1	f81v	f81v.18	F029	B1-S007	87411f84689b4f93a303	qokchdy	QOK+CH+DY	ERWÄRMEN	ERWÄRMEN	erwärmen
132	E132	B1	f81v	f81v.18	F030	B1-S008	b921a237be883a820352	chey	Y	ZUBEREITUNG	BADEZUBEREITUNG	badezubereitung
133	E133	B1	f81v	f81v.18	F030	B1-S008	dcda95c81a5460feb191	ol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
134	E134	B1	f81v	f81v.18	F030	B1-S008	d904bf7b044dd3922781	cheky	CH+E+KY	MILDE WÄRME	MILDE WÄRME	milde wärme
135	E135	B1	f81v	f81v.18	F030	B1-S008	dcda95c81a5460feb191	ol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
136	E136	B1	f81v	f81v.18	F030	B1-S008	bc4f1f5c006c74a4d26d	shedy	CH/SH/T+E+DY	RUHEN LASSEN	RUHEN LASSEN	ruhen lassen
137	E137	B1	f81v	f81v.18	F031	B1-S009	7db18b2f0fb7ed0fcfd3	qokedy	QOK+E+DY	SPÜLEN	SPÜLEN	spülen
138	E138	B1	f81v	f81v.18	F032	B1-S010	7db18b2f0fb7ed0fcfd3	qokedy	QOK+E+DY	SPÜLEN	SPÜLEN	spülen
139	E139	B1	f81v	f81v.18	F033	B1-S011	2cc8bb3c2af19607888f	chckhy	CH/SH+CKH+Y	LEITUNG	LEITUNG	leitung
140	E140	B1	f81v	f81v.18	F033	B1-S011	276a7c2d74d1143446f4	qoky	QOK+Y	ANWENDEN	ANWENDEN	anwenden
141	E141	B1	f81v	f81v.21	F034	B1-S012	be0974b366c981dc1eef	lsho	WHOLE(LSHO:SPÜLUNG BEGINNEN)	SPÜLUNG BEGINNEN	SPÜLUNG BEGINNEN	spülung beginnen
142	E142	B1	f81v	f81v.21	F034	B1-S012	08bd5ca0c2ad137a056d	qokey	QOK+E+Y	WARMES WASSER	WARMES WASSER	warmes wasser
143	E143	B1	f81v	f81v.21	F034	B1-S012	2e7e89e0bd12b999c280	lshedy	L+SH+E+DY	WASCHGANG	WASCHGANG	waschen
144	E144	B1	f81v	f81v.21	F035	B1-S013	2e7e89e0bd12b999c280	lshedy	L+SH+E+DY	WASCHGANG	WASCHGANG	waschen
145	E145	B1	f81v	f81v.21	F036	B1-S014	6f7ff8287eddf4da9fdb	chedy	CH+E+DY	RÜHREN	RÜHREN	rühren
146	E146	B1	f81v	f81v.21	F036	B1-S014	c205570c49d4d93c23d3	qolky	WHOLE(QOLKY:BEHANDLUNGSSTELLE)	BEHANDLUNGSSTELLE	KÖRPER- ODER BECKENSTELLE	körper- oder beckenstelle
147	E147	B1	f81v	f81v.21	F036	B1-S014	433713294b25b0a12f66	lchedal	LCHED+AL	UNTERES BECKEN	UNTERES BECKEN	unteres becken
148	E148	B1	f81v	f81v.21	F036	B1-S014	dcda95c81a5460feb191	qol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
149	E149	B1	f81v	f81v.21	F036	B1-S014	b6b654722e55729cc947	otar	OT+AR	UNTERER ABLAUF	UNTERER ABLAUF	unterer ablauf
150	E150	B1	f81v	f81v.24	F037	B1-S015	a7af89ab31ce5e247395	ytey	Y+T+E+Y	FÜLLEN	FÜLLEN	füllen
151	E151	B1	f81v	f81v.24	F037	B1-S015	07913ef9b1fb773cd325	okchedy	OK+CH+E+DY	ABKÜHLEN	ABKÜHLEN	abkühlen
152	E152	B1	f81v	f81v.24	F038	B1-S016	308e8ea2d5d190c498e8	qokal	OK+AL	STELLE BESCHICKEN	BECKEN BESCHICKEN	becken beschicken
153	E153	B1	f81v	f81v.24	F038	B1-S016	0275fbf14e07935b0a45	okeey	QOK+EE+Y	TEMPERIEREN	TEMPERIEREN	temperieren
154	E154	B1	f81v	f81v.24	F038	B1-S016	dcda95c81a5460feb191	qol	OL	FLÜSSIGKEIT	BADEWASSER	badewasser
155	E155	B1	f81v	f81v.24	F038	B1-S016	bc4f1f5c006c74a4d26d	cheedy	CH/SH/T+E+DY	RUHEN LASSEN	RUHEN LASSEN	ruhen lassen
156	E156	B1	f81v	f81v.24	F039	B1-S017	dd0ecaf5e27d81befffc	sal	AL	BEHANDLUNGSSTELLE	KÖRPER- ODER BECKENSTELLE	körper- oder beckenstelle
157	E157	B1	f81v	f81v.24	F039	B1-S017	a06244ef1f2b37ca44c1	teol	TE+OL	ERSTE ÖFFNUNG	ERSTE ÖFFNUNG	erste öffnung
158	E158	B1	f81v	f81v.24	F039	B1-S017	d225b7a7b95da7aee437	dchdy	DCH+DY	SEIHEN	SEIHEN	seihen
159	E159	B1	f81v	f81v.24	F040	B1-S018	b38d70daefd663d74625	ly	WHOLE(LY:FÜLLEN)	FÜLLEN	FÜLLEN	füllen
160	E160	B1	f81v	f81v.27	F041	B1-S018	74c76d589d44120f647b	dsheol	D+SH+E+OL	AUFTRAGEN	AUFTRAGEN	auftragen
161	E161	B1	f81v	f81v.27	F041	B1-S018	2c82523794dcb7d2b343	oiiin	O+IIIN	KLARGRAD	KLARES BADWASSER	klares badwasser
162	E162	B1	f81v	f81v.27	F041	B1-S018	3b70942557b3a40e8030	olkeedy	OL+K+EE+DY	ABSETZEN	ABSETZEN	absetzen lassen
163	E163	B1	f81v	f81v.27	F042	B1-S019	bc4f1f5c006c74a4d26d	tedy	CH/SH/T+E+DY	RUHEN LASSEN	RUHEN LASSEN	ruhen lassen
164	E164	B1	f81v	f81v.27	F043	B1-S020	d904bf7b044dd3922781	cheky	CH+E+KY	MILDE WÄRME	MILDE WÄRME	milde wärme
165	E165	B1	f81v	f81v.27	F043	B1-S020	d68bc8de3bcee09db23c	shckhedy	SH+CKH+E+DY	FILTERN	FILTERN	filtern
166	E166	B1	f81v	f81v.27	F044	B1-S021	dd0ecaf5e27d81befffc	chal	AL	BEHANDLUNGSSTELLE	KÖRPER- ODER BECKENSTELLE	körper- oder beckenstelle
167	E167	B2	f82r	f82r.2	F045	B2-S001	259b2b3b0bf859882e2c	dchedy	D/S/T+CH+E+DY	NACHSPÜLEN	NACHSPÜLEN	nachspülen
168	E168	B2	f82r	f82r.2	F046	B2-S002	28ffbc88b97772a75f1e	qolchedy	OL+CH+E+DY	ABSTELLEN	ABSTELLEN	abstellen
169	E169	B2	f82r	f82r.2	F047	B2-S003	1645e612504fcef59ced	qokain	OK+AIN	PORTION ZUGEBEN	PORTION ZUGEBEN	eine Portion zugeben
170	E170	B2	f82r	f82r.2	F047	B2-S003	b921a237be883a820352	dy	Y	ZUBEREITUNG	BADEZUBEREITUNG	badezubereitung
171	E171	B2	f82r	f82r.2	F047	B2-S003	7d25241b0e56c836372a	qokeedy	QOK+EE+DY	BADEN	BADEN	baden oder eintauchen
172	E172	B2	f82r	f82r.2	F048	B2-S004	308e8ea2d5d190c498e8	qokal	OK+AL	STELLE BESCHICKEN	BECKEN BESCHICKEN	becken beschicken
