event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display	semantic_segmentation	stable_concrete_nucleus_de	concrete_word_reading_de	contextual_event_reading_de	statement_continuation
21	E021	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	chy	y=Ansatz	Ansatz	Ansatz	Gib Olivenöl hinzu	LOCAL_SEQUENCE
22	E022	H2	f10r	f10r.6	F003	H2-S001	2f1c5e56e8f0ff459065	taiin	aiin=Maß	Maß	Maß	Nimm das örtlich vorgeschriebene Maß	LOCAL_SEQUENCE
23	E023	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	shy	y=Ansatz	Ansatz	Ansatz	Erwärme gelinde	LOCAL_SEQUENCE
24	E024	H2	f10r	f10r.8	F004	H2-S002	10488b911aae52b3b334	qotchor	otchor=zweite Auswahl	zweite Auswahl	zweite Auswahl	Nimm vor voller Blüte eine zweite Portion der Spitzen	LOCAL_SEQUENCE
25	E025	H2	f10r	f10r.8	F004	H2-S002	7a4bb8136330ee4e6e56	chor	or=Zubereitung	Zubereitung	Zubereitung	Führe den ersten Ansatz weiter	LOCAL_SEQUENCE
26	E026	H2	f10r	f10r.8	F004	H2-S002	497cbd9c7401810ff56b	otol	otol=Handvoll	Handvoll	Handvoll	Nimm eine Handvoll	LOCAL_SEQUENCE
27	E027	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	chol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	LOCAL_SEQUENCE
28	E028	H2	f10r	f10r.8	F004	H2-S002	dec401773c1f0347793d	cholor	ol=weiter + or=Zubereitung	weiter + Zubereitung	vorige Zubereitung	Nimm den vorherigen Posten hinzu	LOCAL_SEQUENCE
29	E029	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	chol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	LOCAL_SEQUENCE
30	E030	H2	f10r	f10r.8	F004	H2-S002	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Gib von beiden das gleiche örtliche Maß	LOCAL_SEQUENCE
31	E031	H2	f10r	f10r.8	F004	H2-S002	4d4559019a961b834aa1	dar	ar=aus	aus	aus demselben Ansatz	Vereinige die beiden Fraktionen	LOCAL_SEQUENCE
32	E032	H2	f10r	f10r.9	F005	H2-S003	27d97af8c96eb056c2e6	oykchor	oykchor=glasiertes Gefäß	glasiertes Gefäß	glasiertes Gefäß	Gib sie in ein glasiertes Gefäß	LOCAL_SEQUENCE
33	E033	H2	f10r	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	shor	or=Zubereitung	Zubereitung	Zubereitung	Führe die Mischung als Salbenansatz	LOCAL_SEQUENCE
34	E034	H2	f10r	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	chor	or=Zubereitung	Zubereitung	Zubereitung	Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten	LOCAL_SEQUENCE
35	E035	H2	f10r	f10r.9	F005	H2-S003	b921a237be883a820352	chy	y=Ansatz	Ansatz	Ansatz	Rühre bei kleinem Feuer	LOCAL_SEQUENCE
36	E036	H2	f10r	f10r.9	F005	H2-S003	409de02322e7b2ca0c62	kaiiin	kaiiin=weiche Salbe	weiche Salbe	weiche Salbe	Bis eine weiche Salbe entsteht	LOCAL_SEQUENCE
37	E037	H2	f10r	f10r.9	F005	H2-S003	b921a237be883a820352	dy	y=Ansatz	Ansatz	Ansatz	Bewahre sie bedeckt	LOCAL_SEQUENCE
38	E038	H2	f10r	f10r.9	F005	H2-S003	834825c61d048a6b5628	chodaiin	chodaiin=Geschwür	Geschwür	Geschwür	Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung	LOCAL_SEQUENCE
39	E039	H3	f11r	f11r.1	F006	H3-S001	953ad19b79517fc8a211	tshol	tshol=Blütenkraut	Blütenkraut	Blütenkraut	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze	LOCAL_SEQUENCE
40	E040	H3	f11r	f11r.1	F006	H3-S001	428a5e3662aa57b4b256	schoal	schoal=in Wein kochen	in Wein kochen	in Wein kochen	Koche sie in reinem Wein	LOCAL_SEQUENCE
41	E041	H3	f11r	f11r.1	F006	H3-S001	bdad9f9ea8b80f141496	cfhy	cfhy=durch Tuch wringen	durch Tuch wringen	durch Tuch wringen	Wring den Ansatz durch ein feines Tuch	LOCAL_SEQUENCE
42	E042	H3	f11r	f11r.1	F006	H3-S001	a8af08e69edab8e54f15	shfydaiin	shfydaiin=stehen lassen	stehen lassen	stehen lassen	Lass den Auszug stehen	LOCAL_SEQUENCE
43	E043	H3	f11r	f11r.1	F006	H3-S001	deb377381ceaf55ea310	cphy	cphy=nochmals seihen	nochmals seihen	nochmals seihen	Seihe ihn nochmals durch ein Tuch	LOCAL_SEQUENCE
44	E044	H3	f11r	f11r.1	F006	H3-S001	b5df9126607030b95175	shey	sh-/ch-=klar + ey=Wasser	klar + Wasser	klare Flüssigkeit	Warte, bis der örtlich verlangte klare Zustand erreicht ist	LOCAL_SEQUENCE
45	E045	H3	f11r	f11r.1	F006	H3-S001	2e2027b1951d79911e24	tchody	tcho=abkühlen + dy=Ende	abkühlen + Ende	abkühlen; Ende	Lass ihn abkühlen; damit endet der erste Posten	LOCAL_SEQUENCE
46	E046	H3	f11r	f11r.1	F007	H3-S002	577c03a928d674d420d7	shoyty	shoyty=Blütenanteil zurückhalten	Blütenanteil zurückhalten	Blütenanteil zurückhalten	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück	LOCAL_SEQUENCE
47	E047	H3	f11r	f11r.4	F008	H3-S003	d665560c8ff80799a82c	dchol	chol=vorigen Ansatz abnehmen	vorigen Ansatz abnehmen	vorigen Ansatz abnehmen	Nimm den ersten Auszug wieder auf	LOCAL_SEQUENCE
48	E048	H3	f11r	f11r.4	F008	H3-S003	b921a237be883a820352	chy	y=Ansatz	Ansatz	Ansatz	Nimm davon einen Anteil	LOCAL_SEQUENCE
49	E049	H3	f11r	f11r.4	F008	H3-S003	b2812c8283c3a62438bd	kchy	kchy=als Trank geben	als Trank geben	als Trank geben	Gib ihn als Trank	LOCAL_SEQUENCE
50	E050	H3	f11r	f11r.4	F008	H3-S003	b921a237be883a820352	dy	y=Ansatz	Ansatz	Ansatz	Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust	LOCAL_SEQUENCE
51	E051	H3	f11r	f11r.4	F008	H3-S003	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Gib ein kleines örtliches Maß	LOCAL_SEQUENCE
52	E052	H3	f11r	f11r.7	F009	H3-S004	a48efd6c4491a046ba78	qotchy	qotchy=zurückbehaltene Blüten	zurückbehaltene Blüten	zurückbehaltene Blüten	Nimm die zurückbehaltenen Blüten	LOCAL_SEQUENCE
53	E053	H3	f11r	f11r.7	F009	H3-S004	322281bd391aa621f568	okchol	okchol=Olivenöl	Olivenöl	Olivenöl	Erwärme sie in Olivenöl	LOCAL_SEQUENCE
54	E054	H3	f11r	f11r.7	F009	H3-S004	e0b630cb1b5df5e7105b	cthy	cthy=bereit	bereit	bereit	Warte, bis der örtliche Bereitschaftszustand erreicht ist	LOCAL_SEQUENCE
55	E055	H3	f11r	f11r.7	F009	H3-S004	b921a237be883a820352	dy	y=Ansatz	Ansatz	Ansatz	Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren	LOCAL_SEQUENCE
56	E056	H4	f55v	f55v.5	F010	H4-S001	b5fcea1eaed06b2f2291	qokaiin	ok=geben + aiin=Maß	geben + Maß	nach Maß geben	nach dem örtlichen Maß beziehungsweise als vorgeschriebene Dosis	LOCAL_SEQUENCE
57	E057	H4	f55v	f55v.5	F010	H4-S001	2f1c5e56e8f0ff459065	chaiin	aiin=Maß	Maß	Maß	das örtlich vorgeschriebene Maß	LOCAL_SEQUENCE
58	E058	H4	f55v	f55v.5	F010	H4-S001	403c1592f918c8f23b88	ykain	ykain=Blätter zerstoßen	Blätter zerstoßen	Blätter zerstoßen	Zerstoße breite Blätter der unbenannten Pflanze	LOCAL_SEQUENCE
59	E059	H4	f55v	f55v.5	F010	H4-S001	d929a14ec45749b2e805	ykan	ykan=Weißwein zugeben	Weißwein zugeben	Weißwein zugeben	Gib Weißwein hinzu	LOCAL_SEQUENCE
60	E060	H4	f55v	f55v.5	F010	H4-S001	97cc9ac109148723c472	ody	o=kühl lagern + dy=Ende	kühl lagern + Ende	kühl lagern; Ende	Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten	LOCAL_SEQUENCE
61	E061	H4	f55v	f55v.5	F011	H4-S002	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Miss eine Portion des Ansatzes ab	LOCAL_SEQUENCE
62	E062	H4	f55v	f55v.5	F011	H4-S002	6f7ff8287eddf4da9fdb	chedy	ch(e)d=rühren	rühren	rühren	Wring sie durch Leinwand und lass sie klar absetzen	LOCAL_SEQUENCE
63	E063	H4	f55v	f55v.5	F011	H4-S002	e026af581c99322fbd46	talam	talam=klaren Auszug verwahren	klaren Auszug verwahren	klaren Auszug verwahren	Verwahre den klaren Auszug; damit endet der Posten	LOCAL_SEQUENCE
64	E064	H4	f55v	f55v.11	F012	H4-S003	f7dc90b2c31fd341f0a4	ykaiin	ykaiin=Wunde waschen	Wunde waschen	Wunde waschen	Wasche damit eine unreine äußere Wunde	LOCAL_SEQUENCE
65	E065	H4	f55v	f55v.11	F012	H4-S003	807591efc3d3f7ddbfab	cheoar	ar=aus	aus	klarer Auszug	Verwende dazu den klaren Auszug	LOCAL_SEQUENCE
66	E066	H4	f55v	f55v.11	F012	H4-S003	2c1a5fd92b9e3c762242	cheeky	cheeky=vorgeschriebene Zeit	vorgeschriebene Zeit	vorgeschriebene Zeit	Einmal oder nach örtlicher Vorschrift	LOCAL_SEQUENCE
67	E067	H4	f55v	f55v.11	F012	H4-S003	1b1ffdd869fb1429ad03	oldy	ol=weiter + dy=Ende	weiter + Ende	weiterführen; Ende	Beende diesen Gebrauch	LOCAL_SEQUENCE
68	E068	H4	f55v	f55v.11	F013	H4-S004	2f1c5e56e8f0ff459065	aiin	aiin=Maß	Maß	Maß	Nimm ein örtliches Maß der zurückbehaltenen Blätter	LOCAL_SEQUENCE
69	E069	H4	f55v	f55v.11	F013	H4-S004	308e8ea2d5d190c498e8	okal	ok=geben + al=Stelle	geben + Stelle	an Stelle geben	Lege sie an die bezeichnete äußere Stelle	LOCAL_SEQUENCE
70	E070	H4	f55v	f55v.11	F013	H4-S004	204b04837409088c48f9	oltchy	oltchy=gelind erwärmen	gelind erwärmen	gelind erwärmen	Erwärme sie gelinde	LOCAL_SEQUENCE
71	E071	H4	f55v	f55v.11	F013	H4-S004	7a4bb8136330ee4e6e56	or	or=Zubereitung	Zubereitung	Zubereitung	Führe sie als zweiten Ansatz	LOCAL_SEQUENCE
72	E072	H4	f55v	f55v.11	F013	H4-S004	b921a237be883a820352	y	y=Ansatz	Ansatz	Ansatz	Mische sie mit Honig	LOCAL_SEQUENCE
73	E073	H4	f55v	f55v.11	F013	H4-S004	6afeb5c9ab9f6cbdea0d	orain	orain=warm auflegen	warm auflegen	warm auflegen	Lege den warmen Umschlag frisch auf	LOCAL_SEQUENCE
74	E074	H5	f56r	f56r.5	F014	H5-S001	b9d7b6d68209a9019e7a	chochor	ho=Pflanze + or=Zubereitung	Pflanze + Zubereitung	Pflanzenteil	Von der abgebildeten, unbenannten Pflanze	CONTINUES_ACROSS_LINE
75	E075	H5	f56r	f56r.5	F014	H5-S001	2cc054357a929df85f64	cho	ho=Pflanze	Pflanze	Pflanze	Sammle das ganze oberirdische Kraut an einem feuchten Standort	CONTINUES_ACROSS_LINE
76	E076	H5	f56r	f56r.5	F014	H5-S001	0ec6a45e2950e8e7061d	chodaly	chodaly=Blütebeginn	Blütebeginn	Blütebeginn	Nimm es zu Beginn der Blüte	CONTINUES_ACROSS_LINE
77	E077	H5	f56r	f56r.5	F014	H5-S001	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Nimm nur ein kleines örtliches Maß	CONTINUES_ACROSS_LINE
78	E078	H5	f56r	f56r.7	F015	H5-S001	2cc054357a929df85f64	sho	ho=Pflanze	Pflanze	Pflanze	Zerstoße die frischen klebrigen Blätter	CONTINUES_ACROSS_LINE
79	E079	H5	f56r	f56r.7	F015	H5-S001	893c570f3fa3fce99711	kchol	kchol=auflegen	auflegen	auflegen	Lege sie als Auflage auf	CONTINUES_ACROSS_LINE
80	E080	H5	f56r	f56r.7	F015	H5-S001	10488b911aae52b3b334	otchor	otchor=zweite Auswahl	zweite Auswahl	zweite Auswahl	Auf eine einzelne Warze oder ein Hühnerauge	CONTINUES_ACROSS_LINE
81	E081	H5	f56r	f56r.7	F015	H5-S001	276a7c2d74d1143446f4	choky	ok=geben + y=Ansatz	geben + Ansatz	Ansatz geben	Lass die Auflage nur kurz einwirken	CONTINUES_ACROSS_LINE
82	E082	H5	f56r	f56r.7	F015	H5-S001	dd0ecaf5e27d81befffc	dal	al=Stelle	Stelle	an der Stelle	An der örtlich bezeichneten Hautstelle	CONTINUES_ACROSS_LINE
83	E083	H5	f56r	f56r.8	F016	H5-S002	d665560c8ff80799a82c	schol	chol=vorigen Ansatz abnehmen	vorigen Ansatz abnehmen	vorigen Ansatz abnehmen	Nimm die Auflage wieder ab	LOCAL_SEQUENCE
84	E084	H5	f56r	f56r.8	F016	H5-S002	c10aec6d4dd877ec8bd8	choy	choy=mit Wasser waschen	mit Wasser waschen	mit Wasser waschen	Wasche die Stelle mit Wasser	LOCAL_SEQUENCE
85	E085	H5	f56r	f56r.8	F016	H5-S002	276a7c2d74d1143446f4	choky	ok=geben + y=Ansatz	geben + Ansatz	Ansatz geben	Wiederhole den Gebrauch nur, wenn er vertragen wird	LOCAL_SEQUENCE
86	E086	H5	f56r	f56r.8	F016	H5-S002	95987d6f198d6d247511	cheeckhody	cheeckho=äußerlich anwenden + dy=Ende	äußerlich anwenden + Ende	äußerlich anwenden; Ende	Beende die äußere Anwendung	LOCAL_SEQUENCE
87	E087	H5	f56r	f56r.12	F017	H5-S003	ad3581d3144f69a5912d	sh	sh=Pflanzenteil	Pflanzenteil	Pflanzenteil	Nimm vom übrigen Kraut die blühenden Stiele	LOCAL_SEQUENCE
88	E088	H5	f56r	f56r.12	F017	H5-S003	2cc054357a929df85f64	cho	ho=Pflanze	Pflanze	Pflanze	Trockne sie im Schatten	LOCAL_SEQUENCE
89	E089	H5	f56r	f56r.12	F017	H5-S003	b74e9e65637b7c8538dd	kchey	kchey=grob zerreiben	grob zerreiben	grob zerreiben	Zerreibe sie grob	LOCAL_SEQUENCE
90	E090	H5	f56r	f56r.12	F017	H5-S003	1322bc176443fc2a8a86	qokokchy	qokokchy=trocken verwahren	trocken verwahren	trocken verwahren	Verwahre sie trocken	LOCAL_SEQUENCE
91	E091	H5	f56r	f56r.13	F018	H5-S004	9ad66e67803a12e745de	okchy	okchy=frischer Auszug	frischer Auszug	frischer Auszug	Setze daraus einen schwachen Auszug an	LOCAL_SEQUENCE
92	E092	H5	f56r	f56r.13	F018	H5-S004	087a47b5423438cd6b6a	chokcheo	chokcheo=milder Wein	milder Wein	milder Wein	Nimm milden Wein als Medium	LOCAL_SEQUENCE
93	E093	H5	f56r	f56r.13	F018	H5-S004	75a523fcf039b006f97b	kchal	kchal=durch Tuch	durch Tuch	durch Tuch	Seihe ihn durch ein Tuch	LOCAL_SEQUENCE
94	E094	H5	f56r	f56r.18	F019	H5-S005	2cc054357a929df85f64	sho	ho=Pflanze	Pflanze	Pflanze	Gib Honig hinzu	LOCAL_SEQUENCE
95	E095	H5	f56r	f56r.18	F019	H5-S005	9ad66e67803a12e745de	chokchy	okchy=frischer Auszug	frischer Auszug	frischer Auszug	Erwärme gelinde	LOCAL_SEQUENCE
96	E096	H5	f56r	f56r.18	F019	H5-S005	c71c72da4e09e0833392	kchoar	kchoar=Brusttrank	Brusttrank	Brusttrank	Gib den Auszug als Brusttrank	LOCAL_SEQUENCE
97	E097	H5	f56r	f56r.18	F019	H5-S005	61a075bc54793c1c781f	sotodan	sotodan=gebrauchen	gebrauchen	gebrauchen	Gebrauche ihn bei trockenem Husten	LOCAL_SEQUENCE
98	E098	H5	f56r	f56r.19	F020	H5-S006	faf321940aed922846a9	otchey	otchey=Teil auswählen	Teil auswählen	Teil auswählen	Führe den ausgewählten Trankanteil als Gabe	LOCAL_SEQUENCE
99	E099	H5	f56r	f56r.19	F020	H5-S006	9bb7122b386ebbc6138f	keol	keol=je Gabe	je Gabe	je Gabe	Je Gabe	LOCAL_SEQUENCE
100	E100	H5	f56r	f56r.19	F020	H5-S006	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Nimm ein kleines örtliches Maß	LOCAL_SEQUENCE
101	E101	B1	f81v	f81v.2	F021	B1-S001	7db18b2f0fb7ed0fcfd3	qokedy	oke=spülen + dy=Ende	spülen + Ende	spülen; Ende	Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen	CONTINUES_ACROSS_LINE
102	E102	B1	f81v	f81v.2	F022	B1-S002	b5fcea1eaed06b2f2291	okaiin	ok=geben + aiin=Maß	geben + Maß	nach Maß geben	nach dem örtlichen Maß beziehungsweise als vorgeschriebene Dosis	CONTINUES_ACROSS_LINE
103	E103	B1	f81v	f81v.2	F022	B1-S002	22fb87a5a83e5c3fb510	kair	air=fließende Flüssigkeit	fließende Flüssigkeit	Rückstrom	den zurücklaufenden Strom	CONTINUES_ACROSS_LINE
104	E104	B1	f81v	f81v.2	F022	B1-S002	308e8ea2d5d190c498e8	okal	ok=geben + al=Stelle	geben + Stelle	an Stelle geben	Den aktiven Posten an der örtlich bezeichneten Station führen	CONTINUES_ACROSS_LINE
105	E105	B1	f81v	f81v.2	F022	B1-S002	4d4559019a961b834aa1	sar	ar=aus	aus	aus demselben Ansatz	Daraus, aus demselben Ansatz	CONTINUES_ACROSS_LINE
106	E106	B1	f81v	f81v.2	F022	B1-S002	dcda95c81a5460feb191	ol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	CONTINUES_ACROSS_LINE
107	E107	B1	f81v	f81v.2	F022	B1-S002	9da1b6ac2c929daea697	kain	ain=Portion	Portion	abgemessener Teil	Ein abgemessener Anteil	CONTINUES_ACROSS_LINE
108	E108	B1	f81v	f81v.2	F022	B1-S002	94df4847b7b16c98394a	olkain	olkain=unteres Becken	unteres Becken	unteres Becken	Das untere Becken	CONTINUES_ACROSS_LINE
109	E109	B1	f81v	f81v.2	F022	B1-S002	dd0ecaf5e27d81befffc	al	al=Stelle	Stelle	an der Stelle	Den aktiven Posten an der örtlich bezeichneten Station führen	CONTINUES_ACROSS_LINE
110	E110	B1	f81v	f81v.2	F022	B1-S002	dcda95c81a5460feb191	ol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	CONTINUES_ACROSS_LINE
111	E111	B1	f81v	f81v.2	F022	B1-S002	1496a731803a9f48d2e1	rol	rol=vor dem Abkühlen	vor dem Abkühlen	vor dem Abkühlen	Bevor es abkühlt	CONTINUES_ACROSS_LINE
112	E112	B1	f81v	f81v.2	F022	B1-S002	0f18de177ed7c878bf95	dl	dl=Badezusatz	Badezusatz	Badezusatz	Der vorbereitete Bade- oder Waschzusatz	CONTINUES_ACROSS_LINE
113	E113	B1	f81v	f81v.7	F023	B1-S002	dec401773c1f0347793d	olor	ol=weiter + or=Zubereitung	weiter + Zubereitung	vorige Zubereitung	Den vorigen recordlokalen Posten wieder aufnehmen	CONTINUES_ACROSS_LINE
114	E114	B1	f81v	f81v.7	F023	B1-S002	dcda95c81a5460feb191	ol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	CONTINUES_ACROSS_LINE
115	E115	B1	f81v	f81v.7	F023	B1-S002	4eab1841ed655c20a348	sheckhal	sheckhal=mäßige Menge	mäßige Menge	mäßige Menge	Eine mäßige Menge	CONTINUES_ACROSS_LINE
116	E116	B1	f81v	f81v.7	F023	B1-S002	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Den aktiven Posten nach der örtlichen Vorschrift bemessen	CONTINUES_ACROSS_LINE
117	E117	B1	f81v	f81v.7	F023	B1-S002	93f69c38fdedee1598e9	qokeedal	qokeedal=eingetauchter Teil	eingetauchter Teil	eingetauchter Teil	Der eingetauchte Teil	CONTINUES_ACROSS_LINE
118	E118	B1	f81v	f81v.7	F023	B1-S002	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Den aktiven Posten nach der örtlichen Vorschrift bemessen	CONTINUES_ACROSS_LINE
119	E119	B1	f81v	f81v.7	F023	B1-S002	2cc8bb3c2af19607888f	chckhy	ckhy=Durchlauf	Durchlauf	durch verbundenen Lauf	Durch die verbundenen Läufe	CONTINUES_ACROSS_LINE
120	E120	B1	f81v	f81v.7	F023	B1-S002	259b2b3b0bf859882e2c	schedy	che=ausspülen + dy=Ende	ausspülen + Ende	ausspülen; Ende	Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	CONTINUES_ACROSS_LINE
121	E121	B1	f81v	f81v.7	F024	B1-S003	dcda95c81a5460feb191	qol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	CONTINUES_ACROSS_LINE
122	E122	B1	f81v	f81v.17	F025	B1-S003	54e32e9c1414b20640e9	sshkchdy	sshkch=warm halten + dy=Ende	warm halten + Ende	warm halten; Ende	Halte es warm und beende den Schritt	CONTINUES_ACROSS_LINE
123	E123	B1	f81v	f81v.17	F026	B1-S004	6f7ff8287eddf4da9fdb	chedy	ch(e)d=rühren	rühren	rühren	Rühre, bis alles gleichmäßig vermischt ist	CONTINUES_ACROSS_LINE
124	E124	B1	f81v	f81v.17	F026	B1-S004	dcda95c81a5460feb191	ol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	CONTINUES_ACROSS_LINE
125	E125	B1	f81v	f81v.17	F026	B1-S004	bc4f1f5c006c74a4d26d	shedy	e=ruhen + dy=Ende	ruhen + Ende	ruhen; Ende	Lasse es bis zur Bereitschaft stehen und beende den Schritt	CONTINUES_ACROSS_LINE
126	E126	B1	f81v	f81v.17	F027	B1-S005	28ffbc88b97772a75f1e	qolchedy	ol=weiter + dy=Ende	weiter + Ende	beiseitestellen; Ende	Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	CONTINUES_ACROSS_LINE
127	E127	B1	f81v	f81v.17	F028	B1-S006	1645e612504fcef59ced	qokain	ok=geben + ain=Portion	geben + Portion	Portion geben	Gib einen abgemessenen Anteil in das Gefäß	CONTINUES_ACROSS_LINE
128	E128	B1	f81v	f81v.17	F028	B1-S006	2cc8bb3c2af19607888f	shckhy	ckhy=Durchlauf	Durchlauf	durch verbundenen Lauf	Durch die verbundenen Läufe	CONTINUES_ACROSS_LINE
129	E129	B1	f81v	f81v.17	F028	B1-S006	0f18de177ed7c878bf95	dl	dl=Badezusatz	Badezusatz	Badezusatz	Der vorbereitete Bade- oder Waschzusatz	CONTINUES_ACROSS_LINE
130	E130	B1	f81v	f81v.17	F028	B1-S006	4da0f0f7b5fc7ac20067	ral	ral=abkühlen	abkühlen	abkühlen	Und lasse es abkühlen	CONTINUES_ACROSS_LINE
