stem_id	visible_stem_or_template	concrete_nucleus_de	word_kind	segmentation_policy	assigned_cards	assigned_events	visible_candidate_cards	visible_candidate_events	assigned_examples	excluded_counterexample_cards	attack_summary
AIR	air	fließende Flüssigkeit	NOUN	LONGEST_INDEPENDENT	4	4	5	5	chair|kair|okair|schedair	8aedd154964a78e555d6	dairydy bedeutet lokal sofort gebrauchen, nicht Fluss; deshalb Ganzwort.
EY	ey	Wasser	NOUN	LONGEST_INDEPENDENT	2	6	19	49	okey|qokey|cheey|shey	0275fbf14e07935b0a45|1bfd786e6b8b63734a59|42cdc187d5b9ffc60063|43eb9aa12959b4d5cdc9|5d5e0b288cf36864ed9d|5fca8fc3dee57e1d8c1f|65f320e75510b2f38182|6b89d6dd70635bc60fe0|92e43836d82f98bf02d3|a7af89ab31ce5e247395|b74e9e65637b7c8538dd|b921a237be883a820352	dchey=Wurzelteil, kchey=zerreiben und otchey=Anteil zeigen, dass EY nicht überall Flüssigkeit heißt.
DY	dy	Ende	NOUN	LONGEST_INDEPENDENT	37	89	39	118	sheedy|ldy|okchedy|qokchedy|oldy|dchedy|schedy|tchedy	6f7ff8287eddf4da9fdb|b921a237be883a820352	Die Endung liefert nur Abschluss; die konkrete Handlung muss aus dem vorangehenden Stamm oder Ganzwort kommen.
OKE	oke	spülen	VERB	DY_BOUND_LIQUID_CONTACT_SCALE	1	8	7	30	qokedy	0275fbf14e07935b0a45|08bd5ca0c2ad137a056d|7d25241b0e56c836372a|93f69c38fdedee1598e9|d25110e0d8488927278f|daf32e6db9e04413ce7f	Die Reihe gilt nur unmittelbar vor DY; okeey=temperieren verhindert eine globale OKE(E)-Regel.
OKEE	okee	baden	VERB	DY_BOUND_LIQUID_CONTACT_SCALE	1	10	5	20	qokeedy	0275fbf14e07935b0a45|93f69c38fdedee1598e9|d25110e0d8488927278f|daf32e6db9e04413ce7f	okeey=temperieren und solkeey=Station sind Gegenbeispiele außerhalb der OKEE+DY-Reihe.
OKEEE	okeee	durchtränken	VERB	DY_BOUND_LIQUID_CONTACT_SCALE	1	1	1	1	qokeeedy	NONE	Nur ein Beleg; als Intensitätsende nützlich, aber leicht ersetzbar.
L	l	abziehen	VERB	LONGEST_INDEPENDENT	1	2	71	124	ldy	00d8ebe3c68294eeac39|0ab57b7166de99db3a55|0ec6a45e2950e8e7061d|0f15effeca7ab10bb026|0f18de177ed7c878bf95|1496a731803a9f48d2e1|1b1ffdd869fb1429ad03|1bfd786e6b8b63734a59|204b04837409088c48f9|21ed2873b71e57269c08|232195d6ff2f326322f7|28ffbc88b97772a75f1e	Längere konkrete Ganzwörter haben Vorrang vor bloßer Teilstring-Ähnlichkeit.
LCH	lch	ablassen	VERB	LONGEST_INDEPENDENT	3	10	11	20	lchy|lchedal|lchedy	0f15effeca7ab10bb026|28ffbc88b97772a75f1e|2bc2ed2630dbdaaa6b59|5fca8fc3dee57e1d8c1f|ba8142680851f24c9ff2|c1db6b0a28d5cbb5d3d2|e2eb77ca9d9e1a8ba29a|f329f2051370174e9a38	Längere konkrete Ganzwörter haben Vorrang vor bloßer Teilstring-Ähnlichkeit.
LSH	lsh	waschen	VERB	LONGEST_INDEPENDENT	2	3	3	4	lshedy|lsho	daa1347f456415fe8737	Längere konkrete Ganzwörter haben Vorrang vor bloßer Teilstring-Ähnlichkeit.
CTHY	cthy	bereit	QUALITY	LONGEST_INDEPENDENT	1	7	2	8	checthy|cthy|shcthy	cb57b696b815fdef9cb7	Längere konkrete Ganzwörter haben Vorrang vor bloßer Teilstring-Ähnlichkeit.
CKHY	ckhy	Durchlauf	NOUN	LONGEST_INDEPENDENT	1	4	3	6	chckhy|shckhy	c1913ec4ff84148da6d3|f329f2051370174e9a38	Längere konkrete Ganzwörter haben Vorrang vor bloßer Teilstring-Ähnlichkeit.
CHD	ch(e)d	rühren	VERB	LONGEST_INDEPENDENT	1	11	7	19	chdy|chedy	00d8ebe3c68294eeac39|2bc2ed2630dbdaaa6b59|54e32e9c1414b20640e9|601b77449028deed39de|87411f84689b4f93a303|d225b7a7b95da7aee437	Längere konkrete Ganzwörter haben Vorrang vor bloßer Teilstring-Ähnlichkeit.
E	e	ruhen	VERB	LONGEST_INDEPENDENT	1	12	80	206	cheedy|shedy|tedy	0275fbf14e07935b0a45|03626ca94cb17800d767|07913ef9b1fb773cd325|087a47b5423438cd6b6a|08bd5ca0c2ad137a056d|0f15effeca7ab10bb026|1779decef17481ec2853|1bfd786e6b8b63734a59|259b2b3b0bf859882e2c|28ffbc88b97772a75f1e|2c1a5fd92b9e3c762242|2e7e89e0bd12b999c280	Längere konkrete Ganzwörter haben Vorrang vor bloßer Teilstring-Ähnlichkeit.
EEY	eey	warm	QUALITY	LONGEST_INDEPENDENT	1	7	7	17	okeey|qokeey	1bfd786e6b8b63734a59|5d5e0b288cf36864ed9d|5fca8fc3dee57e1d8c1f|92e43836d82f98bf02d3|b5df9126607030b95175|f0db6d30cd34f4cb2a4d	Längere konkrete Ganzwörter haben Vorrang vor bloßer Teilstring-Ähnlichkeit.
CHE	che	ausspülen	VERB	LONGEST_INDEPENDENT	1	4	39	132	dchedy|schedy|tchedy	07913ef9b1fb773cd325|087a47b5423438cd6b6a|0f15effeca7ab10bb026|28ffbc88b97772a75f1e|2c1a5fd92b9e3c762242|342c3f0777337648f4b3|433713294b25b0a12f66|4de12cf322dfb76ded1e|5e8441397e7c0faf042b|5fca8fc3dee57e1d8c1f|65df3cd9e59060042d47|65f320e75510b2f38182	Längere konkrete Ganzwörter haben Vorrang vor bloßer Teilstring-Ähnlichkeit.
CKHE	ckhe	durch Tuch seihen	VERB	LONGEST_INDEPENDENT	2	4	3	5	lcheckhedy|shckhedy	ecce30bc8dcc400bf2c8	Längere konkrete Ganzwörter haben Vorrang vor bloßer Teilstring-Ähnlichkeit.
CLEAR	sh-/ch-	klar	QUALITY	LONGEST_INDEPENDENT	1	4	0	0	cheey|shey	NONE	Längere konkrete Ganzwörter haben Vorrang vor bloßer Teilstring-Ähnlichkeit.
