statement_id	record_unit_id	visible_owner	field_ids	frame_modes	visible_sequence	normalized_sequence	literal_card_reading	previous_fluent_expansion	revised_fluent_translation_de	revision_reason
B1-S006	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F028	MIXED	qokain shckhy dl ral	okain chckhy dl ral	Anteil zugeben | durchleiten | Zusatz | Zielmarke	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Zielmarke.	Einen Anteil zugeben, durchleiten und den Zusatz an der Zielmarke halten.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S007	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F029	LOW_DATA	qokchdy	qokchdy	einführen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: am offenen Ziel in die Überführung weiter: einführen; Schluss.	In die offene Zielstelle einführen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S008	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F030	O	chey ol cheky ol shedy	chey cheol cheky cheol cheedy	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.	Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S009	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F031	LOW_DATA	qokedy	qokedy	kurz einwirken; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz einwirken; Schluss.	Kurz einwirken lassen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S010	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F032	LOW_DATA	qokedy	qokedy	kurz einwirken; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz einwirken; Schluss.	Kurz einwirken lassen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S011	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F033	MIXED	chckhy qoky	chckhy choky	durchleiten | einsetzen	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: durchleiten — einsetzen.	Durch den verbundenen Gang leiten und einsetzen.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S012	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F034	LOW_DATA	lsho qokey lshedy	lsho okey lshedy	Waschgang | kurz einwirken | Waschgang; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: mit dem eingesetzten Posten am selben Besitzer weiter: Waschgang — kurz einwirken — Waschgang; Schluss.	Waschen, kurz einwirken lassen und nochmals waschen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S013	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F035	LOW_DATA	lshedy	lshedy	Waschgang; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Waschgang; Schluss.	Einen Waschgang ausführen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S014	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F036	MIXED	chedy qolky lchedal qol otar	chdy qolky lchedal cheol otar	überführen | Weitergang | Zielabführung | weiter | Folgequelle	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — Weitergang — Zielabführung — weiter — Folgequelle.	Überführen, im Weitergang an der Zielstelle abführen und zur Folgequelle weitergehen.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S015	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F037	LOW_DATA	ytey okchedy	ytey okchedy	Kurzteil | einführen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: von der eben gesetzten Quelle weiter: Kurzteil — einführen; Schluss.	Den kurzen Teil aus der eben gesetzten Quelle einführen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S016	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F038	Q	qokal okeey qol cheedy	okal okeey cheol cheedy	dorthin einsetzen | lange einwirken | weiter | kurz absetzen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dorthin einsetzen — lange einwirken — weiter — kurz absetzen; Schluss.	Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S017	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F039	LOW_DATA	sal teol dchdy	al teol dchdy	dorthin | Kurzfortsetzung | Transfer; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dorthin — Kurzfortsetzung — Transfer; Schluss.	Dorthin bringen, kurz weiterführen und übertragen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S018	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F040|F041	LOW_DATA|O	ly dsheol oiiin olkeedy	ly dsheol oiiin olkeedy	Abführposten | Kurzhalt | Arbeitsstufe | lange sammeln; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Abführposten — Kurzhalt — Arbeitsstufe — lange sammeln; Schluss.	Den Abführposten kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S019	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F042	LOW_DATA	tedy	cheedy	kurz absetzen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz absetzen; Schluss.	Kurz absetzen lassen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S020	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F043	LOW_DATA	cheky shckhedy	cheky shckhedy	kurz wärmen | durchlassen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz wärmen — durchlassen; Schluss.	Kurz wärmen und durchlassen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S021	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F044	LOW_DATA	chal	al	dorthin	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dorthin.	Dorthin bringen.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
