old_carrier_ordinal	target_surface	target_recipe	target_observed_requirement_modes	old_global_event_id	old_source_event_id	old_statement_id	card_ordinal_in_statement	physical_page	register	owner_de	locus	old_surface	surface_same_as_target	explicit_action_roots	incoming_action_root	incoming_action_source_event_id	incoming_action_distance_cards	explicit_argument_roots	incoming_argument_root	incoming_argument_source_event_id	incoming_argument_distance_cards	old_requirement_mode	resolved_action_root	resolved_argument_root	immediate_previous_surface	immediate_previous_recipe	exact_recipe_roundtrip	guard
11	okoy	OK+O+Y	SELF_CONTAINED	G407-E1156	P1008-E0104	G407-S063	5	f72r	CELESTIAL	Tierkreis-Ringgruppe A	f72r1.1	okochey	NO	OK	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	OK	Y	ydal	Y+AL	OK+O+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
12	qokees	OK+EE+S	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	G407-E1208	P1008-E0179	G407-S066	3	f72r	CELESTIAL	Tierkreis-Ringgruppe C	f72r1.18	okees	NO	OK|S	NONE	NONE	NONE	NONE	Y	G407-E1207	1	REQUIRES_ACTIVE_ARGUMENT	S	Y	aroly	AR+OL+Y	OK+EE+S	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
13	chekchy	CH+K+Y	SELF_CONTAINED	G407-E1218	P1008-E0189	G407-S066	13	f72r	CELESTIAL	Tierkreis-Ringgruppe C	f72r1.18	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	atchor	A_ADDR+T+CH+OR	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
14	qokee	OK+EE	REQUIRES_ACTIVE_ARGUMENT	G407-E1324	P1008-E0326	G407-S073	13	f72r	CELESTIAL	Tierkreis-Ringgruppe G	f72r3.1	okee	NO	OK	NONE	NONE	NONE	NONE	OR	G407-E1321	3	REQUIRES_ACTIVE_ARGUMENT	OK	OR	keodar	O+D_ADDR+AR	OK+EE	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
15	qokees	OK+EE+S	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	G407-E1329	P1008-E0331	G407-S073	18	f72r	CELESTIAL	Tierkreis-Ringgruppe G	f72r3.1	chokees	NO	OK|S	NONE	NONE	NONE	NONE	Y	G407-E1328	1	REQUIRES_ACTIVE_ARGUMENT	S	Y	chekackhy	CH+E+CH+K+Y	OK+EE+S	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
16	chekchy	CH+K+Y	SELF_CONTAINED	G407-E1491	P912-E0506	G407-S091	3	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	f75r.8	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	qokain	OK+AIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
17	chekchy	CH+K+Y	SELF_CONTAINED	G407-E1508	P912-E0523	G407-S096	7	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	f75r.10	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	qokain	OK+AIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
18	chekchy	CH+K+Y	SELF_CONTAINED	G407-E1549	P912-E0564	G407-S110	2	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	f75r.14	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	qokain	OK+AIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
19	chekchy	CH+K+Y	SELF_CONTAINED	G407-E1609	P912-E0624	G407-S119	19	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	f75r.21	qckhsy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	chey	Y	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
20	chekeey	CH+K+EE+Y	SELF_CONTAINED	G407-E1690	P912-E0705	G407-S130	5	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	f75r.30	cheeky	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	dain	AIN	CH+K+EE+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
21	chekchy	CH+K+Y	SELF_CONTAINED	G407-E1704	P912-E0719	G407-S132	2	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	f75r.31	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	qokey	OK+E+Y	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
22	qokees	OK+EE+S	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	G407-E1891	P1008-E0528	G407-S206	2	f76r	BIOLOGICAL	unbebilderter Textabschnitt A1	f76r.6	okees	NO	OK|S	NONE	NONE	NONE	NONE	Y	G407-E1890	1	REQUIRES_ACTIVE_ARGUMENT	S	Y	sheey	SH+EE+Y	OK+EE+S	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
23	chekchy	CH+K+Y	SELF_CONTAINED	G407-E1933	P1008-E0572	G407-S214	7	f76r	BIOLOGICAL	unbebilderter Textabschnitt A3	f76r.11	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	dain	AIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
24	qokees	OK+EE+S	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	G407-E1965	P1008-E0605	G407-S221	2	f76r	BIOLOGICAL	unbebilderter Textabschnitt A4	f76r.15	okees	NO	OK|S	NONE	NONE	NONE	NONE	NONE	NONE	NONE	SELF_CONTAINED	S	NONE	qoked	OK+E+D_ADDR	OK+EE+S	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
25	chekchy	CH+K+Y	SELF_CONTAINED	G407-E2017	P1008-E0658	G407-S235	4	f76r	BIOLOGICAL	unbebilderter Textabschnitt A5	f76r.20	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	qotain	OT+AIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
26	chekchy	CH+K+Y	SELF_CONTAINED	G407-E2039	P1008-E0681	G407-S243	4	f76r	BIOLOGICAL	unbebilderter Textabschnitt A6	f76r.23	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	qokain	OK+AIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
27	chekchy	CH+K+Y	SELF_CONTAINED	G407-E2063	P1008-E0705	G407-S247	1	f76r	BIOLOGICAL	unbebilderter Textabschnitt A6	f76r.25	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	NONE	NONE	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
28	chekchy	CH+K+Y	SELF_CONTAINED	G407-E2149	P1008-E0793	G407-S259	2	f76r	BIOLOGICAL	unbebilderter Textabschnitt A8	f76r.33	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	okchy	OK+Y	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
29	chekchy	CH+K+Y	SELF_CONTAINED	G407-E2179	P1008-E0823	G407-S263	10	f76r	BIOLOGICAL	unbebilderter Textabschnitt A8	f76r.35	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	chcthy	CH+CH+T+Y	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
30	dalol	AL+OL	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	G407-E2263	P1008-E0908	G407-S279	5	f76r	BIOLOGICAL	unbebilderter Textabschnitt C	f76r.44	alol	NO	NONE	K	G407-E2262	1	NONE	Y	G407-E2262	1	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	K	Y	ykar	Y+K+AR	AL+OL	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
31	chekchy	CH+K+Y	SELF_CONTAINED	G407-E2283	P1008-E0928	G407-S283	5	f76r	BIOLOGICAL	unbebilderter Textabschnitt C	f76r.45	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	sheey	SH+EE+Y	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
32	chekchy	CH+K+Y	SELF_CONTAINED	G407-E2295	P1008-E0940	G407-S287	6	f76r	BIOLOGICAL	unbebilderter Textabschnitt C	f76r.47	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	dain	AIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
33	chekeey	CH+K+EE+Y	SELF_CONTAINED	G407-E2571	P1003-E0267	G407-S368	7	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.30	cheeky	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	qolkain	OL+K+AIN	CH+K+EE+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
34	chekchy	CH+K+Y	SELF_CONTAINED	G407-E2574	P1003-E0270	G407-S368	10	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.31	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	qokain	OK+AIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
35	shee	SH+EE	REQUIRES_ACTIVE_ARGUMENT	G407-E2670	P1003-E0366	G407-S390	6	f77r	BIOLOGICAL	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.43	chee	NO	SH	NONE	NONE	NONE	NONE	AIIN	G407-E2667	3	REQUIRES_ACTIVE_ARGUMENT	SH	AIIN	d	D_ADDR	SH+EE	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
36	chekeey	CH+K+EE+Y	SELF_CONTAINED	G407-E2958	P912-E0892	G407-S447	3	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	f81v.4	cheeky	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	okain	OK+AIN	CH+K+EE+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
37	chekchy	CH+K+Y	SELF_CONTAINED	G407-E2969	P912-E0903	G407-S447	14	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	f81v.5	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	otain	OT+AIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
38	chekchy	CH+K+Y	SELF_CONTAINED	G407-E2992	P912-E0926	G407-S449	7	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	f81v.7	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	daiin	AIIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
39	chekchy	CH+K+Y	SELF_CONTAINED	G407-E3082	P912-E1016	G407-S473	2	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	f81v.17	ckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	qokain	OK+AIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
40	chekchy	CH+K+Y	SELF_CONTAINED	G407-E3093	P912-E1027	G407-S477	1	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	f81v.18	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	NONE	NONE	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
41	qocthedy	CARRIER_Q+O+CH+T+E+Y	SELF_CONTAINED	G407-E3105	P912-E1039	G407-S479	5	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	f81v.20	qocthey	NO	CH|T	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	T	Y	chy	Y	CARRIER_Q+O+CH+T+E+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
42	chekchy	CH+K+Y	SELF_CONTAINED	G407-E3197	P912-E1133	G407-S498	3	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	f82r.3	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	solkaiin	OL+K+AIIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
43	chekeey	CH+K+EE+Y	SELF_CONTAINED	G407-E3201	P912-E1137	G407-S498	7	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	f82r.4	chkeey	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	octheol	O+CH+T+E+OL	CH+K+EE+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
44	chekchy	CH+K+Y	SELF_CONTAINED	G407-E3546	P912-E1495	G407-S579	15	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	f83r.10	chky	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	aiin	AIIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
45	chekeey	CH+K+EE+Y	SELF_CONTAINED	G407-E3692	P912-E1641	G407-S624	2	f83r	BIOLOGICAL	Variantenatlas lokaler Becken und Anwendungen	f83r.28	cheeky	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	saiin	S+AIIN	CH+K+EE+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
46	chekchy	CH+K+Y	SELF_CONTAINED	G407-E3952	P1003-E0441	G407-S654	3	f88v	PHARMA	erste Gefaess-/Zutatengruppe	f88v.8	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	cho	HO	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
47	chekchy	CH+K+Y	SELF_CONTAINED	G407-E4271	P1008-E1274	G407-S680	10	f89r	PHARMA	Gefäß-/Pflanzenteilgruppe E	f89r2.14	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	oiiin	O+IIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
48	chekchy	CH+K+Y	SELF_CONTAINED	G407-E4292	P1008-E1295	G407-S680	31	f89r	PHARMA	Gefäß-/Pflanzenteilgruppe E	f89r2.15	chchky	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	saiin	S+AIIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
49	chekchy	CH+K+Y	SELF_CONTAINED	G407-E4424	G404-E0536	G407-S690	15	f95v	HERBAL	F95V_WHOLE_PLANT	f95v2.3	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	aiin	AIIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
