card_no	surfaces	component_parse	role_signature	clause_type	atomic_card_value_de	local_context_expansions_de	atomic_context_stable	has_multiple_local_expansions	composition_status	occurrences	sections	records
PROC017	cthaiin	CTH+AIIN	STATE+QUANTITY	STATE_OR_GRADE_PHRASE	bereit · vorgeschriebenes Maß	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	HERBAL	H2
PROC018	qoctholy	O+CTH+OL+Y	PROCESS+STATE+SEQUENCE+ITEM	STATE_OR_GRADE_PHRASE	Arbeitsgang · bereit · fortsetzen · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	HERBAL	H2
PROC019	chey|chy|dy|shy|sy|y	Y	ITEM	ARGUMENT_OR_ADDRESS	dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	18	HERBAL|BIOLOGICAL	H2|H3|H4|B1|B2|B3|B4|B6
PROC020	otchor|qotchor	OT+CH+OR	SEQUENCE+ACTION+PREPARATION	ACTION_CLAUSE	danach den Ansatz abziehen	abziehen	YES	NO	COMPOSITIONAL	2	HERBAL	H2|H5
PROC021	otol	OT+OL	SEQUENCE+SEQUENCE	SEQUENCE_OR_CONTINUATION	danach · fortsetzen	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	HERBAL	H2
PROC022	cholor|olor	OL+OR	SEQUENCE+PREPARATION	SEQUENCE_OR_CONTINUATION	fortsetzen · Ansatz	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H2|B1
PROC023	oykchor	O+Y+K+OR	PROCESS+ITEM+ACTION+PREPARATION	ACTION_CLAUSE	diesen Posten zuführen	zugeben	YES	NO	COMPOSITIONAL	1	HERBAL	H2
PROC024	kaiiin	K+IIN	ACTION+STATE	ACTION_CLAUSE	den laufenden Posten zuführen bis Sollstufe	zugeben	YES	NO	COMPOSITIONAL	1	HERBAL	H2
PROC025	chodaiin	CH+O+AIIN	ACTION+PROCESS+QUANTITY	ACTION_CLAUSE	den Arbeitsgang nach vorgeschriebenes Maß abziehen	abziehen	YES	NO	COMPOSITIONAL	1	HERBAL	H2
PROC026	tshol	T+SH+OL	ACTION+ACTION+SEQUENCE	ACTION_CLAUSE	fortsetzen den laufenden Posten eintragen und halten	eintragen + halten	YES	NO	COMPOSITIONAL	1	HERBAL	H3
PROC027	schoal	SH+O+AL	ACTION+PROCESS+TARGET	ACTION_CLAUSE	den Arbeitsgang an bezeichnete Stelle halten	an Ort halten	YES	NO	COMPOSITIONAL	1	HERBAL	H3
PROC028	cfhy	CFH+Y	ACTION+ITEM	ACTION_CLAUSE	diesen Posten auswringen	auswringen	YES	NO	PARTIAL_WITH_LEARNED_ATOM	1	HERBAL	H3
PROC029	shfydaiin	SH+Y+AIIN	ACTION+ITEM+QUANTITY	ACTION_CLAUSE	diesen Posten nach vorgeschriebenes Maß halten	halten	YES	NO	COMPOSITIONAL	1	HERBAL	H3
PROC030	cphy	P+Y	ACTION+ITEM	ACTION_CLAUSE	diesen Posten hineingeben	hineingeben	YES	NO	COMPOSITIONAL	1	HERBAL	H3
PROC031	cheey|shey	SH+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten länger halten	halten	YES	NO	COMPOSITIONAL	4	HERBAL|BIOLOGICAL	H3|B2|B4
PROC032	tchody	T+CH+O+DY	ACTION+ACTION+PROCESS+CLOSE	ACTION_CLAUSE	den Arbeitsgang eintragen und abziehen; Schritt schließen	abschließend eintragen + abziehen	YES	NO	COMPOSITIONAL	1	HERBAL	H3
PROC033	shoyty	SH+O+Y+T+Y	ACTION+PROCESS+ITEM+ACTION+ITEM	ACTION_CLAUSE	diesen Posten halten und eintragen	halten + eintragen	YES	NO	COMPOSITIONAL	1	HERBAL	H3
PROC034	dchol|schol	OL	SEQUENCE	SEQUENCE_OR_CONTINUATION	fortsetzen	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	2	HERBAL	H3|H5
PROC035	kchy	K+Y	ACTION+ITEM	ACTION_CLAUSE	diesen Posten zuführen	zugeben	YES	NO	COMPOSITIONAL	1	HERBAL	H3
PROC036	qotchy	OT+Y	SEQUENCE+ITEM	SEQUENCE_OR_CONTINUATION	danach · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	HERBAL	H3
PROC037	okchol	OK+OL	ACTION+SEQUENCE	ACTION_CLAUSE	fortsetzen den laufenden Posten ansetzen	einsetzen	YES	NO	COMPOSITIONAL	1	HERBAL	H3
PROC038	okaiin|qokaiin	OK+AIIN	ACTION+QUANTITY	ACTION_CLAUSE	nach vorgeschriebenem Maß in Einsatz bringen	einleiten|einsetzen	YES	YES	COMPOSITIONAL	9	HERBAL|BIOLOGICAL	H4|B1|B2|B3
PROC039	ykain	Y+K+AIN	ITEM+ACTION+QUANTITY	ACTION_CLAUSE	diesen Posten nach Portion zuführen	dosiert zugeben	YES	NO	COMPOSITIONAL	1	HERBAL	H4
PROC040	ykan	Y+K+AIN	ITEM+ACTION+QUANTITY	ACTION_CLAUSE	diesen Posten nach Portion zuführen	zugeben	YES	NO	COMPOSITIONAL	1	HERBAL	H4
PROC041	ody	O+DY	PROCESS+CLOSE	CLOSE_WITHOUT_ACTION	Arbeitsgang; Schritt schließen	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	HERBAL	H4
PROC042	chdy|chedy	CHD+Y	ACTION+ITEM	ACTION_CLAUSE	den aktuellen Posten umsetzen	abmessen und umsetzen|umsetzen	YES	YES	COMPOSITIONAL	11	HERBAL|BIOLOGICAL	H4|B1|B3|B4|B5
PROC043	talam	TALAM	ACTION	ACTION_CLAUSE	den laufenden Posten verwahren	verwahren	YES	NO	LEARNED_WHOLE_CARD	1	HERBAL	H4
PROC044	ykaiin	Y+K+AIIN	ITEM+ACTION+QUANTITY	ACTION_CLAUSE	diesen Posten nach vorgeschriebenes Maß zuführen	dosiert zugeben	YES	NO	COMPOSITIONAL	1	HERBAL	H4
PROC045	cheoar	CH+E+O+AR	ACTION+GRADE+PROCESS+SOURCE	ACTION_CLAUSE	den Arbeitsgang von dort kurz abziehen	entnehmen	YES	NO	COMPOSITIONAL	1	HERBAL	H4
PROC046	cheeky	CHK+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	den aktuellen Posten länger wärmen	temperieren|warm halten	YES	YES	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H4|B4
PROC047	oldy	OL+DY	SEQUENCE+CLOSE	CLOSE_WITHOUT_ACTION	fortsetzen; Schritt schließen	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H4|B4
PROC048	okal|qokal	OK+AL	ACTION+TARGET	ACTION_CLAUSE	den laufenden Posten an bezeichnete Stelle ansetzen	anlegen	YES	NO	COMPOSITIONAL	6	HERBAL|BIOLOGICAL	H4|B1|B2|B3
PROC049	oltchy	OL+T+Y	SEQUENCE+ACTION+ITEM	ACTION_CLAUSE	fortsetzen diesen Posten eintragen	eintragen	YES	NO	COMPOSITIONAL	1	HERBAL	H4
PROC050	orain	OR+AIN	PREPARATION+QUANTITY	ARGUMENT_OR_ADDRESS	Ansatz · Portion	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	HERBAL	H4
PROC051	chochor	HO+CH+OR	MATERIAL+ACTION+PREPARATION	ACTION_CLAUSE	den Gabe und Ansatz abziehen	abziehen	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC052	cho|sho	HO	MATERIAL	ARGUMENT_OR_ADDRESS	Gabe	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	4	HERBAL	H5
PROC053	chodaly	HO+AL+Y	MATERIAL+TARGET+ITEM	ARGUMENT_OR_ADDRESS	Gabe · bezeichnete Stelle · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC054	kchol	K+OL	ACTION+SEQUENCE	ACTION_CLAUSE	fortsetzen den laufenden Posten zuführen	zuführen	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC055	al|chal|cheal|dal|sal|tal	AL	TARGET	ARGUMENT_OR_ADDRESS	bezeichnete Stelle	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	10	HERBAL|BIOLOGICAL	H5|B1|B2|B3|B4|B5
PROC056	choy	HO+Y	MATERIAL+ITEM	ARGUMENT_OR_ADDRESS	Gabe · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC057	cheeckhody	CH+EE+CKH+O+DY	ACTION+GRADE+PATH_MEDIUM+PROCESS+CLOSE	ACTION_CLAUSE	den Arbeitsgang durch Durchlass länger abziehen; Schritt schließen	ablaufen lassen	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC058	sh	SH	ACTION	ACTION_CLAUSE	den laufenden Posten halten	halten	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC059	kchey	K+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten kurz zuführen	zugeben	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC060	qokokchy	OK+OK+Y	ACTION+ACTION+ITEM	ACTION_CLAUSE	diesen Posten ansetzen und ansetzen	einsetzen + einsetzen	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC061	chokcheo	OK+CH+E+O	ACTION+ACTION+GRADE+PROCESS	ACTION_CLAUSE	den Arbeitsgang kurz ansetzen und abziehen	ansetzen + abziehen	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC062	kchal	K+AL	ACTION+TARGET	ACTION_CLAUSE	den laufenden Posten an bezeichnete Stelle zuführen	zuführen	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC063	kchoar	K+HO+AR	ACTION+MATERIAL+SOURCE	ACTION_CLAUSE	den Gabe von dort zuführen	zugeben	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC064	sotodan	OT+O+AIN	SEQUENCE+PROCESS+QUANTITY	SEQUENCE_OR_CONTINUATION	danach · Arbeitsgang · Portion	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC065	otchey	OT+Y	SEQUENCE+ITEM	SEQUENCE_OR_CONTINUATION	danach · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H5|B4
PROC066	keol	K+E+OL	ACTION+GRADE+SEQUENCE	ACTION_CLAUSE	fortsetzen den laufenden Posten kurz zuführen	zugeben	YES	NO	COMPOSITIONAL	1	HERBAL	H5
PROC067	qokedy	OK+E+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	den laufenden Posten kurz ansetzen; Schritt schließen	einwirken lassen	YES	NO	COMPOSITIONAL	8	BIOLOGICAL	B1|B3|B4
PROC068	kair	K+AIR	ACTION+PATH_MEDIUM	ACTION_CLAUSE	den laufenden Posten durch laufender Bestand zuführen	einspeisen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC069	chkain|kain	K+AIN	ACTION+QUANTITY	ACTION_CLAUSE	den laufenden Posten nach Portion zuführen	dosiert zugeben	YES	NO	COMPOSITIONAL	3	BIOLOGICAL	B1|B3|B4
PROC070	olkain|qolkain	OL+K+AIN	SEQUENCE+ACTION+QUANTITY	ACTION_CLAUSE	fortsetzen den laufenden Posten nach Portion zuführen	dosiert zugeben	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B1|B4
PROC071	rol	R+OL	ACTION+SEQUENCE	ACTION_CLAUSE	fortsetzen den laufenden Posten abkühlen	abkühlen lassen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC072	dl	L	ACTION	ACTION_CLAUSE	leiten	durchleiten|führen	YES	YES	COMPOSITIONAL	2	BIOLOGICAL	B1
PROC073	sheckhal	SH+E+CKH+AL	ACTION+GRADE+PATH_MEDIUM+TARGET	ACTION_CLAUSE	den laufenden Posten an bezeichnete Stelle durch Durchlass kurz halten	zurückhalten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC074	qokeedal	OK+EE+AL	ACTION+GRADE+TARGET	ACTION_CLAUSE	den laufenden Posten an bezeichnete Stelle länger ansetzen	anlegen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC075	chckhy|shckhy	CKH+Y	PATH_MEDIUM+ITEM	ARGUMENT_OR_ADDRESS	Durchlass · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	4	BIOLOGICAL	B1|B2
PROC076	dchedy|schedy|tchedy	CHD+DY	ACTION+CLOSE	ACTION_CLAUSE	überführen und den Schritt schließen	durchleiten|umfüllen|überführen	YES	YES	COMPOSITIONAL	4	BIOLOGICAL	B1|B2|B3
PROC077	sshkchdy	SH+K+CHD+DY	ACTION+ACTION+ACTION+CLOSE	ACTION_CLAUSE	den laufenden Posten halten und zuführen und umsetzen; Schritt schließen	halten + zugeben + überführen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC078	cheedy|shedy|tedy	SHED+DY	ACTION+CLOSE	ACTION_CLAUSE	absetzen und den Schritt schließen	ablagern|absetzen lassen	YES	YES	COMPOSITIONAL	12	BIOLOGICAL	B1|B2|B3|B4
PROC079	olchedy|qolchedy	OL+CHD+DY	SEQUENCE+ACTION+CLOSE	ACTION_CLAUSE	fortsetzen den laufenden Posten umsetzen; Schritt schließen	überführen	YES	NO	COMPOSITIONAL	3	BIOLOGICAL	B1|B2|B3
PROC080	okain|qokain	OK+AIN	ACTION+QUANTITY	ACTION_CLAUSE	den laufenden Posten nach Portion ansetzen	einsetzen	YES	NO	COMPOSITIONAL	7	BIOLOGICAL	B1|B2|B3|B4
PROC081	ral	R+AL	ACTION+TARGET	ACTION_CLAUSE	den laufenden Posten an bezeichnete Stelle abkühlen	abkühlen lassen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC082	qokchdy	OK+CHD+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	den laufenden Posten ansetzen und umsetzen; Schritt schließen	einsetzen + überführen	YES	NO	COMPOSITIONAL	3	BIOLOGICAL	B1|B3|B5
PROC083	cheky	CHK+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten kurz wärmen	warm halten	YES	NO	COMPOSITIONAL	3	BIOLOGICAL	B1|B4
PROC084	lsho	LSH+O	ACTION+PROCESS	ACTION_CLAUSE	den Arbeitsgang waschen	waschen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC085	okey|qokey	OK+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten kurz ansetzen	wirken lassen	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B1|B2
PROC086	lshedy	LSH+E+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	den laufenden Posten kurz waschen; Schritt schließen	durchwaschen	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B1
PROC087	qolky	SOLK+Y	ACTION+ITEM	ACTION_CLAUSE	diesen Posten auffangen	auffangen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC088	lchedal	L+CHD+AL	ACTION+ACTION+TARGET	ACTION_CLAUSE	den laufenden Posten an bezeichnete Stelle führen und umsetzen	hinleiten + umfüllen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC089	otar	OT+AR	SEQUENCE+SOURCE	SEQUENCE_OR_CONTINUATION	danach · von dort	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC090	ytey	T+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten kurz eintragen	übertragen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC091	okchedy|qokchedy	OK+CHD+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	den laufenden Posten ansetzen und umsetzen; Schritt schließen	einsetzen + überführen	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B1|B3
PROC092	okeey|qokeey	OK+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	den aktuellen Posten länger in Einsatz halten	anlegen|wirken lassen	YES	YES	COMPOSITIONAL	7	BIOLOGICAL	B1|B2|B3|B4
PROC093	teol	E+OL	GRADE+SEQUENCE	STATE_OR_GRADE_PHRASE	kurz · fortsetzen	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC094	dchdy	CHD+DY	ACTION+CLOSE	ACTION_CLAUSE	den laufenden Posten umsetzen; Schritt schließen	umfüllen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC095	ly	L+Y	ACTION+ITEM	ACTION_CLAUSE	diesen Posten führen	führen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC096	dsheol	SH+E+OL	ACTION+GRADE+SEQUENCE	ACTION_CLAUSE	fortsetzen den laufenden Posten kurz halten	halten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC097	oiiin|soiiin	O+IIN	PROCESS+STATE	STATE_OR_GRADE_PHRASE	Arbeitsgang · Sollstufe	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B1|B3
PROC098	olkeedy|solkeedy	SOLK+EE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	den laufenden Posten länger auffangen; Schritt schließen	auffangen und stehen lassen	YES	NO	COMPOSITIONAL	3	BIOLOGICAL	B1|B3
PROC099	shckhedy	SH+CKH+E+DY	ACTION+PATH_MEDIUM+GRADE+CLOSE	ACTION_CLAUSE	den laufenden Posten durch Durchlass kurz halten; Schritt schließen	zurückhalten	YES	NO	COMPOSITIONAL	3	BIOLOGICAL	B1|B4
PROC100	qokeedy	OK+EE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	den laufenden Posten länger ansetzen; Schritt schließen	einwirken lassen	YES	NO	COMPOSITIONAL	10	BIOLOGICAL	B2|B3|B4
PROC101	lcheckhy	L+CKH+Y	ACTION+PATH_MEDIUM+ITEM	ACTION_CLAUSE	diesen Posten durch Durchlass führen	durchleiten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC102	lched	L+CHD	ACTION+ACTION	ACTION_CLAUSE	den laufenden Posten führen und umsetzen	führen + umsetzen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC103	lcheckhedy	L+CKH+E+DY	ACTION+PATH_MEDIUM+GRADE+CLOSE	ACTION_CLAUSE	den laufenden Posten durch Durchlass kurz führen; Schritt schließen	durchleiten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC104	qokaly	OK+AL+Y	ACTION+TARGET+ITEM	ACTION_CLAUSE	diesen Posten an bezeichnete Stelle ansetzen	anlegen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC105	solkaiin	SOLK+AIIN	ACTION+QUANTITY	ACTION_CLAUSE	den laufenden Posten nach vorgeschriebenes Maß auffangen	bis zum Maß auffangen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC106	octheol	O+CTH+E+OL	PROCESS+STATE+GRADE+SEQUENCE	STATE_OR_GRADE_PHRASE	Arbeitsgang · bereit · kurz · fortsetzen	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC107	chkeey	CHK+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten länger wärmen	warm halten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC108	ldy	L+DY	ACTION+CLOSE	ACTION_CLAUSE	den laufenden Posten führen; Schritt schließen	abführen	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B2|B3
PROC109	oteey	OT+EE+Y	SEQUENCE+GRADE+ITEM	STATE_OR_GRADE_PHRASE	danach · länger · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B2
PROC110	sheckhy	SH+E+CKH+Y	ACTION+GRADE+PATH_MEDIUM+ITEM	ACTION_CLAUSE	diesen Posten durch Durchlass kurz halten	zurückhalten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC111	dshedy	SH+E+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	den laufenden Posten kurz halten; Schritt schließen	ruhen lassen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC112	otaiin|sotaiin	OT+AIIN	SEQUENCE+QUANTITY	SEQUENCE_OR_CONTINUATION	danach · vorgeschriebenes Maß	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	3	BIOLOGICAL	B2|B3
PROC113	qokar	OK+AR	ACTION+SOURCE	ACTION_CLAUSE	den laufenden Posten von dort ansetzen	einsetzen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC114	solshedy	OL+SH+E+DY	SEQUENCE+ACTION+GRADE+CLOSE	ACTION_CLAUSE	fortsetzen den laufenden Posten kurz halten; Schritt schließen	ruhen lassen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC115	ls	LS	SEQUENCE	SEQUENCE_OR_CONTINUATION	weiter	NOT_AN_ACTION_CARD	YES	NO	LEARNED_WHOLE_CARD	1	BIOLOGICAL	B2
PROC116	lchy	L+CH+Y	ACTION+ACTION+ITEM	ACTION_CLAUSE	diesen Posten führen und abziehen	führen + abnehmen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC117	qcthey|shcthey	CTH+E+Y	STATE+GRADE+ITEM	STATE_OR_GRADE_PHRASE	bereit · kurz · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B2|B3
PROC118	lcheey	L+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten länger führen	führen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC119	qokeeedy	OK+EEE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	den laufenden Posten vollständig ansetzen; Schritt schließen	einsetzen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC120	lchedy	L+CHD+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	weiterleiten, überführen und den Schritt schließen	abführen + abmessen und umsetzen|abführen + überführen|hinleiten + umfüllen	YES	YES	COMPOSITIONAL	8	BIOLOGICAL	B2|B3|B4
PROC121	lar	L+AR	ACTION+SOURCE	ACTION_CLAUSE	den laufenden Posten von dort führen	ableiten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC122	tshey	SH+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten kurz halten	halten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC123	lchedar	L+CHD+AR	ACTION+ACTION+SOURCE	ACTION_CLAUSE	den laufenden Posten von dort führen und umsetzen	ableiten + umfüllen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC124	ches	CH+E+S	ACTION+GRADE+ACTION	ACTION_CLAUSE	den laufenden Posten kurz abziehen und teilen	abnehmen + abteilen	YES	NO	PARTIAL_WITH_LEARNED_ATOM	1	BIOLOGICAL	B2
PROC125	pchedy	P+CHD+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	den laufenden Posten hineingeben und umsetzen; Schritt schließen	einfüllen + überführen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC126	rsheal	R+SH+E+AL	ACTION+ACTION+GRADE+TARGET	ACTION_CLAUSE	den laufenden Posten an bezeichnete Stelle kurz abkühlen und halten	abkühlen lassen + ruhen lassen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC127	daldy	AL+DY	TARGET+CLOSE	CLOSE_WITHOUT_ACTION	bezeichnete Stelle; Schritt schließen	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
