assignment_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	action_sequence	repeated_action_root	raw_action_atom_positions	count_card_id	source_status	source_start_char	source_end_char	target_start_char	target_end_char	source_action_pair_fragment_de	count_fragment_de	full_two_slot_expansion_fragment_de	action_slot_count_retained	guard
11	G407-E1495	G407-S094	f75r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
12	G407-E1728	G407-S141	f75r	BIOLOGICAL	STATE_CARD	chcthedy	CH+CH+T+E+DY	CH+CH+T	CH	1|2	GDT574-C01	RETAINED_EXISTING_ZWEIMAL	0	40	0	40	Entnimm denselben Stationsanteil zweimal	Entnimm denselben Stationsanteil zweimal	Entnimm denselben Stationsanteil, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
13	G407-E1837	G407-S193	f76r	BIOLOGICAL	NONSTATE_CARD	chcphy	CH+CH+P+Y	CH+CH+P	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
14	G407-E1838	G407-S193	f76r	BIOLOGICAL	NONSTATE_CARD	chcphdy	CH+CH+P+Y	CH+CH+P	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
15	G407-E1914	G407-S210	f76r	BIOLOGICAL	STATE_CARD	chcphedy	CH+CH+P+E+DY	CH+CH+P	CH	1|2	GDT574-C01	RETAINED_EXISTING_ZWEIMAL	0	40	0	40	Entnimm denselben Stationsanteil zweimal	Entnimm denselben Stationsanteil zweimal	Entnimm denselben Stationsanteil, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
16	G407-E1952	G407-S218	f76r	BIOLOGICAL	NONSTATE_CARD	chckhey	CH+CH+K+E+Y	CH+CH+K	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
17	G407-E1971	G407-S221	f76r	BIOLOGICAL	NONSTATE_CARD	chckheed	CH+CH+K+E+Y	CH+CH+K	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
18	G407-E2172	G407-S263	f76r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
19	G407-E2178	G407-S263	f76r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
20	G407-E2546	G407-S361	f77r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
21	G407-E2567	G407-S368	f77r	BIOLOGICAL	NONSTATE_CARD	chckhey	CH+CH+K+E+Y	CH+CH+K	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
22	G407-E2631	G407-S381	f77r	BIOLOGICAL	NONSTATE_CARD	chcphey	CH+CH+P+E+Y	CH+CH+P	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
23	G407-E2741	G407-S397	f81r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
24	G407-E2762	G407-S397	f81r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
25	G407-E2774	G407-S400	f81r	BIOLOGICAL	NONSTATE_CARD	chcphey	CH+CH+P+E+Y	CH+CH+P	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
26	G407-E2901	G407-S434	f81r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
27	G407-E2965	G407-S447	f81v	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
28	G407-E3407	G407-S548	f82r	BIOLOGICAL	NONSTATE_CARD	chcthey	CH+CH+T+E+Y	CH+CH+T	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
29	G407-E3442	G407-S556	f82r	BIOLOGICAL	NONSTATE_CARD	chckhey	CH+CH+K+E+Y	CH+CH+K	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
30	G407-E3576	G407-S588	f83r	BIOLOGICAL	STATE_CARD	lchcphedy	L+CH+CH+P+E+DY	CH+CH+P	CH	2|3	GDT574-C01	RETAINED_EXISTING_ZWEIMAL	0	40	0	40	Entnimm denselben Stationsposten zweimal	Entnimm denselben Stationsposten zweimal	Entnimm denselben Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
31	G407-E3648	G407-S609	f83r	BIOLOGICAL	NONSTATE_CARD	chckhdy	CH+CH+K+D_ADDR+Y	CH+CH+K	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
32	G407-E3748	G407-S641	f83r	BIOLOGICAL	NONSTATE_CARD	chckhal	CH+CH+K+AL	CH+CH+K	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	45	0	40	Entnimm denselben Stationsanteil, entnimm ihn	Entnimm denselben Stationsanteil zweimal	Entnimm denselben Stationsanteil, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
33	G407-E3758	G407-S643	f83r	BIOLOGICAL	NONSTATE_CARD	chcthdy	CH+CH+T+D_ADDR+Y	CH+CH+T	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
34	G407-E3803	G407-S648	f88r	PHARMA	STATE_CARD	chcthol	CH+CH+T+OL	CH+CH+T	CH	1|2	GDT574-C02	RETAINED_EXISTING_ZWEIMAL	8	43	8	43	nimm dieselbe Ansatzeinheit zweimal	nimm dieselbe Ansatzeinheit zweimal	nimm dieselbe Ansatzeinheit, nimm sie	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
35	G407-E4113	G407-S669	f89r	PHARMA	NONSTATE_CARD	cheocphey	CH+CH+P+E+Y	CH+CH+P	CH	1|2	GDT574-C02	NEWLY_COMPRESSED	0	31	0	29	Nimm den Drogenposten, nimm ihn	Nimm den Drogenposten zweimal	Nimm den Drogenposten, nimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
36	G407-E4486	G407-S697	f95v	HERBAL	STATE_CARD	chcthykedy	CH+CH+T+Y+K+E+DY	CH+CH+T+K	CH	1|2	GDT574-C02	RETAINED_EXISTING_ZWEIMAL	0	31	0	31	Nimm den Pflanzenposten zweimal	Nimm den Pflanzenposten zweimal	Nimm den Pflanzenposten, nimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
37	G407-E4576	G407-S715	f95v	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C02	NEWLY_COMPRESSED	0	33	0	31	Nimm den Pflanzenposten, nimm ihn	Nimm den Pflanzenposten zweimal	Nimm den Pflanzenposten, nimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
38	G515-E0089	G515-S007	f20v	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C02	NEWLY_COMPRESSED	0	33	0	31	Nimm den Pflanzenposten, nimm ihn	Nimm den Pflanzenposten zweimal	Nimm den Pflanzenposten, nimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
39	G515-E0106	G515-S008	f20v	HERBAL	NONSTATE_CARD	chcphy	CH+CH+P+Y	CH+CH+P	CH	1|2	GDT574-C02	NEWLY_COMPRESSED	0	33	0	31	Nimm den Pflanzenposten, nimm ihn	Nimm den Pflanzenposten zweimal	Nimm den Pflanzenposten, nimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
40	G515-E0333	G515-S037	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chcpheor	CH+CH+P+E+OR	CH+CH+P	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	40	0	35	Entnimm die Eintragseinheit, entnimm sie	Entnimm die Eintragseinheit zweimal	Entnimm die Eintragseinheit, entnimm sie	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
41	G515-E0353	G515-S041	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chctho	CH+CH+T+O	CH+CH+T	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	48	0	43	Entnimm denselben laufenden Eintrag, entnimm ihn	Entnimm denselben laufenden Eintrag zweimal	Entnimm denselben laufenden Eintrag, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
42	G515-E0496	G515-S059	f66r	SOURCE_SECTION_T	STATE_CARD	chcthedy	CH+CH+T+E+DY	CH+CH+T	CH	1|2	GDT574-C01	RETAINED_EXISTING_ZWEIMAL	0	43	0	43	Entnimm denselben laufenden Eintrag zweimal	Entnimm denselben laufenden Eintrag zweimal	Entnimm denselben laufenden Eintrag, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
43	G515-E0516	G515-S064	f66r	SOURCE_SECTION_T	STATE_CARD	chckhedy	CH+CH+K+E+DY	CH+CH+K	CH	1|2	GDT574-C01	RETAINED_EXISTING_ZWEIMAL	0	43	0	43	Entnimm denselben laufenden Eintrag zweimal	Entnimm denselben laufenden Eintrag zweimal	Entnimm denselben laufenden Eintrag, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
