change_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	count_card_id	before_clause_de	after_clause_de	gdt573_source_roundtrip_de	full_two_slot_expansion_de	guard
21	G407-E2741	G407-S397	f81r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten zweimal und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
22	G407-E2762	G407-S397	f81r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten zweimal und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
23	G407-E2774	G407-S400	f81r	BIOLOGICAL	NONSTATE_CARD	chcphey	CH+CH+P+E+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und setze ihn ein; auf Grad I.	Entnimm den Stationsposten zweimal und setze ihn ein; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und setze ihn ein; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und setze ihn ein; auf Grad I.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
24	G407-E2901	G407-S434	f81r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten zweimal und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
25	G407-E2965	G407-S447	f81v	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten zweimal und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
26	G407-E3407	G407-S548	f82r	BIOLOGICAL	NONSTATE_CARD	chcthey	CH+CH+T+E+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein; auf Grad I.	Entnimm den Stationsposten zweimal und stelle ihn ein; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein; auf Grad I.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
27	G407-E3442	G407-S556	f82r	BIOLOGICAL	NONSTATE_CARD	chckhey	CH+CH+K+E+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten zweimal und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
28	G407-E3648	G407-S609	f83r	BIOLOGICAL	NONSTATE_CARD	chckhdy	CH+CH+K+D_ADDR+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; an der bezeichneten Stelle.	Entnimm den Stationsposten zweimal und führe ihn zu; an der bezeichneten Stelle.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; an der bezeichneten Stelle.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; an der bezeichneten Stelle.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
29	G407-E3748	G407-S641	f83r	BIOLOGICAL	NONSTATE_CARD	chckhal	CH+CH+K+AL	GDT574-C01	Entnimm denselben Stationsanteil, entnimm ihn und führe ihn zu; zur Zielstation.	Entnimm denselben Stationsanteil zweimal und führe ihn zu; zur Zielstation.	Entnimm denselben Stationsanteil, entnimm ihn und führe ihn zu; zur Zielstation.	Entnimm denselben Stationsanteil, entnimm ihn und führe ihn zu; zur Zielstation.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
30	G407-E3758	G407-S643	f83r	BIOLOGICAL	NONSTATE_CARD	chcthdy	CH+CH+T+D_ADDR+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein; an der bezeichneten Stelle.	Entnimm den Stationsposten zweimal und stelle ihn ein; an der bezeichneten Stelle.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein; an der bezeichneten Stelle.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein; an der bezeichneten Stelle.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
31	G407-E4113	G407-S669	f89r	PHARMA	NONSTATE_CARD	cheocphey	CH+CH+P+E+Y	GDT574-C02	Nimm den Drogenposten, nimm ihn und setze ihn ein; auf Grad I.	Nimm den Drogenposten zweimal und setze ihn ein; auf Grad I.	Nimm den Drogenposten, nimm ihn und setze ihn ein; auf Grad I.	Nimm den Drogenposten, nimm ihn und setze ihn ein; auf Grad I.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
32	G407-E4576	G407-S715	f95v	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C02	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten zweimal und stelle ihn ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
33	G515-E0089	G515-S007	f20v	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C02	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten zweimal und stelle ihn ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
34	G515-E0106	G515-S008	f20v	HERBAL	NONSTATE_CARD	chcphy	CH+CH+P+Y	GDT574-C02	Nimm den Pflanzenposten, nimm ihn und setze ihn ein.	Nimm den Pflanzenposten zweimal und setze ihn ein.	Nimm den Pflanzenposten, nimm ihn und setze ihn ein.	Nimm den Pflanzenposten, nimm ihn und setze ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
35	G515-E0333	G515-S037	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chcpheor	CH+CH+P+E+OR	GDT574-C01	Entnimm die Eintragseinheit, entnimm sie und setze sie ein; auf Grad I.	Entnimm die Eintragseinheit zweimal und setze sie ein; auf Grad I.	Entnimm die Eintragseinheit, entnimm sie und setze sie ein; auf Grad I.	Entnimm die Eintragseinheit, entnimm sie und setze sie ein; auf Grad I.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
36	G515-E0353	G515-S041	f66r	SOURCE_SECTION_T	NONSTATE_CARD	chctho	CH+CH+T+O	GDT574-C01	Entnimm denselben laufenden Eintrag, entnimm ihn und lege ihn fest; zur Ausführung.	Entnimm denselben laufenden Eintrag zweimal und lege ihn fest; zur Ausführung.	Entnimm denselben laufenden Eintrag, entnimm ihn und lege ihn fest; zur Ausführung.	Entnimm denselben laufenden Eintrag, entnimm ihn und lege ihn fest; zur Ausführung.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
