card_no	surfaces	semantic_component_parse	standard_command_de	occurrences	records	burden_class	classification_basis	rare_one_use_components	unknown_components	independent_card_meanings_to_memorize	teaching_rule
PROC020	otchor|qotchor	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	2	H2|H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC021	otol	OT+OL	DANACH · FORTSETZEN	1	H2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC022	cholor|olor	OL+OR	FORTSETZEN · ANSATZ	2	H2|B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC023	oykchor	O+Y+K+OR	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ	1	H2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC024	kaiiin	K+IIN	ZUDOSIEREN · ARBEITSSTUFE	1	H2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC025	chodaiin	CH+O+AIIN	ABNEHMEN · ARBEITSGANG · SOLLMASS	1	H2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC026	tshol	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	1	H3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC027	schoal	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	1	H3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC028	cfhy	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	1	H3	PARTIAL_COMPOSITION_ONE_LEARNED_CORE	ONE_USE_CORE_PLUS_PRODUCTIVE_COMPONENTS	CFH	NONE	1	memorize the one-use core; compose the remaining components
PROC029	shfydaiin	SH+Y+AIIN	HALTEN · ARBEITSPOSTEN · SOLLMASS	1	H3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC030	cphy	P+Y	EINFUELLEN · ARBEITSPOSTEN	1	H3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	4	H3|B2|B4	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC032	tchody	T+CH+O+DY	EINTRAGEN · ABNEHMEN · ARBEITSGANG; SCHLUSS	1	H3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC033	shoyty	SH+O+Y+T+Y	ARBEITSPOSTEN HALTEN · IM ARBEITSGANG EINTRAGEN · ARBEITSPOSTEN	1	H3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC034	dchol|schol	RESUME_CARD	WIEDERAUFNEHMEN	2	H3|H5	TRUE_LEARNED_WHOLE_CARD	ONE_USE_STANDALONE_COMPONENT	RESUME_CARD	NONE	1	memorize this whole card and its short value
PROC035	kchy	K+Y	ZUDOSIEREN · ARBEITSPOSTEN	1	H3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC036	qotchy	OT+Y	DANACH · ARBEITSPOSTEN	1	H3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC037	okchol	OK+OL	ANSETZEN · FORTSETZEN	1	H3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	9	H4|B1|B2|B3	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC039	ykain	Y+K+AIN	ARBEITSPOSTEN · ZUDOSIEREN · PORTION	1	H4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC040	ykan	Y+K+AN	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	1	H4	PARTIAL_COMPOSITION_ONE_LEARNED_CORE	ONE_USE_CORE_PLUS_PRODUCTIVE_COMPONENTS	AN	NONE	1	memorize the one-use core; compose the remaining components
PROC041	ody	O+DY	ARBEITSGANG; SCHLUSS	1	H4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC042	chdy|chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	11	H4|B1|B3|B4|B5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC043	talam	TALAM	VERWAHREN	1	H4	TRUE_LEARNED_WHOLE_CARD	ONE_USE_STANDALONE_COMPONENT	TALAM	NONE	1	memorize this whole card and its short value
PROC044	ykaiin	Y+K+AIIN	ARBEITSPOSTEN · ZUDOSIEREN · SOLLMASS	1	H4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC045	cheoar	CH+E+O+AR	ABNEHMEN · KURZ · ARBEITSGANG · VORRAT	1	H4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC046	cheeky	CHK+EE+Y	WAERMEN · LANG · ARBEITSPOSTEN	2	H4|B4	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC047	oldy	OL+DY	FORTSETZEN; SCHLUSS	2	H4|B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC048	okal|qokal	OK+AL	ANSETZEN · ZIELSTELLE	6	H4|B1|B2|B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC049	oltchy	OL+T+Y	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	1	H4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC050	orain	OR+AIN	ANSATZ · PORTION	1	H4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC051	chochor	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	1	H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC052	cho|sho	HO	ZUTAT	4	H5	FULLY_COMPOSITIONAL_CARD	RECURRENT_STANDALONE_WORD_OR_ALLOGRAPH	NONE	NONE	0	read the recurrent standalone component; renderer selects the visible allograph
PROC053	chodaly	HO+AL+Y	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	1	H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC054	kchol	K+OL	ZUDOSIEREN · FORTSETZEN	1	H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC055	al|chal|cheal|dal|sal|tal	AL	ZIELSTELLE	10	H5|B1|B2|B3|B4|B5	FULLY_COMPOSITIONAL_CARD	RECURRENT_STANDALONE_WORD_OR_ALLOGRAPH	NONE	NONE	0	read the recurrent standalone component; renderer selects the visible allograph
PROC056	choy	HO+Y	ZUTAT · ARBEITSPOSTEN	1	H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC057	cheeckhody	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASSKANAL · ARBEITSGANG; SCHLUSS	1	H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC058	sh	SH	HALTEN	1	H5	FULLY_COMPOSITIONAL_CARD	RECURRENT_STANDALONE_WORD_OR_ALLOGRAPH	NONE	NONE	0	read the recurrent standalone component; renderer selects the visible allograph
PROC059	kchey	K+E+Y	ZUDOSIEREN · KURZ · ARBEITSPOSTEN	1	H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC060	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · ARBEITSPOSTEN	1	H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC061	chokcheo	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	1	H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC062	kchal	K+AL	ZUDOSIEREN · ZIELSTELLE	1	H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC063	kchoar	K+HO+AR	ZUDOSIEREN · ZUTAT · VORRAT	1	H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC064	sotodan	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	1	H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC065	otchey	OT+Y	DANACH · ARBEITSPOSTEN	2	H5|B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC066	keol	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	1	H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	8	B1|B3|B4	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC068	kair	K+AIR	ZUDOSIEREN · FLUESSIGKEITSLAUF	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC069	chkain|kain	K+AIN	ZUDOSIEREN · PORTION	3	B1|B3|B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC070	olkain|qolkain	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	2	B1|B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC071	rol	R+OL	KUEHLEN · FORTSETZEN	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC072	dl	L	WEITERLEITEN	2	B1	FULLY_COMPOSITIONAL_CARD	RECURRENT_STANDALONE_WORD_OR_ALLOGRAPH	NONE	NONE	0	read the recurrent standalone component; renderer selects the visible allograph
PROC073	sheckhal	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC074	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC075	chckhy|shckhy	CKH+Y	DURCHLASSKANAL · ARBEITSPOSTEN	4	B1|B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC076	dchedy|schedy|tchedy	CHD+DY	UMSETZEN; SCHLUSS	4	B1|B2|B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC078	cheedy|shedy|tedy	SHED+DY	ABSETZEN; SCHLUSS	12	B1|B2|B3|B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC079	olchedy|qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN; SCHLUSS	3	B1|B2|B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC080	okain|qokain	OK+AIN	ANSETZEN · PORTION	7	B1|B2|B3|B4	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC081	ral	R+AL	KUEHLEN · ZIELSTELLE	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	3	B1|B3|B5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · ARBEITSPOSTEN	3	B1|B4	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC084	lsho	LSH+O	WASCHEN · ARBEITSGANG	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC085	okey|qokey	OK+E+Y	ANSETZEN · KURZ · ARBEITSPOSTEN	2	B1|B2	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC086	lshedy	LSH+E+DY	WASCHEN · KURZ; SCHLUSS	2	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC087	qolky	SOLK+Y	AUFFANGEN · ARBEITSPOSTEN	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC088	lchedal	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIELSTELLE	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC089	otar	OT+AR	DANACH · VORRAT	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC090	ytey	T+E+Y	EINTRAGEN · KURZ · ARBEITSPOSTEN	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC091	okchedy|qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	2	B1|B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC092	okeey|qokeey	OK+EE+Y	ANSETZEN · LANG · ARBEITSPOSTEN	7	B1|B2|B3|B4	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC093	teol	E+OL	KURZ · FORTSETZEN	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC094	dchdy	CHD+DY	UMSETZEN; SCHLUSS	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
