event_id	record	page	surface	card_no	semantic_component_parse	standard_command_de	burden_class	teaching_rule
E019	H2	f10r	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E020	H2	f10r	dy	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E021	H2	f10r	chy	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E022	H2	f10r	taiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E023	H2	f10r	shy	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E024	H2	f10r	qotchor	PROC020	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E025	H2	f10r	chor	PROC016	OR	ANSATZ	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E026	H2	f10r	otol	PROC021	OT+OL	DANACH · FORTSETZEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E027	H2	f10r	chol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E028	H2	f10r	cholor	PROC022	OL+OR	FORTSETZEN · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E029	H2	f10r	chol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E030	H2	f10r	daiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E031	H2	f10r	dar	PROC003	AR	VORRAT	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E032	H2	f10r	oykchor	PROC023	O+Y+K+OR	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E033	H2	f10r	shor	PROC016	OR	ANSATZ	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E034	H2	f10r	chor	PROC016	OR	ANSATZ	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E035	H2	f10r	chy	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E036	H2	f10r	kaiiin	PROC024	K+IIN	ZUDOSIEREN · ARBEITSSTUFE	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E037	H2	f10r	dy	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E038	H2	f10r	chodaiin	PROC025	CH+O+AIIN	ABNEHMEN · ARBEITSGANG · SOLLMASS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E039	H3	f11r	tshol	PROC026	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E040	H3	f11r	schoal	PROC027	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E041	H3	f11r	cfhy	PROC028	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	PARTIAL_COMPOSITION_ONE_LEARNED_CORE	memorize the one-use core; compose the remaining components
E042	H3	f11r	shfydaiin	PROC029	SH+Y+AIIN	HALTEN · ARBEITSPOSTEN · SOLLMASS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E043	H3	f11r	cphy	PROC030	P+Y	EINFUELLEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E044	H3	f11r	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read core, grade or quantity, and endpoint from the productive table
E045	H3	f11r	tchody	PROC032	T+CH+O+DY	EINTRAGEN · ABNEHMEN · ARBEITSGANG; SCHLUSS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E046	H3	f11r	shoyty	PROC033	SH+O+Y+T+Y	ARBEITSPOSTEN HALTEN · IM ARBEITSGANG EINTRAGEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E047	H3	f11r	dchol	PROC034	RESUME_CARD	WIEDERAUFNEHMEN	TRUE_LEARNED_WHOLE_CARD	memorize this whole card and its short value
E048	H3	f11r	chy	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E049	H3	f11r	kchy	PROC035	K+Y	ZUDOSIEREN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E050	H3	f11r	dy	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E051	H3	f11r	daiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E052	H3	f11r	qotchy	PROC036	OT+Y	DANACH · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E053	H3	f11r	okchol	PROC037	OK+OL	ANSETZEN · FORTSETZEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E054	H3	f11r	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E055	H3	f11r	dy	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E056	H4	f55v	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	FULLY_COMPOSITIONAL_CARD	read core, grade or quantity, and endpoint from the productive table
E057	H4	f55v	chaiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E058	H4	f55v	ykain	PROC039	Y+K+AIN	ARBEITSPOSTEN · ZUDOSIEREN · PORTION	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E059	H4	f55v	ykan	PROC040	Y+K+AN	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	PARTIAL_COMPOSITION_ONE_LEARNED_CORE	memorize the one-use core; compose the remaining components
E060	H4	f55v	ody	PROC041	O+DY	ARBEITSGANG; SCHLUSS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E061	H4	f55v	daiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E062	H4	f55v	chedy	PROC042	CHD+Y	UMSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E063	H4	f55v	talam	PROC043	TALAM	VERWAHREN	TRUE_LEARNED_WHOLE_CARD	memorize this whole card and its short value
E064	H4	f55v	ykaiin	PROC044	Y+K+AIIN	ARBEITSPOSTEN · ZUDOSIEREN · SOLLMASS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E065	H4	f55v	cheoar	PROC045	CH+E+O+AR	ABNEHMEN · KURZ · ARBEITSGANG · VORRAT	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E066	H4	f55v	cheeky	PROC046	CHK+EE+Y	WAERMEN · LANG · ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read core, grade or quantity, and endpoint from the productive table
E067	H4	f55v	oldy	PROC047	OL+DY	FORTSETZEN; SCHLUSS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E068	H4	f55v	aiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E069	H4	f55v	okal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E070	H4	f55v	oltchy	PROC049	OL+T+Y	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E071	H4	f55v	or	PROC016	OR	ANSATZ	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E072	H4	f55v	y	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E073	H4	f55v	orain	PROC050	OR+AIN	ANSATZ · PORTION	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E074	H5	f56r	chochor	PROC051	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E075	H5	f56r	cho	PROC052	HO	ZUTAT	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E076	H5	f56r	chodaly	PROC053	HO+AL+Y	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E077	H5	f56r	daiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E078	H5	f56r	sho	PROC052	HO	ZUTAT	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E079	H5	f56r	kchol	PROC054	K+OL	ZUDOSIEREN · FORTSETZEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E080	H5	f56r	otchor	PROC020	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E081	H5	f56r	choky	PROC008	OK+Y	ANSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E082	H5	f56r	dal	PROC055	AL	ZIELSTELLE	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E083	H5	f56r	schol	PROC034	RESUME_CARD	WIEDERAUFNEHMEN	TRUE_LEARNED_WHOLE_CARD	memorize this whole card and its short value
E084	H5	f56r	choy	PROC056	HO+Y	ZUTAT · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E085	H5	f56r	choky	PROC008	OK+Y	ANSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E086	H5	f56r	cheeckhody	PROC057	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASSKANAL · ARBEITSGANG; SCHLUSS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E087	H5	f56r	sh	PROC058	SH	HALTEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E088	H5	f56r	cho	PROC052	HO	ZUTAT	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E089	H5	f56r	kchey	PROC059	K+E+Y	ZUDOSIEREN · KURZ · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E090	H5	f56r	qokokchy	PROC060	OK+OK+Y	ANSETZEN · ANSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E091	H5	f56r	okchy	PROC011	OK+Y	ANSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E092	H5	f56r	chokcheo	PROC061	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E093	H5	f56r	kchal	PROC062	K+AL	ZUDOSIEREN · ZIELSTELLE	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E094	H5	f56r	sho	PROC052	HO	ZUTAT	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E095	H5	f56r	chokchy	PROC011	OK+Y	ANSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E096	H5	f56r	kchoar	PROC063	K+HO+AR	ZUDOSIEREN · ZUTAT · VORRAT	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E097	H5	f56r	sotodan	PROC064	OT+O+AIN	DANACH · ARBEITSGANG · PORTION	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E098	H5	f56r	otchey	PROC065	OT+Y	DANACH · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E099	H5	f56r	keol	PROC066	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E100	H5	f56r	daiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E101	B1	f81v	qokedy	PROC067	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	FULLY_COMPOSITIONAL_CARD	read core, grade or quantity, and endpoint from the productive table
E102	B1	f81v	okaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	FULLY_COMPOSITIONAL_CARD	read core, grade or quantity, and endpoint from the productive table
E103	B1	f81v	kair	PROC068	K+AIR	ZUDOSIEREN · FLUESSIGKEITSLAUF	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E104	B1	f81v	okal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E105	B1	f81v	sar	PROC003	AR	VORRAT	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E106	B1	f81v	ol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E107	B1	f81v	kain	PROC069	K+AIN	ZUDOSIEREN · PORTION	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E108	B1	f81v	olkain	PROC070	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E109	B1	f81v	al	PROC055	AL	ZIELSTELLE	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E110	B1	f81v	ol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E111	B1	f81v	rol	PROC071	R+OL	KUEHLEN · FORTSETZEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E112	B1	f81v	dl	PROC072	L	WEITERLEITEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E113	B1	f81v	olor	PROC022	OL+OR	FORTSETZEN · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E114	B1	f81v	ol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E115	B1	f81v	sheckhal	PROC073	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E116	B1	f81v	daiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E117	B1	f81v	qokeedal	PROC074	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E118	B1	f81v	daiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E119	B1	f81v	chckhy	PROC075	CKH+Y	DURCHLASSKANAL · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E120	B1	f81v	schedy	PROC076	CHD+DY	UMSETZEN; SCHLUSS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E121	B1	f81v	qol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E122	B1	f81v	sshkchdy	PROC077	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN; SCHLUSS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E123	B1	f81v	chedy	PROC042	CHD+Y	UMSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E124	B1	f81v	ol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E125	B1	f81v	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E126	B1	f81v	qolchedy	PROC079	OL+CHD+DY	FORTSETZEN · UMSETZEN; SCHLUSS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E127	B1	f81v	qokain	PROC080	OK+AIN	ANSETZEN · PORTION	FULLY_COMPOSITIONAL_CARD	read core, grade or quantity, and endpoint from the productive table
E128	B1	f81v	shckhy	PROC075	CKH+Y	DURCHLASSKANAL · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E129	B1	f81v	dl	PROC072	L	WEITERLEITEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E130	B1	f81v	ral	PROC081	R+AL	KUEHLEN · ZIELSTELLE	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E131	B1	f81v	qokchdy	PROC082	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E132	B1	f81v	chey	PROC019	Y	ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E133	B1	f81v	ol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E134	B1	f81v	cheky	PROC083	CHK+E+Y	WAERMEN · KURZ · ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read core, grade or quantity, and endpoint from the productive table
E135	B1	f81v	ol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E136	B1	f81v	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E137	B1	f81v	qokedy	PROC067	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	FULLY_COMPOSITIONAL_CARD	read core, grade or quantity, and endpoint from the productive table
E138	B1	f81v	qokedy	PROC067	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	FULLY_COMPOSITIONAL_CARD	read core, grade or quantity, and endpoint from the productive table
E139	B1	f81v	chckhy	PROC075	CKH+Y	DURCHLASSKANAL · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E140	B1	f81v	qoky	PROC008	OK+Y	ANSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E141	B1	f81v	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E142	B1	f81v	qokey	PROC085	OK+E+Y	ANSETZEN · KURZ · ARBEITSPOSTEN	FULLY_COMPOSITIONAL_CARD	read core, grade or quantity, and endpoint from the productive table
E143	B1	f81v	lshedy	PROC086	LSH+E+DY	WASCHEN · KURZ; SCHLUSS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E144	B1	f81v	lshedy	PROC086	LSH+E+DY	WASCHEN · KURZ; SCHLUSS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E145	B1	f81v	chedy	PROC042	CHD+Y	UMSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E146	B1	f81v	qolky	PROC087	SOLK+Y	AUFFANGEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E147	B1	f81v	lchedal	PROC088	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIELSTELLE	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E148	B1	f81v	qol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
