semantic_word_no	canonical_component	spoken_workshop_word_de	card_type_frequency	semantic_word_burden	cards
W18	IIN	ARBEITSSTUFE	3	RECURRENT_PRODUCTIVE_COMPONENT	PROC024|PROC097|PROC169
W19	K	ZUDOSIEREN	18	RECURRENT_PRODUCTIVE_COMPONENT	PROC023|PROC024|PROC035|PROC039|PROC040|PROC044|PROC054|PROC059|PROC062|PROC063|PROC066|PROC068|PROC069|PROC070|PROC077|PROC159|PROC165|PROC171
W20	L	WEITERLEITEN	18	RECURRENT_PRODUCTIVE_COMPONENT	PROC072|PROC088|PROC095|PROC101|PROC102|PROC103|PROC108|PROC116|PROC118|PROC120|PROC121|PROC123|PROC130|PROC140|PROC147|PROC159|PROC167|PROC173
W21	LD	BEFESTIGEN	1	ONE_USE_EMBEDDED_CORE	PROC155
W22	LSH	WASCHEN	2	RECURRENT_PRODUCTIVE_COMPONENT	PROC084|PROC086
W23	O	ARBEITSGANG	18	RECURRENT_PRODUCTIVE_COMPONENT	PROC002|PROC018|PROC023|PROC025|PROC027|PROC032|PROC033|PROC041|PROC045|PROC057|PROC061|PROC064|PROC084|PROC097|PROC106|PROC130|PROC140|PROC161
W24	OK	ANSETZEN	23	RECURRENT_PRODUCTIVE_COMPONENT	PROC008|PROC011|PROC037|PROC038|PROC048|PROC060|PROC061|PROC067|PROC074|PROC080|PROC082|PROC085|PROC091|PROC092|PROC100|PROC104|PROC113|PROC119|PROC138|PROC141|PROC155|PROC158|PROC160
W25	OL	FORTSETZEN	25	RECURRENT_PRODUCTIVE_COMPONENT	PROC007|PROC012|PROC013|PROC018|PROC021|PROC022|PROC026|PROC037|PROC047|PROC049|PROC054|PROC066|PROC070|PROC071|PROC079|PROC093|PROC096|PROC106|PROC114|PROC115|PROC153|PROC154|PROC158|PROC160|PROC167
W26	OR	ANSATZ	10	RECURRENT_PRODUCTIVE_COMPONENT	PROC002|PROC015|PROC016|PROC020|PROC022|PROC023|PROC050|PROC051|PROC148|PROC173
W27	OS	ARBEITSFACH	1	ONE_USE_WHOLE_CARD_WORD	PROC005
W28	OT	DANACH	16	RECURRENT_PRODUCTIVE_COMPONENT	PROC007|PROC012|PROC020|PROC021|PROC036|PROC064|PROC065|PROC089|PROC109|PROC112|PROC129|PROC131|PROC135|PROC145|PROC152|PROC166
W29	P	EINFUELLEN	3	RECURRENT_PRODUCTIVE_COMPONENT	PROC030|PROC125|PROC134
W30	R	KUEHLEN	6	RECURRENT_PRODUCTIVE_COMPONENT	PROC071|PROC081|PROC126|PROC128|PROC148|PROC172
W31	S	TEILEN	1	ONE_USE_EMBEDDED_CORE	PROC124
W32	SH	HALTEN	20	RECURRENT_PRODUCTIVE_COMPONENT	PROC026|PROC027|PROC029|PROC031|PROC033|PROC058|PROC073|PROC077|PROC096|PROC099|PROC110|PROC111|PROC114|PROC122|PROC126|PROC136|PROC139|PROC141|PROC143|PROC157
W33	SHED	ABSETZEN	3	RECURRENT_PRODUCTIVE_COMPONENT	PROC078|PROC128|PROC142
W34	SOLK	AUFFANGEN	5	RECURRENT_PRODUCTIVE_COMPONENT	PROC087|PROC098|PROC105|PROC164|PROC170
W35	T	EINTRAGEN	9	RECURRENT_PRODUCTIVE_COMPONENT	PROC004|PROC007|PROC010|PROC026|PROC032|PROC033|PROC049|PROC090|PROC149
W36	TALAM	VERWAHREN	1	ONE_USE_WHOLE_CARD_WORD	PROC043
W37	Y	ARBEITSPOSTEN	60	RECURRENT_PRODUCTIVE_COMPONENT	PROC001|PROC004|PROC007|PROC008|PROC010|PROC011|PROC014|PROC015|PROC018|PROC019|PROC023|PROC028|PROC029|PROC030|PROC031|PROC033|PROC035|PROC036|PROC039|PROC040|PROC042|PROC044|PROC046|PROC049|PROC053|PROC056|PROC059|PROC060|PROC065|PROC075|PROC083|PROC085|PROC087|PROC090|PROC092|PROC095|PROC101|PROC104|PROC107|PROC109|PROC110|PROC116|PROC117|PROC118|PROC122|PROC133|PROC136|PROC137|PROC143|PROC149|PROC153|PROC154|PROC155|PROC157|PROC161|PROC162|PROC164|PROC170|PROC171|PROC172
W38	AN	NACHPORTION	1	ONE_USE_EMBEDDED_CORE	PROC040
W39	RESUME_CARD	WIEDERAUFNEHMEN	1	ONE_USE_WHOLE_CARD_WORD	PROC034
