token_ordinal_global	line_ordinal	page	locus	token_index	eva	statement_ordinal	statement_id	gdt589_surface_match	route	transfer_class	working_meaning_de	contextual_render_de	composition	semantic_features	contextual_semantic_features	confidence	v48_source	v48_scope_state	v48_priority	occurrence_override	join_direction	join_surface	value_attachment
11	2	f1r	f1r.2	1	sory	1	G407-S001	1	ROLE_COMPOSED_TRANSFER	P	Samenportion, abgeschlossen	Samenportion, abgeschlossen	KNOWN_SOR+Y_START_OR_CLOSE	MATERIAL+STATE	MATERIAL+STATE	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
12	2	f1r	f1r.2	2	ckhar	1	G407-S001	1	ROLE_COMPOSED_TRANSFER	P	erste Kompositumfraktion	erste Kompositumfraktion	CKH_COMPOSITE+AR_FRACTION_I	MATERIAL	MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
13	2	f1r	f1r.2	3	or	1	G407-S001	1	EXACT_V48	E	Drogenportion	Drogenportion	EXACT_V48_CARD	MATERIAL	MATERIAL	EXACT_WHOLE_AR_OR_CONSOLIDATION	GDT654:REVISE_AMBIGUOUS_TO_EXACT	KNOWN_EXACT_WHOLE	150	0	NONE	NONE	0
14	2	f1r	f1r.2	4	y	1	G407-S001	1	OCCURRENCE_SCOPED_TRANSFER	O	;	;	FREE_Y_OCCURRENCE	DESCRIPTOR	DESCRIPTOR	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	1	LEFT	ory	0
15	2	f1r	f1r.2	5	kair	1	G407-S001	1	EXACT_V48	E	heiße Drogenfraktion II	heiße Drogenfraktion II	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT662:EXACT_WHOLE	KNOWN_EXACT_WHOLE	225	0	NONE	NONE	0
16	2	f1r	f1r.2	6	chtaiin	1	G407-S001	1	ROLE_COMPOSED_TRANSFER	P	getrocknete Droge auf Kältestufe III	getrocknete Droge auf Kältestufe III	CH_DRY+T_COLD+AIIN_III	MATERIAL	MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
17	2	f1r	f1r.2	7	shar	1	G407-S001	1	EXACT_V48	E	angefeuchtete Drogenfraktion I	angefeuchtete Drogenfraktion I	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT662:EXACT_WHOLE	KNOWN_EXACT_WHOLE	225	0	NONE	NONE	0
18	2	f1r	f1r.2	8	ase	1	G407-S001	1	LOCAL_WHOLE_HYPOTHESIS	W	gleicher Anteil einer Arzneispecies auf Mittelstufe	gleicher Anteil einer Arzneispecies auf Mittelstufe	KNOWN_AS+E_MIDDLE	QUANTITY+STAGE+MATERIAL	QUANTITY+STAGE+MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
19	2	f1r	f1r.2	9	cthar	1	G407-S001	1	EXACT_V48	E	CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I	CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I	EXACT_V48_CARD	MATERIAL	MATERIAL	EXACT_WHOLE_SURFACE_COMPONENT_REPAIR	GDT639:ROUND_04	KNOWN_EXACT_WHOLE	120	0	NONE	NONE	0
20	2	f1r	f1r.2	10	cthar	1	G407-S001	1	EXACT_V48	E	CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I	CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I	EXACT_V48_CARD	MATERIAL	MATERIAL	EXACT_WHOLE_SURFACE_COMPONENT_REPAIR	GDT639:ROUND_04	KNOWN_EXACT_WHOLE	120	0	NONE	NONE	0
21	2	f1r	f1r.2	11	dan	1	G407-S001	1	EXACT_V48	E	Grad-/Maßwert I	ein Maß der vorstehenden Kraut- oder Blattfraktion	EXACT_V48_CARD	STAGE	QUANTITY+MATERIAL	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
22	3	f1r	f1r.3	1	syaiir	1	G407-S001	1	LOCAL_WHOLE_HYPOTHESIS	W	Saatgutfraktion III, abgeschlossen	Saatgutfraktion III, abgeschlossen	LEARNED_SYAIIR_WHOLE	MATERIAL+STATE	MATERIAL+STATE	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
23	3	f1r	f1r.3	2	sheky	1	G407-S001	1	EXACT_V48	E	bis zur Mittelstufe einweichen, erhitzen und abschließen	bis zur Mittelstufe einweichen, erhitzen und abschließen	EXACT_V48_CARD	ACTION+STAGE	ACTION+STAGE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT667:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
24	3	f1r	f1r.3	3	or	1	G407-S001	1	EXACT_V48	E	Drogenportion	Drogenportion	EXACT_V48_CARD	MATERIAL	MATERIAL	EXACT_WHOLE_AR_OR_CONSOLIDATION	GDT654:REVISE_AMBIGUOUS_TO_EXACT	KNOWN_EXACT_WHOLE	150	0	NONE	NONE	0
25	3	f1r	f1r.3	4	ykaiin	1	G407-S001	1	EXACT_V48	E	erhitze hiervon auf Stufe III	erhitze hiervon auf Stufe III	EXACT_V48_CARD	ACTION+STAGE+REFERENCE	ACTION+STAGE+REFERENCE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT665:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
26	3	f1r	f1r.3	5	shod	1	G407-S001	1	ROLE_COMPOSED_TRANSFER	P	Feuchtansatz abschließen	Feuchtansatz abschließen	SH_MOIST+O_PREP+D_TERM_CLOSE	ACTION+MATERIAL+STATE	ACTION+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
27	3	f1r	f1r.3	6	cthoary	1	G407-S001	1	ROLE_COMPOSED_TRANSFER	P	erste Krautansatzfraktion abteilen und abschließen	erste Krautansatzfraktion abteilen und abschließen	CTH_HERB+O_PREP+AR_FRACTION_I+Y_START_OR_CLOSE	ACTION+MATERIAL	ACTION+MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
28	3	f1r	f1r.3	7	cthes	1	G407-S001	1	ROLE_COMPOSED_TRANSFER	P	Kraut- oder Blattspecies der Mittelstufe	Kraut- oder Blattspecies der Mittelstufe	CTH_HERB+E_MIDDLE+S_TERM_SPECIES	STAGE+MATERIAL	STAGE+MATERIAL	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
29	3	f1r	f1r.3	8	daraiin	1	G407-S001	1	ROLE_COMPOSED_TRANSFER	P	drei Teile der ersten Fraktion abmessen	drei Teile der ersten Fraktion abmessen	D_MEASURE+AR_FRACTION_I+AIIN_III	ACTION+QUANTITY	ACTION+QUANTITY	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
30	3	f1r	f1r.3	9	sy	1	G407-S001	1	EXACT_V48	E	Saatgut in Grundform	Saatgut in Grundform	EXACT_V48_CARD	MATERIAL	MATERIAL	NEW_V13_ATTESTED_CONCRETE_DEFAULT	V13:SCOPED_RESIDUAL_HEAD_FORM	KNOWN_EXACT_WHOLE	90	0	NONE	NONE	0
31	4	f1r	f1r.4	1	soiin	1	G407-S001	1	EXACT_V48	E	Samen/Saatgutzubereitung, Form III	Samen/Saatgutzubereitung, Form III	EXACT_V48_CARD	FORM+MATERIAL	FORM+MATERIAL	NEW_V13_ATTESTED_CONCRETE_DEFAULT	V13:SCOPED_RESIDUAL_HEAD_FORM	KNOWN_EXACT_WHOLE	90	0	NONE	NONE	0
32	4	f1r	f1r.4	2	oteey	1	G407-S001	1	EXACT_V48	E	kalter Ansatz am Ende des Grades	kalter Ansatz am Ende des Grades	EXACT_V48_CARD	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
33	4	f1r	f1r.4	3	oteos	1	G407-S001	1	EXACT_V48	E	Kaltansatz-Charge auf mittlerer Stufe	Kaltansatz-Charge auf mittlerer Stufe	EXACT_V48_CARD	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	MEDIUM_EXACT_WHOLE	GDT665:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
34	4	f1r	f1r.4	4	roloty	1	G407-S001	1	ROLE_COMPOSED_TRANSFER	P	Wurzeldrogenstoff ansetzen, leicht kühlen und abschließen	Wurzeldrogenstoff ansetzen, leicht kühlen und abschließen	R_ROOT+OL_MATERIAL+O_PREP+T_COLD+Y_START_OR_CLOSE	ACTION+MATERIAL	ACTION+MATERIAL	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
35	4	f1r	f1r.4	5	cthiar	1	G407-S001	1	LOCAL_WHOLE_HYPOTHESIS	W	erste Kraut- oder Blattfraktion	erste Kraut- oder Blattfraktion	LEARNED_READER_ALIAS_CTHAR	MATERIAL	MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
36	4	f1r	f1r.4	6	daiin	1	G407-S001	1	EXACT_V48	E	Grad-/Maßwert III	drei Maße der vorstehenden Kraut- oder Blattfraktion	EXACT_V48_CARD	STAGE	QUANTITY+MATERIAL	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
37	4	f1r	f1r.4	7	okaiin	1	G407-S001	1	EXACT_V48	E	heiß, Grad III, im Ansatzrahmen	heiß, Grad III, im Ansatzrahmen	EXACT_V48_CARD	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	NEW_V11_TARGET_DEFAULT	V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE	80	0	NONE	NONE	0
38	4	f1r	f1r.4	8	or	1	G407-S001	1	EXACT_V48	E	Drogenportion	Drogenportion	EXACT_V48_CARD	MATERIAL	MATERIAL	EXACT_WHOLE_AR_OR_CONSOLIDATION	GDT654:REVISE_AMBIGUOUS_TO_EXACT	KNOWN_EXACT_WHOLE	150	0	NONE	NONE	0
39	4	f1r	f1r.4	9	okan	1	G407-S001	1	EXACT_V48	E	heiß im Zubereitungsrahmen, Grad I	heiß im Zubereitungsrahmen, Grad I	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	PRODUCTIVE_EXACT_SERIES	V13:QUALITY_DEGREE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	0
40	5	f1r	f1r.5	1	sair	1	G407-S001	1	EXACT_V48	E	Samenfraktion II	Samenfraktion II	EXACT_V48_CARD	MATERIAL	MATERIAL	NEW_V13_ATTESTED_CONCRETE_DEFAULT	V13:SCOPED_RESIDUAL_HEAD_FORM	KNOWN_EXACT_WHOLE	90	0	NONE	NONE	0
41	5	f1r	f1r.5	2	y	1	G407-S001	1	OCCURRENCE_SCOPED_TRANSFER	O	;	;	FREE_Y_OCCURRENCE	DESCRIPTOR	DESCRIPTOR	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	1	LEFT	sairy	0
42	5	f1r	f1r.5	3	chear	1	G407-S001	1	EXACT_V48	E	trockene Fraktion I	trockene Fraktion I	EXACT_V48_CARD	QUANTITY+STATE	QUANTITY+STATE	EXACT_WHOLE_SURFACE_COMPONENT_REPAIR	GDT639:ROUND_05	KNOWN_EXACT_WHOLE	120	0	NONE	NONE	0
43	5	f1r	f1r.5	4	cthaiin	1	G407-S001	1	EXACT_V48	E	Blatt-/Krautgut, Menge/Klasse III	Blatt-/Krautgut, Menge/Klasse III	EXACT_V48_CARD	QUANTITY+FORM+MATERIAL	QUANTITY+FORM+MATERIAL	PRODUCTIVE_EXACT_SERIES	V13:PART_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	0
44	5	f1r	f1r.5	5	cphar	1	G407-S001	1	ROLE_COMPOSED_TRANSFER	P	erste Kompositumfraktion	erste Kompositumfraktion	CPH_COMPOSITE+AR_FRACTION_I	MATERIAL	MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
45	5	f1r	f1r.5	6	cfhaiin	1	G407-S001	1	LOCAL_WHOLE_HYPOTHESIS	W	Blütendroge, Menge III	Blütendroge, Menge III	LEARNED_FLOWER_WHOLE	QUANTITY+MATERIAL	QUANTITY+MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
46	6	f1r	f1r.6	1	ydaraishy	1	G407-S001	1	LOCAL_WHOLE_HYPOTHESIS	W	hiervon die erste Fraktion abmessen, leicht einweichen und abschließen	hiervon die erste Fraktion abmessen, leicht einweichen und abschließen	LEARNED_YDARAISHY_WHOLE	ACTION+QUANTITY+REFERENCE	ACTION+QUANTITY+REFERENCE	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
47	7	f1r	f1r.7	1	odar	2	G407-S002	1	ROLE_COMPOSED_TRANSFER	P	erste Ansatzfraktion abmessen	erste Ansatzfraktion abmessen	O_PREP+D_MEASURE+AR_FRACTION_I	ACTION+MATERIAL	ACTION+MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
48	7	f1r	f1r.7	2	shol	2	G407-S002	1	EXACT_V48	E	feucht; nominal feuchtes Gut/Material	feucht; nominal feuchtes Gut/Material	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_PRIMARY_DEFAULT	V13:MOIST_OL_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
49	7	f1r	f1r.7	3	cphoy	2	G407-S002	1	ROLE_COMPOSED_TRANSFER	P	Kompositum ansetzen und leicht abschließen	Kompositum ansetzen und leicht abschließen	CPH_COMPOSITE+O_PREP+Y_START_OR_CLOSE	ACTION+MATERIAL	ACTION+MATERIAL	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
50	7	f1r	f1r.7	4	oydar	2	G407-S002	1	ROLE_COMPOSED_TRANSFER	P	erste Fraktion des Grundansatzes abmessen	erste Fraktion des Grundansatzes abmessen	OY_PREP_BASE+D_MEASURE+AR_FRACTION_I	ACTION+QUANTITY+MATERIAL	ACTION+QUANTITY+MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
51	7	f1r	f1r.7	5	sh	2	G407-S002	1	EXACT_V48	E	einweichen	einweichen	EXACT_V48_CARD	ACTION	ACTION	CONTEXT_READER_MERGE__FREE_DEFAULT_EXPLORATORY	GDT669:CONTEXT_SHORT_DEFAULT	KNOWN_CONTEXT_LICENSED	165	0	NONE	NONE	0
52	7	f1r	f1r.7	6	s	2	G407-S002	1	OCCURRENCE_SCOPED_TRANSFER	O	Species- oder Chargensiglum	Species- oder Chargensiglum	FREE_S_OCCURRENCE	MATERIAL	MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
53	7	f1r	f1r.7	7	cfhoaiin	2	G407-S002	1	LOCAL_WHOLE_HYPOTHESIS	W	Blütenansatz, Menge III	Blütenansatz, Menge III	LEARNED_FLOWER_WHOLE	QUANTITY+MATERIAL	QUANTITY+MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
54	7	f1r	f1r.7	8	shodary	2	G407-S002	1	ROLE_COMPOSED_TRANSFER	P	erste Feuchtansatzfraktion abmessen und abschließen	erste Feuchtansatzfraktion abmessen und abschließen	SH_MOIST+O_PREP+D_MEASURE+AR_FRACTION_I+Y_START_OR_CLOSE	ACTION+MATERIAL+STATE	ACTION+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
55	8	f1r	f1r.8	1	yshey	2	G407-S002	1	EXACT_V48	E	weiche hiervon bis zur mittleren Stufe ein	weiche hiervon bis zur mittleren Stufe ein	EXACT_V48_CARD	ACTION+QUANTITY+STAGE+REFERENCE	ACTION+QUANTITY+STAGE+REFERENCE	MEDIUM_EXACT_WHOLE	GDT664:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
56	8	f1r	f1r.8	2	shody	2	G407-S002	1	EXACT_V48	E	vollständig eingeweichter Ansatz	vollständig eingeweichter Ansatz	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT663:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
57	8	f1r	f1r.8	3	okchoy	3	G407-S003	1	ROLE_COMPOSED_TRANSFER	P	heißen Ansatz trocknen, erneut ansetzen und abschließen	heißen Ansatz trocknen, erneut ansetzen und abschließen	O_PREP+K_HOT+CH_DRY+O_PREP+Y_START_OR_CLOSE	ACTION+MATERIAL+STATE	ACTION+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
58	8	f1r	f1r.8	4	otchol	3	G407-S003	1	EXACT_V48	E	kalt-trockener Zubereitungsstoff	kalt-trockener Zubereitungsstoff	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	EXACT_WHOLE_SURFACE_PROMOTION	GDT638:ROUND_06	KNOWN_EXACT_WHOLE	110	0	NONE	NONE	0
59	8	f1r	f1r.8	5	chocthy	3	G407-S003	1	EXACT_V48	E	trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung	trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	REVISED_V10_CONCRETE_DEFAULT	V13:DRY_CTH_PREPARATION	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
60	8	f1r	f1r.8	6	os	3	G407-S003	1	ROLE_COMPOSED_TRANSFER	P	Ansatzcharge	Ansatzcharge	O_PREP+S_TERM_SPECIES	MATERIAL	MATERIAL	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
61	8	f1r	f1r.8	7	chy	3	G407-S003	1	EXACT_V48	E	trocken am Anfang des Grades	trocken am Anfang des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
62	8	f1r	f1r.8	8	dain	3	G407-S003	1	EXACT_V48	E	Grad-/Maßwert II	zwei Maße des folgenden Pflanzenteils	EXACT_V48_CARD	STAGE	QUANTITY	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
63	8	f1r	f1r.8	9	chor	3	G407-S003	1	EXACT_V48	E	Pflanzen-/Reproduktionsteil	Pflanzen-/Reproduktionsteil	EXACT_V48_CARD	DESCRIPTOR	DESCRIPTOR	INHERITED_CONTEXT_SPLIT	V13:PART_OR_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
64	8	f1r	f1r.8	10	kos	3	G407-S003	1	ROLE_COMPOSED_TRANSFER	P	Charge Heißansatz	Charge Heißansatz	K_HOT+O_PREP+S_TERM_SPECIES	MATERIAL+STATE	MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
65	9	f1r	f1r.9	1	daiin	3	G407-S003	1	EXACT_V48	E	Grad-/Maßwert III	drei Maße der folgenden Charge Feuchtansatz	EXACT_V48_CARD	STAGE	QUANTITY+MATERIAL+STATE	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
66	9	f1r	f1r.9	2	shos	3	G407-S003	1	ROLE_COMPOSED_TRANSFER	P	Charge Feuchtansatz	Charge Feuchtansatz	SH_MOIST+O_PREP+S_TERM_SPECIES	MATERIAL+STATE	MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
67	9	f1r	f1r.9	3	cfhol	3	G407-S003	1	LOCAL_WHOLE_HYPOTHESIS	W	Blütendrogenstoff oder Blütenauszug	Blütendrogenstoff oder Blütenauszug	LEARNED_FLOWER_WHOLE	MATERIAL	MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
68	9	f1r	f1r.9	4	shody	3	G407-S003	1	EXACT_V48	E	vollständig eingeweichter Ansatz	vollständig eingeweichter Ansatz	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT663:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
69	10	f1r	f1r.10	1	dain	4	G407-S004	1	EXACT_V48	E	Grad-/Maßwert II	zwei Maße der folgenden Ansatzcharge	EXACT_V48_CARD	STAGE	QUANTITY+MATERIAL	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
70	10	f1r	f1r.10	2	os	4	G407-S004	1	ROLE_COMPOSED_TRANSFER	P	Ansatzcharge	Ansatzcharge	O_PREP+S_TERM_SPECIES	MATERIAL	MATERIAL	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
71	10	f1r	f1r.10	3	teody	4	G407-S004	1	EXACT_V48	E	kühle den Ansatz ab und schließe	kühle den Ansatz ab und schließe	EXACT_V48_CARD	ACTION+MATERIAL	ACTION+MATERIAL	MEDIUM_EXACT_WHOLE	GDT664:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
72	11	f1r	f1r.11	1	ydain	5	G407-S005	1	EXACT_V48	E	davon zwei Maße	davon zwei Maße	EXACT_V48_CARD	QUANTITY+REFERENCE	QUANTITY+REFERENCE	MEDIUM_EXACT_WHOLE	GDT664:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
73	11	f1r	f1r.11	2	cphesaiin	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	drei Teile Saatgut-Kompositum der Mittelstufe	drei Teile Saatgut-Kompositum der Mittelstufe	CPH_COMPOSITE+E_MIDDLE+S_SEED+AIIN_III	QUANTITY+STAGE+MATERIAL	QUANTITY+STAGE+MATERIAL	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
74	11	f1r	f1r.11	3	ols	5	G407-S005	1	EXACT_V48	E	Drogenstoffposten	Drogenstoffposten	EXACT_V48_CARD	MATERIAL	MATERIAL	MEDIUM_EXACT_WHOLE	GDT661:EXACT_WHOLE	KNOWN_EXACT_WHOLE	220	0	NONE	NONE	0
75	11	f1r	f1r.11	4	cphey	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	Kompositum auf Mittelstufe, abgeschlossen	Kompositum auf Mittelstufe, abgeschlossen	CPH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
