line_ordinal	locus	frame	action_token_indices	quantity_token_indices	reference_token_indices	learned_token_indices	occurrence_token_indices	value_attachment_token_indices	renderer_rules	working_translation_de
11	f1r.11	INSTRUCTION	5,6,7	1,2	1,5	8	NONE	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Davon zwei Maße; drei Teile Saatgut-Kompositum der Mittelstufe; Drogenstoffposten; Kompositum auf Mittelstufe, abgeschlossen; hiervon auf Kältestufe II abkühlen; den Feuchtansatz erneut leicht einweichen und abschließen; Rohstoffmenge I des Kompositumansatzes abmessen; ⟦≈Mittelstufen-Species?⟧.
12	f1r.12	INSTRUCTION	1,2,4	3,6,8	NONE	7	NONE	8	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Ansatz erhitzen, einweichen und erneut ansetzen; anschließend erhitzen, einweichen, ansetzen und abschließen. Kaltansatz, zweite Fraktion, Form II; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen; Ansatz auf Heizstufe I; zwei Dosen Feuchtansatz; ⟦≈drei Maße des auf Mittelstufe abgeschlossenen Saatgut-Kompositums?⟧.
13	f1r.13	MIXED	1,8,9	3,5,8	NONE	5	9	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Feuchtansatz leicht abschließen; Arzneikompositum auf Mittelstufe; drei Dosen erhitzte Zubereitung; Arzneikompositum in Grundform; ⟦≈Kompositumansatz-Species mit unbestimmter Dosis- oder Holzeinlage?⟧; Kraut- oder Blattdroge Form I; Feuchtansatz; zwei Dosen Holzdroge im Ansatz abmessen; abschließen?
14	f1r.14	MIXED	10	1,5,8	NONE	8	NONE	1,8	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Zwei Maße der Zubereitungsform III; Trockendroge; drei Dosen Zubereitung; zwei Dosen Trockenansatz; trocken am Anfang des Grades, abgeschlossen; Ansatz auf Heizstufe II; ⟦≈eine Dosis beziehungsweise ein Teil Krautdroge?⟧; Heißansatz abschließen.
15	f1r.15	CATALOGUE	NONE	1	NONE	3	4	1	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Drei Maße des feuchten Arzneikompositums auf Mittelstufe; ⟦≈Mittelstufenansatz?⟧. Wurzel: erste Trockenfraktion; Feuchtstufe Mitte; heiße Droge; zweimal Trockendroge; heiße Drogenportion; Rohstoffklasse I, trocken am Gradanfang.
16	f1r.16	MIXED	6,10	3,6,8,10	NONE	NONE	6	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Feuchtansatz; Trockendroge; eine Dosis Feuchtansatz; heiß-feuchte Grundstufe; heiß-trockene Grundstufe; eine Drogenportion abmessen; drei Dosen Trockenansatz; Feuchtansatz; ein Maß Ansatz bis zur Mittelstufe erhitzen.
17	f1r.17	MIXED	3	NONE	NONE	6,8	NONE	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Eintrag: Trockenansatz; kalt und trocken auf Mittelstufe; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; Feuchtzubereitung; eingeweichter Pulverstoff; ⟦≈zweimalige Fertigstellung mit Schluss?⟧; Krautdroge; ⟦≈abgemessene Drogenportion, abgeschlossen?⟧.
18	f1r.18	INSTRUCTION	1,4	1,6,7,8	1	4,9	NONE	7,8	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Hiervon einen Ansatz abkühlen; Feuchtdroge, zusätzlich feucht gebunden. ⟦≈Heißansatz abschließen und anschließend bis zur Mittelstufe einweichen?⟧; ⟦≈Rohdroge-I-Kompositum auf Mittelstufe, abgeschlossen?⟧; zwei Teile der ersten abgemessenen Fraktion; zwei Maße der ⟦≈abgeschlossenen Kompositum-Species?⟧.
19	f1r.19	MIXED	1,8	2	NONE	8	NONE	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Erste Trockenfraktion abmessen; drei Teile eingeweichte Krautdroge; dritte erhitzte Ansatzfraktion; trocken auf Mittelstufe; trocken am Anfang des Grades; kalte Droge; Charge Krautdrogenstoff; ⟦≈Holzdroge abmessen und zweimal ansetzen?⟧.
20	f1r.20	MIXED	1	4	NONE	NONE	NONE	4	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Den Feuchtansatz erhitzen. Pflanzenteil oder Blüten- beziehungsweise Fruchtteil, trocken auf Mittelstufe; zwei Maße des folgenden Arzneikompositums auf Mittelstufe.
21	f1r.21	CATALOGUE	NONE	2	NONE	NONE	NONE	2	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Vier Maße der kalten Zubereitung.
22	f1r.22	MIXED	3,7	8,10	NONE	5,7	NONE	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Kompositumansatz; Feuchtstufe III; den Feuchtansatz erhitzen, vollständig trocknen und abschließen; Trockendroge; ⟦≈kalt-feuchte Ansatzspecies auf Endstufe, abgeschlossen?⟧; Feuchtstufe Mitte; ⟦≈Enddosis Pulver abmessen und abschließen?⟧; ein Teil Trockendroge; Wurzelansatz; erste abgemessene Fraktion.
23	f1r.23	INSTRUCTION	1,6	1,3,5,6,8	1	NONE	NONE	3	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Hiervon eine Ansatzportion der Form II abmessen; zwei Maße Trockendroge; Kraut- oder Blattdroge aus Rohdroge I; erste abgemessene Fraktion; die erste Fraktion bis zur Mittelstufe einweichen; Heizstufe III; erste abgemessene Fraktion; Feuchtstufe Mitte; erste Kraut- oder Blattfraktion.
24	f1r.24	MIXED	10	4,6,9,10	NONE	NONE	NONE	6,9	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Trockenansatz mit Ansatzwasser auf Heizstufe III; drei Teile Feuchtansatz; drei Maße des heißen Ansatzstoffs; Pflanzendroge; drei Maße des Krautdrogenstoffs; die erste Fraktion Krautdrogenstoff abmessen.
25	f1r.25	INSTRUCTION	1,6,8	4,8	1	8	NONE	4	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Hiervon bis zur Trocken-Endstufe trocknen; heißer Ansatz auf Endstufe; drei Maße des heißen Ansatzes am Gradanfang; heiß-trockener Ansatz auf Mittelstufe; den Ansatz erhitzen und erneut auf Stufe III erhitzen; Ansatz aus Trockendroge; ⟦≈eine erhitzte Dosis trocknen und abschließen?⟧; Rohstoffmenge I.
26	f1r.26	INSTRUCTION	1,3	1,10	NONE	NONE	5	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Eine Dosis bis zur Mittelstufe trocknen und ansetzen; fertig eingeweichter Ansatz; heißen Ansatz bis zur Mittelstufe einweichen und abschließen; Krautdroge; heiß-trockener Ansatz auf Mittelstufe; zweimal heiß auf Endstufe; Rohstoffmenge I; eine Portion trocken-abgekühlte Droge.
27	f1r.27	INSTRUCTION	3,5	NONE	NONE	1	NONE	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	⟦≈Mittelstufenansatz?⟧; Trockendroge; den Trockenansatz erhitzen; kalter Trockenansatz; den Trockenansatz bis zur Mittelstufe abkühlen und abschließen.
28	f1r.28	CATALOGUE	NONE	NONE	NONE	NONE	NONE	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Abgemessene Trockendroge, Grad III.
