token_ordinal_global	line_ordinal	page	locus	token_index	eva	statement_ordinal	statement_id	gdt589_surface_match
103	14	f1r	f1r.14	7	okain	5	G407-S005	1
104	14	f1r	f1r.14	8	dn	5	G407-S005	1
105	14	f1r	f1r.14	9	cthy	5	G407-S005	1
106	14	f1r	f1r.14	10	kod	5	G407-S005	1
107	15	f1r	f1r.15	1	daiin	5	G407-S005	1
108	15	f1r	f1r.15	2	shckhey	5	G407-S005	1
109	15	f1r	f1r.15	3	eo	5	G407-S005	1
110	15	f1r	f1r.15	4	r	5	G407-S005	1
111	15	f1r	f1r.15	5	char	5	G407-S005	1
112	15	f1r	f1r.15	6	shey	5	G407-S005	1
113	15	f1r	f1r.15	7	kol	5	G407-S005	1
114	15	f1r	f1r.15	8	chol	5	G407-S005	1
115	15	f1r	f1r.15	9	chol	5	G407-S005	1
116	15	f1r	f1r.15	10	kor	5	G407-S005	1
117	15	f1r	f1r.15	11	chal	5	G407-S005	1
118	16	f1r	f1r.16	1	sho	5	G407-S005	1
119	16	f1r	f1r.16	2	chol	5	G407-S005	1
120	16	f1r	f1r.16	3	shodan	5	G407-S005	1
121	16	f1r	f1r.16	4	kshy	5	G407-S005	1
122	16	f1r	f1r.16	5	kchy	5	G407-S005	1
123	16	f1r	f1r.16	6	d	5	G407-S005	1
124	16	f1r	f1r.16	7	or	5	G407-S005	1
125	16	f1r	f1r.16	8	chodaiin	5	G407-S005	1
126	16	f1r	f1r.16	9	sho	5	G407-S005	1
127	16	f1r	f1r.16	10	koeam	5	G407-S005	1
128	17	f1r	f1r.17	1	ycho	5	G407-S005	1
129	17	f1r	f1r.17	2	tchey	5	G407-S005	1
130	17	f1r	f1r.17	3	chekain	5	G407-S005	1
131	17	f1r	f1r.17	4	sheo	5	G407-S005	1
132	17	f1r	f1r.17	5	pshol	5	G407-S005	1
133	17	f1r	f1r.17	6	dydyd	5	G407-S005	1
134	17	f1r	f1r.17	7	cthy	5	G407-S005	1
135	17	f1r	f1r.17	8	daiy	5	G407-S005	1
136	18	f1r	f1r.18	1	yto	5	G407-S005	1
137	18	f1r	f1r.18	2	shol	5	G407-S005	1
138	18	f1r	f1r.18	3	she	5	G407-S005	1
139	18	f1r	f1r.18	4	kodshey	5	G407-S005	1
140	18	f1r	f1r.18	5	cphealy	5	G407-S005	1
141	18	f1r	f1r.18	6	dar	5	G407-S005	1
142	18	f1r	f1r.18	7	ain	5	G407-S005	1
143	18	f1r	f1r.18	8	dain	5	G407-S005	1
144	18	f1r	f1r.18	9	ckhyds	5	G407-S005	1
145	19	f1r	f1r.19	1	dchar	5	G407-S005	1
146	19	f1r	f1r.19	2	shcthaiin	5	G407-S005	1
147	19	f1r	f1r.19	3	okaiir	5	G407-S005	1
148	19	f1r	f1r.19	4	chey	5	G407-S005	1
149	19	f1r	f1r.19	5	chy	5	G407-S005	1
150	19	f1r	f1r.19	6	tol	5	G407-S005	1
151	19	f1r	f1r.19	7	cthols	5	G407-S005	1
152	19	f1r	f1r.19	8	dloo	5	G407-S005	1
153	20	f1r	f1r.20	1	shok	5	G407-S005	1
154	20	f1r	f1r.20	2	chor	5	G407-S005	1
155	20	f1r	f1r.20	3	chey	5	G407-S005	1
156	20	f1r	f1r.20	4	dain	5	G407-S005	1
157	20	f1r	f1r.20	5	ckhey	5	G407-S005	1
158	21	f1r	f1r.21	1	otol	5	G407-S005	1
159	21	f1r	f1r.21	2	daiiin	5	G407-S005	1
160	22	f1r	f1r.22	1	cpho	6	G407-S006	1
161	22	f1r	f1r.22	2	shaiin	6	G407-S006	1
162	22	f1r	f1r.22	3	shokcheey	6	G407-S006	1
163	22	f1r	f1r.22	4	chol	6	G407-S006	1
164	22	f1r	f1r.22	5	tshodeesy	6	G407-S006	1
165	22	f1r	f1r.22	6	shey	6	G407-S006	1
166	22	f1r	f1r.22	7	pydeey	6	G407-S006	1
167	22	f1r	f1r.22	8	cha	6	G407-S006	1
168	22	f1r	f1r.22	9	ro	6	G407-S006	1
169	22	f1r	f1r.22	10	dar	6	G407-S006	1
170	23	f1r	f1r.23	1	ydoin	6	G407-S006	1
171	23	f1r	f1r.23	2	chol	6	G407-S006	1
172	23	f1r	f1r.23	3	dain	6	G407-S006	1
173	23	f1r	f1r.23	4	cthal	6	G407-S006	1
174	23	f1r	f1r.23	5	dar	6	G407-S006	1
175	23	f1r	f1r.23	6	shear	6	G407-S006	1
176	23	f1r	f1r.23	7	kaiin	6	G407-S006	1
177	23	f1r	f1r.23	8	dar	6	G407-S006	1
178	23	f1r	f1r.23	9	shey	6	G407-S006	1
179	23	f1r	f1r.23	10	cthar	6	G407-S006	1
180	24	f1r	f1r.24	1	cho	6	G407-S006	1
181	24	f1r	f1r.24	2	o	6	G407-S006	1
182	24	f1r	f1r.24	3	kaiin	6	G407-S006	1
183	24	f1r	f1r.24	4	shoaiin	6	G407-S006	1
184	24	f1r	f1r.24	5	okol	6	G407-S006	1
185	24	f1r	f1r.24	6	daiin	6	G407-S006	1
186	24	f1r	f1r.24	7	far	6	G407-S006	1
187	24	f1r	f1r.24	8	cthol	6	G407-S006	1
188	24	f1r	f1r.24	9	daiin	6	G407-S006	1
189	24	f1r	f1r.24	10	ctholdar	6	G407-S006	1
190	25	f1r	f1r.25	1	ycheey	6	G407-S006	1
191	25	f1r	f1r.25	2	okeey	6	G407-S006	1
192	25	f1r	f1r.25	3	oky	6	G407-S006	1
193	25	f1r	f1r.25	4	daiin	6	G407-S006	1
194	25	f1r	f1r.25	5	okchey	6	G407-S006	1
195	25	f1r	f1r.25	6	kokaiin	6	G407-S006	1
196	25	f1r	f1r.25	7	ochol	6	G407-S006	1
197	25	f1r	f1r.25	8	kdchy	6	G407-S006	1
198	25	f1r	f1r.25	9	dal	6	G407-S006	1
199	26	f1r	f1r.26	1	dcheo	6	G407-S006	1
200	26	f1r	f1r.26	2	shody	6	G407-S006	1
201	26	f1r	f1r.26	3	koshey	7	G407-S007	1
202	26	f1r	f1r.26	4	cthy	7	G407-S007	1
203	26	f1r	f1r.26	5	ok	7	G407-S007	1
204	26	f1r	f1r.26	6	chey	7	G407-S007	1
205	26	f1r	f1r.26	7	keey	7	G407-S007	1
206	26	f1r	f1r.26	8	keey	7	G407-S007	1
207	26	f1r	f1r.26	9	dal	7	G407-S007	1
208	26	f1r	f1r.26	10	chtor	7	G407-S007	1
209	27	f1r	f1r.27	1	eo	7	G407-S007	1
210	27	f1r	f1r.27	2	chol	7	G407-S007	1
211	27	f1r	f1r.27	3	chok	7	G407-S007	1
212	27	f1r	f1r.27	4	choty	7	G407-S007	1
213	27	f1r	f1r.27	5	chotey	7	G407-S007	1
214	28	f1r	f1r.28	1	dchaiin	7	G407-S007	1
