line_ordinal	page	locus	token_count	zl3b_line	it2a_line	rf1b_line	all_present_exact	exact_v48_tokens	composed_transfer_tokens	learned_transfer_tokens	occurrence_transfer_tokens	literal_token_glosses_de	contextual_token_values_de	frame	working_translation_de	uncertainty_note	learned_token_indices	occurrence_token_indices	value_attachment_token_indices
11	f1r	f1r.11	8	ydain cphesaiin ols cphey ytain shoshy cphodal es	ydain cphesaiin ol s cphey ytain shoshy cphodales	ydain cphesaiin ols cphey ytain shoshy cphodal es	0	2	5	1	0	ydain = davon zwei Maße | cphesaiin = drei Teile Saatgut-Kompositum der Mittelstufe | ols = Drogenstoffposten | cphey = Kompositum auf Mittelstufe, abgeschlossen | ytain = hiervon auf Kältestufe II abkühlen | shoshy = Feuchtansatz erneut leicht einweichen und abschließen | cphodal = Rohstoffmenge I des Kompositumansatzes abmessen | es = Mittelstufen-Species	ydain = davon zwei Maße | cphesaiin = drei Teile Saatgut-Kompositum der Mittelstufe | ols = Drogenstoffposten | cphey = Kompositum auf Mittelstufe, abgeschlossen | ytain = hiervon auf Kältestufe II abkühlen | shoshy = Feuchtansatz erneut leicht einweichen und abschließen | cphodal = Rohstoffmenge I des Kompositumansatzes abmessen | es = Mittelstufen-Species	INSTRUCTION	Davon zwei Maße; drei Teile Saatgut-Kompositum der Mittelstufe; Drogenstoffposten; Kompositum auf Mittelstufe, abgeschlossen; hiervon auf Kältestufe II abkühlen; den Feuchtansatz erneut leicht einweichen und abschließen; Rohstoffmenge I des Kompositumansatzes abmessen; ⟦≈Mittelstufen-Species?⟧.	es ist LOW gelernt	8	NONE	NONE
12	f1r	f1r.12	8	oksho kshoy otairin oteol okan shodain sckhey daiin	oksho kshoy otairin oteol okan shodain sckhey daiin	oksho kshoy otairin oteol okan shodain schy daiin	0	3	4	1	0	oksho = Ansatz erhitzen, einweichen und erneut ansetzen | kshoy = erhitzen, einweichen, ansetzen und abschließen | otairin = Kaltansatz, zweite Fraktion, Form II | oteol = Drogenstoff im Ansatz bis zur Mittelstufe abkühlen | okan = heiß im Zubereitungsrahmen, Grad I | shodain = zwei Dosen Feuchtansatz | sckhey = Saatgut-Kompositum auf Mittelstufe, abgeschlossen | daiin = Grad-/Maßwert III	oksho = Ansatz erhitzen, einweichen und erneut ansetzen | kshoy = erhitzen, einweichen, ansetzen und abschließen | otairin = Kaltansatz, zweite Fraktion, Form II | oteol = Drogenstoff im Ansatz bis zur Mittelstufe abkühlen | okan = heiß im Zubereitungsrahmen, Grad I | shodain = zwei Dosen Feuchtansatz | sckhey = Saatgut-Kompositum auf Mittelstufe, abgeschlossen | daiin = drei Maße des vorstehenden Saatgut-Kompositums	INSTRUCTION	Ansatz erhitzen, einweichen und erneut ansetzen; anschließend erhitzen, einweichen, ansetzen und abschließen. Kaltansatz, zweite Fraktion, Form II; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen; Ansatz auf Heizstufe I; zwei Dosen Feuchtansatz; ⟦≈drei Maße des auf Mittelstufe abgeschlossenen Saatgut-Kompositums?⟧.	sckhey ist LOW gelernt	7	NONE	8
13	f1r	f1r.13	9	shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d	shoy ckhey kodaiin cphy cphodaiils cthey she oldain d	shoy ckhey kodaiin cphy cphodaiils y sho ol ain	0	5	2	1	1	shoy = Feuchtansatz leicht abschließen | ckhey = Arzneikompositum in der Gradmitte | kodaiin = erhitzte Zubereitung, Dosis III | cphy = Arzneikompositum in Grundform | cphodaiils = Kompositumansatz-Species mit unbestimmter Dosis- oder Holzeinlage | cthey = CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | sho = feuchter Ansatz | oldain = zwei Dosen Holzdroge im Ansatz abmessen | d = abschließen?	shoy = Feuchtansatz leicht abschließen | ckhey = Arzneikompositum in der Gradmitte | kodaiin = erhitzte Zubereitung, Dosis III | cphy = Arzneikompositum in Grundform | cphodaiils = Kompositumansatz-Species mit unbestimmter Dosis- oder Holzeinlage | cthey = CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I | sho = feuchter Ansatz | oldain = zwei Dosen Holzdroge im Ansatz abmessen | d = abschließen?	MIXED	Feuchtansatz leicht abschließen; Arzneikompositum auf Mittelstufe; drei Dosen erhitzte Zubereitung; Arzneikompositum in Grundform; ⟦≈Kompositumansatz-Species mit unbestimmter Dosis- oder Holzeinlage?⟧; Kraut- oder Blattdroge Form I; Feuchtansatz; zwei Dosen Holzdroge im Ansatz abmessen; abschließen?	cphodaiils und freies d sind LOW oder reader-instabil; RF1b liest y statt cthey sowie ol ain statt oldain und lässt finales d aus	5	9	NONE
14	f1r	f1r.14	10	dain oiin chol odaiin chodain chdy okain dn cthy kod	dain oiin chol odaiin chodain chdy okain dan cthy kod	dain oiin chol odaiin chodain chdy okain an cthy kod	0	7	2	1	0	dain = Grad-/Maßwert II | oiin = Zubereitungsform III | chol = trocken; nominal trockenes Gut/Material | odaiin = Zubereitungsdosis III | chodain = zwei Dosen Trockenansatz | chdy = trocken am Anfang des Grades, abgeschlossen | okain = heiß im Zubereitungsrahmen, Grad II | dn = Grad- oder Maßwert I | cthy = CTH-Drogenmaterial | kod = Heißansatz abschließen	dain = zwei Maße der folgenden Zubereitungsform III | oiin = Zubereitungsform III | chol = trocken; nominal trockenes Gut/Material | odaiin = Zubereitungsdosis III | chodain = zwei Dosen Trockenansatz | chdy = trocken am Anfang des Grades, abgeschlossen | okain = heiß im Zubereitungsrahmen, Grad II | dn = eine Dosis beziehungsweise ein Teil der folgenden Krautdroge | cthy = CTH-Drogenmaterial | kod = Heißansatz abschließen	MIXED	Zwei Maße der Zubereitungsform III; Trockendroge; drei Dosen Zubereitung; zwei Dosen Trockenansatz; trocken am Anfang des Grades, abgeschlossen; Ansatz auf Heizstufe II; ⟦≈eine Dosis beziehungsweise ein Teil Krautdroge?⟧; Heißansatz abschließen.	dn ist ein MEDIUM Leseralias; IT2a dan und RF1b an binden beide rechts an cthy	8	NONE	1,8
15	f1r	f1r.15	11	daiin shckhey eo r char shey kol chol chol kor chal	daiin shckhey ckeor chor shey kol chol chol kor chal	daiin shckhey ckho r char shey kol chol chol kor chal	0	9	0	1	1	daiin = Grad-/Maßwert III | shckhey = Arzneikompositum: feucht, Gradmitte | eo = Mittelstufenansatz | r = Wurzel: | char = Trockenfraktion I | shey = feucht in der Mitte des Grades | kol = heiß; nominal heißes Gut/Material | chol = trocken; nominal trockenes Gut/Material | chol = trocken; nominal trockenes Gut/Material | kor = heiße Drogenportion | chal = Rohstoffklasse I, trocken am Gradanfang	daiin = drei Maße des folgenden feuchten Kompositums | shckhey = Arzneikompositum: feucht, Gradmitte | eo = Mittelstufenansatz | r = Wurzel: | char = Trockenfraktion I | shey = feucht in der Mitte des Grades | kol = heiß; nominal heißes Gut/Material | chol = trocken; nominal trockenes Gut/Material | chol = trocken; nominal trockenes Gut/Material | kor = heiße Drogenportion | chal = Rohstoffklasse I, trocken am Gradanfang	CATALOGUE	Drei Maße des feuchten Arzneikompositums auf Mittelstufe; ⟦≈Mittelstufenansatz?⟧. Wurzel: erste Trockenfraktion; Feuchtstufe Mitte; heiße Droge; zweimal Trockendroge; heiße Drogenportion; Rohstoffklasse I, trocken am Gradanfang.	eo ist LOW und seine Lesergrenze instabil; r bindet occurrence-spezifisch rechts	3	4	1
16	f1r	f1r.16	10	sho chol shodan kshy kchy d or chodaiin sho koeam	sho chol shodan kshy kchy dor chodaiin sho kchom	sho chol shodan kshy kchy d or chodaiin sho keeam	0	7	2	0	1	sho = feuchter Ansatz | chol = trocken; nominal trockenes Gut/Material | shodan = eine Dosis Feuchtansatz | kshy = heiß und feucht am Anfang des Grades | kchy = heiß und trocken am Anfang des Grades | d = eine Portion abmessen | or = Drogenportion | chodaiin = Trockenansatz, Dosis III | sho = feuchter Ansatz | koeam = ein Maß Ansatz bis zur Mittelstufe erhitzen	sho = feuchter Ansatz | chol = trocken; nominal trockenes Gut/Material | shodan = eine Dosis Feuchtansatz | kshy = heiß und feucht am Anfang des Grades | kchy = heiß und trocken am Anfang des Grades | d = eine Portion abmessen | or = Drogenportion | chodaiin = Trockenansatz, Dosis III | sho = feuchter Ansatz | koeam = ein Maß Ansatz bis zur Mittelstufe erhitzen	MIXED	Feuchtansatz; Trockendroge; eine Dosis Feuchtansatz; heiß-feuchte Grundstufe; heiß-trockene Grundstufe; eine Drogenportion abmessen; drei Dosen Trockenansatz; Feuchtansatz; ein Maß Ansatz bis zur Mittelstufe erhitzen.	d und or werden bilateral als dor gelesen; beide Token bleiben sichtbar; koeam variiert als kchom oder keeam	NONE	6	NONE
17	f1r	f1r.17	8	ycho tchey chekain sheo pshol dydyd cthy daiy	ycho tchey chokain sheo pshol dydyd cthy daicthy	ycho tchey chekain sheopshol dydyd cthy daiy	0	5	1	2	0	ycho = Eintrag: Trockenansatz | tchey = kalt und trocken in der Mitte des Grades | chekain = bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen | sheo = Feuchtzubereitung | pshol = eingeweichter Pulverstoff | dydyd = zweifacher Fertigstellungs- und Abschlusscode | cthy = CTH-Drogenmaterial | daiy = abgemessene Drogenportion, abgeschlossen	ycho = Eintrag: Trockenansatz | tchey = kalt und trocken in der Mitte des Grades | chekain = bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen | sheo = Feuchtzubereitung | pshol = eingeweichter Pulverstoff | dydyd = zweifacher Fertigstellungs- und Abschlusscode | cthy = CTH-Drogenmaterial | daiy = abgemessene Drogenportion, abgeschlossen	MIXED	Eintrag: Trockenansatz; kalt und trocken auf Mittelstufe; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; Feuchtzubereitung; eingeweichter Pulverstoff; ⟦≈zweimalige Fertigstellung mit Schluss?⟧; Krautdroge; ⟦≈abgemessene Drogenportion, abgeschlossen?⟧.	dydyd ist LOW und daiy MEDIUM gelernt; Leser unterscheiden chekain oder chokain sowie daiy oder daicthy	6,8	NONE	NONE
18	f1r	f1r.18	9	yto shol she kodshey cphealy dar ain dain ckhyds	yto shol she kodshey cphealy dasain dain ckhyds	to shol she kodshey cphealy dar ain dain ckhyds	0	5	2	2	0	yto = hiervon einen Ansatz abkühlen | shol = feucht; nominal feuchtes Gut/Material | she = feucht, attributiv gebunden | kodshey = Heißansatz abschließen und anschließend bis Mittelstufe einweichen | cphealy = Rohdroge-I-Kompositum bis Mittelstufe, abgeschlossen | dar = abgemessene Fraktion I | ain = Menge-/Klassenwert II | dain = Grad-/Maßwert II | ckhyds = abgeschlossene Kompositum-Species	yto = hiervon einen Ansatz abkühlen | shol = feucht; nominal feuchtes Gut/Material | she = feucht, attributiv gebunden | kodshey = Heißansatz abschließen und anschließend bis Mittelstufe einweichen | cphealy = Rohdroge-I-Kompositum bis Mittelstufe, abgeschlossen | dar = abgemessene Fraktion I | ain = zwei Teile der vorstehenden ersten Fraktion | dain = zwei Maße der folgenden Kompositum-Species | ckhyds = abgeschlossene Kompositum-Species	INSTRUCTION	Hiervon einen Ansatz abkühlen; Feuchtdroge, zusätzlich feucht gebunden. ⟦≈Heißansatz abschließen und anschließend bis zur Mittelstufe einweichen?⟧; ⟦≈Rohdroge-I-Kompositum auf Mittelstufe, abgeschlossen?⟧; zwei Teile der ersten abgemessenen Fraktion; zwei Maße der ⟦≈abgeschlossenen Kompositum-Species?⟧.	kodshey und ckhyds sind LOW gelernt; Leser unterscheiden yto oder to sowie dar ain oder dasain	4,9	NONE	7,8
19	f1r	f1r.19	8	dchar shcthaiin okaiir chey chy tol cthols dloo	dchar shcthaiin okaiir chey rchy potol cthols dlocta	dchar shcthaiin okaiir chey chy tol cthols dloo	0	3	4	1	0	dchar = erste Trockenfraktion abmessen | shcthaiin = drei Teile eingeweichte Krautdroge | okaiir = dritte erhitzte Ansatzfraktion | chey = trocken in der Mitte des Grades | chy = trocken am Anfang des Grades | tol = kalt; nominal kaltes Gut/Material | cthols = Charge Krautdrogenstoff | dloo = Holzdroge abmessen und zweimal ansetzen	dchar = erste Trockenfraktion abmessen | shcthaiin = drei Teile eingeweichte Krautdroge | okaiir = dritte erhitzte Ansatzfraktion | chey = trocken in der Mitte des Grades | chy = trocken am Anfang des Grades | tol = kalt; nominal kaltes Gut/Material | cthols = Charge Krautdrogenstoff | dloo = Holzdroge abmessen und zweimal ansetzen	MIXED	Erste Trockenfraktion abmessen; drei Teile eingeweichte Krautdroge; dritte erhitzte Ansatzfraktion; trocken auf Mittelstufe; trocken am Anfang des Grades; kalte Droge; Charge Krautdrogenstoff; ⟦≈Holzdroge abmessen und zweimal ansetzen?⟧.	dloo ist LOW gelernt; die zweite Zeilenhälfte divergiert stark zwischen den Lesern	8	NONE	NONE
20	f1r	f1r.20	5	shok chor chey dain ckhey	shok chor chey dain ckhey	shok chor chey dain ckhey	1	5	0	0	0	shok = Feuchtansatz erhitzen | chor = Pflanzen-/Reproduktionsteil | chey = trocken in der Mitte des Grades | dain = Grad-/Maßwert II | ckhey = Arzneikompositum in der Gradmitte	shok = Feuchtansatz erhitzen | chor = Pflanzen-/Reproduktionsteil | chey = trocken in der Mitte des Grades | dain = zwei Maße des folgenden Kompositums | ckhey = Arzneikompositum in der Gradmitte	MIXED	Den Feuchtansatz erhitzen. Pflanzenteil oder Blüten- beziehungsweise Fruchtteil, trocken auf Mittelstufe; zwei Maße des folgenden Arzneikompositums auf Mittelstufe.	keine lokale W- oder O-Karte	NONE	NONE	4
21	f1r	f1r.21	2	otol daiiin	otol daiiin	otol daiiin	1	2	0	0	0	otol = kaltes Zubereitungsgut | daiiin = Grad-/Maßwert IV	otol = kaltes Zubereitungsgut | daiiin = vier Maße des vorstehenden kalten Zubereitungsguts	CATALOGUE	Vier Maße der kalten Zubereitung.	keine lokale W- oder O-Karte	NONE	NONE	2
22	f1r	f1r.22	10	cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro dar	cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro d	cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro dar	0	5	3	2	0	cpho = Kompositumansatz | shaiin = feucht, Grad III | shokcheey = Feuchtansatz erhitzen, vollständig trocknen und abschließen | chol = trocken; nominal trockenes Gut/Material | tshodeesy = kalt-feuchte Ansatzspecies auf Endstufe, abgeschlossen | shey = feucht in der Mitte des Grades | pydeey = Enddosis Pulver abmessen und abschließen | cha = ein Teil Trockendroge | ro = Wurzelansatz | dar = abgemessene Fraktion I	cpho = Kompositumansatz | shaiin = feucht, Grad III | shokcheey = Feuchtansatz erhitzen, vollständig trocknen und abschließen | chol = trocken; nominal trockenes Gut/Material | tshodeesy = kalt-feuchte Ansatzspecies auf Endstufe, abgeschlossen | shey = feucht in der Mitte des Grades | pydeey = Enddosis Pulver abmessen und abschließen | cha = ein Teil Trockendroge | ro = Wurzelansatz | dar = abgemessene Fraktion I	MIXED	Kompositumansatz; Feuchtstufe III; den Feuchtansatz erhitzen, vollständig trocknen und abschließen; Trockendroge; ⟦≈kalt-feuchte Ansatzspecies auf Endstufe, abgeschlossen?⟧; Feuchtstufe Mitte; ⟦≈Enddosis Pulver abmessen und abschließen?⟧; ein Teil Trockendroge; Wurzelansatz; erste abgemessene Fraktion.	tshodeesy und pydeey sind LOW gelernt; Leser unterscheiden cha oder chy sowie dar oder d	5,7	NONE	NONE
