completion_ordinal	bath_action_ordinal	action_slot_id	target_event_id	target_statement_id	physical_page	target_locus	target_paragraph_key	target_primary_governor_key	target_host_ordinal_in_statement	target_surface	target_recipe	gdt593_previous_route	gdt593_previous_class	gdt593_previous_clause_de	gdt569_state_edition_ordinal	gdt569_argument_source_type	gdt569_inherited_argument_root	gdt569_explicit_argument_phrase_de	gdt569_carried_argument_phrase_de	retained_gdt569_context_clause_de	gdt581_alias_id	gdt581_lexical_source_kind	gdt581_lexical_source_key	canonical_source_event_id	canonical_source_slot_or_key	canonical_source_primary_governor_key	canonical_source_host_ordinal_in_statement	context_witness_event_id	context_witness_statement_id	context_witness_locus	context_witness_paragraph_key	context_witness_slot_id	context_witness_primary_governor_key	context_witness_surface	context_witness_recipe	context_witness_lemma_de	context_witness_class	context_witness_meaning_source	context_witness_event_distance	context_witness_statement_distance	context_witness_line_distance	same_physical_paragraph	source_written_atom_coordinate	target_written_atom_coordinate	semantic_host_reset_count	semantic_host_reset_keys	intervening_reader_reset_count	intervening_reader_reset_host_keys	intervening_reader_reset_phrases_de	scope_model_conflict	gdt559_transition_event_id	gdt559_transition_next_event_id	gdt559_transition_outcome	gdt559_transition_reading_de	scope_class	reference_span	reference_realization	source_disposition	gdt594_selection_route	gdt594_object_class	gdt594_object_lemma_de	gdt594_object_form_de	gdt594_completed_clause_de	retained_gdt593_badegut_clause_de	retained_body_alternative_de	retained_station_alternative_de	retained_flow_alternative_de	retained_semantic_host_scope_alternative_de	reader_clause_occurrence_index	manual_reader_disposition	manual_reader_note_de	completion_status	guard
11	44	RUNNING:G407-E1702@1	G407-E1702	G407-S131	f75r	f75r.31	f75r:P2	ACTION:G407-E1702@1:SH	4	dshedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	430	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2325	OWNER_DEFAULT	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:Y	OWNER	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:Y	NOT_APPLICABLE	NOT_APPLICABLE	G407-E1696	G407-S130	f75r.30	f75r:P2	RUNNING:G407-E1696@2	ACTION:G407-E1696@1:CHD	chedy	CHD+Y	Stationsansatz	STATION	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	6	1	1	YES	NOT_APPLICABLE	NOT_APPLICABLE	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	OWNER_DEFAULT_RESET	OWNER_DEFAULT_AFTER_STATEMENT_RESET	DEFINITE_BODY_AT_TARGET_AFTER_STATEMENT_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_Y_RESET_BODY_FIRST	BODY	Körper	den Körper	Halte den Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad I	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	READABLE_TWO_WAY	Arbeitsdefault lesbar; Körper/Station beziehungsweise der lokale Donor bleibt als echte Rivalenlesung sichtbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
12	45	RUNNING:G407-E1706@1	G407-E1706	G407-S132	f75r	f75r.31	f75r:P2	ACTION:G407-E1706@1:SH	5	shedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	431	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2327	SAME_STATEMENT_EVENT	G407-E1704@3:Y	G407-E1704	RUNNING:G407-E1704@3	ACTION:G407-E1704@2:K	3	G407-E1704	G407-S132	f75r.31	f75r:P2	RUNNING:G407-E1704@3	ACTION:G407-E1704@2:K	chckhy	CH+K+Y	Stationsansatz	STATION	GDT582_EXACT_WRITTEN_SLOT_WITNESS	2	0	0	YES	E1704@3	E1706@1	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	SAME_OBJECT_SCOPE	SAME_STATEMENT_VISIBLE_SOURCE_AFTER_LAST_WRITTEN_CUT	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_OBJECT_SOURCE	GDT569_Y_LOCAL_STATION_DONOR	STATION	Stationsansatz	denselben Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	SELECTED_PRIMARY	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
13	50	RUNNING:G407-E1723@1	G407-E1723	G407-S140	f75r	f75r.33	f75r:P3	ACTION:G407-E1723@1:SH	2	shedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	441	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2340	SAME_STATEMENT_EVENT	G407-E1721@3:Y	G407-E1721	RUNNING:G407-E1721@3	ACTION:G407-E1721@1:OK	1	G407-E1721	G407-S140	f75r.33	f75r:P3	RUNNING:G407-E1721@3	ACTION:G407-E1721@1:OK	qokeey	OK+EE+Y	Stationsansatz	STATION	GDT582_EXACT_WRITTEN_SLOT_WITNESS	2	0	0	YES	E1721@3	E1723@1	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	SAME_OBJECT_SCOPE	SAME_STATEMENT_VISIBLE_SOURCE_AFTER_LAST_WRITTEN_CUT	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_OBJECT_SOURCE	GDT569_Y_LOCAL_STATION_DONOR	STATION	Stationsansatz	denselben Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	SELECTED_PRIMARY	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
14	55	RUNNING:G407-E1776@1	G407-E1776	G407-S165	f75r	f75r.40	f75r:P3	ACTION:G407-E1776@1:SH	2	shedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	473	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2380	OWNER_DEFAULT	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:Y	OWNER	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:Y	NOT_APPLICABLE	NOT_APPLICABLE	G407-E1773	G407-S164	f75r.39	f75r:P3	RUNNING:G407-E1773@3	ACTION:G407-E1774@1:K	otey	OT+E+Y	Stationsansatz	STATION	GDT582_EXACT_WRITTEN_SLOT_WITNESS	3	1	1	YES	NOT_APPLICABLE	NOT_APPLICABLE	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	OWNER_DEFAULT_RESET	OWNER_DEFAULT_AFTER_STATEMENT_RESET	DEFINITE_BODY_AT_TARGET_AFTER_STATEMENT_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_Y_RESET_BODY_FIRST	BODY	Körper	den Körper	Halte den Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad I	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	READABLE_TWO_WAY	Arbeitsdefault lesbar; Körper/Station beziehungsweise der lokale Donor bleibt als echte Rivalenlesung sichtbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
15	60	RUNNING:G407-E1814@2	G407-E1814	G407-S184	f75r	f75r.45	f75r:P3	ACTION:G407-E1814@2:SH	8	sshedy	S+SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	497	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Wähle denselben Stationsposten und halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2406	SAME_STATEMENT_EVENT	G407-E1813@1:Y	G407-E1813	RUNNING:G407-E1813@1	ACTION:G407-E1811@1:CH	6	G407-E1813	G407-S184	f75r.44	f75r:P3	RUNNING:G407-E1813@1	ACTION:G407-E1811@1:CH	dy	Y	Stationsansatz	STATION	GDT582_EXACT_WRITTEN_SLOT_WITNESS	1	0	1	YES	E1813@1	E1814@2	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	SAME_OBJECT_SCOPE	SAME_STATEMENT_VISIBLE_SOURCE_AFTER_LAST_WRITTEN_CUT	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_OBJECT_SOURCE	GDT569_Y_LOCAL_STATION_DONOR	STATION	Stationsansatz	denselben Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	SELECTED_PRIMARY	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	READABLE_TWO_WAY	Arbeitsdefault lesbar; Körper/Station beziehungsweise der lokale Donor bleibt als echte Rivalenlesung sichtbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
16	72	RUNNING:G407-E2457@2	G407-E2457	G407-S333	f77r	f77r.16	f77r:P2	ACTION:G407-E2457@2:SH	3	sshedy	S+SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	734	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Wähle denselben Stationsposten und halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2686	OWNER_DEFAULT	OWNER_DEFAULT:Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen:Y	OWNER	OWNER_DEFAULT:Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen:Y	NOT_APPLICABLE	NOT_APPLICABLE	G407-E2454	G407-S332	f77r.15	f77r:P2	RUNNING:G407-E2454@1	ACTION:G407-E2453@1:OK	y	Y	Stationsansatz	STATION	GDT582_EXACT_WRITTEN_SLOT_WITNESS	3	1	1	YES	NOT_APPLICABLE	NOT_APPLICABLE	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	OWNER_DEFAULT_RESET	OWNER_DEFAULT_AFTER_STATEMENT_RESET	DEFINITE_BODY_AT_TARGET_AFTER_STATEMENT_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_Y_RESET_BODY_FIRST	BODY	Körper	den Körper	Halte den Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad I	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
17	87	RUNNING:G407-E2537@1	G407-E2537	G407-S358	f77r	f77r.25	f77r:P3	ACTION:G407-E2537@1:SH	2	shedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	769	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2729	OWNER_DEFAULT	OWNER_DEFAULT:Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen:Y	OWNER	OWNER_DEFAULT:Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen:Y	NOT_APPLICABLE	NOT_APPLICABLE	G407-E2534	G407-S357	f77r.24	f77r:P2	RUNNING:G407-E2534@3	ACTION:G407-E2534@2:CH	qolchy	OL+CH+Y	Stationsansatz	STATION	GDT582_EXACT_WRITTEN_SLOT_WITNESS	3	1	1	NO	NOT_APPLICABLE	NOT_APPLICABLE	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	OWNER_DEFAULT_RESET	OWNER_DEFAULT_AFTER_STATEMENT_RESET	DEFINITE_BODY_AT_TARGET_AFTER_STATEMENT_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_Y_RESET_BODY_FIRST	BODY	Körper	den Körper	Halte den Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad I	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
18	93	RUNNING:G407-E2612@1	G407-E2612	G407-S375	f77r	f77r.36	f77r:P3	ACTION:G407-E2612@1:SH	3	dshedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	797	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2762	SAME_STATEMENT_EVENT	G407-E2611@2:Y	G407-E2611	RUNNING:G407-E2611@2	ACTION:G407-E2610@1:CHD	2	G407-E2611	G407-S375	f77r.35	f77r:P3	RUNNING:G407-E2611@2	ACTION:G407-E2610@1:CHD	chealy	AL+Y	Stationsansatz	STATION	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	1	0	1	YES	E2611@2	E2612@1	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	SAME_OBJECT_SCOPE	SAME_STATEMENT_VISIBLE_SOURCE_AFTER_LAST_WRITTEN_CUT	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_OBJECT_SOURCE	GDT569_Y_LOCAL_STATION_DONOR	STATION	Stationsansatz	denselben Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	SELECTED_PRIMARY	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
19	95	RUNNING:G407-E2628@1	G407-E2628	G407-S380	f77r	f77r.38	f77r:P4	ACTION:G407-E2628@1:SH	3	shedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	808	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2770	OWNER_DEFAULT	OWNER_DEFAULT:Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen:Y	OWNER	OWNER_DEFAULT:Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen:Y	NOT_APPLICABLE	NOT_APPLICABLE	G407-E2625	G407-S379	f77r.37	f77r:P3	RUNNING:G407-E2625@3	ACTION:G407-E2625@1:SH	cheey	SH+EE+Y	Körper	BODY	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	3	1	1	NO	NOT_APPLICABLE	NOT_APPLICABLE	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	OWNER_DEFAULT_RESET	OWNER_DEFAULT_AFTER_STATEMENT_RESET	DEFINITE_BODY_AT_TARGET_AFTER_STATEMENT_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_Y_RESET_BODY_FIRST	BODY	Körper	den Körper	Halte den Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad I	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
20	115	RUNNING:G407-E2783@1	G407-E2783	G407-S402	f81r	f81r.11	f81r:P1	ACTION:G407-E2783@1:SH	1	sheckhedy	SH+E+CH+K+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	875	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten und entnimm denselben Stationsposten und führe denselben Stationsposten zu; auf Grad I; auf Grad I; schließe den Schritt.	GDT581-I2853	OWNER_DEFAULT	OWNER_DEFAULT:F81R_UPPER_POOL:Y	OWNER	OWNER_DEFAULT:F81R_UPPER_POOL:Y	NOT_APPLICABLE	NOT_APPLICABLE	G407-E2780	G407-S401	f81r.10	f81r:P1	RUNNING:G407-E2780@2	ACTION:G407-E2778@1:SH	ly	L+Y	Stationsansatz	STATION	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	3	1	1	YES	NOT_APPLICABLE	NOT_APPLICABLE	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	OWNER_DEFAULT_RESET	OWNER_DEFAULT_AFTER_STATEMENT_RESET	DEFINITE_BODY_AT_TARGET_AFTER_STATEMENT_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_Y_RESET_BODY_FIRST	BODY	Körper	den Körper	Halte den Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad I	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
21	116	RUNNING:G407-E2788@1	G407-E2788	G407-S405	f81r	f81r.12	f81r:P1	ACTION:G407-E2788@1:SH	2	sheedy	SH+EE+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad II	879	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad II; schließe den Schritt.	GDT581-I2857	OWNER_DEFAULT	OWNER_DEFAULT:F81R_UPPER_POOL:Y	OWNER	OWNER_DEFAULT:F81R_UPPER_POOL:Y	NOT_APPLICABLE	NOT_APPLICABLE	G407-E2785	G407-S404	f81r.12	f81r:P1	RUNNING:G407-E2785@3	ACTION:G407-E2785@2:CHD	ychedy	Y+CHD+Y	Stationsansatz	STATION	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	3	1	0	YES	NOT_APPLICABLE	NOT_APPLICABLE	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	OWNER_DEFAULT_RESET	OWNER_DEFAULT_AFTER_STATEMENT_RESET	DEFINITE_BODY_AT_TARGET_AFTER_STATEMENT_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_Y_RESET_BODY_FIRST	BODY	Körper	den Körper	Halte den Körper im Bad auf Grad II	Halte das zu badende Gut im Bad auf Grad II	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad II	Halte den Strom im Badbetrieb auf Grad II	NOT_APPLICABLE	1	READABLE_TWO_WAY	Arbeitsdefault lesbar; Körper/Station beziehungsweise der lokale Donor bleibt als echte Rivalenlesung sichtbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
22	117	RUNNING:G407-E2792@1	G407-E2792	G407-S406	f81r	f81r.13	f81r:P1	ACTION:G407-E2792@1:SH	5	shedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	882	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2859	SAME_STATEMENT_EVENT	G407-E2790@3:Y	G407-E2790	RUNNING:G407-E2790@3	ACTION:G407-E2789@1:OK	1	G407-E2790	G407-S406	f81r.12	f81r:P1	RUNNING:G407-E2790@3	ACTION:G407-E2789@1:OK	loly	L+OL+Y	Stationsansatz	STATION	GDT582_EXACT_WRITTEN_SLOT_WITNESS	2	0	1	YES	E2790@3	E2792@1	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	SAME_OBJECT_SCOPE	SAME_STATEMENT_VISIBLE_SOURCE_AFTER_LAST_WRITTEN_CUT	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_OBJECT_SOURCE	GDT569_Y_LOCAL_STATION_DONOR	STATION	Stationsansatz	denselben Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	SELECTED_PRIMARY	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
23	120	RUNNING:G407-E2822@1	G407-E2822	G407-S418	f81r	f81r.18	f81r:P2	ACTION:G407-E2822@1:SH	1	shedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	900	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2876	OWNER_DEFAULT	OWNER_DEFAULT:F81R_LOWER_POOL:Y	OWNER	OWNER_DEFAULT:F81R_LOWER_POOL:Y	NOT_APPLICABLE	NOT_APPLICABLE	G407-E2817	G407-S416	f81r.17	f81r:P2	RUNNING:G407-E2817@3	ACTION:G407-E2817@1:SH	shey	SH+E+Y	Körper	BODY	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	5	2	1	YES	NOT_APPLICABLE	NOT_APPLICABLE	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	OWNER_DEFAULT_RESET	OWNER_DEFAULT_AFTER_STATEMENT_RESET	DEFINITE_BODY_AT_TARGET_AFTER_STATEMENT_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_Y_RESET_BODY_FIRST	BODY	Körper	den Körper	Halte den Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad I	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
