surface	extension_class	left_extension	right_extension	working_parse	occurrences	pages	triple_stable_occurrences	example_loci
cholor	RIGHT_EXTENSION	NONE	or	PRODUCTIVE_EXTENSION_OPEN	5	5	4	f107r.28|f10r.8|f115r.3|f6r.1|f79r.27
pchol	LEFT_EXTENSION	p	NONE	PRODUCTIVE_EXTENSION_OPEN	5	5	5	f102v1.7|f103v.30|f104r.34|f28v.7|f99r.41
qopchol	LEFT_EXTENSION	qop	NONE	PRODUCTIVE_EXTENSION_OPEN	5	5	5	f114v.36|f115r.1|f81r.16|f86v3.18|f86v5.2
ytchol	LEFT_EXTENSION	yt	NONE	PRODUCTIVE_EXTENSION_OPEN	5	5	4	f100v.11|f22v.3|f28r.9|f86v3.21|f93v.9
chokchol	LEFT_EXTENSION	chok	NONE	PRODUCTIVE_EXTENSION_OPEN	4	4	4	f47r.2|f49r.19|f56r.3|f56v.6
cholky	RIGHT_EXTENSION	NONE	ky	PRODUCTIVE_EXTENSION_OPEN	4	4	3	f106r.11|f43r.4|f94r.3|f95r1.4
cholody	RIGHT_EXTENSION	NONE	ody	PRODUCTIVE_EXTENSION_OPEN	4	4	4	f100r.26|f29v.8|f39v.14|f96r.6
chols	RIGHT_EXTENSION	NONE	s	PRODUCTIVE_EXTENSION_OPEN	4	4	3	f100v.2|f115r.45|f27r.6|f5v.1
cholaiin	RIGHT_EXTENSION	NONE	aiin	CHOL_DIRECT_VALUE	3	3	2	f27r.6|f2r.10|f58r.18
cholal	RIGHT_EXTENSION	NONE	al	PRODUCTIVE_EXTENSION_OPEN	3	3	3	f107r.19|f39r.7|f8r.14
choldaiin	RIGHT_EXTENSION	NONE	daiin	CHOL_FUSED_D_VALUE	3	3	1	f100r.22|f17v.8|f49r.6
cholkar	RIGHT_EXTENSION	NONE	kar	PRODUCTIVE_EXTENSION_OPEN	3	3	2	f104r.42|f48r.5|f86v6.19
cholkeedy	RIGHT_EXTENSION	NONE	keedy	PRODUCTIVE_EXTENSION_OPEN	3	3	1	f108v.34|f113r.47|f115v.9
lchol	LEFT_EXTENSION	l	NONE	PRODUCTIVE_EXTENSION_OPEN	3	3	3	f21v.7|f80r.26|f99v.23
ochol	LEFT_EXTENSION	o	NONE	QUALITY_CARRIER_LATTICE	3	3	3	f20r.4|f49r.15|f93r.15
schol	LEFT_EXTENSION	s	NONE	PRODUCTIVE_EXTENSION_OPEN	3	3	3	f14r.11|f56r.8|f8r.21
ypchol	LEFT_EXTENSION	yp	NONE	PRODUCTIVE_EXTENSION_OPEN	3	3	3	f22r.4|f2r.1|f99r.41
chkchol	LEFT_EXTENSION	chk	NONE	PRODUCTIVE_EXTENSION_OPEN	2	2	2	f115v.11|f96r.4
cholchedy	RIGHT_EXTENSION	NONE	chedy	PRODUCTIVE_EXTENSION_OPEN	2	2	0	f106r.41|f34r.15
cholchey	RIGHT_EXTENSION	NONE	chey	PRODUCTIVE_EXTENSION_OPEN	2	2	2	f113r.11|f79r.25
cholkal	RIGHT_EXTENSION	NONE	kal	PRODUCTIVE_EXTENSION_OPEN	2	2	2	f105v.18|f39r.16
cholkeeey	RIGHT_EXTENSION	NONE	keeey	PRODUCTIVE_EXTENSION_OPEN	2	2	1	f106r.19|f76v.2
cholo	RIGHT_EXTENSION	NONE	o	PRODUCTIVE_EXTENSION_OPEN	2	2	2	f2v.4|f79r.8
cholol	RIGHT_EXTENSION	NONE	ol	PRODUCTIVE_EXTENSION_OPEN	2	2	1	f11v.4|f47r.6
cholols	RIGHT_EXTENSION	NONE	ols	PRODUCTIVE_EXTENSION_OPEN	2	2	2	f58r.37|f5r.5
fchol	LEFT_EXTENSION	f	NONE	PRODUCTIVE_EXTENSION_OPEN	2	2	1	f16r.10|f17v.4
fcholdy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	2	2	2	f23r.1|f25r.1
pcholky	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	2	2	2	f107r.42|f113v.38
qofchol	LEFT_EXTENSION	qof	NONE	PRODUCTIVE_EXTENSION_OPEN	2	2	2	f107r.27|f90r1.4
checholtar	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f81v.26
chfchol	LEFT_EXTENSION	chf	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f113r.25
chofchol	LEFT_EXTENSION	chof	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f58r.1
cholaiim	RIGHT_EXTENSION	NONE	aiim	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f115v.45
cholalaiin	RIGHT_EXTENSION	NONE	alaiin	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f41v.5
cholaly	RIGHT_EXTENSION	NONE	aly	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f58r.15
cholcham	RIGHT_EXTENSION	NONE	cham	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f104r.31
cholchecthody	RIGHT_EXTENSION	NONE	checthody	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f93r.17
cholcheey	RIGHT_EXTENSION	NONE	cheey	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f108r.20
cholches	RIGHT_EXTENSION	NONE	ches	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f116r.12
cholchom	RIGHT_EXTENSION	NONE	chom	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f17v.19
cholcthom	RIGHT_EXTENSION	NONE	cthom	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f3r.10
chold	RIGHT_EXTENSION	NONE	d	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f11v.7
choldal	RIGHT_EXTENSION	NONE	dal	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f58r.12
choldam	RIGHT_EXTENSION	NONE	dam	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f53v.6
choldar	RIGHT_EXTENSION	NONE	dar	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f6v.20
choldchy	RIGHT_EXTENSION	NONE	dchy	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f22r.5
choldshy	RIGHT_EXTENSION	NONE	dshy	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f17r.7
cholfchy	RIGHT_EXTENSION	NONE	fchy	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f86v6.13
cholfor	RIGHT_EXTENSION	NONE	for	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f104r.10
cholfy	RIGHT_EXTENSION	NONE	fy	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f58r.1
cholkain	RIGHT_EXTENSION	NONE	kain	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f86v3.13
cholkchy	RIGHT_EXTENSION	NONE	kchy	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f104v.17
cholkeey	RIGHT_EXTENSION	NONE	keey	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f58r.7
cholkeog	RIGHT_EXTENSION	NONE	keog	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f86v6.26
cholkor	RIGHT_EXTENSION	NONE	kor	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f58r.21
cholkshedy	RIGHT_EXTENSION	NONE	kshedy	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f104v.19
chololy	RIGHT_EXTENSION	NONE	oly	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f3r.5
cholpchd	RIGHT_EXTENSION	NONE	pchd	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f66r.50
cholraly	RIGHT_EXTENSION	NONE	raly	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f58r.18
cholsheody	RIGHT_EXTENSION	NONE	sheody	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f100r.24
cholshey	RIGHT_EXTENSION	NONE	shey	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f99v.24
cholsho	RIGHT_EXTENSION	NONE	sho	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f47v.1
choltaiin	RIGHT_EXTENSION	NONE	taiin	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f17v.9
choltam	RIGHT_EXTENSION	NONE	tam	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f58r.6
choltar	RIGHT_EXTENSION	NONE	tar	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f113v.8
cholxy	RIGHT_EXTENSION	NONE	xy	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f104r.34
chopchol	LEFT_EXTENSION	chop	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f6r.1
chorcholsal	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f88r.22
chotchol	LEFT_EXTENSION	chot	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f30v.3
chpchol	LEFT_EXTENSION	chp	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f16v.1
chtchol	LEFT_EXTENSION	cht	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f113r.29
cphokchol	LEFT_EXTENSION	cphok	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f49v.2
dchold	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f35v.8
dcholdy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f45v.11
dcholy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f58r.22
deeomchol	LEFT_EXTENSION	deeom	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f100r.13
fcholy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f22r.1
folchol	LEFT_EXTENSION	fol	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f20v.5
kcholchdar	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f111r.1
kcholol	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f51v.9
kcholqod	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f36v.9
kcholy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f52v.6
lcholkaiin	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f113r.28
lpychol	LEFT_EXTENSION	lpy	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f90r1.5
ocholdy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f25r.1
ocholy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f6v.19
odshchol	LEFT_EXTENSION	odsh	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f58r.31
oepchol	LEFT_EXTENSION	oep	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f46v.1
ofchol	LEFT_EXTENSION	of	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f23r.4
okcholksh	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f8v.8
okechol	LEFT_EXTENSION	oke	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f104r.24
opcholor	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f79r.1
otarchol	LEFT_EXTENSION	otar	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f58r.31
otcholchy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f28r.6
otytchol	LEFT_EXTENSION	otyt	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f10r.2
pcholchdy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f116r.7
pcholkal	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f107v.20
pcholkchdy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f103r.30
pcholkeedy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f112r.27
pcholor	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f104r.39
pcholy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f108r.14
pychol	LEFT_EXTENSION	py	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f49r.1
qochol	LEFT_EXTENSION	qo	NONE	QUALITY_CARRIER_LATTICE	1	1	1	f25v.5
qopcholy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f89r1.6
qotcholg	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f23v.3
qoypchol	LEFT_EXTENSION	qoyp	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f36r.4
rchol	LEFT_EXTENSION	r	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f102v1.9
shechol	LEFT_EXTENSION	she	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f116r.26
shochol	LEFT_EXTENSION	sho	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f43r.13
tcholkaiin	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f105v.23
tcholol	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f45r.6
tcholy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f58v.9
techol	LEFT_EXTENSION	te	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f87v.9
tochol	LEFT_EXTENSION	to	NONE	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f24v.6
ykcholy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	0	f28v.2
ypcholdy	BOTH_OR_INTERNAL	OPEN	OPEN	PRODUCTIVE_EXTENSION_OPEN	1	1	1	f102v1.16
