wrapper	quality_core	ending	surface	composition	role	working_meaning_de	occurrences	pages	loci	triple_stable_occurrences	occupied
o	NONE	OL	ool	o+NONE+ol	BASE_CARRIER	Eigenschafts-/Zustands-/Materialträger; genaue Wortbedeutung offen	0	0	0	0	0
o	NONE	OR	oor	o+NONE+or	BASE_NOMINAL_PART_CARRIER	Teil-/Nominalträger; genaue Wortbedeutung offen	2	2	2	2	1
o	k	OL	okol	o+k+ol	QUALITY_STATE_CARRIER	heiße Zustands-/Materialform; flüssig meist heiß	53	41	52	50	1
o	k	OR	okor	o+k+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit heiß-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	24	20	24	16	1
o	t	OL	otol	o+t+ol	QUALITY_STATE_CARRIER	kalte Zustands-/Materialform; flüssig meist kalt	58	48	57	56	1
o	t	OR	otor	o+t+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit kalt-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	33	29	32	24	1
o	ch	OL	ochol	o+ch+ol	QUALITY_STATE_CARRIER	trockene Zustands-/Materialform; flüssig meist trocken	3	3	3	3	1
o	ch	OR	ochor	o+ch+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit trocken-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	5	5	5	5	1
o	sh	OL	oshol	o+sh+ol	QUALITY_STATE_CARRIER	feuchte Zustands-/Materialform; flüssig meist feucht	1	1	1	1	1
o	sh	OR	oshor	o+sh+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit feucht-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	1	1	1	1	1
o	kch	OL	okchol	o+kch+ol	QUALITY_STATE_CARRIER	heiß-trockene Zustands-/Materialform; flüssig meist heiß-trocken	10	8	9	9	1
o	kch	OR	okchor	o+kch+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit heiß-trocken-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	15	13	15	12	1
o	ksh	OL	okshol	o+ksh+ol	QUALITY_STATE_CARRIER	heiß-feuchte Zustands-/Materialform; flüssig meist heiß-feucht	1	1	1	1	1
o	ksh	OR	okshor	o+ksh+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit heiß-feucht-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	1	1	1	1	1
o	tch	OL	otchol	o+tch+ol	QUALITY_STATE_CARRIER	kalt-trockene Zustands-/Materialform; flüssig meist kalt-trocken	27	25	27	24	1
o	tch	OR	otchor	o+tch+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit kalt-trocken-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	16	14	15	16	1
o	tsh	OL	otshol	o+tsh+ol	QUALITY_STATE_CARRIER	kalt-feuchte Zustands-/Materialform; flüssig meist kalt-feucht	2	2	2	2	1
o	tsh	OR	otshor	o+tsh+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit kalt-feucht-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	1	1	1	1	1
qo	NONE	OL	qool	qo+NONE+ol	BASE_CARRIER	Eigenschafts-/Zustands-/Materialträger; genaue Wortbedeutung offen	4	4	4	4	1
qo	NONE	OR	qoor	qo+NONE+or	BASE_NOMINAL_PART_CARRIER	Teil-/Nominalträger; genaue Wortbedeutung offen	6	6	6	5	1
qo	k	OL	qokol	qo+k+ol	QUALITY_STATE_CARRIER	heiße Zustands-/Materialform; flüssig meist heiß	88	51	82	82	1
qo	k	OR	qokor	qo+k+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit heiß-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	29	25	29	21	1
qo	t	OL	qotol	qo+t+ol	QUALITY_STATE_CARRIER	kalte Zustands-/Materialform; flüssig meist kalt	43	31	40	40	1
qo	t	OR	qotor	qo+t+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit kalt-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	26	22	25	22	1
qo	ch	OL	qochol	qo+ch+ol	QUALITY_STATE_CARRIER	trockene Zustands-/Materialform; flüssig meist trocken	1	1	1	1	1
qo	ch	OR	qochor	qo+ch+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit trocken-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	0	0	0	0	0
qo	sh	OL	qoshol	qo+sh+ol	QUALITY_STATE_CARRIER	feuchte Zustands-/Materialform; flüssig meist feucht	0	0	0	0	0
qo	sh	OR	qoshor	qo+sh+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit feucht-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	0	0	0	0	0
qo	kch	OL	qokchol	qo+kch+ol	QUALITY_STATE_CARRIER	heiß-trockene Zustands-/Materialform; flüssig meist heiß-trocken	15	11	14	15	1
qo	kch	OR	qokchor	qo+kch+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit heiß-trocken-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	8	7	8	7	1
qo	ksh	OL	qokshol	qo+ksh+ol	QUALITY_STATE_CARRIER	heiß-feuchte Zustands-/Materialform; flüssig meist heiß-feucht	1	1	1	1	1
qo	ksh	OR	qokshor	qo+ksh+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit heiß-feucht-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	0	0	0	0	0
qo	tch	OL	qotchol	qo+tch+ol	QUALITY_STATE_CARRIER	kalt-trockene Zustands-/Materialform; flüssig meist kalt-trocken	13	11	13	13	1
qo	tch	OR	qotchor	qo+tch+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit kalt-trocken-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	11	10	11	11	1
qo	tsh	OL	qotshol	qo+tsh+ol	QUALITY_STATE_CARRIER	kalt-feuchte Zustands-/Materialform; flüssig meist kalt-feucht	1	1	1	1	1
qo	tsh	OR	qotshor	qo+tsh+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit kalt-feucht-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	0	0	0	0	0
