realization_id	page	locus	token_index	realization_mode	surface_expression	segmentation	working_value	working_roman	working_reading_de	phrase_line_end	all_expression_tokens_stable	section	surface_line
G628-V029	f35v	f35v.19	4	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	1	1	H	schokey y keol chol daiin
G628-V030	f36v	f36v.2	2	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	qotor chol daiin otaiin qotor ytar ochor chety ckhor dom
G628-V031	f37r	f37r.4	4	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	pchotchy daiin cfholdar chol daiin yd
G628-V032	f37v	f37v.23	2	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	1	1	H	yto chol daiin
G628-V033	f3r	f3r.3	3	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	ochor qocheor chol daiin cthy
G628-V034	f47r	f47r.4	4	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	qokcheo cthey chokain chol daiin kchdal
G628-V035	f47r	f47r.9	5	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	qoko kor chaiin okal chol daiin okcho kchorsy
G628-V036	f49v	f49v.26	6	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	1	1	H	qokeol chokeeody otol kcho s chol daiin
G628-V037	f51v	f51v.6	7	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	1	0	H	okor ctheody qocphy qokal qotaiin otykol chol daiin
G628-V038	f56v	f56v.15	3	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	otchol chol chol daiin chotaiin
G628-V039	f56v	f56v.16	5	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	1	1	H	s o kchol chol chol daiin
G628-V040	f85r2	f85r2.4	4	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	1	1	C	dair sheo oraiin chol daiin
G628-V041	f96r	f96r.8	5	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	1	0	H	ykeor secheeol sheol qokeeey chol daiin
G628-V042	f17r	f17r.11	4	SEPARATE_D_VALUE	chol daiiin	chol | d+a+IV	4	IV	trocken, Grad IV	1	1	H	otchol cthar okaiin chol daiiin
G628-V043	f27r	f27r.11	1	SEPARATE_D_VALUE	chol daiiin	chol | d+a+IV	4	IV	trocken, Grad IV	0	1	H	chol daiiin chees chos ey dan
