target_recipe	neighbor_row_count	distinct_source_recipe_count	mutation_families	target_is_exact_catalog_key	target_identity_route	target_execution_decision	target_blocked_factor_rules	source_recipes	fuzzy_identity_matching_used
AIIN+K+EE+AIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+EE+AIN	NO
AIIN+K+EE+D_ADDR+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+EE+D_ADDR+Y	NO
AIIN+K+EE+OR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+EE+OR	NO
AIIN+K+EE+S+AN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+EE+S+AN	NO
AIIN+K+EE+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+EE+Y	NO
AIIN+K+EEE+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+EEE+Y	NO
AIIN+K+L	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+L	NO
AIIN+K+O+AIIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+O+AIIN	NO
AIIN+K+OL	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+OL	NO
AIIN+K+OL+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+OL+Y	NO
AIIN+K+OR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+OR	NO
AIIN+K+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+Y	NO
AIIN+K+Y+CH+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+K+Y+CH+Y	NO
AIIN+L	4	4	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	AIIN+AL|L+AIIN|OR+L|Y+L	NO
AIIN+LOCAL_CHAR_F+OL+AIIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+LOCAL_CHAR_F+OL+AIIN	NO
AIIN+LOCAL_CHAR_I	2	2	ATOM_DELETION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	AL+AIIN+LOCAL_CHAR_I|R+AIIN+LOCAL_CHAR_I	NO
AIIN+LOCAL_CHAR_I+AIIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	OR+LOCAL_CHAR_I+AIIN	NO
AIIN+O	2	2	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	O+AIIN|OR+O	NO
AIIN+O+AR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+O+AR	NO
AIIN+O+DY	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	STOP	CLOSE:NO_ACTIVE_ACTION	Y+O+DY	NO
AIIN+OK	1	1	ADJACENT_SWAP	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	OK+AIIN	NO
AIIN+OK+AIR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+OK+AIR	NO
AIIN+OK+CH+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+OK+CH+Y	NO
AIIN+OK+E+O+D_ADDR+AIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+OK+E+O+D_ADDR+AIN	NO
AIIN+OK+E+O+D_ADDR+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+OK+E+O+D_ADDR+Y	NO
AIIN+OK+EE+OL	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+OK+EE+OL	NO
AIIN+OL	2	2	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	OL+AIIN|Y+OL	NO
AIIN+OL+Y	1	1	ADJACENT_SWAP	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	OL+AIIN+Y	NO
AIIN+OR	6	6	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	YES	IDENTITY_EXACT_NARROW_APPENDIX	READ	NONE	AIIN+AIIN|AIIN+AIN|AIIN+Y|OR+AIIN|OR+OR|Y+OR	NO
AIIN+OT	1	1	ADJACENT_SWAP	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	OT+AIIN	NO
AIIN+P	1	1	ADJACENT_SWAP	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	P+AIIN	NO
AIIN+P+AIR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+P+AIR	NO
AIIN+P+AL	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+P+AL	NO
AIIN+P+AR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+P+AR	NO
AIIN+P+CH	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+P+CH	NO
AIIN+P+CH+OR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+P+CH+OR	NO
AIIN+P+CH+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+P+CH+Y	NO
AIIN+P+O+D_ADDR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+P+O+D_ADDR	NO
AIIN+R	1	1	ADJACENT_SWAP	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	R+AIIN	NO
AIIN+R+LOCAL_CHAR_I	1	1	ADJACENT_SWAP	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	R+AIIN+LOCAL_CHAR_I	NO
AIIN+S	1	1	ADJACENT_SWAP	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	S+AIIN	NO
AIIN+SH	1	1	ADJACENT_SWAP	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	SH+AIIN	NO
AIIN+SH+E+AIIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+SH+E+AIIN	NO
AIIN+SH+E+AIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+SH+E+AIN	NO
AIIN+SH+E+DY	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+SH+E+DY	NO
AIIN+SH+E+O+D_ADDR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+SH+E+O+D_ADDR	NO
AIIN+SH+E+OR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+SH+E+OR	NO
AIIN+SH+E+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+SH+E+Y	NO
AIIN+SH+EE+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+SH+EE+Y	NO
AIIN+SH+OR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+SH+OR	NO
AIIN+SH+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+SH+Y	NO
AIIN+T	2	2	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	T+AIIN|Y+T	NO
AIIN+T+AIIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+AIIN	NO
AIIN+T+AIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+AIN	NO
AIIN+T+AIR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+AIR	NO
AIIN+T+AL	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+AL	NO
AIIN+T+AL+CH+O+S	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+AL+CH+O+S	NO
AIIN+T+AR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+AR	NO
AIIN+T+A_ADDR+S+AL	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+A_ADDR+S+AL	NO
AIIN+T+CHD+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+CHD+Y	NO
AIIN+T+E+DY	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+E+DY	NO
AIIN+T+E+O+DY	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+E+O+DY	NO
AIIN+T+E+O+OR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+E+O+OR	NO
AIIN+T+E+O+S_ADDR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+E+O+S_ADDR	NO
AIIN+T+EE+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+EE+Y	NO
AIIN+T+L	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+L	NO
AIIN+T+O	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+O	NO
AIIN+T+O+DY	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+O+DY	NO
AIIN+T+O+E+O+P+CH+E+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+O+E+O+P+CH+E+Y	NO
AIIN+T+O+IIN	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+O+IIN	NO
AIIN+T+OK+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+OK+Y	NO
AIIN+T+OL	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+OL	NO
AIIN+T+OR	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+OR	NO
AIIN+T+SH+E+DY	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+SH+E+DY	NO
AIIN+T+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+T+Y	NO
AIIN+Y	9	9	ADJACENT_SWAP|ATOM_DELETION|SAME_CLASS_SUBSTITUTION	YES	IDENTITY_EXACT_OBSERVED	READ	NONE	AIIN+AIIN|AIIN+AIN|AIIN+OR|AIN+Y|D_ADDR+AIIN+Y|OL+AIIN+Y|OR+Y|Y+AIIN|Y+Y	NO
AIN	27	27	ATOM_DELETION|SAME_CLASS_SUBSTITUTION	YES	IDENTITY_EXACT_OBSERVED	READ	NONE	AIIN|AIIN+AIN|AIN+AIN|AIN+AL|AIN+D_ADDR|AIN+Y|AIR+AIN|AL+AIN|AR+AIN|CH+AIN|CHD+AIN|D_ADDR+AIN|K+AIN|L+AIN|O+AIN|OK+AIN|OL+AIN|OR|OR+AIN|OT+AIN|P+AIN|R+AIN|S+AIN|SH+AIN|T+AIN|Y|Y+AIN	NO
AIN+AIIN	6	6	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	AIIN+AIIN|AIIN+AIN|AIN+AIN|AIN+Y|OR+AIIN|Y+AIIN	NO
AIN+AIN	4	4	SAME_CLASS_SUBSTITUTION	YES	IDENTITY_EXACT_NARROW_APPENDIX	READ	NONE	AIIN+AIN|AIN+Y|OR+AIN|Y+AIN	NO
AIN+AIN+S+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	OR+AIN+S+Y	NO
AIN+AIR	3	3	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ_AMBER	NONE	AIN+AL|AIR+AIN|Y+AIR	NO
AIN+AL	4	4	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	YES	IDENTITY_EXACT_NARROW_APPENDIX	READ	NONE	AIIN+AL|AL+AIN|OR+AL|Y+AL	NO
AIN+AL+DY	1	1	ATOM_DELETION	NO	IDENTITY_NEW_VISIBLE_RECIPE	STOP	CLOSE:NO_ACTIVE_ACTION	D_ADDR+AIN+AL+DY	NO
AIN+AL+S	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	Y+AL+S	NO
AIN+AL+Y	1	1	SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	OR+AL+Y	NO
AIN+AR	4	4	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	NONE	AIN+AL|AR+AIN|OR+AR|Y+AR	NO
