statement_id	page	record	events	access_mode	fast_cards	wall_cards	model_cards
B2-S017	f82r	B2	2	FAST_PLUS_WALL_STRIP	1	1	0
B2-S018	f82r	B2	1	FAST_ONLY	1	0	0
B2-S019	f82r	B2	1	FAST_PLUS_WALL_STRIP	0	1	0
B2-S020	f82r	B2	1	FAST_ONLY	1	0	0
B2-S021	f82r	B2	1	FAST_ONLY	1	0	0
B2-S022	f82r	B2	1	FAST_PLUS_WALL_STRIP	0	1	0
B3-S001	f83r	B3	1	FAST_PLUS_WALL_STRIP	0	1	0
B3-S002	f83r	B3	2	FAST_PLUS_WALL_STRIP	1	1	0
B3-S003	f83r	B3	4	FAST_ONLY	4	0	0
B3-S004	f83r	B3	3	FAST_PLUS_WALL_STRIP	2	1	0
B3-S005	f83r	B3	1	FAST_ONLY	1	0	0
B3-S006	f83r	B3	3	FAST_ONLY	3	0	0
B3-S007	f83r	B3	3	FAST_ONLY	3	0	0
B3-S008	f83r	B3	1	FAST_ONLY	1	0	0
B3-S009	f83r	B3	1	FAST_ONLY	1	0	0
B3-S010	f83r	B3	2	FAST_PLUS_WALL_STRIP	1	1	0
B3-S011	f83r	B3	4	FAST_PLUS_WALL_STRIP	2	2	0
B3-S012	f83r	B3	2	FAST_PLUS_WALL_STRIP	0	2	0
B3-S013	f83r	B3	4	FAST_PLUS_WALL_STRIP	2	2	0
B3-S014	f83r	B3	2	FAST_PLUS_WALL_STRIP	1	1	0
B3-S015	f83r	B3	1	FAST_ONLY	1	0	0
B3-S016	f83r	B3	2	FAST_PLUS_WALL_STRIP	1	1	0
B3-S017	f83r	B3	1	FAST_ONLY	1	0	0
B3-S018	f83r	B3	1	FAST_PLUS_WALL_STRIP	0	1	0
B3-S019	f83r	B3	1	FAST_ONLY	1	0	0
B3-S020	f83r	B3	2	FAST_ONLY	2	0	0
B3-S021	f83r	B3	11	FAST_PLUS_WALL_STRIP	7	4	0
B3-S022	f83r	B3	1	FAST_ONLY	1	0	0
B3-S023	f83r	B3	1	FAST_ONLY	1	0	0
B3-S024	f83r	B3	1	FAST_ONLY	1	0	0
B3-S025	f83r	B3	1	FAST_ONLY	1	0	0
B3-S026	f83r	B3	7	FAST_PLUS_WALL_STRIP	2	5	0
B3-S027	f83r	B3	1	FAST_ONLY	1	0	0
B3-S028	f83r	B3	2	FAST_ONLY	2	0	0
B3-S029	f83r	B3	3	FAST_PLUS_WALL_STRIP	2	1	0
B3-S030	f83r	B3	4	FAST_PLUS_WALL_STRIP	3	1	0
B3-S031	f83r	B3	1	FAST_ONLY	1	0	0
B3-S032	f83r	B3	5	FAST_PLUS_WALL_STRIP	4	1	0
B3-S033	f83r	B3	1	FAST_ONLY	1	0	0
B3-S034	f83r	B3	6	FAST_PLUS_WALL_STRIP	2	4	0
B4-S001	f83r	B4	1	FAST_ONLY	1	0	0
B4-S002	f83r	B4	3	FAST_ONLY	3	0	0
B4-S003	f83r	B4	7	FAST_PLUS_WALL_STRIP	6	1	0
B4-S004	f83r	B4	1	USES_RARE_MODEL_CARD	0	0	1
B4-S005	f83r	B4	3	FAST_PLUS_WALL_STRIP	2	1	0
B4-S006	f83r	B4	1	FAST_PLUS_WALL_STRIP	0	1	0
B4-S007	f83r	B4	1	FAST_PLUS_WALL_STRIP	0	1	0
B4-S008	f83r	B4	4	FAST_PLUS_WALL_STRIP	3	1	0
B4-S009	f83r	B4	1	FAST_PLUS_WALL_STRIP	0	1	0
B4-S010	f83r	B4	1	FAST_ONLY	1	0	0
B4-S011	f83r	B4	7	FAST_PLUS_WALL_STRIP	4	3	0
B4-S012	f83r	B4	1	FAST_ONLY	1	0	0
B4-S013	f83r	B4	2	FAST_PLUS_WALL_STRIP	1	1	0
B4-S014	f83r	B4	4	FAST_PLUS_WALL_STRIP	1	3	0
B4-S015	f83r	B4	6	FAST_PLUS_WALL_STRIP	2	4	0
B4-S016	f83r	B4	4	FAST_PLUS_WALL_STRIP	1	3	0
B5-S001	f83r	B5	1	FAST_ONLY	1	0	0
B5-S002	f83r	B5	1	FAST_ONLY	1	0	0
B5-S003	f83r	B5	9	USES_RARE_MODEL_CARD	7	1	1
B6-S001	f83r	B6	9	FAST_PLUS_WALL_STRIP	4	5	0
